,Adj Close,Close,High,Low,Open,Volume
2007-01-03,18.82,19.44,19.82,18.94,19.43,9666400.0
2007-01-04,18.92,19.54,19.63,19.26,19.34,5710000.0
2007-01-05,18.67,19.28,19.58,18.95,19.49,6137200.0
2007-01-08,18.96,19.58,19.73,19.21,19.29,5546400.0
2007-01-09,19.01,19.63,19.71,19.38,19.67,4708400.0
2007-01-10,18.99,19.61,19.69,19.32,19.48,5987600.0
2007-01-11,19.59,20.23,20.25,19.63,19.74,6644400.0
2007-01-12,19.71,20.36,20.45,20.05,20.24,4740400.0
2007-01-16,19.83,20.48,20.59,20.41,20.48,5993600.0
2007-01-17,19.9,20.55,20.6,20.38,20.48,5585600.0
2007-01-18,19.65,20.3,20.66,20.22,20.6,4733200.0
2007-01-19,19.77,20.42,20.44,20.0,20.17,5260400.0
2007-01-22,19.76,20.41,20.5,20.17,20.41,5073600.0
2007-01-23,20.0,20.65,20.75,20.4,20.4,4582800.0
2007-01-24,20.41,21.08,21.1,20.53,20.74,4900800.0
2007-01-25,20.17,20.83,20.98,20.72,20.93,5483600.0
2007-01-26,20.12,20.78,20.98,20.61,20.91,3104000.0
2007-01-29,20.33,21.0,21.24,20.64,20.72,4809600.0
2007-01-30,20.6,21.27,21.31,20.99,21.02,6583600.0
2007-01-31,20.65,21.32,21.34,21.07,21.28,6288000.0
2007-02-01,20.63,21.3,21.39,21.17,21.35,5163200.0
2007-02-02,20.78,21.46,21.6,21.27,21.38,8103200.0
2007-02-05,22.5,23.24,23.37,22.25,22.43,20896000.0
2007-02-06,22.43,23.17,23.49,22.86,23.27,8048800.0
2007-02-07,22.97,23.72,23.73,23.24,23.27,7362400.0
2007-02-08,22.75,23.5,23.72,23.44,23.61,7905600.0
2007-02-09,22.36,23.09,23.58,22.96,23.41,5801600.0
2007-02-12,22.38,23.11,23.18,22.75,22.75,5856000.0
2007-02-13,22.39,23.12,23.25,23.03,23.25,5377600.0
2007-02-14,22.83,23.58,23.59,23.08,23.12,6840000.0
2007-02-15,22.87,23.62,23.65,23.42,23.5,5100000.0
2007-02-16,22.68,23.42,23.65,23.42,23.65,3605200.0
2007-02-20,22.9,23.65,23.66,23.14,23.34,5165200.0
2007-02-21,22.9,23.65,23.65,23.44,23.55,3746000.0
2007-02-22,22.85,23.59,23.89,23.17,23.62,6086000.0
2007-02-23,22.9,23.65,23.74,23.39,23.55,4976400.0
2007-02-26,22.76,23.51,23.75,23.38,23.74,3499600.0
2007-02-27,21.4,22.1,23.24,22.0,23.15,13338000.0
2007-02-28,21.84,22.55,22.7,21.57,21.96,10275200.0
2007-03-01,21.63,22.34,22.57,21.58,21.84,12415600.0
2007-03-02,21.04,21.73,22.23,21.73,22.11,5822400.0
2007-03-05,20.7,21.37,21.81,21.31,21.35,8241600.0
2007-03-06,21.75,22.46,22.49,21.64,21.64,11064800.0
2007-03-07,21.72,22.43,22.46,22.14,22.27,4890000.0
2007-03-08,22.03,22.75,22.88,22.51,22.69,7135600.0
2007-03-09,22.16,22.88,23.1,22.72,22.98,5455600.0
2007-03-12,22.22,22.94,23.0,22.7,22.92,3656400.0
2007-03-13,21.47,22.17,22.84,22.08,22.74,7042400.0
2007-03-14,21.74,22.45,22.54,21.85,22.13,6653600.0
2007-03-15,21.53,22.23,22.61,22.14,22.41,5658400.0
2007-03-16,21.5,22.21,22.29,21.98,22.25,6900800.0
2007-03-19,21.93,22.64,22.67,22.23,22.27,4149200.0
