,Adj Close,Close,High,Low,Open,Volume
2007-01-03,44.42,70.97,73.22,70.55,72.77,12719600.0
2007-01-04,43.99,70.28,70.95,69.6,70.9,10825300.0
2007-01-05,44.16,70.55,71.12,70.12,70.28,9618000.0
2007-01-08,44.72,71.45,71.56,70.0,71.06,9435100.0
2007-01-09,44.21,70.63,71.34,69.85,70.98,10500000.0
2007-01-10,43.45,69.41,70.31,68.93,69.75,11936700.0
2007-01-11,43.0,68.69,71.14,68.48,69.32,12407200.0
2007-01-12,44.04,70.35,70.62,69.1,69.1,9345000.0
2007-01-16,43.61,69.67,70.7,69.23,70.08,8281700.0
2007-01-17,44.33,70.82,70.87,69.5,69.71,10545100.0
2007-01-18,44.39,70.92,71.84,70.02,70.83,10648300.0
2007-01-19,45.27,72.32,72.39,70.8,71.33,9983800.0
2007-01-22,44.58,71.22,72.6,70.95,72.51,11969100.0
2007-01-23,45.42,72.56,73.25,71.6,71.61,9268800.0
2007-01-24,45.59,72.84,73.25,71.7,72.49,7061700.0
2007-01-25,44.77,71.52,72.78,71.28,72.5,8441500.0
2007-01-26,44.76,71.5,72.37,71.23,72.14,7266600.0
2007-01-29,44.77,71.53,72.3,71.24,71.51,6323100.0
2007-01-30,45.74,73.07,73.07,71.85,71.95,6398000.0
2007-01-31,45.62,72.88,73.44,72.29,72.99,9757800.0
2007-02-01,46.61,74.47,74.96,73.1,73.25,10956200.0
2007-02-02,46.35,74.04,74.62,73.3,73.8,7377300.0
2007-02-05,46.18,73.78,74.29,73.46,74.05,8431500.0
2007-02-06,45.93,73.37,74.18,72.94,74.15,8374800.0
2007-02-07,45.47,72.64,74.09,72.54,73.87,9573100.0
2007-02-08,46.16,73.75,73.92,72.09,72.46,10159500.0
2007-02-09,45.89,73.32,74.0,73.06,73.93,6502300.0
2007-02-12,45.27,72.32,73.17,71.89,73.1,12468000.0
2007-02-13,45.59,72.83,72.96,72.47,72.73,7909300.0
2007-02-14,45.51,72.19,73.04,71.78,72.64,7907900.0
2007-02-15,44.99,71.36,72.06,71.16,72.06,10225000.0
2007-02-16,44.64,70.81,71.44,70.72,71.01,9619000.0
2007-02-20,44.21,70.12,70.65,70.02,70.65,9347500.0
2007-02-21,44.09,69.94,70.39,69.2,70.12,13256400.0
2007-02-22,44.55,70.67,70.96,69.84,70.02,8403100.0
2007-02-23,44.81,71.07,71.28,70.57,71.19,7862500.0
2007-02-26,45.02,71.41,72.02,71.13,71.42,7451800.0
2007-02-27,43.24,68.58,71.22,68.02,70.71,13910000.0
2007-02-28,43.2,68.52,69.75,68.36,68.59,14002600.0
2007-03-01,42.62,67.6,68.52,64.99,67.32,14150400.0
2007-03-02,42.11,66.79,67.75,66.32,67.58,10827100.0
2007-03-05,41.88,66.43,67.33,66.01,66.2,11700900.0
2007-03-06,42.66,67.67,67.71,66.77,67.28,11528000.0
2007-03-07,43.08,68.33,69.81,67.57,67.8,12789500.0
2007-03-08,43.16,68.46,69.06,67.99,68.95,10777500.0
2007-03-09,43.17,68.47,69.04,68.0,68.83,7668900.0
2007-03-12,43.39,68.83,69.2,68.06,68.47,9416400.0
2007-03-13,42.77,67.84,69.6,67.58,68.83,9446000.0
2007-03-14,43.07,68.32,68.64,67.08,68.3,11393700.0
2007-03-15,43.42,68.87,69.29,67.81,68.2,9996200.0
2007-03-16,42.92,68.08,69.5,67.76,69.24,12720300.0
2007-03-19,43.74,69.38,69.75,68.52,68.58,13988200.0
2007-03-20,44.16,70.05,70.14,69.19,69.39,8243100.0
2007-03-21,44.98,71.34,71.49,70.05,70.38,10162300.0
2007-03-22,45.98,72.93,73.46,71.29,71.55,13192000.0
2007-03-23,46.46,73.7,74.09,73.2,73.39,10883900.0
2007-03-26,46.91,74.4,74.55,73.51,74.14,10111300.0
2007-03-27,46.76,74.17,74.37,73.62,74.01,8548500.0
2007-03-28,46.7,74.08,74.68,73.76,74.47,10237200.0
2007-03-29,47.25,74.95,74.98,74.32,74.36,10247800.0
2007-03-30,46.63,73.96,74.81,73.38,74.81,8510300.0
2007-04-02,47.18,74.83,75.05,74.05,74.05,8192300.0
2007-04-03,47.5,75.34,75.59,74.47,74.61,9357500.0
2007-04-04,47.63,75.55,75.75,74.65,75.12,6622200.0
2007-04-05,47.67,75.61,75.9,75.32,75.56,6305100.0
2007-04-09,47.59,75.49,76.4,75.13,75.32,6408600.0
2007-04-10,48.57,77.04,77.22,75.65,75.79,8825600.0
2007-04-11,48.27,76.56,77.47,76.46,77.04,10747700.0
2007-04-12,48.65,77.17,77.23,76.29,76.75,8049600.0
2007-04-13,48.55,77.01,77.5,76.65,77.5,7265500.0
2007-04-16,49.09,77.87,77.97,76.68,77.25,8308200.0
2007-04-17,49.15,77.96,78.57,77.54,78.0,8811700.0
2007-04-18,49.03,77.77,78.12,77.3,77.55,7045400.0
2007-04-19,48.43,76.81,77.64,76.73,77.47,8013400.0
2007-04-20,49.46,78.45,78.63,77.06,77.29,15622000.0
2007-04-23,48.9,77.56,78.88,77.4,78.06,12242700.0
2007-04-24,48.61,77.1,77.81,76.91,77.11,9003600.0
2007-04-25,49.38,78.32,78.93,77.55,77.58,10924600.0
2007-04-26,49.29,78.18,78.38,77.3,78.17,10424500.0
2007-04-27,49.23,78.08,78.5,77.34,78.42,8119700.0
2007-04-30,49.04,77.79,79.07,77.76,78.09,11191300.0
2007-05-01,49.4,78.35,78.63,77.42,77.97,9242100.0
2007-05-02,49.58,78.64,78.98,78.08,78.48,6413800.0
2007-05-03,50.16,79.56,79.86,78.43,78.65,7087700.0
2007-05-04,50.0,79.3,80.35,78.8,79.8,7749200.0
2007-05-07,50.17,79.58,79.7,78.51,78.63,7298200.0
2007-05-08,50.47,80.05,80.19,78.87,79.42,7018200.0
2007-05-09,50.28,79.75,79.97,78.89,79.92,7409000.0
2007-05-10,49.3,78.19,79.68,78.15,79.52,7882900.0
2007-05-11,50.46,80.04,80.13,78.5,78.5,8427500.0
2007-05-14,50.98,80.87,80.94,79.83,80.0,12527500.0
2007-05-15,50.9,80.73,81.37,80.61,80.94,9846800.0
2007-05-16,51.26,80.73,80.93,79.61,80.15,9402800.0
2007-05-17,51.73,81.46,82.0,80.2,80.75,7783600.0
2007-05-18,52.61,82.85,82.92,81.8,81.87,11114500.0
2007-05-21,52.6,82.83,83.56,82.58,83.11,11359500.0
2007-05-22,52.19,82.18,83.23,82.04,82.83,9214900.0
2007-05-23,51.69,81.4,82.91,81.17,82.18,14228400.0
2007-05-24,50.78,79.97,81.88,79.75,81.67,13263200.0
2007-05-25,51.52,81.13,81.13,80.28,80.4,6839500.0
2007-05-29,51.25,80.71,81.0,80.0,80.98,7964700.0
2007-05-30,52.23,82.25,82.29,80.16,80.56,10776900.0
2007-05-31,51.75,81.49,82.36,81.02,82.15,11512700.0
2007-06-01,52.22,82.23,82.52,81.72,81.76,7346300.0
2007-06-04,52.79,83.13,83.25,82.0,82.2,7958100.0
2007-06-05,52.53,82.73,83.04,82.17,82.71,7402100.0
2007-06-06,51.94,81.79,82.73,81.37,82.73,7520900.0
2007-06-07,50.93,80.2,82.06,80.1,81.65,10980300.0
2007-06-08,51.24,80.69,80.74,79.12,80.01,8551500.0
2007-06-11,51.66,81.36,81.78,80.27,80.66,6784500.0
2007-06-12,51.16,80.56,81.81,80.5,81.35,7413800.0
2007-06-13,51.53,81.15,81.55,80.72,80.81,9948700.0
2007-06-14,52.28,82.33,82.55,81.4,81.41,8437000.0
2007-06-15,52.81,83.17,83.6,82.76,82.86,9432300.0
2007-06-18,52.95,83.39,84.0,83.27,83.27,5996000.0
2007-06-19,52.89,83.29,83.75,82.95,82.99,7033200.0
2007-06-20,51.42,80.97,83.7,80.76,83.6,11012500.0
2007-06-21,52.61,82.85,83.02,81.36,81.49,10058700.0
2007-06-22,51.79,81.55,82.94,81.5,82.85,13441500.0
2007-06-25,52.67,82.95,83.66,81.5,81.56,12688600.0
2007-06-26,52.52,82.7,83.78,82.37,83.49,13487200.0
2007-06-27,53.27,83.89,84.0,81.62,82.25,10245400.0
2007-06-28,53.46,84.18,84.89,83.84,84.89,8594200.0
2007-06-29,53.49,84.24,85.19,83.52,84.79,10730000.0
2007-07-02,54.07,85.15,85.28,84.41,84.7,8212100.0
2007-07-03,54.82,86.33,86.69,83.6,83.6,4605600.0
2007-07-05,54.97,86.57,87.14,85.51,86.79,8746800.0
2007-07-06,55.68,87.68,87.96,86.57,86.57,11725300.0
2007-07-09,56.83,89.5,89.8,87.45,87.55,10646500.0
