,Adj Close,Close,High,Low,Open,Volume
2007-01-03,,,,,,
2007-01-04,,,,,,
2007-01-05,,,,,,
2007-01-08,,,,,,
2007-01-09,,,,,,
2007-01-10,,,,,,
2007-01-11,,,,,,
2007-01-12,,,,,,
2007-01-16,,,,,,
2007-01-17,,,,,,
2007-01-18,,,,,,
2007-01-19,,,,,,
2007-01-22,,,,,,
2007-01-23,,,,,,
2007-01-24,,,,,,
2007-01-25,,,,,,
2007-01-26,,,,,,
2007-01-29,,,,,,
2007-01-30,,,,,,
2007-01-31,,,,,,
2007-02-01,,,,,,
2007-02-02,,,,,,
2007-02-05,,,,,,
2007-02-06,,,,,,
2007-02-07,,,,,,
2007-02-08,,,,,,
2007-02-09,,,,,,
2007-02-12,,,,,,
2007-02-13,,,,,,
2007-02-14,,,,,,
2007-02-15,,,,,,
2007-02-16,,,,,,
2007-02-20,,,,,,
2007-02-21,,,,,,
2007-02-22,,,,,,
2007-02-23,,,,,,
2007-02-26,,,,,,
2007-02-27,,,,,,
2007-02-28,,,,,,
2007-03-01,,,,,,
2007-03-02,,,,,,
2007-03-05,,,,,,
2007-03-06,,,,,,
2007-03-07,,,,,,
2007-03-08,,,,,,
2007-03-09,,,,,,
2007-03-12,,,,,,
2007-03-13,,,,,,
2007-03-14,,,,,,
2007-03-15,,,,,,
2007-03-16,,,,,,
2007-03-19,,,,,,
2007-03-20,,,,,,
2007-03-21,,,,,,
2007-03-22,,,,,,
2007-03-23,,,,,,
2007-03-26,,,,,,
2007-03-27,,,,,,
2007-03-28,,,,,,
2007-03-29,,,,,,
2007-03-30,,,,,,
2007-04-02,,,,,,
2007-04-03,,,,,,
2007-04-04,,,,,,
2007-04-05,,,,,,
2007-04-09,,,,,,
2007-04-10,,,,,,
2007-04-11,,,,,,
2007-04-12,,,,,,
2007-04-13,,,,,,
2007-04-16,,,,,,
2007-04-17,,,,,,
2007-04-18,,,,,,
2007-04-19,,,,,,
2007-04-20,,,,,,
2007-04-23,,,,,,
2007-04-24,,,,,,
2007-04-25,,,,,,
2007-04-26,,,,,,
2007-04-27,,,,,,
2007-04-30,,,,,,
2007-05-01,,,,,,
2007-05-02,,,,,,
2007-05-03,18.53,20.72,21.95,20.55,21.75,8052800.0
2007-05-04,18.77,20.98,21.35,20.7,21.25,5437300.0
2007-05-07,18.21,20.36,21.29,20.2,21.2,2646300.0
2007-05-08,17.56,19.63,20.0,19.3,20.0,4166100.0
2007-05-09,17.7,19.79,20.2,19.63,19.75,7541100.0
2007-05-10,17.62,19.7,19.99,19.55,19.79,3170600.0
2007-05-11,17.26,19.3,19.8,19.11,19.71,3539400.0
2007-05-14,16.9,18.89,19.39,18.75,19.15,1924800.0
2007-05-15,16.28,18.2,18.85,18.15,18.65,3438700.0
2007-05-16,16.4,18.34,18.48,18.02,18.06,2607600.0
2007-05-17,17.01,19.02,19.75,18.67,18.8,8979000.0
2007-05-18,17.27,19.31,19.49,18.54,19.47,6562200.0
2007-05-21,16.99,19.0,19.34,19.0,19.2,2077700.0
2007-05-22,17.42,19.48,19.53,19.0,19.1,4014700.0
2007-05-23,17.18,19.21,19.7,19.1,19.5,2387100.0
2007-05-24,17.01,19.02,19.33,18.85,19.21,2362000.0
2007-05-25,16.78,18.76,19.05,18.69,19.02,895000.0
2007-05-29,17.07,19.09,19.2,18.85,18.91,2918800.0
2007-05-30,16.98,18.98,19.15,18.81,19.05,2829300.0
2007-05-31,17.04,19.05,19.28,19.03,19.15,3435200.0
2007-06-01,17.49,19.55,19.8,19.05,19.1,2299400.0
2007-06-04,16.85,18.84,19.05,18.69,18.7,5692700.0
2007-06-05,16.95,18.95,19.04,18.73,18.85,4510000.0
2007-06-06,16.93,18.93,18.93,18.65,18.7,2595300.0
2007-06-07,16.53,18.48,18.85,18.15,18.77,3062100.0
2007-06-08,16.84,18.83,18.83,18.2,18.2,2124100.0
2007-06-11,16.44,18.38,18.82,18.22,18.55,1870000.0
2007-06-12,16.46,18.4,18.71,18.02,18.15,8636200.0
2007-06-13,16.67,18.64,18.7,18.36,18.48,3110200.0
2007-06-14,16.9,18.9,19.01,18.43,18.5,8069700.0
2007-06-15,16.89,18.88,19.14,18.45,18.89,3418900.0
2007-06-18,16.58,18.54,18.9,18.5,18.65,1339900.0
2007-06-19,16.88,18.87,19.08,18.55,18.59,3113000.0
2007-06-20,17.32,19.36,19.49,18.82,19.0,4031500.0
2007-06-21,17.45,19.51,19.6,19.02,19.2,3985700.0
2007-06-22,17.67,19.75,19.85,19.37,19.5,11822000.0
2007-06-25,17.38,19.43,19.74,19.11,19.69,1974400.0
2007-06-26,17.43,19.49,19.66,19.27,19.5,2237000.0
2007-06-27,17.37,19.42,19.59,19.13,19.4,2216000.0
2007-06-28,17.59,19.67,19.89,19.62,19.75,2547200.0
2007-06-29,17.62,19.7,19.83,19.51,19.55,2022200.0
2007-07-02,17.51,19.58,19.76,19.53,19.57,1831600.0
2007-07-03,18.11,20.25,20.26,19.71,19.71,2960900.0
2007-07-05,18.35,20.52,20.73,19.92,20.01,2640100.0
2007-07-06,18.63,20.83,20.9,20.38,20.55,1966900.0
2007-07-09,19.08,21.33,21.39,20.86,20.94,2872800.0
2007-07-10,18.47,20.65,21.25,20.53,21.18,2367100.0
2007-07-11,18.0,20.12,20.59,20.0,20.18,2387700.0
2007-07-12,18.27,20.43,20.63,20.11,20.43,3455400.0
2007-07-13,18.34,20.5,20.54,20.08,20.35,1751700.0
2007-07-16,18.73,20.94,21.0,20.31,20.45,2891700.0
2007-07-17,18.95,21.19,21.25,20.78,21.0,4383100.0
2007-07-18,19.11,21.37,21.8,21.15,21.79,9011300.0
2007-07-19,19.24,21.51,21.8,21.4,21.48,8636500.0
2007-07-20,19.14,21.4,21.58,21.0,21.41,4248400.0
2007-07-23,18.88,21.11,21.5,21.01,21.4,4399000.0
2007-07-24,19.08,21.33,21.6,20.73,21.15,6101200.0
2007-07-25,18.59,20.78,21.31,20.45,21.3,2779100.0
2007-07-26,17.32,19.36,20.56,18.87,20.56,9754300.0
2007-07-27,16.63,18.59,19.72,18.37,19.71,4562800.0
2007-07-30,16.14,18.05,18.59,17.32,18.5,8926900.0
2007-07-31,15.94,17.82,18.54,17.72,18.28,3582900.0
2007-08-01,16.41,18.35,18.65,17.18,18.0,7082200.0
2007-08-02,16.89,18.88,19.5,18.26,18.67,7427800.0
2007-08-03,16.73,18.7,19.17,18.19,18.88,3412800.0
2007-08-06,16.12,18.02,19.0,17.71,18.94,5659800.0
2007-08-07,16.5,18.45,18.77,17.85,17.85,2725000.0
2007-08-08,16.54,18.49,18.85,18.05,18.38,2724100.0
2007-08-09,15.98,17.87,18.13,17.65,18.04,3314300.0
2007-08-10,15.71,17.56,17.61,16.95,17.5,3903000.0
2007-08-13,15.46,17.29,18.05,17.18,17.65,2050800.0
2007-08-14,15.18,16.97,17.58,15.96,17.29,5720100.0
2007-08-15,14.09,15.75,16.95,15.02,16.85,3556000.0
2007-08-16,14.24,15.92,16.2,14.94,15.25,6312100.0
2007-08-17,14.31,16.0,16.6,15.02,16.55,4152000.0
2007-08-20,14.38,16.08,16.65,15.86,16.1,1933600.0
2007-08-21,15.84,17.71,17.83,15.95,16.01,5527200.0
2007-08-22,16.19,18.1,18.65,17.64,18.15,4715900.0
2007-08-23,16.1,18.0,18.15,17.55,18.0,2271300.0
2007-08-24,16.31,18.24,18.28,17.62,17.79,983600.0
2007-08-27,15.83,17.7,18.23,17.5,17.61,1321100.0
2007-08-28,15.52,17.35,17.68,17.23,17.55,1240500.0
2007-08-29,15.53,17.36,17.64,17.31,17.46,1092700.0
2007-08-30,15.19,16.98,17.3,16.82,17.05,1210500.0
2007-08-31,15.1,16.88,17.27,16.82,17.05,1239900.0
2007-09-04,15.68,17.53,17.68,16.97,17.04,1992800.0
2007-09-05,15.76,17.62,17.98,17.5,17.5,1847900.0
2007-09-06,16.16,18.07,18.3,17.26,17.75,2205500.0
2007-09-07,15.76,17.62,17.74,17.39,17.58,1533800.0
2007-09-10,15.6,17.44,17.99,17.26,17.73,2483400.0
2007-09-11,15.82,17.69,17.9,17.31,17.4,2066700.0
2007-09-12,15.34,17.15,17.65,17.06,17.65,2217800.0
2007-09-13,15.73,17.59,17.62,17.16,17.31,1365600.0
2007-09-14,15.79,17.65,17.7,17.27,17.34,873900.0
2007-09-17,15.34,17.15,17.67,17.11,17.57,939100.0
2007-09-18,15.61,17.45,17.56,16.87,17.35,1800800.0
2007-09-19,16.36,18.29,18.34,17.5,17.5,3484000.0
2007-09-20,15.85,17.72,18.18,17.64,18.17,1631700.0
2007-09-21,15.71,17.56,18.19,17.46,18.19,1767300.0
2007-09-24,14.34,16.03,17.57,16.01,17.52,5237600.0
2007-09-25,15.28,17.08,17.08,15.9,16.0,3470300.0
2007-09-26,15.98,17.87,17.95,16.95,17.15,4915600.0
