,Adj Close,Close,High,Low,Open,Volume
2007-01-03,42.31,57.32,57.87,56.92,56.93,5797300.0
2007-01-04,42.12,57.06,57.32,56.43,57.32,3914700.0
2007-01-05,41.72,56.52,56.93,56.38,56.89,3969000.0
2007-01-08,41.49,56.2,56.62,55.83,56.53,5062900.0
2007-01-09,41.38,56.06,56.43,55.62,56.23,3144300.0
2007-01-10,41.45,56.15,56.19,55.54,55.86,5235200.0
2007-01-11,42.06,56.97,57.0,56.28,56.5,3606800.0
2007-01-12,42.49,57.56,57.97,56.79,56.97,4235500.0
2007-01-16,42.63,57.76,58.35,57.43,57.47,4966700.0
2007-01-17,42.81,58.0,58.37,57.6,57.77,3637700.0
2007-01-18,43.01,58.27,58.68,57.97,58.0,3891700.0
2007-01-19,44.21,59.89,60.63,58.23,58.52,10459500.0
2007-01-22,43.83,59.38,60.63,59.09,60.63,3646100.0
2007-01-23,43.44,58.85,59.55,58.62,59.05,4674400.0
2007-01-24,44.19,59.86,59.86,58.7,58.94,3830500.0
2007-01-25,44.06,59.69,60.75,59.59,60.12,5906500.0
2007-01-26,43.81,59.35,59.71,58.51,59.45,3170100.0
2007-01-29,43.48,58.89,59.35,58.58,59.22,2969000.0
2007-01-30,43.33,58.7,59.17,58.25,58.94,3995500.0
2007-01-31,43.64,59.12,59.35,58.35,58.47,3707100.0
2007-02-01,43.74,59.25,59.71,59.04,59.07,2568300.0
2007-02-02,43.59,59.05,59.26,58.58,59.22,2724600.0
2007-02-05,43.34,58.71,59.73,58.5,59.17,5005400.0
2007-02-06,43.87,59.44,59.55,58.57,58.57,2934000.0
2007-02-07,43.96,59.55,59.88,59.38,59.42,2556400.0
2007-02-08,43.73,59.24,59.61,58.99,59.32,2466100.0
2007-02-09,44.15,59.81,59.85,59.11,59.18,3799100.0
2007-02-12,44.44,60.2,60.32,59.59,59.66,4409600.0
2007-02-13,44.86,60.77,61.17,60.39,60.49,4791800.0
2007-02-14,45.15,61.16,61.31,60.57,60.84,4012500.0
2007-02-15,45.74,61.97,61.98,61.2,61.2,4202800.0
2007-02-16,45.64,61.83,62.41,61.67,61.91,3919900.0
2007-02-20,45.58,61.74,61.84,61.27,61.57,2479300.0
2007-02-21,45.19,61.21,61.5,61.16,61.39,3379000.0
2007-02-22,45.18,61.2,61.8,60.83,61.34,3479000.0
2007-02-23,45.65,61.84,62.17,60.39,60.97,4352800.0
2007-02-26,47.27,64.03,67.26,63.71,66.07,26204700.0
2007-02-27,45.87,62.14,64.05,60.65,62.64,8127000.0
2007-02-28,46.0,62.31,62.77,61.49,62.3,5821200.0
2007-03-01,45.33,61.41,62.17,61.2,61.54,6072900.0
2007-03-02,44.5,60.29,61.61,60.02,61.21,5399600.0
2007-03-05,43.87,59.44,60.3,59.17,59.28,5769000.0
2007-03-06,44.57,60.38,60.65,59.96,60.03,4550600.0
2007-03-07,44.22,59.91,60.82,59.79,60.39,4661500.0
2007-03-08,44.86,60.77,61.0,60.26,60.46,3944000.0
2007-03-09,45.18,61.2,61.44,60.92,61.07,3243700.0
2007-03-12,46.11,62.47,62.67,61.84,62.08,5029800.0
2007-03-13,45.11,61.12,62.41,60.9,61.98,4974100.0
2007-03-14,45.58,61.74,62.24,60.97,61.98,7594100.0
2007-03-15,48.12,65.19,65.84,64.12,64.45,17598100.0
2007-03-16,47.54,64.4,65.29,64.05,65.29,10804300.0
2007-03-19,47.53,64.39,64.74,63.9,64.56,7946900.0
2007-03-20,47.91,64.9,65.53,64.0,64.62,7097000.0
2007-03-21,47.95,64.96,65.97,64.06,64.62,11169000.0
2007-03-22,47.69,64.6,65.13,63.59,64.72,8751300.0
2007-03-23,48.01,65.04,65.21,64.12,64.25,5941000.0
2007-03-26,49.46,67.01,67.26,64.67,64.94,8964600.0
2007-03-27,49.08,66.48,67.09,66.2,66.89,8275700.0
2007-03-28,48.97,65.97,66.35,65.41,66.35,6468600.0
2007-03-29,48.65,65.53,66.21,64.87,65.97,5768000.0
2007-03-30,48.46,65.27,66.03,64.33,64.4,4656200.0
2007-04-02,48.18,64.9,65.33,64.35,65.14,4327700.0
2007-04-03,48.14,64.84,65.61,64.74,65.11,5350100.0
2007-04-04,47.36,63.79,65.23,63.44,64.96,6728200.0
2007-04-05,46.99,63.29,63.63,62.6,63.48,4556400.0
2007-04-09,49.27,66.37,67.75,65.9,67.02,15730800.0
2007-04-10,48.09,64.77,65.81,64.26,65.81,7009600.0
2007-04-11,47.64,64.18,65.11,63.69,65.07,5728400.0
2007-04-12,48.6,65.47,66.32,64.7,65.61,12324500.0
2007-04-13,48.48,65.3,65.88,64.74,65.88,5296400.0
2007-04-16,48.54,65.39,65.54,64.76,65.31,4831900.0
2007-04-17,48.1,64.79,65.31,64.56,65.19,3743800.0
