,Adj Close,Close,High,Low,Open,Volume
2007-01-03,31.61,34.38,35.78,34.18,35.29,1657500.0
2007-01-04,31.23,33.97,34.88,33.12,33.5,2347500.0
2007-01-05,30.63,33.31,33.92,33.08,33.8,1691200.0
2007-01-08,30.54,33.22,33.3,32.78,33.2,1998700.0
2007-01-09,31.21,33.94,34.05,33.23,33.47,1498100.0
2007-01-10,31.2,33.93,34.12,33.65,33.76,1041000.0
2007-01-11,31.73,34.51,34.7,34.0,34.1,774100.0
2007-01-12,31.9,34.7,34.85,34.32,34.6,1171100.0
2007-01-16,31.46,34.22,34.64,34.11,34.61,822800.0
2007-01-17,30.95,33.66,34.19,33.53,34.09,1000300.0
2007-01-18,31.1,33.83,34.07,33.46,33.74,888200.0
2007-01-19,31.52,34.28,34.28,33.64,34.25,1141100.0
2007-01-22,30.89,33.6,34.47,33.48,34.47,1032900.0
2007-01-23,31.22,33.95,34.15,33.45,33.52,908800.0
2007-01-24,31.49,34.25,34.28,33.9,33.97,740500.0
2007-01-25,30.67,33.36,34.2,33.19,34.16,1179700.0
2007-01-26,30.51,33.18,33.35,33.1,33.3,1185000.0
2007-01-29,30.75,33.44,33.87,33.25,33.33,1182000.0
2007-01-30,30.94,33.65,33.83,33.47,33.52,999200.0
2007-01-31,31.57,34.34,34.53,33.49,33.5,833300.0
2007-02-01,32.08,34.89,35.0,34.25,34.4,998600.0
2007-02-02,32.16,34.98,35.2,34.78,34.91,854700.0
2007-02-05,32.0,34.8,35.12,34.75,34.98,795300.0
2007-02-06,32.38,35.22,35.27,34.83,34.89,590500.0
2007-02-07,32.09,34.9,35.42,34.84,35.21,800100.0
2007-02-08,32.65,35.51,35.69,34.45,34.65,1622700.0
2007-02-09,32.24,35.07,35.68,34.82,35.4,1045100.0
2007-02-12,31.84,34.63,35.19,34.63,35.0,904100.0
2007-02-13,32.51,35.36,35.38,34.63,34.7,627400.0
2007-02-14,32.54,35.39,35.5,35.04,35.3,555300.0
2007-02-15,32.78,35.65,35.72,35.25,35.44,681100.0
2007-02-16,32.52,35.37,35.7,35.12,35.6,757300.0
2007-02-20,32.93,35.82,36.1,35.41,35.46,823700.0
2007-02-21,32.68,35.54,35.8,35.31,35.64,707000.0
2007-02-22,32.29,35.12,35.66,34.72,35.66,795800.0
2007-02-23,32.18,35.0,35.39,34.71,35.13,770600.0
2007-02-26,32.15,34.97,35.24,34.74,35.1,896800.0
2007-02-27,30.3,32.95,34.05,32.95,34.0,2033100.0
2007-02-28,30.72,33.41,34.28,32.9,33.26,2406300.0
2007-03-01,30.47,33.14,33.44,32.32,32.79,1629100.0
2007-03-02,29.84,32.45,33.51,32.39,33.12,1011900.0
2007-03-05,29.15,31.7,32.41,31.55,32.0,1294900.0
2007-03-06,29.4,31.98,32.27,31.66,32.0,1034500.0
2007-03-07,29.41,31.99,32.37,31.83,31.92,1090300.0
2007-03-08,29.97,32.6,32.68,31.45,31.45,2095000.0
2007-03-09,30.39,33.05,33.09,32.44,32.85,1491300.0
2007-03-12,29.71,32.31,33.23,31.72,33.06,2578000.0
2007-03-13,29.64,32.24,32.67,31.99,32.22,2161200.0
2007-03-14,29.24,31.8,32.25,30.7,32.14,1849500.0
2007-03-15,29.51,32.1,32.29,31.74,31.74,1321400.0
