,Adj Close,Close,High,Low,Open,Volume
2007-01-03,28.18,38.37,38.93,37.65,38.05,2158200.0
2007-01-04,28.06,38.21,38.74,38.0,38.4,1413700.0
2007-01-05,28.18,38.37,38.95,37.98,38.36,897100.0
2007-01-08,28.61,38.95,39.09,38.14,38.26,2058900.0
2007-01-09,28.96,39.43,39.6,38.98,39.05,2001900.0
2007-01-10,29.03,39.53,39.65,38.98,39.25,2070100.0
2007-01-11,29.27,39.86,40.03,39.63,39.75,3079600.0
2007-01-12,29.73,40.48,40.59,39.85,39.95,2787000.0
2007-01-16,30.04,40.91,41.16,40.25,40.36,2693000.0
2007-01-17,29.94,40.77,41.53,40.42,40.97,3511600.0
2007-01-18,29.68,40.41,41.07,39.96,40.84,2349800.0
2007-01-19,29.41,40.05,40.53,39.92,40.25,1524200.0
2007-01-22,29.27,39.86,40.18,39.7,39.95,887500.0
2007-01-23,29.79,40.56,40.85,39.75,39.9,1652500.0
2007-01-24,30.1,40.99,41.0,40.27,40.6,1241600.0
2007-01-25,28.95,39.42,41.12,39.35,40.65,4903800.0
2007-01-26,28.94,39.41,39.6,38.7,39.46,1498200.0
2007-01-29,28.97,39.44,39.76,38.91,38.91,1374200.0
2007-01-30,28.71,39.09,39.54,38.95,39.45,1083600.0
2007-01-31,29.63,40.34,40.56,39.25,39.73,1711000.0
2007-02-01,29.18,39.73,40.53,39.64,40.3,1442000.0
2007-02-02,29.66,40.38,40.44,39.6,39.74,1316300.0
2007-02-05,30.11,41.0,41.23,40.46,40.97,2601500.0
2007-02-06,30.32,41.29,41.46,40.57,41.17,2142500.0
2007-02-07,30.9,42.07,42.51,41.44,41.52,2503900.0
2007-02-08,31.08,42.32,42.45,41.63,42.09,1196900.0
2007-02-09,30.54,41.58,42.44,41.54,42.44,1752900.0
2007-02-12,30.63,41.7,41.81,41.49,41.55,1335400.0
2007-02-13,30.93,42.12,42.41,41.68,41.69,1327800.0
2007-02-14,30.87,42.04,42.5,41.93,42.14,1246200.0
2007-02-15,30.85,42.0,42.1,41.76,42.02,1870700.0
2007-02-16,31.23,42.53,42.7,41.8,42.0,1816100.0
2007-02-20,31.7,43.17,43.38,42.78,42.95,2033800.0
2007-02-21,31.1,42.35,43.44,42.28,43.38,3083800.0
2007-02-22,31.17,42.44,42.51,42.17,42.47,1944500.0
2007-02-23,31.23,42.52,42.93,42.47,42.63,1564700.0
2007-02-26,31.19,42.47,42.9,42.24,42.75,1629800.0
2007-02-27,30.04,40.9,42.29,40.52,42.17,2902300.0
2007-02-28,29.82,40.6,41.0,40.0,40.36,2471100.0
2007-03-01,31.34,42.68,43.39,40.0,40.45,6641700.0
2007-03-02,30.71,41.82,42.57,41.82,42.03,2829700.0
2007-03-05,31.04,42.27,42.59,41.53,41.89,3123400.0
2007-03-06,31.62,43.05,43.09,42.18,42.4,2006100.0
2007-03-07,32.27,43.94,43.97,42.85,43.05,2671500.0
2007-03-08,32.63,44.43,44.55,44.05,44.13,4561300.0
2007-03-09,31.81,43.32,44.31,42.78,43.85,2973900.0
2007-03-12,32.52,44.28,44.29,43.32,43.58,2099800.0
2007-03-13,31.53,42.93,44.26,42.9,44.1,2217900.0
2007-03-14,31.21,42.5,42.78,41.87,42.71,3592500.0
2007-03-15,31.56,42.97,43.1,42.42,42.47,1895700.0
2007-03-16,31.36,42.7,43.0,42.35,42.95,1670500.0
2007-03-19,31.81,43.32,43.32,42.73,43.1,2045700.0
2007-03-20,31.83,43.34,43.46,42.88,43.2,1710400.0
2007-03-21,32.34,44.04,44.06,42.52,43.41,2730500.0
2007-03-22,32.44,44.17,44.28,43.65,44.1,2025100.0
2007-03-23,31.84,43.36,44.35,43.36,44.35,1379500.0
2007-03-26,31.65,43.09,43.7,42.62,43.27,1703200.0
2007-03-27,31.7,43.17,43.4,42.7,43.06,1143500.0
2007-03-28,31.41,42.77,43.27,42.4,43.04,1537600.0
2007-03-29,31.48,42.87,43.1,42.45,42.82,1879800.0
2007-03-30,31.9,43.43,43.56,43.06,43.06,1585800.0
2007-04-02,31.98,43.54,43.64,43.12,43.3,1662100.0
2007-04-03,32.34,44.04,44.53,43.74,43.74,2895900.0
2007-04-04,32.88,44.77,44.87,44.01,44.19,2039600.0
2007-04-05,32.84,44.71,44.95,44.55,44.85,2059600.0
2007-04-09,33.15,45.14,45.42,44.76,44.76,2079100.0
2007-04-10,33.71,45.9,46.15,44.89,45.24,2985500.0
2007-04-11,33.76,45.97,46.12,45.61,45.86,1955000.0
2007-04-12,33.95,46.23,46.26,45.42,45.74,1376900.0
2007-04-13,34.13,46.47,46.61,46.15,46.28,1356400.0
