,Adj Close,Close,High,Low,Open,Volume
2007-01-03,44.66,76.65,79.79,75.74,79.76,4385800.0
2007-01-04,44.28,75.99,77.7,75.49,76.51,6991000.0
2007-01-05,45.02,77.27,77.88,75.88,76.82,3908500.0
2007-01-08,44.51,76.38,78.74,75.82,78.22,5487400.0
2007-01-09,44.57,76.49,76.85,74.39,75.89,4157000.0
2007-01-10,43.29,74.3,79.34,74.08,76.49,5216900.0
2007-01-11,43.07,73.92,76.0,73.54,74.2,3735100.0
2007-01-12,44.76,76.82,77.19,74.12,74.15,4918000.0
2007-01-16,43.78,75.14,76.85,74.15,76.83,4411900.0
2007-01-17,44.62,76.58,77.01,75.13,75.14,3468700.0
2007-01-18,44.87,77.01,77.7,75.87,77.25,4887800.0
2007-01-19,46.15,79.21,79.21,77.13,77.91,3643700.0
2007-01-22,46.52,79.84,80.83,79.21,80.45,5100300.0
2007-01-23,47.3,81.17,81.84,80.2,80.33,3278300.0
2007-01-24,47.58,81.66,82.18,79.48,80.4,2680200.0
2007-01-25,47.41,81.36,82.56,80.71,81.66,3226400.0
2007-01-26,47.22,81.04,82.5,80.68,82.05,2403200.0
2007-01-29,47.02,80.69,82.38,80.27,81.7,3845200.0
2007-01-30,48.46,83.17,83.5,80.94,80.94,4202800.0
2007-01-31,49.2,84.44,84.71,82.5,83.52,7784400.0
2007-02-01,49.38,84.75,85.5,83.22,84.5,4321800.0
2007-02-02,49.28,84.58,85.35,83.18,85.02,3264300.0
2007-02-05,49.06,84.2,85.89,84.15,85.03,3620200.0
2007-02-06,49.09,84.25,85.32,83.04,84.95,3114800.0
2007-02-07,49.22,84.47,84.89,83.05,84.47,2669600.0
2007-02-08,50.83,87.23,87.9,84.47,86.5,5308300.0
2007-02-09,49.69,85.28,86.95,84.25,86.95,7250300.0
2007-02-12,48.35,78.97,81.15,77.76,81.04,4598300.0
2007-02-13,48.91,79.88,80.06,78.9,79.49,2441600.0
2007-02-14,49.08,80.15,80.77,79.15,80.75,3028200.0
2007-02-15,48.5,79.21,80.15,78.9,80.15,2393800.0
2007-02-16,48.12,78.59,79.5,78.37,79.14,1675900.0
2007-02-20,47.69,77.89,77.9,77.0,77.85,2386700.0
2007-02-21,48.62,79.4,79.5,76.75,78.2,3082700.0
2007-02-22,49.02,80.06,80.25,78.6,79.27,2680700.0
2007-02-23,48.89,79.84,81.1,79.6,80.45,1846300.0
2007-02-26,49.52,80.87,81.95,80.45,80.53,2371800.0
2007-02-27,47.89,78.22,80.6,76.99,79.0,2938900.0
2007-02-28,47.65,77.82,79.13,77.42,78.5,2662000.0
2007-03-01,47.38,77.38,77.95,75.47,75.83,3686400.0
2007-03-02,46.0,75.12,77.31,74.67,77.25,3862000.0
2007-03-05,45.1,73.65,75.35,73.5,73.94,3249900.0
2007-03-06,46.0,75.12,75.59,74.14,74.56,2141500.0
2007-03-07,46.55,76.03,77.38,75.02,75.14,2878800.0
2007-03-08,47.0,76.76,77.15,75.85,76.98,2483400.0
2007-03-09,46.94,76.66,77.45,75.87,77.0,2618600.0
2007-03-12,46.75,76.35,76.64,75.05,76.14,1857600.0
2007-03-13,46.42,75.82,77.82,75.3,76.66,2540200.0
2007-03-14,46.68,76.24,76.49,74.68,76.24,2700400.0
2007-03-15,46.81,76.45,76.85,75.32,75.99,1637000.0
2007-03-16,46.61,76.12,77.27,76.11,76.58,2359900.0
2007-03-19,48.02,78.42,78.76,77.2,77.2,2538000.0
2007-03-20,48.14,78.62,79.02,77.54,78.42,2565500.0
2007-03-21,48.92,79.9,81.0,78.91,79.14,3530300.0
2007-03-22,49.71,81.19,81.4,80.17,80.99,2334200.0
2007-03-23,49.84,81.4,81.98,80.53,81.26,1845900.0
2007-03-26,49.71,81.19,82.25,80.02,81.99,1714900.0
2007-03-27,49.55,80.92,81.35,80.07,80.43,1158200.0
2007-03-28,49.25,80.44,81.7,79.86,81.44,2179000.0
2007-03-29,50.36,82.25,82.66,80.59,81.16,3083900.0
2007-03-30,49.57,80.95,82.02,80.81,81.77,1409300.0
2007-04-02,50.34,82.22,82.44,80.78,80.95,1737900.0
2007-04-03,50.02,81.7,82.22,81.1,82.18,1764600.0
2007-04-04,50.23,82.04,82.36,80.63,81.0,1261900.0
2007-04-05,50.39,82.3,82.84,81.71,82.11,1220600.0
2007-04-09,50.02,81.69,83.3,81.47,82.3,1792500.0
2007-04-10,50.75,82.89,82.93,81.67,81.69,1296900.0
2007-04-11,50.18,81.96,83.03,81.67,82.71,1672200.0
2007-04-12,51.11,83.47,83.64,81.44,82.39,1650400.0
2007-04-13,51.13,83.5,84.27,83.15,83.48,1718600.0
2007-04-16,51.87,84.71,85.0,81.8,81.8,2590100.0
2007-04-17,50.72,82.83,85.13,82.41,84.74,2337200.0
2007-04-18,50.45,82.4,82.95,81.76,82.5,2658300.0
2007-04-19,49.88,81.47,82.16,81.11,82.04,1381700.0
2007-04-20,50.32,82.19,82.8,81.17,82.16,2014600.0
2007-04-23,50.55,82.55,83.6,82.53,82.63,2327400.0
2007-04-24,50.82,83.0,83.08,82.04,82.65,1437800.0
2007-04-25,52.35,85.5,85.9,83.47,84.11,2347000.0
2007-04-26,53.24,86.95,87.19,84.24,86.83,4033100.0
2007-04-27,53.85,87.94,88.46,85.75,86.71,3189700.0
2007-04-30,52.41,85.6,88.93,85.58,87.74,2864000.0
2007-05-01,52.99,86.54,87.05,83.79,85.61,3134600.0
2007-05-02,53.51,87.26,87.87,86.18,87.06,2441500.0
2007-05-03,53.93,87.95,88.5,86.57,87.0,1799800.0
2007-05-04,54.3,88.56,89.81,87.75,87.98,2364900.0
2007-05-07,53.78,87.71,88.43,87.13,87.86,1651400.0
2007-05-08,53.15,86.68,87.71,85.23,87.71,3067500.0
2007-05-09,53.3,86.92,87.76,85.18,86.69,2461800.0
2007-05-10,52.1,84.96,87.48,84.55,87.28,2320000.0
2007-05-11,53.59,87.39,87.66,85.28,85.8,1984700.0
2007-05-14,53.9,87.9,88.33,87.05,87.56,1949300.0
2007-05-15,54.54,88.94,89.85,87.72,87.9,2561400.0
2007-05-16,54.41,88.74,88.86,87.24,88.7,1977900.0
2007-05-17,56.7,92.47,92.77,88.91,89.27,4340300.0
2007-05-18,56.96,92.9,93.28,91.31,91.31,3113400.0
2007-05-21,57.74,94.17,95.29,93.07,93.25,3239200.0
2007-05-22,56.57,92.25,94.32,92.2,94.15,2575700.0
2007-05-23,57.17,93.24,94.48,92.14,92.25,2923500.0
2007-05-24,56.25,91.74,94.94,91.28,93.49,3443100.0
2007-05-25,57.26,93.38,93.68,92.44,93.16,1593000.0
2007-05-29,56.96,92.9,93.3,92.3,93.3,1657200.0
2007-05-30,58.25,95.0,95.0,92.07,92.75,1769600.0
2007-05-31,57.87,94.37,96.34,94.1,96.0,2343900.0
2007-06-01,57.93,94.47,95.33,94.13,94.6,1876100.0
2007-06-04,59.72,97.39,97.6,94.21,94.21,1913400.0
2007-06-05,59.05,96.3,97.05,95.58,96.75,3045800.0
2007-06-06,57.92,94.46,96.02,93.85,95.76,2402000.0
2007-06-07,56.66,92.4,94.44,92.0,93.87,2894700.0
2007-06-08,56.18,91.62,92.43,90.74,92.4,2920400.0
2007-06-11,57.43,93.66,94.3,91.6,91.77,2408700.0
2007-06-12,56.74,92.54,93.87,92.28,93.5,1763400.0
2007-06-13,57.78,94.23,94.66,93.13,93.18,2581900.0
2007-06-14,59.17,96.49,96.57,94.17,94.17,1906900.0
2007-06-15,60.84,99.22,99.93,97.77,97.77,2994300.0
2007-06-18,61.47,100.25,100.54,98.89,99.22,1972900.0
2007-06-19,62.17,101.39,102.68,99.51,100.2,2977100.0
2007-06-20,61.37,100.08,102.83,99.79,101.79,3609300.0
2007-06-21,64.27,104.82,105.93,101.15,101.99,4939500.0
2007-06-22,65.69,107.13,107.29,105.25,105.68,4743000.0
2007-06-25,63.6,103.72,106.18,103.3,104.6,3863600.0
2007-06-26,61.63,100.5,105.0,99.61,105.0,4181300.0
2007-06-27,62.94,102.64,102.64,98.41,100.0,3839700.0
2007-06-28,61.83,100.83,103.62,100.08,103.5,2319000.0
2007-06-29,62.28,101.56,102.93,101.0,102.0,1905600.0
2007-07-02,64.19,104.69,104.69,101.18,102.1,2269900.0
2007-07-03,64.18,104.67,105.37,104.3,104.73,699700.0
2007-07-05,64.13,104.59,106.45,103.15,105.16,2130300.0
2007-07-06,64.82,105.71,106.69,105.3,105.7,2298600.0
2007-07-09,64.49,105.17,106.6,104.55,106.3,1894000.0
2007-07-10,64.59,105.33,106.54,103.68,104.7,2675400.0
2007-07-11,63.5,103.56,104.5,102.4,102.9,3225700.0
2007-07-12,64.12,104.57,105.67,103.7,104.74,2366500.0
2007-07-13,64.09,104.52,105.35,102.83,104.12,1758600.0
2007-07-16,63.35,103.31,104.94,101.76,104.9,1896600.0
2007-07-17,62.36,101.7,104.23,101.03,104.23,1894700.0
2007-07-18,62.97,102.7,103.03,100.93,101.93,2186300.0
2007-07-19,64.72,105.54,107.28,103.34,107.28,2854100.0
2007-07-20,66.47,108.4,108.43,104.6,105.54,3453700.0
2007-07-23,69.31,113.04,114.72,110.46,113.0,5331500.0
2007-07-24,67.86,110.66,113.44,109.74,111.53,3617700.0
2007-07-25,67.6,110.25,112.37,107.8,112.0,3033300.0
2007-07-26,65.22,106.36,108.75,104.03,106.0,3763900.0
2007-07-27,63.32,103.27,107.87,103.0,106.83,2855800.0
2007-07-30,63.08,102.88,104.92,99.87,104.02,3185600.0
2007-07-31,63.27,103.18,106.25,102.77,104.02,2685100.0
2007-08-01,62.41,101.66,104.71,98.48,103.45,3771100.0
2007-08-02,61.51,100.19,102.86,99.03,101.81,2602800.0
2007-08-03,58.94,96.0,102.05,95.67,101.1,3295100.0
2007-08-06,58.05,94.55,97.45,91.28,95.88,4417900.0
2007-08-07,58.99,96.08,96.51,93.5,93.68,4236500.0
2007-08-08,59.27,96.55,98.34,95.85,96.5,3329200.0
2007-08-09,58.12,94.67,98.5,91.95,93.8,3232800.0
2007-08-10,59.18,96.39,97.02,92.2,93.77,3137600.0
2007-08-13,59.7,97.25,99.37,97.24,98.06,2211900.0
2007-08-14,58.64,95.51,98.46,94.66,98.15,3270800.0
2007-08-15,57.03,92.9,97.55,92.01,95.77,3101800.0
2007-08-16,56.01,91.23,91.82,86.06,91.41,4733300.0
2007-08-17,57.33,93.38,94.76,92.51,93.69,3041300.0
2007-08-20,57.1,93.0,93.84,90.81,93.73,2260900.0
2007-08-21,56.31,91.72,93.96,90.55,92.6,1850600.0
2007-08-22,58.81,95.79,96.64,92.73,93.35,2603700.0
2007-08-23,60.53,98.6,98.81,95.67,97.25,2362000.0
2007-08-24,61.85,100.74,101.22,98.32,98.67,2143400.0
2007-08-27,61.52,100.21,101.0,99.13,100.82,1488200.0
