,Adj Close,Close,High,Low,Open,Volume
2007-01-03,12.51,12.7,13.04,12.46,12.78,45536900.0
2007-01-04,13.1,13.3,13.36,12.82,12.83,44570100.0
2007-01-05,12.76,12.95,13.26,12.86,13.11,40998500.0
2007-01-08,12.31,12.5,13.06,12.31,12.82,65810600.0
2007-01-09,12.33,12.52,12.61,12.38,12.54,38138300.0
2007-01-10,12.15,12.33,12.51,12.28,12.42,55949800.0
2007-01-11,12.53,12.72,12.84,12.46,12.5,53479900.0
2007-01-12,12.44,12.63,12.81,12.6,12.72,39613300.0
2007-01-16,12.45,12.64,12.7,12.6,12.66,30471400.0
2007-01-17,12.42,12.61,12.83,12.6,12.62,43604300.0
2007-01-18,12.24,12.42,12.78,12.37,12.6,43153300.0
2007-01-19,12.3,12.48,12.62,12.35,12.37,59332700.0
2007-01-22,12.16,12.34,12.63,12.23,12.58,46486400.0
2007-01-23,11.87,12.05,12.39,12.04,12.3,48467500.0
2007-01-24,12.44,12.63,12.69,12.08,12.14,126184600.0
2007-01-25,13.45,13.66,14.23,13.47,14.14,224064400.0
2007-01-26,13.12,13.32,13.68,13.28,13.62,74767900.0
2007-01-29,13.27,13.47,13.57,13.22,13.26,70594500.0
2007-01-30,13.3,13.51,13.66,13.43,13.45,40133000.0
2007-01-31,13.43,13.63,13.76,13.3,13.5,52341600.0
2007-02-01,13.33,13.53,13.83,13.52,13.68,45939700.0
2007-02-02,13.43,13.64,13.76,13.48,13.55,40150300.0
2007-02-05,13.37,13.57,13.78,13.53,13.59,27701000.0
2007-02-06,13.62,13.83,13.89,13.54,13.64,42209600.0
2007-02-07,13.84,14.04,14.11,13.68,13.68,51752300.0
2007-02-08,13.92,14.13,14.18,13.86,14.06,36361800.0
2007-02-09,13.89,14.1,14.22,13.96,14.18,41848700.0
2007-02-12,13.6,13.8,14.05,13.77,13.99,24565200.0
2007-02-13,13.63,13.84,13.97,13.75,13.87,28618600.0
2007-02-14,13.88,14.09,14.15,13.84,13.87,28126800.0
2007-02-15,13.96,14.17,14.2,14.04,14.16,22803100.0
2007-02-16,13.94,14.15,14.22,14.11,14.19,24974100.0
2007-02-20,13.86,14.07,14.34,13.89,14.1,33912600.0
2007-02-21,13.89,14.1,14.23,13.94,14.0,32226600.0
2007-02-22,13.97,14.18,14.41,14.06,14.16,34830000.0
2007-02-23,14.09,14.31,14.34,14.1,14.14,32388600.0
2007-02-26,13.86,14.07,14.46,13.92,14.43,27678400.0
2007-02-27,13.27,13.47,13.99,13.47,13.86,53287500.0
2007-02-28,13.29,13.49,13.84,13.0,13.5,56757100.0
2007-03-01,13.24,13.44,13.66,12.94,13.21,52677500.0
2007-03-02,12.78,12.98,13.5,12.97,13.24,42530800.0
2007-03-05,12.59,12.78,13.06,12.75,12.81,35496000.0
2007-03-06,12.99,13.19,13.23,12.9,12.93,36186700.0
2007-03-07,12.87,13.06,13.26,13.01,13.17,29513900.0
2007-03-08,12.86,13.06,13.32,13.0,13.23,31842400.0
2007-03-09,12.78,12.97,13.2,12.92,13.14,28316900.0
2007-03-12,12.85,13.05,13.13,12.96,12.97,21786200.0
2007-03-13,12.61,12.8,13.09,12.78,13.0,34636100.0
2007-03-14,12.91,13.11,13.11,12.73,12.78,39843600.0
2007-03-15,13.16,13.36,13.51,13.28,13.33,50289900.0
2007-03-16,13.16,13.36,13.48,13.24,13.33,36576600.0
2007-03-19,13.15,13.35,13.67,13.26,13.49,27124600.0
2007-03-20,13.06,13.26,13.4,13.11,13.38,31953600.0
2007-03-21,13.33,13.54,13.54,13.11,13.3,45520100.0
2007-03-22,13.42,13.62,13.74,13.45,13.51,26137100.0
2007-03-23,13.2,13.4,13.7,13.33,13.68,26144500.0
2007-03-26,13.77,13.98,14.02,13.4,13.48,51664400.0
2007-03-27,13.82,14.03,14.1,13.87,13.95,33344300.0
2007-03-28,13.73,13.94,14.17,13.91,13.91,34754400.0
2007-03-29,13.7,13.91,14.08,13.72,14.05,27040000.0
2007-03-30,13.74,13.95,14.08,13.84,13.92,25592600.0
2007-04-02,13.68,13.89,14.09,13.79,13.96,21960600.0
2007-04-03,14.01,14.23,14.42,13.99,14.04,38016200.0
2007-04-04,13.98,14.19,14.35,14.15,14.29,27284000.0
2007-04-05,13.98,14.19,14.41,14.12,14.39,28696100.0
2007-04-09,13.99,14.2,14.27,14.14,14.2,37123800.0
2007-04-10,14.09,14.31,14.34,14.16,14.18,20444000.0
2007-04-11,13.94,14.15,14.34,14.08,14.3,25562600.0
2007-04-12,14.12,14.33,14.34,14.13,14.18,27878500.0
2007-04-13,14.42,14.64,14.68,14.37,14.38,42291600.0
2007-04-16,14.55,14.77,14.9,14.59,14.73,37353800.0
2007-04-17,14.59,14.81,14.88,14.68,14.84,25848700.0
2007-04-18,14.28,14.5,14.73,14.41,14.73,84319900.0
2007-04-19,13.76,13.97,14.73,13.87,14.67,124999900.0
2007-04-20,13.9,14.11,14.2,13.99,14.2,57981000.0
2007-04-23,13.9,14.11,14.28,14.02,14.05,34936900.0
2007-04-24,14.0,14.21,14.25,13.94,14.03,32010100.0
2007-04-25,14.0,14.21,14.37,14.16,14.32,37671700.0
2007-04-26,14.19,14.4,14.49,14.2,14.25,27817900.0
2007-04-27,14.17,14.38,14.55,14.24,14.26,31399000.0
2007-04-30,14.07,14.28,14.51,14.26,14.49,32223500.0
2007-05-01,13.87,14.08,14.34,13.88,14.34,35246500.0
2007-05-02,13.98,14.19,14.26,14.09,14.17,19900400.0
2007-05-03,14.35,14.57,14.63,14.16,14.23,42346900.0
2007-05-04,14.16,14.37,14.89,14.33,14.74,42394200.0
2007-05-07,14.09,14.3,14.57,14.27,14.38,23948600.0
2007-05-08,14.24,14.45,14.52,14.24,14.24,27254300.0
2007-05-09,14.51,14.73,14.76,14.4,14.45,28827500.0
2007-05-10,14.04,14.25,14.68,14.22,14.62,27383100.0
2007-05-11,14.18,14.39,14.47,14.23,14.32,20612900.0
2007-05-14,14.06,14.28,14.62,14.1,14.56,31182600.0
2007-05-15,13.89,14.1,14.47,14.07,14.34,27926000.0
2007-05-16,13.79,13.99,14.21,13.72,14.14,43500000.0
2007-05-17,13.67,13.88,14.1,13.84,14.01,23458200.0
2007-05-18,13.56,13.76,14.03,13.72,13.93,41476400.0
2007-05-21,13.54,13.75,13.95,13.7,13.76,27816300.0
2007-05-22,13.71,13.91,13.95,13.7,13.76,25198100.0
2007-05-23,13.63,13.84,14.14,13.81,13.94,30715200.0
2007-05-24,13.56,13.77,14.13,13.7,13.86,39142400.0
2007-05-25,13.54,13.74,13.88,13.72,13.82,18252400.0
2007-05-29,13.44,13.64,13.78,13.51,13.53,26890600.0
2007-05-30,13.77,13.98,13.99,13.5,13.55,39917500.0
2007-05-31,13.5,13.7,14.07,13.64,14.05,35894700.0
2007-06-01,13.38,13.58,13.77,13.57,13.75,24012000.0
2007-06-04,13.49,13.7,13.72,13.5,13.52,26502800.0
2007-06-05,13.14,13.34,13.7,13.3,13.64,45259400.0
2007-06-06,12.92,13.12,13.33,13.06,13.3,39990200.0
2007-06-07,12.69,12.88,13.25,12.87,13.05,39715500.0
2007-06-08,13.03,13.22,13.28,12.8,12.8,36759300.0
2007-06-11,13.06,13.25,13.32,13.14,13.24,22504500.0
2007-06-12,12.84,13.03,13.27,13.01,13.14,36540700.0
2007-06-13,13.05,13.25,13.29,12.98,13.05,43690600.0
2007-06-14,13.11,13.3,13.46,13.25,13.31,31202800.0
2007-06-15,13.28,13.48,13.55,13.39,13.46,38456200.0
2007-06-18,13.12,13.32,13.57,13.21,13.52,27867300.0
2007-06-19,13.01,13.2,13.36,13.12,13.3,31400500.0
2007-06-20,12.9,13.1,13.32,13.09,13.26,27676500.0
2007-06-21,12.91,13.1,13.21,13.01,13.06,39348400.0
2007-06-22,13.17,13.37,13.65,13.33,13.34,68456100.0
2007-06-25,13.25,13.45,13.57,13.34,13.4,31470800.0
2007-06-26,13.12,13.32,13.53,13.21,13.47,28386300.0
2007-06-27,13.3,13.5,13.53,13.21,13.22,24248000.0
2007-06-28,13.25,13.45,13.61,13.44,13.53,28998300.0
2007-06-29,13.34,13.54,13.62,13.39,13.47,24625800.0
2007-07-02,13.4,13.61,13.75,13.55,13.58,21424300.0
2007-07-03,13.33,13.53,13.7,13.49,13.65,12588900.0
2007-07-05,13.38,13.58,13.59,13.41,13.59,16181900.0
2007-07-06,13.84,14.05,14.28,13.54,13.59,39727100.0
2007-07-09,13.94,14.15,14.2,13.97,14.07,33957500.0
2007-07-10,13.64,13.85,14.12,13.84,14.06,23362200.0
2007-07-11,13.93,14.14,14.15,13.74,13.8,35484600.0
2007-07-12,14.19,14.41,14.42,14.04,14.18,44701800.0
2007-07-13,14.08,14.29,14.41,14.1,14.41,34219600.0
2007-07-16,14.26,14.47,14.56,14.15,14.24,36494600.0
2007-07-17,14.2,14.41,14.51,14.4,14.5,24115600.0
2007-07-18,14.12,14.33,14.51,14.25,14.41,69603400.0
2007-07-19,13.89,14.1,14.18,13.78,14.16,89015800.0
2007-07-20,13.9,14.11,14.18,13.99,14.07,61522400.0
