,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.53,40.01,40.53,39.86,40.5,1097900.0
2007-01-04,34.83,40.36,40.5,39.68,40.08,491200.0
2007-01-05,34.29,39.74,40.29,39.62,40.29,716700.0
2007-01-08,34.41,39.88,39.95,39.37,39.8,529900.0
2007-01-09,34.28,39.73,40.13,39.6,39.97,453500.0
2007-01-10,34.36,39.82,39.91,39.44,39.69,527900.0
2007-01-11,34.39,39.85,39.93,39.53,39.74,576100.0
2007-01-12,34.56,40.05,40.06,39.64,39.98,722700.0
2007-01-16,34.73,40.25,40.4,40.01,40.09,491000.0
2007-01-17,35.06,40.63,40.75,40.25,40.36,499400.0
2007-01-18,34.84,40.37,41.35,40.32,41.35,501900.0
2007-01-19,35.0,40.56,40.56,40.2,40.46,647400.0
2007-01-22,35.1,40.68,40.76,40.32,40.5,525000.0
2007-01-23,35.05,40.62,40.8,40.48,40.65,436600.0
2007-01-24,35.19,40.78,40.84,40.54,40.68,494000.0
2007-01-25,34.92,40.47,40.89,40.39,40.87,466300.0
2007-01-26,34.56,40.05,40.5,39.86,40.47,573100.0
2007-01-29,34.93,40.48,40.78,39.89,40.0,576900.0
2007-01-30,34.98,40.54,40.65,40.27,40.58,356800.0
2007-01-31,35.84,41.53,41.64,40.2,40.5,764300.0
2007-02-01,34.91,40.45,41.95,40.38,41.58,935900.0
2007-02-02,35.42,41.05,41.17,40.45,40.45,732800.0
2007-02-05,35.16,40.75,41.1,40.6,41.0,416400.0
2007-02-06,35.3,40.91,40.96,40.56,40.76,359500.0
2007-02-07,35.57,41.22,41.28,40.92,40.92,410300.0
2007-02-08,35.9,41.6,41.72,41.21,41.22,596700.0
2007-02-09,35.9,41.6,41.82,41.46,41.57,571400.0
2007-02-12,35.92,41.62,41.8,41.54,41.67,388100.0
2007-02-13,35.98,41.69,41.84,41.62,41.65,330200.0
2007-02-14,36.17,41.91,42.0,41.69,41.69,273100.0
2007-02-15,34.2,39.63,41.26,38.89,40.73,4551600.0
2007-02-16,34.28,39.73,39.87,39.32,39.56,1277700.0
2007-02-20,34.83,40.32,40.48,39.56,39.73,1166100.0
2007-02-21,34.6,40.05,40.25,39.75,40.25,631700.0
2007-02-22,34.6,40.05,40.3,39.9,40.03,554400.0
2007-02-23,34.15,39.53,40.0,39.26,40.0,898400.0
2007-02-26,33.56,38.85,39.49,38.84,39.45,970900.0
2007-02-27,32.53,37.66,38.7,37.46,38.7,1580900.0
2007-02-28,33.41,38.68,38.92,37.68,37.88,2042700.0
2007-03-01,33.36,38.62,38.68,38.0,38.48,1501100.0
2007-03-02,32.59,37.73,38.64,37.68,38.43,918400.0
2007-03-05,31.55,36.52,37.65,35.91,37.53,1194700.0
2007-03-06,32.19,37.27,37.38,36.8,36.92,1495100.0
2007-03-07,32.11,37.17,37.35,36.9,37.12,511200.0
2007-03-08,32.38,37.49,37.59,37.21,37.4,641500.0
2007-03-09,32.19,37.26,37.71,37.04,37.6,585900.0
2007-03-12,32.19,37.27,37.45,37.07,37.19,862100.0
2007-03-13,31.86,36.88,37.24,36.71,37.18,971200.0
2007-03-14,31.86,36.88,37.08,36.26,37.0,1246100.0
2007-03-15,31.92,36.95,37.24,36.89,36.93,546200.0
2007-03-16,31.93,36.97,37.24,36.78,37.07,947100.0
2007-03-19,31.98,37.02,37.25,36.88,37.1,694400.0
2007-03-20,31.98,37.02,37.22,36.94,37.09,576800.0
2007-03-21,32.16,37.23,37.38,36.89,37.12,909300.0
2007-03-22,32.61,37.75,37.82,37.09,37.13,989700.0
2007-03-23,32.62,37.76,37.94,37.55,37.62,838000.0
2007-03-26,32.52,37.65,37.9,37.44,37.7,818800.0
2007-03-27,32.31,37.4,37.45,37.22,37.42,729600.0
2007-03-28,31.68,36.67,37.35,36.56,37.35,926200.0
2007-03-29,31.57,36.55,36.9,36.34,36.87,618200.0
2007-03-30,31.49,36.45,36.84,36.14,36.57,895000.0
2007-04-02,32.06,37.12,37.25,36.5,36.5,777900.0
2007-04-03,32.36,37.46,37.5,37.05,37.13,693600.0
2007-04-04,32.0,37.05,37.52,36.98,37.41,529500.0
2007-04-05,32.08,37.14,37.17,36.96,36.97,333700.0
2007-04-09,32.2,37.28,37.3,37.12,37.22,341100.0
2007-04-10,32.26,37.35,37.51,37.3,37.35,583300.0
2007-04-11,32.17,37.24,37.33,37.18,37.3,917600.0
2007-04-12,32.49,37.61,37.75,37.25,37.33,1176400.0
2007-04-13,32.5,37.62,37.75,37.45,37.62,1027500.0
2007-04-16,32.83,38.01,38.1,37.68,37.68,700600.0
2007-04-17,33.02,38.23,38.37,37.69,37.89,915900.0
2007-04-18,33.16,38.39,38.5,38.0,38.27,871600.0
2007-04-19,33.41,38.68,39.08,38.17,38.27,1179200.0
2007-04-20,34.06,39.43,39.5,39.02,39.15,1421600.0
2007-04-23,34.07,39.44,40.21,39.04,40.0,904800.0
2007-04-24,35.04,40.57,40.97,39.49,39.49,1918600.0
2007-04-25,35.2,40.75,40.88,40.2,40.61,1319700.0
2007-04-26,34.82,40.31,40.84,40.15,40.82,900800.0
2007-04-27,34.66,40.12,40.25,39.93,40.25,593100.0
2007-04-30,34.38,39.8,40.28,39.73,40.09,741600.0
2007-05-01,34.71,40.18,40.26,39.8,40.02,957200.0
2007-05-02,34.81,40.3,40.39,40.0,40.1,554900.0
2007-05-03,35.23,40.79,40.79,40.3,40.3,823200.0
