,Adj Close,Close,High,Low,Open,Volume
2007-01-03,27.25,27.25,27.8,27.02,27.6,1497900.0
2007-01-04,27.23,27.23,27.45,26.91,27.18,1080400.0
2007-01-05,28.7,28.7,28.76,27.2,27.25,2508100.0
2007-01-08,28.85,28.85,29.24,28.14,28.56,2444700.0
2007-01-09,29.48,29.48,30.23,29.28,29.53,2397000.0
2007-01-10,29.62,29.62,29.77,28.92,29.12,1233600.0
2007-01-11,29.15,29.15,29.67,28.99,29.67,1701500.0
2007-01-12,29.0,29.0,29.51,28.61,29.21,2257200.0
2007-01-16,28.83,28.83,29.27,28.64,29.0,851200.0
2007-01-17,29.19,29.19,29.75,28.06,28.83,3260500.0
2007-01-18,29.73,29.73,29.81,29.06,29.06,1085400.0
2007-01-19,29.86,29.86,30.0,29.65,29.72,1498500.0
2007-01-22,29.68,29.68,29.94,29.56,29.78,869900.0
2007-01-23,30.09,30.09,30.11,29.51,29.61,909200.0
2007-01-24,30.3,30.3,30.33,29.84,30.12,1044000.0
2007-01-25,30.6,30.6,30.68,30.08,30.17,938500.0
2007-01-26,30.15,30.15,30.58,29.96,30.56,992400.0
2007-01-29,30.38,30.38,30.44,30.04,30.08,727000.0
2007-01-30,30.47,30.47,30.52,30.03,30.36,816900.0
2007-01-31,30.72,30.72,30.73,30.21,30.28,584000.0
2007-02-01,31.12,31.12,31.8,30.85,31.03,1869300.0
2007-02-02,30.55,30.55,31.06,30.47,31.06,1096000.0
2007-02-05,30.96,30.96,30.96,30.53,30.55,552900.0
2007-02-06,30.65,30.65,30.94,30.52,30.94,969300.0
2007-02-07,30.73,30.73,31.11,30.47,30.67,841400.0
2007-02-08,30.81,30.81,30.98,30.5,30.78,774900.0
2007-02-09,30.55,30.55,30.96,30.5,30.91,453700.0
2007-02-12,30.65,30.65,31.03,30.42,30.5,703000.0
2007-02-13,30.45,30.45,30.65,30.29,30.63,648500.0
2007-02-14,29.98,29.98,30.86,29.97,30.42,1055200.0
2007-02-15,30.39,30.39,30.47,29.83,29.89,781700.0
2007-02-16,30.83,30.83,30.9,30.3,30.3,787400.0
2007-02-20,30.75,30.75,31.34,30.69,30.9,946600.0
2007-02-21,30.55,30.55,30.98,30.44,30.74,625900.0
2007-02-22,32.4,32.4,32.63,31.24,31.42,1929100.0
2007-02-23,32.07,32.07,32.36,31.64,32.25,1030200.0
2007-02-26,31.78,31.78,32.11,31.77,32.0,822200.0
2007-02-27,31.6,31.6,32.1,31.49,31.51,1605700.0
2007-02-28,31.21,31.21,31.88,31.11,31.55,1305200.0
2007-03-01,30.63,30.63,31.16,30.5,30.81,1418800.0
2007-03-02,29.95,29.95,30.83,29.87,30.47,924900.0
2007-03-05,29.64,29.64,30.1,29.53,29.88,1422900.0
2007-03-06,29.75,29.75,30.12,29.46,30.05,1508200.0
2007-03-07,29.67,29.67,30.16,29.55,29.86,885700.0
2007-03-08,30.08,30.08,30.21,29.85,29.91,782100.0
2007-03-09,29.84,29.84,30.14,29.73,30.14,361900.0
2007-03-12,29.84,29.84,30.03,29.68,29.76,508100.0
2007-03-13,29.22,29.22,29.93,29.17,29.65,693600.0
2007-03-14,29.05,29.05,29.51,28.67,29.16,638000.0
2007-03-15,28.39,28.39,29.39,27.67,29.0,3528200.0
2007-03-16,28.38,28.38,28.61,28.04,28.15,1529400.0
2007-03-19,29.36,29.36,29.38,28.33,28.55,1685600.0
2007-03-20,29.41,29.41,29.54,29.17,29.24,636000.0
2007-03-21,29.42,29.42,29.61,29.02,29.55,810500.0
2007-03-22,29.24,29.24,29.61,29.22,29.41,648100.0
2007-03-23,28.99,28.99,29.5,28.93,29.28,723600.0
2007-03-26,29.24,29.24,29.3,29.0,29.05,724000.0
2007-03-27,29.24,29.24,29.31,28.73,29.28,625800.0
2007-03-28,29.44,29.44,29.48,29.02,29.16,1139300.0
2007-03-29,29.63,29.63,29.83,29.42,29.58,746100.0
2007-03-30,29.4,29.4,29.73,29.32,29.51,820300.0
2007-04-02,28.98,28.98,29.79,28.94,29.52,1070600.0
2007-04-03,29.52,29.52,29.68,29.09,29.1,1424400.0
2007-04-04,29.98,29.98,30.07,29.59,29.61,1044000.0
2007-04-05,30.53,30.53,30.55,29.91,30.03,876400.0
2007-04-09,30.66,30.66,30.92,30.42,30.6,883800.0
2007-04-10,30.73,30.73,30.86,30.34,30.72,712600.0
2007-04-11,30.31,30.31,30.74,30.12,30.66,607300.0
2007-04-12,30.99,30.99,31.0,30.24,30.24,517500.0
