,Adj Close,Close,High,Low,Open,Volume
2007-01-03,27.75,30.33,31.74,29.6,30.91,11005800.0
2007-01-04,27.77,30.35,30.93,29.88,30.86,11306200.0
2007-01-05,28.68,31.34,31.5,30.45,30.65,13043600.0
2007-01-08,28.48,31.12,32.0,30.65,31.93,8059600.0
2007-01-09,28.11,30.73,30.94,30.06,30.5,10820800.0
2007-01-10,27.9,30.49,30.81,30.01,30.62,7194400.0
2007-01-11,27.43,29.98,31.04,29.85,31.03,9170600.0
2007-01-12,28.52,31.14,31.22,29.99,30.0,7472000.0
2007-01-16,28.41,31.01,31.55,30.75,31.06,6056600.0
2007-01-17,28.47,31.08,31.41,30.87,30.95,6105000.0
2007-01-18,28.26,30.85,31.35,30.6,31.25,4997000.0
2007-01-19,29.64,32.37,32.44,31.07,31.2,6780000.0
2007-01-22,29.74,32.47,33.22,32.19,32.75,8496400.0
2007-01-23,30.91,33.74,34.06,32.76,32.78,7264200.0
2007-01-24,30.85,33.68,33.71,32.85,33.42,5309800.0
2007-01-25,29.75,32.48,33.54,32.39,33.54,6689200.0
2007-01-26,30.03,32.78,33.13,32.54,32.8,4264000.0
2007-01-29,29.78,32.51,33.74,32.47,33.08,5342000.0
2007-01-30,31.17,34.03,34.24,32.51,32.51,7449400.0
2007-01-31,31.66,34.56,34.88,33.17,33.35,8264800.0
2007-02-01,31.87,34.79,34.97,34.05,34.75,10007600.0
2007-02-02,31.46,34.35,34.77,34.02,34.71,5581200.0
2007-02-05,31.12,33.97,34.87,33.93,34.43,5881000.0
2007-02-06,30.75,33.57,34.47,33.35,34.46,5581400.0
2007-02-07,30.48,33.28,33.85,32.98,33.58,4512000.0
2007-02-08,30.51,33.31,33.4,32.78,33.28,6008800.0
2007-02-09,30.49,33.28,33.81,33.14,33.42,3502000.0
2007-02-12,29.79,32.52,33.08,32.2,32.83,4772600.0
2007-02-13,30.12,32.88,33.08,32.54,32.99,5973600.0
2007-02-14,30.28,33.06,33.33,32.8,32.99,4305600.0
2007-02-15,30.13,32.9,33.05,32.35,32.9,5802600.0
2007-02-16,30.68,33.5,33.76,32.96,32.97,6502800.0
2007-02-20,30.41,33.2,33.31,33.0,33.2,4883800.0
2007-02-21,30.82,33.65,33.81,32.91,33.31,4177400.0
2007-02-22,31.38,34.26,34.4,33.67,33.86,5587200.0
2007-02-23,31.08,33.93,34.58,33.73,34.51,3750400.0
2007-02-26,31.87,34.79,34.88,34.13,34.2,5483800.0
2007-02-27,30.96,33.8,34.91,33.38,33.99,5900400.0
2007-02-28,31.02,33.87,34.15,33.33,33.88,5409600.0
2007-03-01,30.71,33.53,33.97,32.99,33.19,5433000.0
2007-03-02,30.19,32.96,33.61,32.85,33.42,4252000.0
2007-03-05,29.68,32.4,32.92,32.0,32.38,5663800.0
2007-03-06,30.32,33.1,33.1,32.61,32.8,5358400.0
2007-03-07,30.78,33.6,34.15,32.92,33.09,5459200.0
2007-03-08,30.67,33.49,33.99,33.31,33.78,4149000.0
2007-03-09,30.64,33.46,33.88,33.26,33.69,2607800.0
2007-03-12,30.28,33.06,33.24,32.88,33.19,3912600.0
2007-03-13,30.17,32.94,34.01,32.85,33.04,5643200.0
2007-03-14,30.86,33.69,33.71,32.8,33.22,5077800.0
2007-03-15,30.56,33.37,33.8,33.28,33.6,2961400.0
2007-03-16,30.06,32.82,33.53,32.65,33.45,5571600.0
