,Adj Close,Close,High,Low,Open,Volume
2007-01-03,62.62,75.38,77.69,75.27,76.0,506500.0
2007-01-04,64.13,77.2,77.6,71.95,74.22,933400.0
2007-01-05,63.28,76.17,77.0,74.73,76.69,378000.0
2007-01-08,63.13,75.99,76.32,75.27,76.19,282600.0
2007-01-09,64.95,78.18,78.74,75.42,76.11,398500.0
2007-01-10,66.33,79.85,80.43,77.6,77.9,514000.0
2007-01-11,68.43,82.37,84.38,79.35,79.4,740000.0
2007-01-12,68.06,81.93,82.5,81.44,82.5,351800.0
2007-01-16,68.18,82.07,82.48,81.75,82.01,959800.0
2007-01-17,67.79,81.6,81.98,80.87,81.9,391900.0
2007-01-18,66.08,79.54,81.33,78.01,81.0,580400.0
2007-01-19,68.96,83.01,83.34,79.54,79.54,480800.0
2007-01-22,67.92,81.76,82.71,80.9,82.68,549100.0
2007-01-23,68.94,82.99,84.28,81.35,81.55,416800.0
2007-01-24,68.97,83.02,83.95,82.91,83.29,457700.0
2007-01-25,68.41,82.35,83.55,81.71,83.19,373300.0
2007-01-26,67.86,81.69,82.73,81.01,82.34,328600.0
2007-01-29,68.08,81.95,83.15,81.44,81.54,317000.0
2007-01-30,69.42,83.57,84.81,82.05,82.14,350800.0
2007-01-31,69.84,84.07,84.94,83.08,83.99,617400.0
2007-02-01,69.12,83.2,85.62,83.18,84.15,386000.0
2007-02-02,69.08,83.16,84.41,83.08,83.45,401200.0
2007-02-05,68.69,82.69,83.99,82.52,83.02,265500.0
2007-02-06,68.18,82.07,83.26,81.35,83.24,299700.0
2007-02-07,70.28,84.6,84.8,81.71,82.35,423500.0
2007-02-08,67.16,80.84,86.25,80.55,84.15,890800.0
2007-02-09,66.52,80.08,81.8,78.55,81.0,669600.0
2007-02-12,66.55,80.11,80.18,79.13,80.1,331300.0
2007-02-13,69.41,83.55,83.74,80.24,80.37,650300.0
2007-02-14,71.85,86.49,87.72,82.98,83.21,1239700.0
2007-02-15,71.46,86.02,87.41,85.0,86.55,358400.0
2007-02-16,72.27,87.0,87.14,84.74,86.02,281100.0
2007-02-20,72.53,87.31,87.78,85.6,86.7,400900.0
2007-02-21,72.42,87.18,87.63,85.71,86.86,496100.0
2007-02-22,73.4,88.36,88.68,86.95,87.1,550500.0
2007-02-23,73.59,88.59,88.83,87.9,88.46,513500.0
2007-02-26,73.57,88.56,88.76,87.63,88.61,410500.0
2007-02-27,70.06,84.34,87.81,83.65,87.81,888100.0
2007-02-28,68.68,82.67,85.15,81.53,84.54,888500.0
2007-03-01,69.07,83.14,83.24,80.31,81.22,588300.0
2007-03-02,66.77,80.38,83.1,80.25,82.32,569100.0
2007-03-05,65.72,79.11,81.76,79.02,80.18,460800.0
2007-03-06,68.83,82.86,83.06,79.74,79.97,602700.0
2007-03-07,67.56,81.33,83.98,81.09,82.91,448900.0
2007-03-08,69.51,83.68,85.22,81.89,81.89,553200.0
2007-03-09,69.13,83.22,84.78,82.61,84.5,197000.0
2007-03-12,68.83,82.85,83.79,82.54,82.92,188000.0
2007-03-13,67.37,81.1,83.2,80.55,82.25,439700.0
2007-03-14,68.11,81.99,82.41,79.68,80.98,490800.0
2007-03-15,69.02,83.09,83.11,81.14,82.09,406300.0
2007-03-16,67.75,81.56,83.74,81.26,83.08,470500.0
2007-03-19,70.2,84.5,84.84,81.83,82.25,431500.0
2007-03-20,71.93,86.59,86.61,84.18,84.5,456200.0
2007-03-21,73.58,88.57,88.75,85.45,86.78,311700.0
2007-03-22,74.46,89.63,90.12,87.11,88.78,496100.0
2007-03-23,74.63,89.84,90.28,88.93,89.79,361500.0
2007-03-26,74.76,90.0,90.25,87.99,89.98,443000.0
2007-03-27,71.59,86.18,88.63,86.0,87.31,909000.0
2007-03-28,70.95,85.41,85.82,83.9,85.38,1618700.0
2007-03-29,71.3,85.83,86.48,84.8,86.0,610900.0
2007-03-30,71.13,85.63,86.89,84.36,85.89,514800.0
2007-04-02,71.33,85.87,86.47,85.15,85.98,324300.0
2007-04-03,71.94,86.6,87.34,85.88,86.05,576800.0
2007-04-04,72.07,86.76,87.05,86.03,86.74,351100.0
2007-04-05,73.06,87.95,88.24,86.52,86.52,205800.0
2007-04-09,73.84,88.89,89.57,88.03,88.07,243800.0
2007-04-10,74.18,89.3,89.67,88.5,88.75,346000.0
2007-04-11,73.12,88.02,89.64,88.02,89.64,232400.0
2007-04-12,73.73,88.75,88.82,86.91,88.27,440500.0
2007-04-13,73.29,88.22,88.7,87.67,88.53,327100.0
2007-04-16,73.93,89.0,90.53,88.6,89.05,329000.0
2007-04-17,73.7,88.72,89.59,88.33,88.84,365200.0
2007-04-18,72.55,87.33,88.56,87.15,88.5,337600.0
2007-04-19,71.02,85.49,87.28,85.41,87.26,370000.0
2007-04-20,71.17,85.67,86.99,85.19,85.8,347900.0
2007-04-23,72.32,87.06,87.23,85.44,85.44,168200.0
2007-04-24,72.72,87.54,88.3,86.0,87.12,415200.0
2007-04-25,71.56,86.14,87.76,85.84,87.76,434300.0
2007-04-26,72.49,87.26,90.6,85.97,85.97,966400.0
2007-04-27,73.51,88.49,91.54,86.44,86.87,1038300.0
2007-04-30,69.34,83.47,88.96,83.25,88.96,1066100.0
2007-05-01,68.87,82.9,83.82,80.29,83.27,1189600.0
2007-05-02,69.54,83.71,84.11,82.24,83.04,997200.0
2007-05-03,70.12,84.41,85.0,83.37,83.37,462000.0
2007-05-04,68.81,82.83,84.74,82.1,84.68,669000.0
2007-05-07,67.8,81.61,83.02,80.7,83.02,544700.0
2007-05-08,67.6,81.37,81.85,80.6,81.49,368200.0
2007-05-09,67.16,80.84,81.27,79.75,80.93,420500.0
2007-05-10,67.34,81.06,82.26,80.18,80.61,668400.0
2007-05-11,68.56,82.53,82.64,80.01,80.01,294100.0
2007-05-14,67.71,81.51,82.74,81.27,82.38,417900.0
2007-05-15,64.97,78.21,82.21,78.2,81.38,500800.0
2007-05-16,65.01,78.26,78.94,76.64,78.6,1209000.0
2007-05-17,67.49,81.24,81.78,78.09,78.75,1262200.0
