,Adj Close,Close,High,Low,Open,Volume
2007-01-03,17.33,21.99,22.86,21.84,22.62,2399800.0
2007-01-04,17.25,21.89,22.01,21.54,21.94,1621700.0
2007-01-05,17.02,21.59,21.93,21.4,21.46,1694200.0
2007-01-08,17.38,22.06,22.06,21.37,21.67,2412700.0
2007-01-09,17.39,22.06,22.18,21.82,21.94,1130100.0
2007-01-10,17.46,22.16,22.16,21.89,22.0,586700.0
2007-01-11,17.7,22.46,22.65,22.14,22.18,1590100.0
2007-01-12,17.95,22.78,22.84,22.39,22.39,1227100.0
2007-01-16,17.92,22.74,23.04,22.62,22.83,1357700.0
2007-01-17,18.07,22.93,22.98,22.66,22.73,1453900.0
2007-01-18,17.98,22.81,23.07,22.75,22.91,1160900.0
2007-01-19,18.15,23.04,23.13,22.77,22.85,1054000.0
2007-01-22,18.15,23.03,23.25,22.96,23.04,1090400.0
2007-01-23,18.42,23.37,23.48,22.98,22.98,1396600.0
2007-01-24,18.52,23.5,23.55,23.02,23.37,676900.0
2007-01-25,18.6,23.6,23.78,23.27,23.47,1764900.0
2007-01-26,18.57,23.57,23.69,23.38,23.63,1320900.0
2007-01-29,18.3,23.22,23.57,23.16,23.54,2439700.0
2007-01-30,18.59,23.59,23.6,23.25,23.31,1074400.0
2007-01-31,18.55,23.54,23.7,23.32,23.6,1166400.0
2007-02-01,18.58,23.58,23.71,23.43,23.51,1042400.0
2007-02-02,18.66,23.68,23.71,23.45,23.58,691800.0
2007-02-05,18.72,23.76,23.79,23.53,23.64,2075800.0
2007-02-06,18.8,23.86,23.92,23.69,23.77,869800.0
2007-02-07,18.88,23.73,23.92,23.63,23.76,792800.0
2007-02-08,19.11,24.03,24.03,23.64,23.67,1091500.0
2007-02-09,19.16,24.09,24.25,24.03,24.06,1157100.0
2007-02-12,19.02,23.91,24.08,23.37,24.08,890700.0
2007-02-13,18.98,23.86,24.12,23.71,23.95,1111700.0
2007-02-14,18.97,23.85,24.14,23.81,23.96,1654500.0
2007-02-15,18.8,23.64,23.84,23.56,23.8,2046400.0
2007-02-16,18.75,23.58,23.65,23.43,23.57,779600.0
2007-02-20,18.86,23.71,23.73,23.41,23.48,698700.0
2007-02-21,18.9,23.76,23.86,23.62,23.62,752600.0
2007-02-22,19.09,24.0,24.03,23.65,23.79,1448400.0
2007-02-23,18.94,23.81,24.08,23.79,23.91,1439100.0
2007-02-26,18.96,23.84,24.21,23.81,23.81,1767300.0
2007-02-27,18.34,23.05,23.76,22.92,22.95,1748000.0
2007-02-28,18.49,23.25,23.48,22.86,23.08,1480000.0
2007-03-01,18.49,23.24,23.42,22.84,22.99,1413300.0
2007-03-02,18.2,22.88,23.19,22.82,23.19,1186700.0
2007-03-05,17.83,22.42,22.88,22.42,22.64,1513100.0
2007-03-06,18.1,22.75,22.87,22.5,22.54,1245800.0
2007-03-07,18.09,22.74,23.04,22.67,22.67,1185500.0
2007-03-08,18.64,23.44,23.47,22.92,22.98,1913600.0
2007-03-09,18.91,23.77,24.15,23.51,23.58,2689100.0
2007-03-12,18.99,23.88,24.06,23.59,23.71,987700.0
2007-03-13,18.77,23.6,24.13,23.58,23.83,1584000.0
2007-03-14,18.58,23.36,23.78,23.07,23.68,2740800.0
2007-03-15,19.17,24.1,24.12,23.35,23.38,2499700.0
2007-03-16,19.08,23.99,24.28,23.92,24.05,1413200.0
2007-03-19,19.56,24.59,24.64,24.04,24.09,1337700.0
2007-03-20,20.15,25.33,25.37,24.77,25.04,2223100.0
2007-03-21,20.35,25.59,25.69,25.19,25.41,1444200.0
2007-03-22,20.6,25.9,25.97,25.66,25.71,1324600.0
2007-03-23,20.54,25.83,25.92,25.66,25.9,1153800.0
2007-03-26,20.67,25.98,25.98,25.66,25.83,1046500.0
2007-03-27,20.43,25.69,25.9,25.47,25.84,2215900.0
2007-03-28,20.4,25.65,25.9,25.6,25.62,1598100.0
2007-03-29,21.05,26.47,27.49,25.36,25.42,5664700.0
2007-03-30,20.92,26.3,26.54,26.02,26.4,3180500.0
2007-04-02,20.99,26.39,26.68,26.3,26.45,2994100.0
2007-04-03,20.98,26.38,26.4,26.11,26.18,1549800.0
2007-04-04,21.18,26.63,26.63,26.29,26.48,1126200.0
2007-04-05,21.27,26.74,26.84,26.43,26.48,1786100.0
2007-04-09,21.22,26.67,27.09,26.64,26.73,1912500.0
2007-04-10,21.45,26.96,27.06,26.62,26.68,1569300.0
2007-04-11,21.6,27.15,27.38,26.89,27.02,1601300.0
2007-04-12,21.58,27.13,27.19,26.77,27.0,1367800.0
2007-04-13,21.59,27.14,27.25,27.02,27.12,715800.0
2007-04-16,21.8,27.4,27.54,27.29,27.33,1083400.0
2007-04-17,21.81,27.42,27.55,27.22,27.4,1332900.0
2007-04-18,21.78,27.38,27.47,27.12,27.26,963500.0
2007-04-19,21.63,27.2,27.78,27.01,27.78,910700.0
2007-04-20,21.67,27.25,27.39,27.09,27.34,1088000.0
2007-04-23,21.84,27.46,27.7,27.19,27.53,1170100.0
2007-04-24,22.1,27.78,27.78,27.24,27.38,1438100.0
2007-04-25,22.33,28.07,28.24,27.79,27.8,1171600.0
