,Adj Close,Close,High,Low,Open,Volume
2007-01-03,22.14,37.6,37.96,37.44,37.44,2639600.0
2007-01-04,22.16,37.63,37.82,37.26,37.59,1442000.0
2007-01-05,21.97,37.31,37.58,37.14,37.38,1275800.0
2007-01-08,21.96,37.29,37.46,36.94,37.25,2029000.0
2007-01-09,21.85,37.11,37.26,36.7,36.95,2994800.0
2007-01-10,21.86,37.12,37.19,36.61,37.08,3783800.0
2007-01-11,21.87,37.14,37.31,35.96,36.09,5331800.0
2007-01-12,21.94,37.26,37.26,36.92,37.15,2751800.0
2007-01-16,22.12,37.58,37.58,37.21,37.41,1623000.0
2007-01-17,22.62,38.42,38.84,37.65,37.75,3582000.0
2007-01-18,22.48,38.17,38.54,38.04,38.13,2118400.0
2007-01-19,22.86,38.83,39.12,38.38,38.45,2878600.0
2007-01-22,21.73,36.9,38.6,36.09,38.6,8213200.0
2007-01-23,22.4,38.03,38.06,36.95,37.08,3895200.0
2007-01-24,22.35,37.96,38.1,37.63,37.9,1983200.0
2007-01-25,22.08,37.49,37.94,37.48,37.79,2491600.0
2007-01-26,22.27,37.83,37.9,37.4,37.47,2434400.0
2007-01-29,22.45,38.12,38.28,37.6,37.83,3970000.0
2007-01-30,22.66,38.48,38.5,37.96,38.28,3078400.0
2007-01-31,23.07,39.17,39.29,38.35,38.48,2392200.0
2007-02-01,23.32,39.17,39.28,38.81,39.02,2402600.0
2007-02-02,23.4,39.31,39.5,38.85,38.96,1883400.0
2007-02-05,23.46,39.41,39.56,39.12,39.25,1653400.0
2007-02-06,23.25,39.06,39.33,38.94,39.33,1875000.0
2007-02-07,23.38,39.27,39.29,38.83,39.06,1369600.0
2007-02-08,23.17,38.91,39.18,38.69,39.17,1920800.0
2007-02-09,23.05,38.72,39.12,38.6,39.01,1649600.0
2007-02-12,22.99,38.61,38.78,38.39,38.72,1133600.0
2007-02-13,23.23,39.01,39.13,38.66,38.78,1120200.0
2007-02-14,23.59,39.62,39.68,39.01,39.2,2458800.0
2007-02-15,23.79,39.96,40.12,39.55,39.67,2247000.0
2007-02-16,23.66,39.74,39.97,39.62,39.96,1608800.0
2007-02-20,23.71,39.83,39.95,39.44,39.74,1867600.0
2007-02-21,24.05,40.39,40.44,39.63,39.63,2220200.0
2007-02-22,24.81,41.67,41.74,40.41,40.53,5482800.0
2007-02-23,25.02,42.02,42.44,41.74,42.2,3669800.0
2007-02-26,24.83,41.71,42.18,41.58,41.91,2444800.0
2007-02-27,23.82,40.01,41.25,39.56,41.13,3618600.0
2007-02-28,24.11,40.5,40.74,39.94,40.19,2839400.0
2007-03-01,24.11,40.51,40.71,39.25,39.62,3108000.0
2007-03-02,23.73,39.87,40.58,39.81,40.19,1829400.0
2007-03-05,23.63,39.69,40.44,39.45,39.85,2705400.0
2007-03-06,24.08,40.44,40.6,39.86,40.03,1915200.0
2007-03-07,24.07,40.44,40.83,40.36,40.5,1980800.0
2007-03-08,24.28,40.78,40.92,40.56,40.56,1840400.0
2007-03-09,24.72,41.51,41.69,40.99,41.01,2917400.0
2007-03-12,24.58,41.28,41.5,40.99,41.17,1800200.0
2007-03-13,24.18,40.62,41.33,40.53,41.28,2261400.0
2007-03-14,24.59,41.29,41.43,40.49,40.81,2523800.0
2007-03-15,24.45,41.08,41.4,40.87,41.2,1305200.0
2007-03-16,24.56,41.26,41.66,40.98,41.38,1787400.0
2007-03-19,24.98,41.96,42.08,41.45,41.5,2086000.0
2007-03-20,24.88,41.79,42.1,41.74,41.96,1835000.0
2007-03-21,25.11,42.17,42.26,41.55,41.85,2740000.0
2007-03-22,25.3,42.49,43.58,42.21,43.58,1755400.0
2007-03-23,25.46,42.76,42.77,42.38,42.42,1954000.0
2007-03-26,25.33,42.54,42.83,41.94,42.76,1931600.0
2007-03-27,25.02,42.02,42.55,42.0,42.55,1263400.0
2007-03-28,24.96,41.92,42.12,41.67,42.01,1706600.0
2007-03-29,24.69,41.47,42.38,41.34,42.25,2746000.0
2007-03-30,24.87,41.78,41.94,41.29,41.56,1871200.0
2007-04-02,24.96,41.92,42.1,41.73,41.9,1717000.0
2007-04-03,25.23,42.38,42.61,42.02,42.02,1647400.0
2007-04-04,25.26,42.43,42.5,42.28,42.38,1468400.0
2007-04-05,25.43,42.72,43.36,42.35,43.36,1080800.0
2007-04-09,25.45,42.76,42.8,42.51,42.74,1511600.0
2007-04-10,25.28,42.47,42.88,42.45,42.75,1264800.0
2007-04-11,25.03,42.05,42.54,42.03,42.32,1900000.0
2007-04-12,25.26,42.42,42.53,41.6,42.25,1950000.0
2007-04-13,25.35,42.58,42.85,42.38,42.65,2101800.0
2007-04-16,26.05,43.75,44.45,43.51,44.08,3938600.0
2007-04-17,25.84,43.4,43.5,43.11,43.46,2855400.0
2007-04-18,25.75,43.25,43.85,43.04,43.78,2324200.0
2007-04-19,25.66,43.1,43.23,42.82,43.05,2236200.0
2007-04-20,25.92,43.53,43.7,43.33,43.6,2572800.0
2007-04-23,26.15,43.92,44.22,43.53,43.61,2284600.0
2007-04-24,26.22,44.04,44.42,43.92,44.15,2388800.0
2007-04-25,26.31,44.2,44.22,43.88,44.16,2228600.0
2007-04-26,26.38,44.31,44.47,44.15,44.2,1742000.0
2007-04-27,26.97,45.3,45.62,44.19,44.29,4331200.0
2007-04-30,26.56,44.6,45.4,44.6,45.29,2654000.0
2007-05-01,26.69,44.83,45.12,44.33,44.6,2347200.0
2007-05-02,27.1,45.53,45.74,44.72,44.79,2822000.0
2007-05-03,27.27,45.37,46.47,45.21,45.71,2481400.0
2007-05-04,27.23,45.3,45.53,45.1,45.44,1154400.0
2007-05-07,27.21,45.28,45.55,44.98,45.4,1700200.0
2007-05-08,27.33,45.48,45.54,45.06,45.23,1705600.0
2007-05-09,27.4,45.59,45.76,45.35,45.49,2315600.0
2007-05-10,27.16,45.19,45.53,45.05,45.53,2055800.0
2007-05-11,27.34,45.49,45.53,45.2,45.24,1578600.0
2007-05-14,27.55,45.83,45.85,45.35,45.46,2321200.0
2007-05-15,27.56,45.85,46.81,45.76,45.79,2758400.0
2007-05-16,27.62,45.95,46.05,45.29,45.97,2004400.0
2007-05-17,27.53,45.8,45.93,45.51,45.67,1681400.0
2007-05-18,27.77,46.2,46.3,45.94,46.05,1682600.0
2007-05-21,27.74,46.15,46.32,45.88,46.08,2307000.0
2007-05-22,27.49,45.74,46.24,45.74,46.24,1573400.0
2007-05-23,27.36,45.51,45.88,45.49,45.54,1952600.0
2007-05-24,27.48,45.72,46.75,45.68,46.25,2402400.0
2007-05-25,27.79,46.24,46.6,45.86,45.86,1407000.0
2007-05-29,27.96,46.52,46.66,46.24,46.25,1660000.0
2007-05-30,28.11,46.78,46.78,46.26,46.4,1687400.0
2007-05-31,28.17,46.87,47.21,46.79,46.85,2114000.0
2007-06-01,28.1,46.76,47.13,46.5,47.0,2064600.0
2007-06-04,28.01,46.6,46.81,46.47,46.63,1476000.0
2007-06-05,27.88,46.4,46.56,46.17,46.5,1815000.0
2007-06-06,27.2,45.26,46.4,45.2,46.4,2271200.0
2007-06-07,26.5,44.08,45.28,44.08,45.1,2197800.0
2007-06-08,26.79,44.56,44.63,43.83,44.01,3131200.0
2007-06-11,26.82,44.62,45.0,44.5,44.56,1950200.0
2007-06-12,27.38,45.55,45.94,44.45,44.5,4324400.0
2007-06-13,27.91,46.43,46.49,45.26,45.67,3058600.0
2007-06-14,28.16,46.85,47.6,46.39,46.4,2864000.0
2007-06-15,28.28,47.06,47.5,46.96,47.41,1966800.0
2007-06-18,28.19,46.9,47.12,46.76,47.05,1464400.0
2007-06-19,28.29,47.08,47.17,46.62,46.65,1259800.0
2007-06-20,28.27,47.04,47.79,47.04,47.06,1993600.0
2007-06-21,28.26,47.01,47.19,46.53,46.83,1790600.0
2007-06-22,27.93,46.47,47.22,46.19,47.02,2706600.0
2007-06-25,27.72,46.12,46.94,45.92,46.7,1615600.0
2007-06-26,27.56,45.85,46.5,45.85,46.46,1382400.0
2007-06-27,27.54,45.82,45.88,45.21,45.4,1633800.0
2007-06-28,27.82,46.29,46.49,45.56,45.73,1158200.0
2007-06-29,27.95,46.5,46.97,46.06,46.31,2024600.0
2007-07-02,28.44,47.33,47.4,46.45,46.6,1956400.0
2007-07-03,28.37,47.2,47.44,47.03,47.26,800400.0
2007-07-05,28.34,47.15,47.3,46.9,47.2,987600.0
2007-07-06,28.39,47.23,47.39,46.83,47.35,780600.0
2007-07-09,29.13,48.46,48.51,47.3,47.47,2398400.0
2007-07-10,28.45,47.34,48.28,47.34,48.28,2068000.0
2007-07-11,28.63,47.63,47.94,47.19,47.34,1247200.0
2007-07-12,29.57,49.19,49.19,47.63,47.92,2048000.0
2007-07-13,29.48,49.05,49.38,48.83,49.21,2961600.0
2007-07-16,30.31,50.44,52.02,50.44,51.12,8226600.0
2007-07-17,30.65,51.0,51.37,50.8,50.88,4436800.0
2007-07-18,30.72,51.12,51.5,50.88,50.95,3445400.0
2007-07-19,30.69,51.06,52.06,50.92,51.58,2025600.0
2007-07-20,30.22,50.28,50.75,49.92,50.65,2843000.0
2007-07-23,30.82,51.28,51.59,50.56,50.9,3036800.0
2007-07-24,30.31,50.42,50.84,50.31,50.75,3290400.0
2007-07-25,29.84,49.65,50.85,49.19,50.65,2941000.0
2007-07-26,29.29,48.72,49.88,47.87,49.39,4547200.0
2007-07-27,28.45,47.33,48.79,47.33,48.65,3049600.0
2007-07-30,29.49,49.06,49.17,47.63,47.63,2811400.0
2007-07-31,29.2,48.59,49.85,48.49,49.48,3375400.0
2007-08-01,29.68,49.38,49.47,48.4,48.6,5012800.0
2007-08-02,30.19,49.79,49.94,49.17,49.43,4201600.0
2007-08-03,29.33,48.37,49.97,48.37,49.83,2804400.0
2007-08-06,29.52,48.69,48.69,47.78,47.78,3162800.0
2007-08-07,28.86,47.6,48.65,47.26,48.22,3713000.0
2007-08-08,28.39,46.83,47.74,46.01,47.62,3038800.0
2007-08-09,26.21,43.24,46.96,43.24,46.42,4870800.0
2007-08-10,28.33,46.72,47.05,43.2,43.2,5491200.0
2007-08-13,28.19,46.5,47.81,46.46,47.1,2817200.0
2007-08-14,27.19,44.85,47.19,44.74,46.92,3901800.0
2007-08-15,26.6,43.88,45.67,43.85,44.89,2394800.0
2007-08-16,25.8,42.56,43.42,41.12,43.32,4909000.0
2007-08-17,27.33,45.07,45.16,41.33,44.63,4627800.0
2007-08-20,27.46,45.28,45.74,44.91,45.28,2198800.0
2007-08-21,27.45,45.27,45.49,44.79,45.45,1805400.0
2007-08-22,28.3,46.68,46.78,45.57,45.77,1457200.0
2007-08-23,27.79,45.83,47.29,45.65,46.68,1314800.0
2007-08-24,28.68,47.3,47.38,45.72,45.72,1754200.0
2007-08-27,28.45,46.92,47.3,46.66,47.3,1519600.0
2007-08-28,27.38,45.17,46.81,45.16,46.7,3167800.0
2007-08-29,28.41,46.87,46.89,45.33,45.33,1748200.0
2007-08-30,28.13,46.4,47.1,46.26,46.5,1602600.0
2007-08-31,28.56,47.11,47.45,46.53,47.0,2371000.0
2007-09-04,28.69,47.32,47.58,46.76,47.25,1885400.0
2007-09-05,28.08,46.31,47.21,46.12,46.99,2692800.0
2007-09-06,28.68,47.31,47.42,46.01,46.54,1997400.0
2007-09-07,27.7,45.69,46.6,45.4,46.53,1484200.0
2007-09-10,27.18,44.83,45.94,44.37,45.85,1778600.0
2007-09-11,27.54,45.42,45.55,44.0,45.1,3156600.0
2007-09-12,27.89,46.0,46.24,45.12,45.23,2841400.0
2007-09-13,27.81,45.88,46.33,45.39,46.2,1877600.0
2007-09-14,28.05,46.26,46.36,45.47,45.52,1822400.0
2007-09-17,27.76,45.78,46.33,45.65,46.17,1342000.0
2007-09-18,29.39,48.47,48.58,46.17,46.3,3338000.0
2007-09-19,30.35,50.06,50.33,48.7,48.7,4391800.0
2007-09-20,29.82,49.19,50.38,48.97,49.83,2558400.0
2007-09-21,29.96,49.41,49.88,49.04,49.25,2499400.0
2007-09-24,29.51,48.67,49.37,48.42,49.24,1736000.0
2007-09-25,29.19,48.14,48.71,47.46,48.44,2523400.0
2007-09-26,29.28,48.3,48.72,47.92,48.43,1692800.0
2007-09-27,29.82,49.19,49.28,47.95,47.95,2389400.0
2007-09-28,30.02,49.52,49.94,49.1,49.35,2816200.0
2007-10-01,30.52,50.34,50.6,49.29,49.38,1802000.0
2007-10-02,30.7,50.63,50.67,50.14,50.3,2030800.0
2007-10-03,30.5,50.31,50.91,50.0,50.45,2239600.0
2007-10-04,30.23,49.86,50.65,49.39,50.49,1606200.0
2007-10-05,30.58,50.43,50.69,49.9,50.12,1709200.0
2007-10-08,30.58,50.44,50.74,49.94,50.46,1342800.0
2007-10-09,30.55,50.38,50.88,49.94,50.58,1516400.0
2007-10-10,30.01,49.5,50.4,49.08,50.02,1768000.0
2007-10-11,29.5,48.66,50.1,48.53,49.72,2232000.0
2007-10-12,29.22,48.2,48.62,47.65,48.58,2281000.0
2007-10-15,28.21,46.52,47.64,45.75,46.0,5599800.0
2007-10-16,29.02,47.87,48.08,46.62,47.17,3514000.0
2007-10-17,29.0,47.83,49.23,47.17,49.12,2367600.0
2007-10-18,28.97,47.78,48.12,47.41,47.44,1738400.0
2007-10-19,28.02,46.21,47.65,45.98,47.63,3068000.0
2007-10-22,27.92,46.05,46.37,45.51,45.53,2133400.0
2007-10-23,27.93,46.06,46.2,45.51,46.12,2286800.0
2007-10-24,28.4,46.85,47.24,45.35,45.85,3903800.0
2007-10-25,27.79,45.83,46.82,45.37,46.75,2418800.0
2007-10-26,28.04,46.24,46.45,45.9,46.33,1340200.0
2007-10-29,28.27,46.62,46.72,46.19,46.49,1042200.0
2007-10-30,27.71,45.69,46.67,45.65,46.62,1575200.0
2007-10-31,28.07,46.29,46.65,45.79,45.88,2360400.0
2007-11-01,27.58,45.07,45.93,45.05,45.83,1562400.0
2007-11-02,27.79,45.42,45.45,44.47,45.22,2176600.0
2007-11-05,27.56,45.03,45.28,44.53,44.95,1710000.0
2007-11-06,28.18,46.05,46.05,45.21,45.3,2960000.0
2007-11-07,26.9,43.96,45.79,43.94,45.47,2489800.0
2007-11-08,27.98,45.72,46.1,44.5,44.5,3671800.0
2007-11-09,27.08,44.25,45.03,44.06,45.03,2371400.0
2007-11-12,26.24,42.88,44.54,42.85,44.09,2003600.0
2007-11-13,27.27,44.56,44.56,43.15,43.15,2326200.0
2007-11-14,27.63,45.15,45.66,44.63,44.92,3443400.0
2007-11-15,27.07,44.23,45.1,43.84,45.06,3215600.0
2007-11-16,26.74,43.69,44.74,43.26,44.72,3092000.0
2007-11-19,26.1,42.65,44.39,42.54,44.25,4702400.0
2007-11-20,26.84,43.86,44.34,42.31,42.8,5030600.0
2007-11-21,26.59,43.44,44.19,43.08,43.42,3650800.0
2007-11-23,26.92,43.98,44.08,43.42,43.88,839600.0
2007-11-26,26.39,43.12,44.51,43.12,44.07,2223400.0
2007-11-27,26.8,43.78,43.87,42.85,43.26,2455200.0
2007-11-28,27.52,44.97,45.18,43.88,44.21,2667400.0
2007-11-29,27.11,44.3,45.15,44.17,44.92,2473400.0
2007-11-30,27.33,44.65,44.97,44.36,44.75,3479200.0
2007-12-03,26.99,44.1,45.05,43.78,45.05,2625800.0
2007-12-04,27.31,44.63,44.99,43.89,43.97,3429600.0
2007-12-05,28.07,45.87,46.03,45.06,45.13,2379600.0
2007-12-06,29.2,47.71,47.78,45.64,45.85,2485600.0
2007-12-07,28.96,47.32,47.82,46.69,47.32,1763600.0
2007-12-10,29.3,47.88,48.02,47.1,47.1,1415800.0
2007-12-11,28.28,46.22,48.12,46.12,47.88,2002400.0
2007-12-12,28.3,46.25,47.57,45.83,47.35,2084400.0
2007-12-13,28.03,45.8,46.48,45.26,45.93,2357800.0
2007-12-14,27.42,44.81,45.77,44.81,45.16,2018400.0
2007-12-17,27.09,44.27,44.53,43.76,44.53,3272200.0
2007-12-18,27.27,44.56,44.74,43.73,44.69,2396600.0
2007-12-19,27.36,44.71,45.08,44.33,44.65,1282800.0
2007-12-20,29.03,47.44,47.75,45.12,45.12,3943200.0
2007-12-21,30.42,49.71,49.71,47.64,47.9,4326800.0
2007-12-24,29.97,48.97,49.71,48.53,49.64,1615200.0
2007-12-26,30.35,49.58,49.83,48.58,48.88,1770800.0
2007-12-27,29.94,48.92,49.4,48.67,49.22,1510200.0
