,Adj Close,Close,High,Low,Open,Volume
2007-01-03,11.98,11.98,12.05,11.52,11.69,1397200.0
2007-01-04,12.01,12.01,12.06,11.96,11.99,734400.0
2007-01-05,11.98,11.98,12.01,11.85,11.96,576800.0
2007-01-08,11.9,11.9,11.96,11.83,11.95,1116000.0
2007-01-09,12.01,12.01,12.06,11.9,11.9,716400.0
2007-01-10,12.01,12.01,12.03,11.94,11.98,518800.0
2007-01-11,12.12,12.12,12.21,12.02,12.02,738800.0
2007-01-12,12.32,12.32,12.37,12.11,12.11,1584000.0
2007-01-16,12.32,12.32,12.35,12.3,12.32,1026400.0
2007-01-17,12.33,12.33,12.37,12.27,12.27,1086400.0
2007-01-18,12.36,12.36,12.45,12.31,12.34,972800.0
2007-01-19,12.31,12.31,12.35,12.29,12.31,1163600.0
2007-01-22,12.42,12.42,12.44,12.31,12.32,973600.0
2007-01-23,12.43,12.43,12.49,12.34,12.39,897600.0
2007-01-24,12.52,12.52,12.52,12.39,12.39,702800.0
2007-01-25,12.54,12.54,12.56,12.45,12.51,1112000.0
2007-01-26,12.76,12.76,12.78,12.54,12.55,1562400.0
2007-01-29,12.81,12.81,12.84,12.68,12.76,3280800.0
2007-01-30,12.8,12.8,12.82,12.69,12.77,2234800.0
2007-01-31,12.79,12.79,12.82,12.68,12.77,1676800.0
2007-02-01,12.81,12.81,12.84,12.71,12.79,1175200.0
2007-02-02,12.96,12.96,13.0,12.76,12.87,2272400.0
2007-02-05,13.06,13.06,13.13,12.84,12.95,2129200.0
2007-02-06,12.49,12.49,12.71,12.22,12.4,4688400.0
2007-02-07,12.65,12.65,12.74,12.52,12.52,1683600.0
2007-02-08,12.73,12.73,12.84,12.64,12.64,1090400.0
2007-02-09,12.65,12.65,12.81,12.61,12.73,996400.0
2007-02-12,12.74,12.74,12.83,12.66,12.67,1059600.0
2007-02-13,12.77,12.77,12.81,12.74,12.74,737200.0
2007-02-14,12.9,12.9,12.95,12.76,12.77,945200.0
2007-02-15,13.02,13.02,13.09,12.85,12.85,1017200.0
2007-02-16,13.1,13.1,13.11,12.98,12.98,897200.0
2007-02-20,12.74,12.74,12.88,12.7,12.88,2946000.0
2007-02-21,12.88,12.88,12.97,12.72,12.72,1258400.0
2007-02-22,12.84,12.84,12.95,12.84,12.92,921200.0
2007-02-23,12.93,12.93,12.98,12.86,12.86,843200.0
2007-02-26,12.8,12.8,12.98,12.79,12.96,1282400.0
2007-02-27,12.53,12.53,12.72,12.5,12.62,1240400.0
2007-02-28,12.6,12.6,12.68,12.37,12.53,2012400.0
2007-03-01,12.46,12.46,12.53,12.25,12.5,2059200.0
2007-03-02,12.58,12.58,12.73,12.44,12.44,1916000.0
2007-03-05,12.53,12.53,12.64,12.49,12.56,1940400.0
2007-03-06,12.75,12.75,12.77,12.46,12.53,2784400.0
2007-03-07,12.83,12.83,12.83,12.66,12.75,3432400.0
2007-03-08,12.43,12.43,12.75,12.4,12.75,5646400.0
2007-03-09,12.42,12.42,12.51,12.34,12.48,2517600.0
2007-03-12,12.39,12.39,12.44,12.36,12.43,1844000.0
2007-03-13,12.17,12.17,12.35,12.16,12.35,2856400.0
2007-03-14,12.15,12.15,12.21,12.02,12.17,2645600.0
2007-03-15,12.25,12.25,12.27,12.15,12.15,1973600.0
2007-03-16,12.19,12.19,12.27,12.17,12.25,1448800.0
2007-03-19,12.29,12.29,12.37,12.22,12.25,1166800.0
2007-03-20,12.32,12.32,12.33,12.06,12.29,4295200.0
2007-03-21,12.39,12.39,12.4,12.26,12.36,1619200.0
2007-03-22,12.45,12.45,12.53,12.39,12.4,3151600.0
2007-03-23,12.44,12.44,12.49,12.34,12.45,1366400.0
2007-03-26,12.4,12.4,12.45,12.34,12.43,1364400.0
2007-03-27,12.49,12.49,12.56,12.34,12.35,1103200.0
2007-03-28,12.57,12.57,12.6,12.47,12.47,1654400.0
2007-03-29,12.64,12.64,12.7,12.6,12.62,1346400.0
2007-03-30,12.68,12.68,12.72,12.59,12.62,591200.0
2007-04-02,12.75,12.75,12.75,12.64,12.69,752800.0
2007-04-03,12.84,12.84,12.9,12.75,12.8,1097200.0
2007-04-04,12.88,12.88,12.88,12.76,12.82,1123600.0
2007-04-05,12.86,12.86,12.91,12.85,12.85,632000.0
2007-04-09,12.85,12.85,12.92,12.83,12.89,465200.0
2007-04-10,12.88,12.88,12.96,12.85,12.85,1112000.0
2007-04-11,12.84,12.84,12.89,12.78,12.89,945600.0
2007-04-12,12.97,12.97,12.98,12.81,12.81,980800.0
2007-04-13,13.07,13.07,13.1,12.93,12.98,1165600.0
2007-04-16,13.19,13.19,13.24,13.1,13.12,1458400.0
2007-04-17,13.19,13.19,13.22,13.14,13.16,2168000.0
2007-04-18,13.11,13.11,13.19,13.07,13.15,1287600.0
2007-04-19,13.0,13.0,13.09,12.97,13.05,1197600.0
2007-04-20,12.99,12.99,13.03,12.97,12.98,2970000.0
2007-04-23,13.04,13.04,13.06,12.91,12.94,1617600.0
2007-04-24,12.26,12.26,12.75,12.13,12.74,10521600.0
2007-04-25,12.18,12.18,12.28,12.06,12.27,2351200.0
2007-04-26,12.23,12.23,12.27,12.12,12.18,1984000.0
2007-04-27,12.22,12.22,12.31,12.21,12.24,2097600.0
2007-04-30,12.25,12.25,12.62,12.24,12.62,2680000.0
2007-05-01,12.16,12.16,12.25,12.1,12.23,2588400.0
2007-05-02,12.32,12.32,12.35,12.13,12.14,2413200.0
2007-05-03,12.27,12.27,12.4,12.26,12.31,1573200.0
2007-05-04,12.2,12.2,12.29,12.16,12.27,1051600.0
2007-05-07,12.31,12.31,12.32,12.21,12.21,1568800.0
2007-05-08,12.23,12.23,12.33,12.15,12.31,1500000.0
2007-05-09,12.21,12.21,12.35,12.15,12.2,1476400.0
2007-05-10,12.21,12.21,12.3,12.16,12.18,1424000.0
2007-05-11,12.27,12.27,12.29,12.19,12.19,878000.0
2007-05-14,12.27,12.27,12.4,12.24,12.25,1958400.0
2007-05-15,12.26,12.26,12.36,12.21,12.25,1616400.0
2007-05-16,12.32,12.32,12.35,12.04,12.3,2516400.0
2007-05-17,12.3,12.3,12.33,12.23,12.28,865200.0
2007-05-18,12.45,12.45,12.5,12.29,12.32,1413600.0
2007-05-21,12.52,12.52,12.52,12.39,12.43,1554800.0
2007-05-22,12.67,12.67,12.67,12.47,12.48,1442000.0
2007-05-23,12.78,12.78,12.92,12.69,12.69,2568000.0
2007-05-24,12.72,12.72,12.87,12.69,12.78,1843200.0
2007-05-25,12.6,12.6,12.73,12.58,12.73,1629600.0
2007-05-29,12.56,12.56,12.65,12.54,12.6,1311600.0
2007-05-30,12.54,12.54,12.59,12.52,12.52,1218400.0
2007-05-31,12.55,12.55,12.61,12.49,12.59,1895200.0
2007-06-01,12.6,12.6,12.62,12.52,12.56,1100400.0
2007-06-04,12.71,12.71,12.72,12.54,12.55,1188400.0
2007-06-05,12.63,12.63,12.73,12.61,12.68,951200.0
2007-06-06,12.53,12.53,12.58,12.46,12.58,1007200.0
2007-06-07,12.4,12.4,12.51,12.39,12.5,1322000.0
2007-06-08,12.42,12.42,12.43,12.35,12.38,1058400.0
2007-06-11,12.43,12.43,12.46,12.32,12.38,1171600.0
2007-06-12,12.27,12.27,12.4,12.26,12.4,1216800.0
2007-06-13,12.36,12.36,12.37,12.24,12.28,764000.0
2007-06-14,12.32,12.32,12.39,12.29,12.38,768800.0
2007-06-15,12.32,12.32,12.42,12.31,12.38,1607600.0
2007-06-18,12.34,12.34,12.37,12.3,12.37,972400.0
2007-06-19,12.41,12.41,12.45,12.28,12.38,1105200.0
2007-06-20,12.34,12.34,12.45,12.31,12.45,1906800.0
2007-06-21,12.34,12.34,12.36,12.25,12.31,764800.0
2007-06-22,12.28,12.28,12.39,12.25,12.31,1740400.0
2007-06-25,12.18,12.18,12.36,12.18,12.28,1174800.0
2007-06-26,12.44,12.44,12.46,12.2,12.23,1545200.0
2007-06-27,12.58,12.58,12.58,12.38,12.39,1640400.0
2007-06-28,12.51,12.51,12.59,12.46,12.53,978000.0
2007-06-29,12.34,12.34,12.52,12.3,12.5,1203200.0
2007-07-02,12.38,12.38,12.38,12.27,12.37,880000.0
2007-07-03,12.5,12.5,12.56,12.4,12.47,788800.0
2007-07-05,12.49,12.49,12.52,12.44,12.5,416000.0
2007-07-06,12.56,12.56,12.6,12.44,12.44,1184800.0
2007-07-09,12.52,12.52,12.57,12.46,12.56,714000.0
2007-07-10,12.34,12.34,12.5,12.31,12.45,1010400.0
2007-07-11,12.44,12.44,12.45,12.3,12.32,1018000.0
2007-07-12,12.54,12.54,12.6,12.46,12.46,1783200.0
2007-07-13,12.48,12.48,12.57,12.42,12.53,1270800.0
2007-07-16,12.5,12.5,12.53,12.46,12.47,1633200.0
2007-07-17,12.49,12.49,12.56,12.47,12.49,1322400.0
2007-07-18,12.51,12.51,12.55,12.44,12.46,1183600.0
2007-07-19,12.64,12.64,12.7,12.52,12.53,1194400.0
