,Adj Close,Close,High,Low,Open,Volume
2007-01-03,35.57,41.79,42.49,40.5,41.13,2343300.0
2007-01-04,35.93,42.21,42.3,41.33,41.85,1386100.0
2007-01-05,35.57,41.78,42.0,41.32,41.96,1437700.0
2007-01-08,36.03,42.33,42.49,41.31,41.77,2047000.0
2007-01-09,35.22,41.37,42.82,41.12,42.27,2031800.0
2007-01-10,35.38,41.56,41.6,40.62,41.03,1557500.0
2007-01-11,36.34,42.69,43.72,42.45,43.04,2043800.0
2007-01-12,37.4,43.94,43.94,42.58,42.58,1392200.0
2007-01-16,38.36,45.06,45.46,44.0,44.04,1869300.0
2007-01-17,38.26,44.95,45.44,44.71,44.8,1172000.0
2007-01-18,37.28,43.8,45.43,43.8,45.06,1424000.0
2007-01-19,37.62,44.19,44.62,43.46,43.46,1202900.0
2007-01-22,36.92,43.37,44.43,42.92,44.43,1142600.0
2007-01-23,36.82,43.25,43.57,43.03,43.33,955100.0
2007-01-24,37.43,43.97,44.18,42.96,43.38,968700.0
2007-01-25,35.8,42.06,43.67,41.75,43.56,2318900.0
2007-01-26,35.18,41.33,42.18,41.0,42.09,1834000.0
2007-01-29,35.28,41.45,41.78,40.96,41.22,1553900.0
2007-01-30,34.82,40.91,41.53,40.75,41.3,1416400.0
2007-01-31,36.34,42.69,43.13,41.15,41.15,5267200.0
2007-02-01,37.44,43.98,44.25,42.6,42.6,3500600.0
2007-02-02,37.45,44.0,44.74,43.46,44.15,2480000.0
2007-02-05,36.69,43.1,43.9,42.7,43.9,2151900.0
2007-02-06,36.65,43.06,43.48,42.5,43.16,1833900.0
2007-02-07,37.57,44.14,44.18,42.7,42.93,3352800.0
2007-02-08,38.67,45.43,45.77,43.95,44.1,3046700.0
2007-02-09,37.83,44.44,45.53,44.1,45.53,1760400.0
2007-02-12,37.17,43.67,44.99,43.35,44.44,1460600.0
2007-02-13,37.1,43.58,48.53,38.31,39.18,12358500.0
2007-02-14,37.54,44.1,44.51,42.9,43.33,4618200.0
2007-02-15,38.12,44.78,44.85,43.76,43.87,2451600.0
2007-02-16,38.39,45.1,45.35,44.57,44.57,2269200.0
2007-02-20,39.17,46.01,46.51,45.61,45.61,4735200.0
2007-02-21,39.3,46.17,46.23,45.55,45.69,2042500.0
2007-02-22,39.57,46.49,46.61,46.06,46.2,1755200.0
2007-02-23,40.02,47.01,47.12,46.2,46.62,1671900.0
2007-02-26,39.08,45.91,47.35,45.45,47.01,2626200.0
2007-02-27,38.56,45.3,45.94,44.52,45.03,3932800.0
2007-02-28,38.18,44.85,45.55,44.52,45.06,3114900.0
2007-03-01,38.82,45.6,45.63,43.28,44.06,3264700.0
2007-03-02,38.37,45.08,45.88,44.86,45.45,2894100.0
2007-03-05,37.82,44.43,45.05,44.08,44.57,2369300.0
2007-03-06,37.89,44.51,44.93,44.26,44.81,2273000.0
2007-03-07,37.77,44.37,44.67,44.08,44.41,2241400.0
2007-03-08,38.01,44.65,44.88,44.47,44.81,1847200.0
2007-03-09,38.1,44.76,45.37,44.13,45.0,1562300.0
2007-03-12,37.84,44.45,45.01,44.28,44.59,1156800.0
2007-03-13,36.55,42.94,44.18,42.93,44.08,2124400.0
2007-03-14,36.36,42.71,43.13,41.66,42.9,2286400.0
2007-03-15,35.97,42.25,42.88,42.05,42.79,2004700.0
2007-03-16,35.76,42.01,42.24,41.28,41.9,2169200.0
2007-03-19,36.02,42.31,42.45,41.72,42.28,1057800.0
2007-03-20,35.98,42.27,42.58,41.97,42.4,1406500.0
2007-03-21,36.51,42.89,43.07,41.5,42.3,1475400.0
2007-03-22,36.48,42.85,43.59,42.6,43.15,1099900.0
2007-03-23,36.77,43.2,43.61,42.93,43.02,961000.0
2007-03-26,36.16,42.48,43.2,42.02,43.11,1223000.0
2007-03-27,35.79,42.04,42.38,41.75,42.34,1098100.0
2007-03-28,34.99,41.1,41.98,40.82,41.76,2025200.0
2007-03-29,35.18,41.33,41.36,40.64,41.06,1526700.0
2007-03-30,35.17,41.32,41.78,40.93,41.48,1117900.0
