,Adj Close,Close,High,Low,Open,Volume
2007-01-03,36.86,36.86,37.61,36.08,36.71,1740400.0
2007-01-04,38.18,38.18,38.31,36.73,36.74,1992600.0
2007-01-05,37.58,37.58,38.15,37.18,38.13,1192800.0
2007-01-08,39.38,39.38,39.44,37.71,37.78,3219000.0
2007-01-09,38.85,38.85,39.97,38.42,39.65,2267200.0
2007-01-10,39.42,39.42,39.6,38.33,38.76,2060800.0
2007-01-11,39.22,39.22,39.54,38.88,39.54,1262200.0
2007-01-12,39.88,39.88,40.42,39.04,39.17,1859800.0
2007-01-16,39.53,39.53,40.28,39.17,40.17,1148400.0
2007-01-17,39.43,39.43,40.04,39.24,39.5,1110000.0
2007-01-18,37.53,37.53,40.05,37.35,39.87,4690400.0
2007-01-19,37.81,37.81,38.38,36.79,37.41,2499200.0
2007-01-22,36.97,36.97,38.16,36.87,38.03,1819000.0
2007-01-23,36.72,36.72,37.61,36.58,36.85,1857000.0
2007-01-24,37.24,37.24,37.95,36.9,37.01,6694800.0
2007-01-25,37.02,37.02,37.55,35.56,36.81,10256800.0
2007-01-26,36.35,36.35,37.38,36.05,37.03,2003200.0
2007-01-29,36.1,36.1,36.62,35.72,36.15,1964200.0
2007-01-30,36.45,36.45,36.55,35.9,36.26,1004800.0
2007-01-31,35.71,35.71,36.44,35.2,36.44,2423000.0
2007-02-01,35.9,35.9,36.18,35.42,35.71,2247600.0
2007-02-02,35.49,35.49,36.12,35.25,35.92,1703200.0
2007-02-05,35.99,35.99,36.29,35.37,35.5,1128600.0
2007-02-06,36.1,36.1,36.31,35.43,35.92,1279200.0
2007-02-07,37.69,37.69,37.74,36.45,36.47,3789800.0
2007-02-08,37.51,37.51,37.95,37.05,37.65,2030400.0
2007-02-09,37.75,37.75,38.24,37.42,38.05,2693200.0
2007-02-12,36.87,36.87,37.88,36.76,37.78,1242800.0
2007-02-13,36.86,36.86,37.58,36.49,37.01,971800.0
2007-02-14,36.88,36.88,37.28,36.51,36.95,1630200.0
2007-02-15,37.1,37.1,37.67,36.75,37.01,1414200.0
2007-02-16,36.79,36.79,37.4,36.44,37.15,1531000.0
2007-02-20,38.01,38.01,38.08,36.65,36.65,2127600.0
2007-02-21,37.99,37.99,38.04,37.6,37.96,808800.0
2007-02-22,39.26,39.26,39.35,38.1,38.1,2499200.0
2007-02-23,39.06,39.06,39.28,38.81,39.25,1060400.0
2007-02-26,38.94,38.94,39.24,38.55,39.0,829000.0
