,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.42,34.19,34.45,33.75,33.95,594000.0
2007-01-04,19.48,34.29,34.4,33.94,34.22,488600.0
2007-01-05,19.29,33.96,34.3,33.95,34.3,341000.0
2007-01-08,19.35,34.07,34.15,33.63,33.96,522900.0
2007-01-09,19.34,34.04,34.18,33.73,34.08,459700.0
2007-01-10,19.36,34.08,34.17,33.65,33.91,583500.0
2007-01-11,19.54,34.4,34.48,34.0,34.08,984000.0
2007-01-12,19.7,34.68,34.86,34.31,34.4,837700.0
2007-01-16,19.7,34.68,34.82,34.49,34.78,510900.0
2007-01-17,19.86,34.97,35.07,34.56,34.57,724400.0
2007-01-18,19.76,34.78,35.15,34.72,35.05,483800.0
2007-01-19,19.54,34.4,34.77,34.39,34.77,358900.0
2007-01-22,19.61,34.52,34.65,34.35,34.41,252600.0
2007-01-23,19.48,34.3,34.65,34.13,34.58,333800.0
2007-01-24,19.61,34.53,34.55,34.19,34.3,326200.0
2007-01-25,18.97,33.39,34.6,33.37,34.47,542500.0
2007-01-26,20.08,35.34,36.9,34.56,34.56,2378800.0
2007-01-29,19.81,34.88,35.65,34.85,35.35,1204000.0
2007-01-30,20.05,35.3,35.43,34.95,34.95,878800.0
2007-01-31,20.06,35.31,35.46,35.0,35.3,908200.0
2007-02-01,20.17,35.51,35.99,35.23,35.25,857300.0
2007-02-02,20.19,35.54,35.62,35.36,35.62,630800.0
2007-02-05,20.19,35.55,35.79,35.45,35.5,621300.0
2007-02-06,20.33,35.6,35.66,35.39,35.39,524200.0
2007-02-07,20.38,35.7,35.92,35.53,35.56,519400.0
2007-02-08,20.33,35.6,35.67,35.23,35.54,502400.0
2007-02-09,20.18,35.34,35.82,35.22,35.7,658000.0
2007-02-12,20.07,35.15,35.43,35.02,35.35,274200.0
2007-02-13,20.26,35.49,35.5,35.27,35.27,454700.0
2007-02-14,20.5,35.9,36.04,35.52,35.54,468900.0
2007-02-15,20.59,36.06,36.19,35.9,35.91,317600.0
2007-02-16,20.64,36.15,36.22,35.95,35.95,348700.0
2007-02-20,21.13,37.0,37.05,35.27,35.27,1336700.0
2007-02-21,21.15,37.05,37.19,36.74,37.0,1298900.0
2007-02-22,20.98,36.75,37.15,36.6,37.13,627200.0
2007-02-23,21.27,37.25,38.4,36.95,37.85,1533200.0
2007-02-26,21.06,36.88,37.44,36.72,37.43,630800.0
2007-02-27,20.56,36.01,36.86,35.74,36.85,1223300.0
2007-02-28,20.42,35.77,36.34,35.64,36.01,938900.0
2007-03-01,20.63,36.14,36.55,35.41,35.65,984000.0
2007-03-02,20.44,35.8,36.23,35.75,36.14,846800.0
2007-03-05,20.1,35.2,35.73,35.15,35.65,639200.0
2007-03-06,20.51,35.93,35.99,35.22,35.28,804600.0
2007-03-07,20.44,35.8,36.13,35.71,35.93,615900.0
2007-03-08,20.54,35.98,36.47,35.9,36.0,515100.0
2007-03-09,20.58,36.04,36.37,35.86,36.18,524200.0
2007-03-12,20.67,36.21,36.32,35.93,36.08,409300.0
2007-03-13,19.99,35.01,36.06,34.96,36.06,636400.0
2007-03-14,20.37,35.67,35.67,34.68,35.18,865900.0
2007-03-15,20.51,35.93,36.34,35.6,35.67,664500.0
2007-03-16,20.43,35.78,36.34,35.7,36.04,755300.0
2007-03-19,20.66,36.19,36.3,35.83,35.88,409600.0
2007-03-20,20.81,36.44,36.6,36.12,36.29,335900.0
2007-03-21,21.43,37.53,37.63,36.4,36.55,719100.0
2007-03-22,21.33,37.36,37.73,37.33,37.62,572300.0
2007-03-23,21.4,37.49,37.56,37.28,37.42,313100.0
