,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.23,40.61,40.83,40.11,40.11,1377400.0
2007-01-04,19.17,40.48,40.6,40.26,40.5,943100.0
2007-01-05,19.1,40.34,40.55,39.99,40.45,1005000.0
2007-01-08,19.27,40.68,40.76,40.13,40.28,753000.0
2007-01-09,19.41,40.98,41.03,40.59,40.72,715200.0
2007-01-10,19.57,41.32,41.35,40.57,40.85,752400.0
2007-01-11,19.62,41.42,41.48,41.2,41.33,860300.0
2007-01-12,19.55,41.29,41.49,41.13,41.37,560900.0
2007-01-16,19.56,41.31,41.36,41.06,41.17,791700.0
2007-01-17,19.68,41.55,41.55,41.19,41.3,1033500.0
2007-01-18,19.66,41.51,41.75,41.33,41.73,642600.0
2007-01-19,19.7,41.6,41.64,41.39,41.53,569500.0
2007-01-22,19.66,41.51,41.6,41.27,41.5,651400.0
2007-01-23,19.68,41.55,41.56,41.33,41.48,808000.0
2007-01-24,20.16,42.57,42.58,41.62,41.65,1143000.0
2007-01-25,19.89,42.0,42.57,41.89,42.45,1306300.0
2007-01-26,19.89,42.0,42.1,41.81,42.0,882900.0
2007-01-29,19.75,41.7,42.0,41.58,42.0,1181200.0
2007-01-30,19.97,42.16,42.36,41.68,41.93,1679100.0
2007-01-31,20.14,42.52,42.6,41.95,42.1,676500.0
2007-02-01,20.15,42.54,42.69,42.42,42.53,674200.0
2007-02-02,20.38,43.03,43.15,42.42,42.56,994900.0
2007-02-05,20.44,43.15,43.16,42.73,42.9,1060900.0
2007-02-06,20.47,43.23,43.29,42.72,43.25,641700.0
2007-02-07,21.41,45.2,45.8,43.1,43.8,2380800.0
2007-02-08,21.32,45.02,45.29,44.8,45.05,1249200.0
2007-02-09,21.5,45.4,45.75,44.98,45.02,1661000.0
2007-02-12,21.38,45.14,45.68,44.92,45.5,1521000.0
2007-02-13,21.42,45.22,45.4,44.99,45.3,822500.0
2007-02-14,22.14,46.75,47.0,45.35,45.4,2522100.0
2007-02-15,22.26,47.0,47.25,46.45,46.73,1142700.0
2007-02-16,22.52,47.55,47.63,46.89,47.0,1864000.0
2007-02-20,22.52,47.55,47.75,47.27,47.6,1186200.0
2007-02-21,22.24,46.97,47.38,46.87,47.32,1021700.0
2007-02-22,22.26,47.0,47.3,46.65,47.15,659300.0
2007-02-23,22.28,47.04,47.18,46.82,46.98,472800.0
2007-02-26,22.16,46.79,47.32,46.53,47.29,505800.0
2007-02-27,21.45,45.29,46.61,45.08,46.55,1132500.0
2007-02-28,21.75,45.92,45.99,45.24,45.29,1970200.0
2007-03-01,21.92,46.29,46.63,44.76,45.5,1828100.0
2007-03-02,21.48,45.36,46.23,45.26,46.05,1151600.0
2007-03-05,21.08,44.51,45.33,44.29,44.55,1023200.0
