,Adj Close,Close,High,Low,Open,Volume
2007-01-03,14.99,22.11,22.4,21.85,22.06,1375000.0
2007-01-04,15.01,22.15,22.18,21.87,22.02,1055100.0
2007-01-05,14.85,21.91,22.18,21.85,22.04,1063700.0
2007-01-08,14.92,22.01,22.11,21.79,21.85,891300.0
2007-01-09,14.95,22.05,22.24,21.86,21.92,1175700.0
2007-01-10,14.95,22.05,22.19,21.95,21.96,1361300.0
2007-01-11,14.91,21.99,22.32,21.91,22.14,2231700.0
2007-01-12,15.15,22.35,22.66,22.02,22.15,2698200.0
2007-01-16,14.76,21.78,22.47,21.5,22.38,4597800.0
2007-01-17,14.81,21.73,21.88,21.65,21.65,2013400.0
2007-01-18,15.08,22.12,22.21,21.79,21.82,2103000.0
2007-01-19,15.37,22.55,22.6,21.98,22.08,4514900.0
2007-01-22,15.05,22.07,22.55,22.01,22.51,2169700.0
2007-01-23,14.5,21.27,22.01,21.25,22.0,5424700.0
2007-01-24,14.65,21.49,21.6,21.1,21.34,4039600.0
2007-01-25,14.63,21.46,21.54,21.34,21.43,1692900.0
2007-01-26,14.67,21.52,21.99,21.24,21.55,1694500.0
2007-01-29,14.71,21.58,21.73,21.43,21.53,1521900.0
2007-01-30,15.17,22.25,22.28,21.63,21.67,3461000.0
2007-01-31,15.3,22.44,22.54,22.15,22.19,3035600.0
2007-02-01,15.49,22.72,22.75,22.44,22.54,2115700.0
2007-02-02,15.45,22.66,23.0,22.62,22.62,2478900.0
2007-02-05,15.48,22.7,22.74,22.53,22.68,4138900.0
2007-02-06,15.82,23.2,23.21,22.34,22.63,3505200.0
2007-02-07,15.73,23.08,23.27,22.94,23.21,1040700.0
2007-02-08,15.82,23.21,23.35,22.91,23.2,1665600.0
2007-02-09,15.48,22.7,23.3,22.67,23.23,1913200.0
2007-02-12,15.61,22.89,23.0,22.76,22.78,933300.0
2007-02-13,15.73,23.08,23.2,22.89,23.0,1748300.0
2007-02-14,15.82,23.21,23.39,22.92,23.05,1218100.0
2007-02-15,15.75,23.1,23.23,23.0,23.2,900300.0
2007-02-16,15.84,23.23,23.32,23.02,23.09,855800.0
2007-02-20,15.89,23.31,23.47,23.16,23.25,632900.0
2007-02-21,15.89,23.31,23.41,23.23,23.26,700800.0
2007-02-22,15.75,23.1,23.4,22.99,23.29,1844100.0
2007-02-23,15.8,23.17,23.2,22.91,23.03,882000.0
2007-02-26,15.63,22.93,23.24,22.78,23.17,908900.0
2007-02-27,15.41,22.61,22.78,22.24,22.61,1181300.0
2007-02-28,15.49,22.72,22.91,22.35,22.61,1654500.0
2007-03-01,15.47,22.69,22.84,22.45,22.46,1209300.0
2007-03-02,15.32,22.47,22.68,22.4,22.66,1203300.0
2007-03-05,15.28,22.42,22.56,22.25,22.28,1749500.0
2007-03-06,15.31,22.45,22.55,22.3,22.42,1731300.0
2007-03-07,15.36,22.53,22.62,22.34,22.34,1301400.0
2007-03-08,14.68,21.53,22.45,21.28,22.35,4944300.0
2007-03-09,14.84,21.77,21.8,21.47,21.6,1984600.0
2007-03-12,14.71,21.57,21.9,21.36,21.67,1885500.0
2007-03-13,14.96,21.94,22.53,21.46,21.47,3431500.0
2007-03-14,15.04,22.06,22.23,21.61,22.03,2265200.0
2007-03-15,15.0,22.0,22.21,21.91,22.08,1233900.0
