,Adj Close,Close,High,Low,Open,Volume
2007-01-03,10.35,14.76,15.31,14.6,15.3,2440400.0
2007-01-04,9.94,14.18,14.7,14.16,14.67,3665200.0
2007-01-05,9.87,14.07,14.24,13.92,14.16,3623600.0
2007-01-08,10.06,14.35,14.86,14.19,14.42,3823600.0
2007-01-09,9.87,14.08,14.22,13.83,14.2,3023200.0
2007-01-10,9.88,14.09,14.19,13.82,13.88,3097600.0
2007-01-11,9.73,13.88,14.36,13.78,14.08,2504800.0
2007-01-12,10.12,14.44,14.44,13.9,14.0,2502000.0
2007-01-16,9.91,14.14,14.42,14.1,14.38,2628400.0
2007-01-17,10.04,14.31,14.46,14.16,14.16,1621200.0
2007-01-18,9.97,14.22,14.49,14.16,14.37,2554000.0
2007-01-19,10.32,14.72,14.77,14.31,14.34,2064000.0
2007-01-22,10.31,14.7,14.86,14.53,14.84,2090400.0
2007-01-23,10.59,15.1,15.14,14.77,14.78,2168400.0
2007-01-24,10.65,15.19,15.2,14.86,15.06,1748000.0
2007-01-25,10.43,14.88,15.14,14.84,15.13,2214000.0
2007-01-26,10.48,14.95,15.02,14.82,14.96,1324000.0
2007-01-29,10.39,14.81,15.1,14.7,14.94,1248000.0
2007-01-30,10.72,15.29,15.31,14.93,14.93,1566400.0
2007-01-31,10.86,15.48,15.55,15.11,15.23,2414400.0
2007-02-01,10.96,15.63,15.69,15.41,15.48,2316000.0
2007-02-02,10.99,15.67,15.88,15.52,15.88,1674000.0
2007-02-05,10.84,15.46,15.8,15.43,15.72,2108800.0
2007-02-06,10.87,15.51,15.65,15.37,15.56,2342000.0
2007-02-07,10.72,15.28,15.56,15.2,15.52,2266400.0
2007-02-08,11.04,15.75,15.83,15.3,15.31,2056800.0
2007-02-09,11.03,15.73,15.8,15.54,15.72,2095200.0
2007-02-12,11.05,15.77,16.13,15.6,15.72,3566000.0
2007-02-13,11.33,16.16,16.16,15.73,15.91,2409200.0
2007-02-14,11.28,16.09,16.25,15.77,16.06,5880400.0
2007-02-15,11.53,16.44,16.52,15.62,16.09,6120400.0
2007-02-16,11.59,16.53,16.66,16.33,16.4,3797200.0
2007-02-20,11.48,16.38,16.51,16.21,16.41,2868400.0
2007-02-21,11.59,16.53,16.56,16.19,16.21,2373200.0
2007-02-22,11.93,17.01,17.11,16.58,16.8,3518400.0
2007-02-23,11.84,16.89,17.09,16.84,17.08,2298000.0
2007-02-26,11.94,17.03,17.19,16.99,17.02,2906400.0
2007-02-27,11.53,16.44,16.91,16.16,16.62,3192000.0
2007-02-28,11.53,16.44,16.59,16.1,16.45,2973200.0
2007-03-01,11.67,16.64,16.77,16.0,16.15,4231200.0
2007-03-02,11.46,16.35,16.74,16.32,16.64,4788800.0
2007-03-05,11.32,16.15,16.62,16.01,16.14,3358400.0
2007-03-06,11.63,16.59,16.69,16.27,16.27,3162400.0
2007-03-07,11.84,16.88,17.02,16.33,16.51,3100000.0
2007-03-08,11.82,16.85,17.04,16.75,16.98,3128000.0
2007-03-09,11.74,16.74,16.92,16.48,16.8,4312000.0
2007-03-12,11.75,16.75,16.79,16.56,16.65,2262400.0
2007-03-13,11.7,16.68,16.9,16.58,16.67,2709600.0
2007-03-14,11.83,16.88,16.98,16.53,16.75,2806400.0
2007-03-15,11.74,16.74,16.96,16.67,16.83,2134800.0
2007-03-16,11.67,16.64,16.86,16.56,16.67,1958000.0
2007-03-19,11.92,17.0,17.06,16.75,16.83,2266000.0
2007-03-20,11.9,16.97,17.05,16.71,17.0,2585200.0
2007-03-21,12.18,17.37,17.49,17.13,17.13,2136800.0
2007-03-22,12.14,17.32,17.57,17.24,17.49,2392800.0
2007-03-23,12.08,17.23,17.43,17.05,17.35,4498000.0
2007-03-26,12.27,17.5,17.5,17.21,17.33,3642400.0
2007-03-27,12.26,17.49,17.56,17.37,17.43,2143200.0
2007-03-28,12.18,17.38,17.57,17.27,17.5,1724400.0
2007-03-29,12.39,17.67,17.71,17.37,17.5,2580400.0
2007-03-30,12.23,17.44,17.7,17.23,17.6,4188400.0
2007-04-02,12.42,17.71,17.72,17.43,17.55,1702000.0
2007-04-03,12.3,17.55,17.67,17.42,17.63,2058000.0
2007-04-04,12.43,17.73,17.76,17.41,17.52,1688000.0
2007-04-05,12.44,17.75,17.85,17.66,17.7,946000.0
2007-04-09,12.45,17.75,17.97,17.66,17.75,1440800.0
2007-04-10,12.68,18.08,18.09,17.72,17.78,1750000.0
2007-04-11,12.43,17.72,17.96,17.67,17.92,2510000.0
2007-04-12,12.65,18.04,18.05,17.71,17.81,1820400.0
2007-04-13,12.63,18.01,18.08,17.9,18.04,1692000.0
2007-04-16,12.68,18.08,18.11,17.81,17.82,2342400.0
2007-04-17,12.67,18.07,18.25,17.96,18.17,1810800.0
2007-04-18,12.22,17.43,17.62,17.23,17.62,3842800.0
2007-04-19,12.14,17.31,17.44,17.25,17.35,1721600.0
2007-04-20,12.14,17.32,17.6,17.11,17.48,3064400.0
2007-04-23,12.26,17.48,17.53,17.32,17.34,2128400.0
2007-04-24,12.26,17.48,17.54,17.28,17.52,1327600.0
2007-04-25,12.65,18.04,18.13,17.59,17.62,2304000.0
2007-04-26,12.67,18.08,18.14,17.85,18.03,3241600.0
2007-04-27,12.73,18.15,18.23,17.99,18.05,3696800.0
2007-04-30,12.43,17.72,18.33,17.71,18.18,1877200.0
2007-05-01,12.4,17.68,17.83,17.49,17.78,1609200.0
2007-05-02,12.48,17.79,17.91,17.62,17.68,2386000.0
2007-05-03,12.76,18.2,18.24,17.75,17.77,2226800.0
2007-05-04,12.79,18.24,18.43,18.11,18.2,2124400.0
2007-05-07,12.73,18.16,18.27,18.04,18.21,2614800.0
2007-05-08,12.46,17.77,18.14,17.7,18.14,2796000.0
2007-05-09,12.83,18.3,18.3,17.69,17.74,5501200.0
2007-05-10,12.4,17.68,18.45,17.56,18.34,2861200.0
2007-05-11,12.87,18.36,18.39,17.75,17.76,2942400.0
2007-05-14,12.95,18.47,18.61,18.26,18.34,3036000.0
2007-05-15,13.1,18.69,18.89,18.39,18.53,3788400.0
2007-05-16,12.92,18.42,18.76,18.13,18.64,3163600.0
2007-05-17,13.1,18.68,18.74,18.11,18.28,2672000.0
2007-05-18,13.17,18.78,18.82,18.6,18.63,2560400.0
2007-05-21,13.38,19.08,19.24,18.77,18.78,2847200.0
2007-05-22,13.17,18.77,19.07,18.73,19.0,2516400.0
2007-05-23,13.24,18.89,19.23,18.8,18.87,1500400.0
2007-05-24,12.87,18.35,19.12,18.29,18.92,1808400.0
2007-05-25,13.11,18.7,18.75,18.5,18.54,1003600.0
2007-05-29,13.09,18.66,18.86,18.57,18.67,1058000.0
2007-05-30,13.28,18.94,18.94,18.44,18.52,1416000.0
2007-05-31,13.25,18.9,19.17,18.76,18.97,1896800.0
2007-06-01,13.26,18.91,19.01,18.81,18.95,1600000.0
2007-06-04,13.67,19.5,19.51,18.86,18.9,1884800.0
2007-06-05,13.52,19.28,19.51,19.16,19.44,1587600.0
2007-06-06,13.2,18.82,19.19,18.75,19.17,2049200.0
2007-06-07,12.88,18.38,18.92,18.3,18.75,2202000.0
2007-06-08,12.95,18.47,18.48,18.16,18.38,1767600.0
2007-06-11,13.09,18.67,18.9,18.4,18.72,1240800.0
2007-06-12,12.97,18.49,18.75,18.46,18.63,1432800.0
2007-06-13,13.25,18.89,18.92,18.57,18.59,1466800.0
2007-06-14,13.41,19.12,19.27,18.96,18.97,1405600.0
2007-06-15,13.46,19.2,19.38,19.19,19.24,2168800.0
2007-06-18,13.49,19.24,19.29,18.99,19.2,1795600.0
2007-06-19,13.54,19.31,19.43,19.08,19.08,2275200.0
2007-06-20,13.24,18.89,19.4,18.83,19.27,1965600.0
2007-06-21,13.79,19.66,19.66,18.93,18.99,3019600.0
2007-06-22,13.89,19.81,20.0,19.58,19.72,4218000.0
2007-06-25,13.59,19.39,19.75,19.3,19.56,2252400.0
2007-06-26,13.46,19.19,19.61,19.1,19.55,2226000.0
2007-06-27,13.67,19.5,19.53,18.76,18.95,2182800.0
2007-06-28,13.77,19.64,19.88,19.5,19.73,2179600.0
2007-06-29,13.89,19.81,20.06,19.68,19.88,2260000.0
2007-07-02,14.31,20.41,20.42,19.88,19.96,2623200.0
2007-07-03,14.32,20.42,20.76,20.3,20.44,1562800.0
2007-07-05,14.4,20.54,20.56,20.26,20.42,1686400.0
2007-07-06,14.55,20.75,20.77,20.47,20.61,1424000.0
2007-07-09,14.67,20.92,20.97,20.65,20.76,2362400.0
2007-07-10,14.65,20.89,21.02,20.65,20.79,1682800.0
2007-07-11,14.92,21.27,21.27,20.72,20.73,2540800.0
2007-07-12,15.32,21.85,21.95,21.45,21.45,3970000.0
2007-07-13,15.55,22.18,22.35,21.69,21.79,2769200.0
2007-07-16,15.6,22.24,22.42,22.09,22.25,3624000.0
2007-07-17,15.68,22.37,22.74,22.25,22.33,3966800.0
2007-07-18,15.97,22.77,23.04,22.3,22.57,5674400.0
2007-07-19,16.33,23.29,23.4,22.9,23.04,3538800.0
2007-07-20,16.39,23.38,23.51,23.22,23.29,2496000.0
2007-07-23,16.39,23.37,23.68,23.03,23.59,4168800.0
2007-07-24,16.06,22.91,23.24,22.8,23.24,2278400.0
2007-07-25,16.59,23.66,23.67,22.56,23.23,4883200.0
2007-07-26,16.3,23.24,24.16,22.91,23.5,6135200.0
2007-07-27,15.82,22.57,23.52,22.57,23.24,4324800.0
2007-07-30,16.29,23.23,23.25,22.43,22.75,3247600.0
