,Adj Close,Close,High,Low,Open,Volume
2007-01-03,55.66,71.0,71.67,70.37,70.5,706000.0
2007-01-04,55.48,70.78,71.18,70.25,71.0,452100.0
2007-01-05,54.35,69.34,70.79,68.92,70.6,583000.0
2007-01-08,54.89,70.02,70.34,68.77,69.34,365600.0
2007-01-09,54.93,70.07,70.23,69.53,70.02,281300.0
2007-01-10,55.31,70.56,70.65,69.57,69.77,403200.0
2007-01-11,55.93,71.35,71.35,70.51,70.57,314100.0
2007-01-12,56.25,71.76,71.89,71.1,71.39,290800.0
2007-01-16,56.23,71.73,71.8,71.29,71.6,155800.0
2007-01-17,56.51,72.09,72.36,71.63,71.8,407500.0
2007-01-18,55.58,70.9,72.3,70.51,72.3,724300.0
2007-01-19,55.91,71.32,71.66,71.0,71.02,379300.0
2007-01-22,55.75,71.12,71.4,70.92,71.32,373600.0
2007-01-23,56.28,71.8,72.25,71.0,71.13,290200.0
2007-01-24,56.77,72.42,72.47,71.25,71.73,402900.0
2007-01-25,56.43,71.99,72.6,71.64,72.42,666300.0
2007-01-26,57.01,72.73,74.76,72.26,72.4,965800.0
2007-01-29,60.04,76.6,77.25,74.0,74.65,1336800.0
2007-01-30,59.95,76.48,76.95,75.77,75.77,791900.0
2007-01-31,60.87,77.65,77.87,75.82,76.22,672700.0
2007-02-01,60.83,77.6,78.0,76.88,77.6,881100.0
2007-02-02,60.75,77.5,77.67,76.91,77.0,402000.0
2007-02-05,61.59,78.57,79.18,77.42,77.75,932000.0
2007-02-06,61.62,78.61,78.74,77.81,78.7,677600.0
2007-02-07,61.68,78.69,78.88,78.42,78.54,516000.0
2007-02-08,61.33,77.95,78.4,77.2,78.4,760500.0
2007-02-09,61.5,78.17,78.38,77.99,78.1,845800.0
2007-02-12,61.05,77.6,78.23,77.11,77.7,957600.0
2007-02-13,61.77,78.51,78.9,77.85,77.9,593200.0
2007-02-14,62.08,78.9,79.15,78.5,78.91,599700.0
2007-02-15,62.32,79.21,79.36,79.0,79.3,391500.0
2007-02-16,61.94,78.73,78.99,78.1,78.99,247500.0
2007-02-20,62.9,79.95,80.0,78.74,79.25,634900.0
2007-02-21,63.19,80.32,80.35,79.3,79.8,404800.0
2007-02-22,63.23,80.37,80.37,79.65,80.07,290800.0
2007-02-23,62.93,79.98,80.06,79.72,79.95,291600.0
2007-02-26,62.6,79.57,80.24,79.41,79.99,352700.0
2007-02-27,60.54,76.95,79.08,76.56,78.75,929800.0
2007-02-28,60.81,77.29,77.8,76.28,76.74,622000.0
2007-03-01,60.61,77.04,77.62,76.35,76.78,587400.0
2007-03-02,59.61,75.76,77.25,75.65,77.04,543400.0
2007-03-05,58.46,74.3,75.48,74.3,75.23,575500.0
2007-03-06,59.06,75.07,75.27,74.0,74.6,481500.0
2007-03-07,59.32,75.4,75.89,74.84,74.89,333100.0
2007-03-08,59.99,76.25,76.39,75.8,75.89,360300.0
2007-03-09,60.25,76.58,76.83,75.96,76.5,296900.0
2007-03-12,60.28,76.62,77.18,75.88,76.54,507500.0
2007-03-13,59.2,75.25,76.31,75.15,76.25,524600.0
2007-03-14,58.88,74.84,75.8,73.32,75.26,869200.0
2007-03-15,59.09,75.11,75.55,74.6,74.86,490800.0
2007-03-16,59.21,75.26,76.09,74.81,75.68,584600.0
2007-03-19,59.76,75.95,76.5,75.4,75.4,243400.0
2007-03-20,59.95,76.2,76.5,75.9,75.9,190400.0
2007-03-21,60.95,77.47,77.56,75.9,76.14,298700.0
2007-03-22,61.38,78.01,78.54,77.53,77.53,580700.0
2007-03-23,61.93,78.71,78.84,78.0,78.07,304100.0
2007-03-26,61.14,77.71,78.45,76.65,78.35,454400.0
2007-03-27,60.62,77.05,77.5,76.66,77.5,158800.0
2007-03-28,59.96,76.21,76.97,75.95,76.8,307000.0
2007-03-29,60.28,76.62,76.73,76.14,76.46,246700.0
2007-03-30,60.77,77.24,77.88,76.49,76.55,591600.0
2007-04-02,60.1,76.39,77.25,76.22,77.1,420600.0
2007-04-03,60.64,77.08,77.11,76.0,76.44,508900.0
2007-04-04,60.61,77.03,77.22,76.46,77.16,272900.0
2007-04-05,60.98,77.51,77.7,76.65,76.96,245500.0
2007-04-09,60.91,77.42,78.45,76.78,77.51,405800.0
2007-04-10,61.04,77.58,77.9,77.25,77.25,227300.0
2007-04-11,60.58,77.0,77.44,76.4,77.42,596900.0
2007-04-12,61.52,78.19,78.33,76.7,77.05,389100.0
2007-04-13,62.57,79.53,79.75,78.05,78.27,1004500.0
2007-04-16,64.19,81.59,83.99,81.0,81.0,1564100.0
2007-04-17,64.59,82.1,82.25,80.69,81.34,676300.0
2007-04-18,65.07,82.7,83.08,81.31,82.0,918100.0
2007-04-19,64.54,82.03,82.39,81.0,81.76,818100.0
2007-04-20,65.29,82.98,83.19,82.41,82.45,946000.0
2007-04-23,66.01,83.9,84.1,82.82,83.0,598200.0
2007-04-24,65.37,83.08,83.7,83.0,83.4,443300.0
2007-04-25,66.1,84.02,84.25,82.95,83.15,476500.0
2007-04-26,66.1,84.02,84.28,83.58,84.03,350100.0
2007-04-27,65.97,83.85,84.21,83.26,83.9,324600.0
2007-04-30,65.0,82.62,83.85,82.6,83.16,560600.0
2007-05-01,65.76,83.58,83.83,82.5,82.62,610500.0
2007-05-02,66.45,84.46,84.95,83.4,83.55,496500.0
2007-05-03,66.34,84.32,84.8,84.21,84.4,389200.0
2007-05-04,66.15,84.08,84.89,83.73,84.5,626700.0
2007-05-07,65.54,83.3,84.35,83.13,84.08,800100.0
2007-05-08,66.23,84.18,84.39,83.0,83.15,789800.0
2007-05-09,66.48,84.5,84.6,83.61,84.0,543200.0
2007-05-10,66.06,83.62,84.0,83.41,83.9,511500.0
