,Adj Close,Close,High,Low,Open,Volume
2007-01-03,24.69,29.87,30.9,29.52,30.9,23976800.0
2007-01-04,24.16,29.23,29.91,29.16,29.87,26719700.0
2007-01-05,23.97,29.0,29.4,28.6,29.07,24985200.0
2007-01-08,23.93,28.96,29.45,28.76,29.37,14436500.0
2007-01-09,23.73,28.71,28.89,28.26,28.65,21716700.0
2007-01-10,23.44,28.36,28.66,27.65,28.55,22123200.0
2007-01-11,23.36,28.27,28.89,28.12,28.3,29708800.0
2007-01-12,24.07,29.12,29.2,28.36,28.49,18745100.0
2007-01-16,23.8,28.8,29.14,28.49,29.01,17306000.0
2007-01-17,24.02,29.06,29.24,28.7,28.8,19320500.0
2007-01-18,23.66,28.63,29.34,28.4,29.12,16786800.0
2007-01-19,24.27,29.37,29.45,28.69,29.03,23209500.0
2007-01-22,24.23,29.32,29.82,29.21,29.64,18302300.0
2007-01-23,24.57,29.73,30.03,29.55,29.57,28704100.0
2007-01-24,24.92,30.15,30.4,29.53,29.68,17927300.0
2007-01-25,24.58,29.74,30.23,29.52,30.1,18228100.0
2007-01-26,24.09,29.15,29.99,29.05,29.5,37817300.0
2007-01-29,23.77,28.76,29.26,28.71,29.15,17001300.0
2007-01-30,24.23,29.32,29.4,28.9,28.93,19601500.0
2007-01-31,24.41,29.54,29.61,29.04,29.12,16388400.0
2007-02-01,24.48,29.62,29.83,29.38,29.71,14634000.0
2007-02-02,24.59,29.75,29.93,29.45,29.72,14285500.0
2007-02-05,24.65,29.82,30.07,29.82,30.05,12179800.0
2007-02-06,24.7,29.89,30.13,29.66,30.13,11206600.0
2007-02-07,24.5,29.64,30.03,29.53,30.0,14936100.0
2007-02-08,24.56,29.72,29.81,29.35,29.69,14128500.0
2007-02-09,24.72,29.91,30.25,29.59,29.79,13994900.0
2007-02-12,24.57,29.73,29.77,29.46,29.77,12727400.0
2007-02-13,25.33,30.65,30.9,29.78,29.79,23705800.0
2007-02-14,25.37,30.7,30.9,30.27,30.61,14866800.0
2007-02-15,25.11,30.38,30.49,29.98,30.49,15576500.0
2007-02-16,24.84,30.05,30.49,30.0,30.27,14586700.0
2007-02-20,24.83,30.04,30.07,29.7,29.85,9238000.0
2007-02-21,25.02,30.27,30.4,29.7,30.04,13487400.0
2007-02-22,26.04,31.51,31.59,30.1,30.36,21030000.0
2007-02-23,26.08,31.55,32.05,31.52,31.65,16166300.0
2007-02-26,26.36,31.9,32.3,31.77,31.77,15883100.0
2007-02-27,25.46,30.73,32.0,30.61,31.32,24556400.0
2007-02-28,25.61,30.92,31.37,30.85,30.97,23563200.0
2007-03-01,25.96,31.34,31.77,30.18,30.54,19822100.0
2007-03-02,25.66,30.98,31.65,30.81,31.34,18973200.0
2007-03-05,25.08,30.28,31.1,30.24,30.48,15653200.0
2007-03-06,25.66,30.97,31.19,30.57,30.64,16013100.0
2007-03-07,26.05,31.45,31.9,30.86,31.07,28395500.0
2007-03-08,26.29,31.73,31.95,31.29,31.69,26876000.0
2007-03-09,26.53,32.02,32.3,31.6,32.09,25184200.0
2007-03-12,26.67,32.19,32.3,31.83,32.0,13683500.0
2007-03-13,26.34,31.8,32.72,31.77,32.32,22850500.0
2007-03-14,26.37,31.83,32.14,31.26,31.83,23224100.0
2007-03-15,26.63,32.14,32.3,31.73,32.0,13460900.0
2007-03-16,26.56,32.06,32.37,31.8,32.14,19243700.0
2007-03-19,26.84,32.4,32.68,32.26,32.3,17103900.0
2007-03-20,25.27,30.5,32.56,29.58,32.3,99347800.0
2007-03-21,25.42,30.69,30.86,30.22,30.6,38940600.0
2007-03-22,25.47,30.75,30.9,30.25,30.86,27559900.0
2007-03-23,25.75,31.08,31.25,30.73,30.84,31637300.0
2007-03-26,25.99,31.37,31.4,30.79,31.25,32579900.0
2007-03-27,25.71,31.04,31.37,30.9,31.37,57900700.0
2007-03-28,25.94,31.31,31.36,30.85,31.23,36191700.0
2007-03-29,26.54,32.04,32.36,31.14,31.38,39687600.0
2007-03-30,26.29,31.74,32.2,31.5,32.06,19332900.0
2007-04-02,26.73,32.27,32.39,31.66,31.8,32970400.0
2007-04-03,27.14,32.76,32.95,32.27,32.7,46993200.0
2007-04-04,27.21,32.84,32.93,32.4,32.7,20005300.0
2007-04-05,27.29,32.94,33.18,32.2,32.65,16593000.0
2007-04-09,27.01,32.6,33.05,32.43,33.02,17985200.0
2007-04-10,27.22,32.86,32.92,32.48,32.65,17475400.0
2007-04-11,26.88,32.45,33.4,32.32,32.9,27245300.0
2007-04-12,27.11,32.72,32.79,32.05,32.62,21359300.0
2007-04-13,27.06,32.67,32.84,32.5,32.73,12816500.0
2007-04-16,27.26,32.91,32.99,32.49,32.67,24165500.0
2007-04-17,26.99,32.58,33.07,32.27,33.0,23266400.0
2007-04-18,26.81,32.36,32.64,32.0,32.4,16355100.0
2007-04-19,26.53,32.02,32.25,31.84,32.11,14729900.0
2007-04-20,26.22,31.65,32.5,31.37,32.5,24319700.0
2007-04-23,26.1,31.51,31.85,31.48,31.73,17723500.0
2007-04-24,25.76,31.09,31.62,30.99,31.55,21437500.0
2007-04-25,26.13,31.54,31.94,30.99,31.34,29451100.0
2007-04-26,26.2,31.63,32.22,31.44,31.95,27460200.0
2007-04-27,26.3,31.75,32.14,31.42,31.64,25419200.0
2007-04-30,26.32,31.77,32.4,31.69,31.77,29048900.0
2007-05-01,26.0,31.39,31.83,31.0,31.69,25345900.0
2007-05-02,26.45,31.93,32.02,31.39,31.45,21803900.0
2007-05-03,26.73,32.27,32.45,31.83,31.93,17755000.0
2007-05-04,26.74,32.28,32.7,32.11,32.45,21486600.0
2007-05-07,26.72,32.26,32.3,31.99,32.11,13186900.0
2007-05-08,26.82,32.37,32.52,31.75,32.24,13757500.0
2007-05-09,27.46,33.15,33.28,32.22,32.33,26264000.0
2007-05-10,27.18,32.81,33.43,32.75,33.19,19912300.0
2007-05-11,27.8,33.56,33.69,32.78,33.0,18384200.0
2007-05-14,28.22,34.07,34.21,33.45,33.55,20318800.0
2007-05-15,28.18,34.02,34.52,33.75,33.97,14886600.0
2007-05-16,29.48,35.59,35.73,34.02,34.3,44003000.0
2007-05-17,30.11,36.35,36.53,35.39,35.69,26324700.0
2007-05-18,30.2,36.46,36.75,35.88,36.6,24184200.0
2007-05-21,30.41,36.71,37.18,36.15,36.58,21502300.0
2007-05-22,30.07,36.3,37.2,36.22,37.1,19782000.0
2007-05-23,30.39,36.69,37.14,36.3,36.64,17141500.0
2007-05-24,29.74,35.9,37.04,35.61,36.64,21476300.0
2007-05-25,29.92,36.12,36.27,35.89,36.22,12687300.0
2007-05-29,29.65,35.79,36.2,35.51,35.97,14412800.0
2007-05-30,29.98,36.1,36.22,35.0,35.5,20276000.0
2007-05-31,29.86,35.95,36.39,35.77,36.12,13239700.0
2007-06-01,29.76,35.83,36.33,35.8,36.15,11195800.0
2007-06-04,30.26,36.44,36.54,35.49,35.83,18096700.0
2007-06-05,30.17,36.33,36.65,36.01,36.01,12727900.0
2007-06-06,29.72,35.79,36.33,35.55,36.27,13923500.0
2007-06-07,29.09,35.03,35.99,34.94,35.7,18036000.0
2007-06-08,29.27,35.24,35.39,34.55,35.0,13697500.0
2007-06-11,29.28,35.26,35.58,34.9,35.15,9175500.0
2007-06-12,28.8,34.68,35.21,34.58,35.11,13896700.0
2007-06-13,29.48,35.5,35.75,34.72,34.85,19887600.0
2007-06-14,30.11,36.26,36.61,35.75,35.82,14339700.0
2007-06-15,30.21,36.37,36.67,36.26,36.56,14955500.0
2007-06-18,29.83,35.92,36.37,35.5,35.85,17500300.0
2007-06-19,30.06,36.2,36.74,35.73,35.89,15508400.0
2007-06-20,29.23,35.19,36.39,35.11,36.25,19908300.0
2007-06-21,29.82,35.9,35.97,35.13,35.41,17109600.0
2007-06-22,29.67,35.72,36.02,35.06,35.95,23016300.0
2007-06-25,29.12,35.06,35.47,34.76,35.47,20329000.0
2007-06-26,28.59,34.43,35.09,34.23,35.07,17053600.0
2007-06-27,28.91,34.81,34.97,33.77,34.16,20081700.0
2007-06-28,28.67,34.52,35.33,34.35,34.9,12673800.0
2007-06-29,28.65,34.5,35.05,34.27,34.86,12989300.0
2007-07-02,29.03,34.95,35.06,34.4,34.56,9289900.0
2007-07-03,28.95,34.86,35.1,34.76,35.07,5496300.0
2007-07-05,28.65,34.5,35.0,33.8,35.0,22364600.0
2007-07-06,28.95,34.86,35.03,34.53,34.6,11204000.0
2007-07-09,29.14,35.09,35.22,34.86,34.92,10299400.0
2007-07-10,29.04,34.97,35.34,34.7,34.97,12705500.0
2007-07-11,28.59,34.42,34.67,34.16,34.6,16340300.0
2007-07-12,29.06,34.99,35.05,34.42,34.75,18932900.0
2007-07-13,29.49,35.51,35.68,34.8,34.82,20735900.0
2007-07-16,29.42,35.43,35.67,34.92,35.51,13869500.0
2007-07-17,29.32,35.3,35.85,35.16,35.53,15029400.0
2007-07-18,29.61,35.65,35.69,35.07,35.07,15897400.0
2007-07-19,30.23,36.4,36.6,35.72,35.85,15072200.0
2007-07-20,30.37,36.57,37.21,36.07,36.74,21908200.0
2007-07-23,31.34,37.74,38.29,36.87,38.0,26603200.0
2007-07-24,30.93,37.24,37.5,37.01,37.24,19950400.0
2007-07-25,31.19,37.55,37.68,36.78,37.47,13869600.0
2007-07-26,30.62,36.87,37.65,35.63,37.1,20423100.0
2007-07-27,29.95,36.06,37.19,35.84,36.52,18800000.0
2007-07-30,30.17,36.33,36.58,35.59,36.24,13523900.0
2007-07-31,29.91,36.02,36.93,35.94,36.45,13687500.0
2007-08-01,29.62,35.66,37.8,34.42,35.81,26502000.0
2007-08-02,29.45,35.46,36.0,34.98,35.7,17665900.0
2007-08-03,28.46,34.27,35.71,34.27,35.5,19779100.0
2007-08-06,28.49,34.3,34.98,33.44,34.98,22828500.0
2007-08-07,28.81,34.69,35.05,33.67,34.1,19214400.0
2007-08-08,28.63,34.47,35.07,34.21,34.68,28297700.0
2007-08-09,27.77,33.44,34.54,33.01,33.81,23192000.0
2007-08-10,27.6,33.23,33.4,31.55,32.9,32760000.0
2007-08-13,27.59,33.22,34.5,33.1,33.76,15818800.0
2007-08-14,27.32,32.89,33.93,32.87,33.42,15563600.0
2007-08-15,27.02,32.53,33.4,32.37,32.78,16133000.0
2007-08-16,26.55,31.97,32.46,30.81,32.09,27211000.0
2007-08-17,26.78,32.25,33.12,32.08,32.67,25941400.0
2007-08-20,27.1,32.63,32.81,31.93,32.28,17449800.0
2007-08-21,26.93,32.42,33.06,32.2,32.2,16604200.0
2007-08-22,27.07,32.6,33.0,32.45,32.56,12825900.0
2007-08-23,27.71,33.37,33.5,32.75,32.8,34560500.0
2007-08-24,28.01,33.73,34.0,33.35,33.35,14453900.0
2007-08-27,27.76,33.42,33.7,33.23,33.56,12532000.0
2007-08-28,27.37,32.95,33.42,32.87,33.25,11514700.0
2007-08-29,28.07,33.71,34.05,33.0,33.05,15127100.0
2007-08-30,28.41,34.12,34.69,33.44,33.6,14873900.0
2007-08-31,28.81,34.59,34.94,34.34,34.5,10874400.0
2007-09-04,29.14,34.99,35.4,34.45,34.55,10364800.0
2007-09-05,29.43,35.34,35.4,34.71,34.77,10667800.0
2007-09-06,29.63,35.58,35.92,35.17,35.34,11464600.0
2007-09-07,29.35,35.24,35.36,34.65,35.11,10384200.0
2007-09-10,29.36,35.26,35.41,34.54,35.28,9694300.0
2007-09-11,29.84,35.83,36.04,35.24,35.24,12520900.0
2007-09-12,30.5,36.62,36.89,35.7,35.87,14914000.0
2007-09-13,30.7,36.86,37.05,36.49,36.75,9413300.0
2007-09-14,30.9,37.11,37.3,36.7,36.7,10521000.0
2007-09-17,30.6,36.74,37.14,36.58,36.97,8330100.0
2007-09-18,31.32,37.61,37.75,36.85,36.94,12017200.0
2007-09-19,31.66,38.02,38.49,37.84,37.9,12950500.0
2007-09-20,31.94,38.35,38.49,37.83,38.01,11896100.0
2007-09-21,32.44,38.95,39.06,38.35,38.57,13801500.0
2007-09-24,32.12,38.57,39.17,38.53,39.01,11736600.0
2007-09-25,31.65,38.0,38.25,37.57,38.14,10526200.0
2007-09-26,31.98,38.4,38.98,37.87,38.32,14573600.0
2007-09-27,32.15,38.61,38.98,38.47,38.47,9744700.0
2007-09-28,31.98,38.4,39.01,37.23,38.45,11048100.0
2007-10-01,32.35,38.84,39.08,38.2,38.4,14149500.0
2007-10-02,32.55,39.08,39.25,38.34,38.55,11025600.0
2007-10-03,32.59,39.13,39.42,38.65,39.0,9906300.0
2007-10-04,32.9,39.51,39.76,38.52,39.02,9424200.0
2007-10-05,32.46,38.98,39.67,38.9,39.5,9214500.0
2007-10-08,32.37,38.87,38.89,38.31,38.57,8069000.0
2007-10-09,32.86,39.46,39.55,38.81,39.05,9039700.0
2007-10-10,33.35,40.05,40.25,39.26,39.28,12229200.0
2007-10-11,33.84,40.63,41.3,40.2,40.4,17452900.0
2007-10-12,34.28,41.16,41.37,40.33,40.74,9382400.0
2007-10-15,34.54,41.48,41.95,41.2,41.81,13416100.0
2007-10-16,34.35,41.25,41.66,40.94,41.58,9246200.0
2007-10-17,34.29,41.18,41.55,40.86,41.55,10353300.0
2007-10-18,34.15,41.01,41.46,40.62,41.06,7822800.0
2007-10-19,32.35,38.85,39.95,37.8,39.93,35792600.0
2007-10-22,32.75,39.33,40.87,37.82,37.97,27156800.0
2007-10-23,33.55,40.29,40.48,39.52,39.64,13633000.0
2007-10-24,33.76,40.54,40.78,39.61,40.13,12629400.0
2007-10-25,34.15,41.01,41.23,40.0,40.86,13245500.0
2007-10-26,34.38,41.28,41.69,40.88,41.5,11670400.0
2007-10-29,33.8,40.59,41.9,40.48,41.67,13069100.0
2007-10-30,32.59,39.13,40.48,39.03,40.48,12916300.0
2007-10-31,32.83,39.42,39.78,38.6,39.72,13613700.0
2007-11-01,32.63,39.18,40.42,38.94,39.05,13491500.0
2007-11-02,33.57,40.31,40.48,39.05,39.86,12119900.0
2007-11-05,33.11,39.76,40.12,39.04,39.31,8241900.0
2007-11-06,33.84,40.64,40.7,39.92,39.92,16953700.0
2007-11-07,33.26,39.94,40.88,39.85,40.5,11596100.0
2007-11-08,33.19,39.85,40.57,39.08,40.13,14997700.0
2007-11-09,32.04,38.47,39.67,38.27,39.67,14841600.0
2007-11-12,30.65,36.81,38.45,36.68,38.45,15922500.0
2007-11-13,31.19,37.45,37.59,36.59,36.9,14941600.0
2007-11-14,30.83,37.02,38.21,36.97,38.0,11308800.0
2007-11-15,30.45,36.57,37.49,36.28,36.8,12550500.0
2007-11-16,30.83,37.02,37.2,36.51,36.98,10893900.0
2007-11-19,30.26,36.34,37.11,36.13,36.79,14872300.0
2007-11-20,30.93,37.14,37.42,36.38,36.47,10875800.0
2007-11-21,30.31,36.39,37.06,36.2,36.76,8675500.0
2007-11-23,30.65,36.81,36.96,36.11,36.56,3768700.0
2007-11-26,29.84,35.83,37.27,35.67,36.8,10826300.0
2007-11-27,29.21,35.08,35.43,34.42,35.35,22470700.0
2007-11-28,29.86,35.85,36.29,35.7,35.92,17260700.0
2007-11-29,30.55,36.59,36.95,36.13,36.26,12343200.0
2007-11-30,30.56,36.61,37.17,36.21,37.17,11242700.0
2007-12-03,30.62,36.68,36.97,36.17,36.57,9395900.0
2007-12-04,30.3,36.29,36.53,36.0,36.53,10286400.0
2007-12-05,30.81,36.9,37.31,36.63,36.63,10779100.0
2007-12-06,31.54,37.78,38.02,36.8,36.89,10974000.0
2007-12-07,31.35,37.55,38.14,37.34,37.77,7353300.0
2007-12-10,31.76,38.04,38.14,37.27,37.58,9249800.0
2007-12-11,31.62,37.87,38.87,37.65,38.23,12266800.0
2007-12-12,32.23,38.6,38.69,38.18,38.45,11953200.0
2007-12-13,32.32,38.71,38.79,38.0,38.07,7903800.0
2007-12-14,31.39,37.6,38.66,37.44,38.66,10382300.0
2007-12-17,30.62,36.67,37.44,36.31,37.36,13176100.0
2007-12-18,30.43,36.45,37.14,36.08,37.0,11655000.0
2007-12-19,30.21,36.19,36.85,36.05,36.45,8873600.0
2007-12-20,30.51,36.54,36.64,35.94,36.21,7242000.0
2007-12-21,31.13,37.29,37.75,36.64,36.65,11204200.0
2007-12-24,31.27,37.46,37.66,37.14,37.45,2324700.0
2007-12-26,31.85,38.15,38.5,37.31,37.59,7409500.0
2007-12-27,31.68,37.94,38.3,37.76,37.76,5896600.0
2007-12-28,31.74,38.02,38.27,37.75,38.15,4818900.0
2007-12-31,31.65,37.91,38.24,37.52,37.83,5482200.0
2008-01-02,32.3,38.69,38.98,38.04,38.05,10321900.0
2008-01-03,32.66,39.12,39.67,38.8,38.89,10216200.0
2008-01-04,31.73,38.01,39.0,37.81,39.0,11450000.0
2008-01-07,31.18,37.35,38.25,36.5,38.2,15327600.0
2008-01-08,30.52,36.56,38.06,36.4,37.52,11488400.0
2008-01-09,30.67,36.74,37.31,35.92,36.53,18241500.0
2008-01-10,30.21,36.19,36.58,35.7,36.54,15601100.0
2008-01-11,29.99,35.92,36.34,35.68,36.0,13297600.0
2008-01-14,30.46,36.49,36.65,35.86,36.14,9409400.0
2008-01-15,29.52,35.36,36.22,35.09,36.0,14231200.0
2008-01-16,28.83,34.53,35.5,33.92,34.91,18656900.0
2008-01-17,27.8,33.3,35.02,32.94,35.0,19850900.0
2008-01-18,27.05,32.4,32.9,31.05,32.36,28351600.0
2008-01-22,26.67,31.95,32.25,30.0,30.28,25041700.0
2008-01-23,26.43,31.66,31.76,30.01,31.07,33748900.0
2008-01-24,27.03,32.37,32.83,31.39,31.61,18879400.0
2008-01-25,27.63,33.09,34.51,32.78,33.73,24917200.0
2008-01-28,28.01,33.55,34.05,32.54,33.85,13579400.0
2008-01-29,28.16,33.73,34.23,33.34,33.88,12152900.0
2008-01-30,27.6,33.06,34.03,32.93,33.45,13669600.0
2008-01-31,27.69,33.17,33.31,32.35,32.51,17271600.0
2008-02-01,28.16,33.73,33.98,32.88,33.35,13607800.0
2008-02-04,28.98,34.71,34.87,33.88,34.23,15364500.0
2008-02-05,28.46,34.09,34.59,33.77,34.16,15041100.0
2008-02-06,27.94,33.46,34.49,33.31,34.26,12892400.0
2008-02-07,28.04,33.58,34.08,32.93,33.03,10105600.0
2008-02-08,28.17,33.74,33.94,33.13,33.34,10486000.0
2008-02-11,28.88,34.59,34.7,33.61,33.78,12337000.0
2008-02-12,28.86,34.57,35.48,34.38,34.78,14405700.0
2008-02-13,29.78,35.67,35.77,34.62,34.89,14312800.0
2008-02-14,29.92,35.84,36.35,35.69,35.97,13154700.0
2008-02-15,29.92,35.84,36.12,35.13,35.64,9658800.0
2008-02-19,30.33,36.33,36.91,36.21,36.37,14140100.0
2008-02-20,30.66,36.72,36.93,35.92,36.17,10898300.0
2008-02-21,30.11,36.06,36.7,35.79,36.69,12011300.0
2008-02-22,30.19,36.16,36.33,35.34,36.14,12086400.0
2008-02-25,30.97,37.09,37.44,36.16,36.16,16831000.0
2008-02-26,31.36,37.56,37.76,36.56,36.85,15367200.0
2008-02-27,31.35,37.55,37.83,37.16,37.27,11165000.0
2008-02-28,32.69,39.06,39.36,37.55,37.55,21034700.0
2008-02-29,32.05,38.3,38.81,37.91,38.75,14095900.0
2008-03-03,32.27,38.56,38.99,37.97,38.32,12488200.0
2008-03-04,31.98,38.21,38.63,37.57,38.13,14097200.0
2008-03-05,32.86,39.26,39.44,38.4,38.6,16640200.0
2008-03-06,32.34,38.64,39.32,38.48,38.99,16175600.0
2008-03-07,31.79,37.99,38.7,37.62,38.3,11241500.0
2008-03-10,30.95,36.98,38.23,36.82,37.95,16741000.0
2008-03-11,32.11,38.37,38.44,37.45,37.74,13186900.0
2008-03-12,31.73,37.92,38.67,37.68,38.35,10272800.0
2008-03-13,32.28,38.57,38.87,36.97,37.54,16303700.0
2008-03-14,32.14,38.4,38.89,37.41,38.82,12549900.0
2008-03-17,30.63,36.6,37.67,36.29,37.0,21940000.0
2008-03-18,31.49,37.63,37.63,37.02,37.23,21803300.0
2008-03-19,30.03,35.88,37.62,35.82,37.38,18469500.0
2008-03-20,30.32,36.23,36.45,35.15,35.51,18789400.0
2008-03-24,30.66,36.63,37.33,36.28,36.31,12744900.0
2008-03-25,31.34,37.45,37.98,36.75,36.75,14178300.0
2008-03-26,32.61,38.97,39.11,37.31,37.31,20627900.0
2008-03-27,32.72,39.1,39.82,39.06,39.32,19255600.0
2008-03-28,32.81,39.21,39.68,38.65,39.21,12487300.0
2008-03-31,32.91,39.33,39.98,38.7,39.25,14757800.0
2008-04-01,32.99,39.42,39.64,38.56,39.4,15515600.0
2008-04-02,33.63,40.18,40.45,38.93,39.34,14876200.0
2008-04-03,33.63,40.18,40.47,39.91,39.98,18298600.0
2008-04-04,34.37,41.07,41.6,40.18,40.4,18264900.0
2008-04-07,34.85,41.64,42.31,41.3,41.6,18459600.0
2008-04-08,35.07,41.91,42.24,41.12,41.53,12108600.0
2008-04-09,35.28,42.16,42.57,41.71,42.09,10472700.0
2008-04-10,36.44,43.54,43.69,42.61,42.61,18031400.0
2008-04-11,36.42,43.52,44.05,43.07,43.19,13437800.0
2008-04-14,36.89,44.08,44.38,43.37,43.96,12748800.0
2008-04-15,37.27,44.53,44.93,44.1,44.88,13000600.0
2008-04-16,37.66,45.0,45.02,43.76,44.71,19007800.0
2008-04-17,37.79,45.15,45.38,44.39,44.75,12545800.0
2008-04-18,39.69,47.43,47.77,44.21,44.61,26553800.0
2008-04-21,39.72,47.46,47.72,45.87,47.19,17495600.0
2008-04-22,40.15,47.98,48.33,46.57,46.91,13347700.0
2008-04-23,39.74,47.48,48.18,46.72,48.18,15663200.0
2008-04-24,39.23,46.88,47.81,45.75,47.0,15075400.0
2008-04-25,39.26,46.91,47.48,46.45,46.91,13763700.0
2008-04-28,39.17,46.8,47.24,46.2,47.0,10030000.0
2008-04-29,37.64,44.98,46.42,44.9,46.37,15397600.0
2008-04-30,38.42,45.91,46.57,45.11,45.34,12816400.0
2008-05-01,37.59,44.92,45.66,43.76,45.43,13997300.0
2008-05-02,37.85,45.23,45.51,44.49,45.16,11437000.0
2008-05-05,38.44,45.93,46.76,45.2,45.85,9339200.0
2008-05-06,39.1,46.72,47.0,45.5,46.14,12136400.0
2008-05-07,39.03,46.64,47.15,45.84,47.05,11161600.0
