,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.24,27.49,27.83,27.2,27.3,2260800.0
2007-01-04,19.26,27.53,27.69,27.38,27.48,1709700.0
2007-01-05,19.14,27.36,27.5,27.17,27.42,1029100.0
2007-01-08,18.99,27.14,27.33,27.04,27.29,1208300.0
2007-01-09,19.35,27.65,27.72,27.2,27.23,2202900.0
2007-01-10,19.44,27.78,27.8,27.43,27.65,967900.0
2007-01-11,19.5,27.87,27.88,27.64,27.76,812600.0
2007-01-12,19.52,27.9,27.96,27.57,27.95,1822100.0
2007-01-16,19.45,27.8,28.13,27.72,27.91,1462000.0
2007-01-17,19.55,27.94,28.03,27.75,27.83,1122500.0
2007-01-18,19.69,28.14,28.29,27.7,27.9,1503700.0
2007-01-19,19.8,28.29,28.41,28.03,28.19,1282400.0
2007-01-22,19.67,28.11,28.49,28.08,28.3,1131600.0
2007-01-23,20.13,28.77,28.87,27.99,28.02,3393500.0
2007-01-24,20.23,28.91,28.94,28.61,28.82,739900.0
2007-01-25,19.73,28.2,28.62,28.19,28.6,1210800.0
2007-01-26,19.77,28.26,28.39,27.91,28.34,912500.0
2007-01-29,20.05,28.65,28.76,28.12,28.26,1068500.0
2007-01-30,20.02,28.49,28.63,28.19,28.54,731300.0
2007-01-31,19.96,28.4,28.44,28.16,28.42,894500.0
2007-02-01,20.15,28.68,28.75,28.41,28.5,1164900.0
2007-02-02,20.24,28.81,28.98,28.54,28.72,911000.0
2007-02-05,20.26,28.83,28.85,28.12,28.81,1071000.0
2007-02-06,20.16,28.69,28.88,28.39,28.84,1223500.0
2007-02-07,20.31,28.91,29.0,28.46,28.67,945200.0
2007-02-08,20.46,29.12,29.27,28.73,28.95,1426400.0
2007-02-09,19.94,28.38,29.47,28.03,29.23,3080500.0
2007-02-12,20.17,28.71,28.98,28.07,28.64,2148200.0
2007-02-13,20.0,28.47,28.7,28.28,28.67,1536200.0
2007-02-14,20.36,28.98,29.0,28.45,28.5,1626600.0
2007-02-15,20.69,29.44,29.59,28.91,28.98,2326200.0
2007-02-16,20.8,29.6,29.63,29.11,29.3,1592100.0
2007-02-20,20.6,29.32,29.62,29.21,29.6,2208000.0
2007-02-21,20.71,29.48,29.71,29.09,29.09,2722500.0
2007-02-22,20.83,29.65,29.8,29.5,29.64,1278900.0
2007-02-23,20.59,29.31,29.7,29.23,29.56,2543100.0
2007-02-26,20.55,29.25,29.55,29.15,29.53,2255800.0
2007-02-27,20.12,28.64,28.99,28.15,28.86,1677100.0
2007-02-28,19.86,28.27,28.6,27.61,28.6,2949300.0
2007-03-01,20.37,28.99,29.24,27.68,28.08,2476800.0
2007-03-02,20.22,28.78,29.16,28.5,28.82,1529000.0
2007-03-05,20.23,28.79,29.06,28.25,28.42,1939000.0
