,Adj Close,Close,High,Low,Open,Volume
2007-01-03,70.4,93.88,94.36,93.15,93.15,2501800.0
2007-01-04,69.93,93.25,93.88,92.73,93.88,1009400.0
2007-01-05,68.75,91.67,93.25,91.55,93.25,1612900.0
2007-01-08,69.09,92.13,92.33,91.13,91.5,1353900.0
2007-01-09,68.19,90.93,92.76,90.8,92.09,2193600.0
2007-01-10,68.12,90.83,91.3,90.3,90.76,1663300.0
2007-01-11,68.07,90.77,91.35,90.46,90.81,2350000.0
2007-01-12,68.45,91.27,91.85,90.54,90.54,1583000.0
2007-01-16,69.74,92.99,93.04,91.82,91.99,1983100.0
2007-01-17,69.23,92.32,93.24,91.88,92.81,1685500.0
2007-01-18,68.9,91.88,93.15,91.6,93.09,1212100.0
2007-01-19,69.2,92.27,92.49,91.51,91.98,992800.0
2007-01-22,68.81,91.76,92.98,91.63,92.55,1737900.0
2007-01-23,69.37,92.5,92.5,91.63,91.98,1184900.0
2007-01-24,70.09,93.46,93.53,92.5,92.75,1199900.0
2007-01-25,68.92,91.9,93.4,91.58,93.4,1268600.0
2007-01-26,69.98,93.31,94.29,91.86,92.25,1739600.0
2007-01-29,70.16,93.56,94.25,93.08,93.38,1691500.0
2007-01-30,70.92,94.57,95.0,93.61,93.74,2127600.0
2007-01-31,71.18,94.91,95.04,93.77,94.2,1768500.0
2007-02-01,72.23,96.32,96.45,94.83,95.0,1667000.0
2007-02-02,72.04,96.06,97.0,96.01,96.67,1361600.0
2007-02-05,72.08,96.12,96.43,95.33,95.67,1275700.0
2007-02-06,71.97,95.97,96.88,95.87,96.11,1689400.0
2007-02-07,71.92,95.9,96.69,95.87,96.22,1236900.0
2007-02-08,71.87,95.84,96.1,94.78,95.91,1535700.0
2007-02-09,71.45,95.27,96.91,94.98,95.91,1583800.0
2007-02-12,71.9,95.87,96.36,95.31,95.5,1006200.0
2007-02-13,72.92,97.23,97.27,95.9,96.22,1191900.0
2007-02-14,72.58,96.78,97.65,96.75,97.0,1572300.0
2007-02-15,72.86,97.16,97.38,96.57,96.75,1199600.0
2007-02-16,72.81,97.09,97.29,96.53,96.8,1002100.0
2007-02-20,73.03,97.38,97.62,96.08,96.72,1025500.0
2007-02-21,72.83,97.11,97.59,96.48,96.48,1023300.0
2007-02-22,72.44,96.6,97.49,96.4,96.72,1193900.0
2007-02-23,72.35,96.48,97.36,96.22,96.9,1550300.0
2007-02-26,72.92,97.23,97.95,96.62,97.0,2799700.0
2007-02-27,70.62,93.69,96.02,92.55,95.77,2775200.0
2007-02-28,71.28,94.56,94.83,93.82,93.82,2603600.0
