,Adj Close,Close,High,Low,Open,Volume
2007-01-03,51.66,70.16,71.45,69.6,70.05,2323500.0
2007-01-04,52.03,70.66,70.66,69.01,69.75,2006400.0
2007-01-05,51.2,69.53,70.5,69.16,70.1,2071600.0
2007-01-08,51.77,70.3,70.33,69.32,70.0,2226100.0
2007-01-09,52.78,71.68,71.83,69.92,70.64,2103500.0
2007-01-10,53.23,72.29,72.37,70.91,72.0,1479800.0
2007-01-11,54.38,73.85,74.03,72.1,72.4,2519000.0
2007-01-12,53.61,72.8,73.5,71.85,73.4,2394400.0
2007-01-16,53.35,72.45,73.11,72.2,72.55,1710200.0
2007-01-17,53.64,72.84,73.22,71.71,72.45,3493500.0
2007-01-18,52.24,70.95,72.5,69.47,71.13,7104600.0
2007-01-19,52.72,71.6,71.77,70.65,71.07,2530500.0
2007-01-22,52.74,71.62,72.0,71.03,71.6,3742900.0
2007-01-23,53.03,72.01,72.5,71.41,71.62,2360200.0
2007-01-24,53.29,72.37,72.43,71.35,71.75,1238700.0
2007-01-25,52.11,70.76,72.39,70.6,72.37,2450700.0
2007-01-26,52.2,70.89,71.12,70.3,71.0,1601800.0
2007-01-29,51.61,70.09,71.14,69.72,70.65,1986900.0
2007-01-30,51.21,69.55,70.3,69.2,70.26,2445700.0
2007-01-31,50.27,68.27,69.85,68.26,69.74,4018200.0
2007-02-01,50.63,68.76,69.29,67.77,68.9,3290600.0
2007-02-02,51.62,70.1,70.2,68.97,69.0,2023700.0
2007-02-05,50.93,69.16,69.52,68.76,69.3,1876900.0
2007-02-06,51.48,69.91,69.93,68.52,68.56,2221400.0
2007-02-07,51.55,70.0,70.15,69.22,69.7,1724500.0
2007-02-08,51.07,69.36,69.85,68.2,68.35,2249800.0
2007-02-09,49.93,67.8,69.71,67.43,69.1,2914600.0
2007-02-12,50.27,68.27,68.45,67.49,67.73,2228600.0
2007-02-13,49.96,67.85,68.59,66.9,68.2,2264200.0
2007-02-14,50.74,68.91,69.0,67.97,68.05,1664900.0
2007-02-15,50.88,69.09,69.36,68.13,69.1,2502900.0
2007-02-16,50.1,68.04,68.82,67.6,68.39,1912100.0
2007-02-20,51.41,69.81,70.1,68.55,68.7,3288900.0
2007-02-21,51.72,70.24,70.32,69.45,69.56,1644200.0
2007-02-22,51.13,69.43,70.3,68.84,69.86,1841600.0
2007-02-23,50.82,69.01,69.65,68.6,69.62,1446200.0
2007-02-26,50.59,68.7,69.5,68.51,69.45,2433400.0
2007-02-27,48.83,66.31,67.91,65.9,65.99,4206000.0
2007-02-28,48.5,65.86,66.65,65.23,66.1,2060000.0
2007-03-01,48.02,65.01,65.53,64.2,64.31,2310000.0
2007-03-02,47.11,63.77,65.4,63.76,65.01,2095400.0
2007-03-05,47.48,64.27,65.16,63.38,63.64,2734900.0
2007-03-06,47.53,64.34,64.97,63.73,64.5,3873700.0
