,Adj Close,Close,High,Low,Open,Volume
2007-01-03,31.33,43.0,43.56,42.79,42.92,3675800.0
2007-01-04,31.32,42.98,43.1,42.31,42.81,2757400.0
2007-01-05,31.02,42.57,43.01,42.22,42.8,3183400.0
2007-01-08,31.21,42.83,42.95,42.24,42.57,2715700.0
2007-01-09,31.43,43.13,43.22,42.59,42.97,3189800.0
2007-01-10,31.24,42.86,42.99,42.54,42.81,2433500.0
2007-01-11,31.76,43.58,43.85,43.05,43.09,3188400.0
2007-01-12,31.65,43.44,43.57,42.94,43.48,2794000.0
2007-01-16,31.7,43.49,43.58,43.11,43.3,2470900.0
2007-01-17,31.64,43.42,43.76,43.21,43.36,2842800.0
2007-01-18,31.29,42.94,43.57,42.65,42.65,3692900.0
2007-01-19,31.47,43.18,43.45,42.96,43.25,3886600.0
2007-01-22,30.75,42.2,43.15,41.92,42.97,4826700.0
2007-01-23,30.89,42.39,42.76,42.27,42.31,4739100.0
2007-01-24,30.86,42.35,42.77,42.19,42.32,2844200.0
2007-01-25,30.71,42.14,42.66,41.83,42.4,3015500.0
2007-01-26,30.66,42.07,42.42,41.13,42.04,5375200.0
2007-01-29,30.73,42.17,42.46,41.85,42.06,4074600.0
2007-01-30,31.36,43.04,43.12,42.17,42.17,4547400.0
2007-01-31,31.74,43.56,43.75,42.69,43.04,4069300.0
2007-02-01,31.91,43.79,43.86,43.39,43.65,3824300.0
2007-02-02,32.07,44.01,44.05,43.76,43.99,2903300.0
2007-02-05,31.97,43.87,43.97,43.54,43.84,3214400.0
2007-02-06,32.39,44.45,44.45,43.77,43.87,3680400.0
2007-02-07,32.36,44.4,44.57,44.13,44.46,3383300.0
2007-02-08,32.36,44.4,44.54,43.93,44.23,3077000.0
2007-02-09,32.13,44.08,44.57,43.92,44.52,3343300.0
2007-02-12,32.02,43.94,44.26,43.79,44.24,3062200.0
2007-02-13,32.31,44.34,44.42,43.88,43.95,3987200.0
2007-02-14,33.03,45.32,45.43,44.05,44.34,4723800.0
2007-02-15,33.05,45.35,45.46,44.95,45.17,3496800.0
2007-02-16,33.23,45.6,45.76,45.2,45.71,4017300.0
2007-02-20,33.43,45.88,46.03,45.57,45.74,4503800.0
2007-02-21,33.56,46.06,46.18,45.57,45.73,3899200.0
2007-02-22,33.48,45.94,46.24,45.65,46.05,5747600.0
2007-02-23,33.32,45.47,45.79,45.31,45.72,3671200.0
2007-02-26,33.27,45.4,45.68,44.67,45.57,3124000.0
2007-02-27,32.25,44.01,45.42,43.64,45.4,6990800.0
2007-02-28,32.41,44.24,44.64,43.64,44.01,5802100.0
2007-03-01,32.27,44.04,44.26,42.48,43.19,5916200.0
2007-03-02,32.07,43.77,44.55,43.62,43.95,4574200.0
2007-03-05,32.04,43.73,44.33,43.27,43.36,5936800.0
2007-03-06,32.37,44.18,44.26,43.65,43.82,4436500.0
2007-03-07,32.55,44.42,44.8,43.9,44.18,3772100.0
2007-03-08,33.05,45.1,45.2,44.55,44.57,4103800.0
2007-03-09,32.99,45.03,45.61,44.94,45.29,4281800.0
2007-03-12,33.26,45.39,45.44,45.02,45.09,4537600.0
2007-03-13,32.75,44.69,45.55,44.69,45.21,5050800.0
