,Adj Close,Close,High,Low,Open,Volume
2007-01-03,14.91,23.2,23.59,22.98,23.44,3129400.0
2007-01-04,14.96,23.28,23.33,22.9,23.01,1359000.0
2007-01-05,14.75,22.95,23.28,22.87,23.26,1115400.0
2007-01-08,14.95,23.27,23.33,22.86,23.05,1525200.0
2007-01-09,15.09,23.48,23.67,23.0,23.02,2181000.0
2007-01-10,15.4,23.97,24.65,23.29,23.5,3569600.0
2007-01-11,15.7,24.43,24.52,23.94,24.08,2037500.0
2007-01-12,15.83,24.63,24.86,24.26,24.36,2460300.0
2007-01-16,15.86,24.68,24.71,24.52,24.62,1842200.0
2007-01-17,15.87,24.7,24.8,24.5,24.58,1224900.0
2007-01-18,15.88,24.72,24.8,24.56,24.79,1103200.0
2007-01-19,15.77,24.54,24.67,24.32,24.65,1049100.0
2007-01-22,15.81,24.61,24.7,24.44,24.44,1144100.0
2007-01-23,15.74,24.5,24.77,24.3,24.73,1730800.0
2007-01-24,15.79,24.58,24.61,24.42,24.6,859900.0
2007-01-25,15.77,24.54,24.72,24.43,24.62,983100.0
2007-01-26,15.73,24.48,24.58,24.14,24.55,982600.0
2007-01-29,15.87,24.7,24.78,24.47,24.53,1073700.0
2007-01-30,15.79,24.57,24.76,24.49,24.71,560900.0
2007-01-31,15.81,24.6,24.65,24.4,24.57,922800.0
2007-02-01,15.91,24.76,24.91,24.5,24.74,928600.0
2007-02-02,15.85,24.66,24.8,24.52,24.61,801300.0
2007-02-05,15.77,24.54,24.77,24.49,24.57,884600.0
2007-02-06,15.96,24.84,24.86,24.53,24.54,762200.0
2007-02-07,15.96,24.84,24.95,24.73,24.85,939900.0
2007-02-08,15.76,24.52,24.63,23.95,24.45,3730800.0
2007-02-09,15.3,23.81,24.67,23.53,24.52,3398900.0
2007-02-12,15.29,23.8,23.95,23.66,23.85,2035800.0
2007-02-13,15.26,23.75,23.98,23.67,23.79,1772700.0
2007-02-14,15.33,23.86,24.04,23.46,23.64,2627500.0
2007-02-15,15.31,23.83,23.92,23.6,23.81,1296100.0
