,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.17,19.17,19.41,18.98,19.22,1942800.0
2007-01-04,19.18,19.18,19.22,18.97,19.12,1418300.0
2007-01-05,18.98,18.98,19.15,18.84,19.1,915700.0
2007-01-08,18.89,18.89,18.98,18.78,18.94,1293100.0
2007-01-09,18.27,18.27,18.77,18.2,18.73,6418800.0
2007-01-10,18.31,18.31,18.39,18.24,18.26,2510400.0
2007-01-11,18.27,18.27,18.35,18.22,18.31,1661800.0
2007-01-12,18.15,18.15,18.31,17.97,18.25,2530300.0
2007-01-16,18.19,18.19,18.3,18.1,18.12,2001200.0
2007-01-17,18.5,18.5,18.58,18.13,18.16,1865000.0
2007-01-18,18.49,18.49,18.54,18.32,18.41,1412600.0
2007-01-19,18.81,18.81,18.82,18.45,18.45,1918300.0
2007-01-22,18.9,18.9,18.94,18.73,18.77,2086400.0
2007-01-23,19.04,19.04,19.24,18.82,18.9,1928800.0
2007-01-24,19.2,19.2,19.28,18.98,18.98,1430200.0
2007-01-25,19.41,19.41,19.41,19.09,19.2,3701000.0
2007-01-26,19.54,19.54,19.54,19.32,19.4,1674000.0
2007-01-29,19.67,19.67,19.8,19.53,19.57,1425900.0
2007-01-30,19.88,19.88,19.91,19.67,19.68,1667400.0
2007-01-31,19.91,19.91,19.98,19.76,19.81,1027900.0
2007-02-01,20.06,20.06,20.13,19.93,20.01,1370800.0
2007-02-02,20.1,20.1,20.22,20.05,20.07,1131600.0
2007-02-05,20.15,20.15,20.25,19.98,20.05,1088000.0
2007-02-06,20.23,20.23,20.28,20.13,20.24,1210900.0
2007-02-07,20.4,20.4,20.42,20.16,20.22,653000.0
2007-02-08,20.49,20.49,20.57,20.38,20.38,906000.0
2007-02-09,20.41,20.41,20.5,20.39,20.44,801200.0
2007-02-12,20.27,20.27,20.55,20.22,20.39,1705600.0
2007-02-13,20.38,20.38,20.41,20.25,20.28,795000.0
2007-02-14,20.49,20.49,20.56,20.35,20.36,1160500.0
2007-02-15,20.55,20.55,20.62,20.51,20.53,773100.0
2007-02-16,20.55,20.55,20.59,20.45,20.53,652000.0
2007-02-20,20.59,20.59,20.67,20.38,20.56,1705600.0
2007-02-21,21.21,21.21,21.31,20.38,20.5,2410500.0
2007-02-22,20.97,20.97,21.2,20.83,21.19,1556000.0
2007-02-23,21.12,21.12,21.16,20.94,20.94,906500.0
2007-02-26,21.04,21.04,21.17,20.96,21.09,818500.0
2007-02-27,20.63,20.63,21.0,20.53,20.92,1287200.0
2007-02-28,20.46,20.46,20.7,20.35,20.68,1757900.0
2007-03-01,20.29,20.29,20.45,20.13,20.28,1689300.0
2007-03-02,20.16,20.16,20.39,20.13,20.27,1075000.0
2007-03-05,20.09,20.09,20.36,19.93,20.06,1372100.0
2007-03-06,20.16,20.16,20.24,19.94,20.16,955700.0
2007-03-07,20.23,20.23,20.35,20.08,20.19,755500.0
2007-03-08,20.31,20.31,20.39,20.23,20.34,708100.0
2007-03-09,20.31,20.31,20.39,20.2,20.39,600500.0
2007-03-12,20.34,20.34,20.39,20.22,20.34,674400.0
2007-03-13,19.99,19.99,20.27,19.96,20.26,779700.0
2007-03-14,20.11,20.11,20.15,19.92,19.95,1123700.0
2007-03-15,20.35,20.35,20.38,20.12,20.13,794300.0
2007-03-16,20.44,20.44,20.45,20.26,20.4,1385600.0
2007-03-19,20.55,20.55,20.59,20.42,20.45,1127600.0
2007-03-20,20.82,20.82,20.83,20.47,20.55,766200.0
2007-03-21,20.85,20.85,20.89,20.6,20.83,1084200.0
2007-03-22,21.07,21.07,21.11,20.78,20.89,1034000.0
2007-03-23,21.22,21.22,21.28,21.07,21.13,1235200.0
2007-03-26,21.25,21.25,21.3,21.09,21.26,614200.0
2007-03-27,21.25,21.25,21.31,21.0,21.23,882500.0
2007-03-28,21.42,21.42,21.5,21.14,21.26,1179300.0
2007-03-29,21.49,21.49,21.55,21.38,21.38,858000.0
2007-03-30,21.64,21.64,21.7,21.5,21.56,840400.0
2007-04-02,21.75,21.75,21.75,21.61,21.69,735900.0
2007-04-03,21.72,21.72,21.83,21.67,21.74,967200.0
2007-04-04,21.63,21.63,21.76,21.52,21.76,1044900.0
2007-04-05,21.55,21.55,21.68,21.29,21.31,1057900.0
2007-04-09,21.61,21.61,21.64,21.37,21.55,647100.0
2007-04-10,21.64,21.64,21.74,21.61,21.65,409700.0
2007-04-11,21.47,21.47,21.63,21.34,21.62,799400.0
2007-04-12,21.6,21.6,21.61,21.37,21.43,671900.0
2007-04-13,21.71,21.71,21.73,21.54,21.65,524500.0
2007-04-16,21.92,21.92,21.96,21.7,21.71,482900.0
2007-04-17,21.1,21.1,21.73,20.78,21.52,3605100.0
2007-04-18,20.86,20.86,21.09,20.72,21.05,1514100.0
2007-04-19,21.14,21.14,21.25,20.98,21.1,1234200.0
2007-04-20,20.68,20.68,21.22,20.44,21.18,2734600.0
2007-04-23,20.93,20.93,20.93,20.62,20.62,1235400.0
2007-04-24,20.9,20.9,21.09,20.81,20.91,1086500.0
2007-04-25,21.06,21.06,21.13,20.74,20.93,702000.0
2007-04-26,20.78,20.78,21.06,20.7,21.02,958800.0
2007-04-27,20.62,20.62,20.78,20.57,20.7,735100.0
2007-04-30,20.44,20.44,20.67,20.43,20.67,1137000.0
2007-05-01,20.6,20.6,20.66,20.4,20.44,1369800.0
2007-05-02,20.87,20.87,20.97,20.54,20.65,1770200.0
2007-05-03,20.8,20.8,20.89,20.77,20.83,1067600.0
2007-05-04,21.31,21.31,21.33,20.68,20.79,1576400.0
2007-05-07,21.34,21.34,21.37,21.0,21.23,996500.0
2007-05-08,20.89,20.89,21.35,20.75,21.27,1782100.0
2007-05-09,21.0,21.0,21.07,20.82,20.82,1234700.0
2007-05-10,20.65,20.65,20.95,20.59,20.95,1538600.0
2007-05-11,20.72,20.72,20.87,20.65,20.76,721900.0
2007-05-14,20.6,20.6,20.93,20.56,20.69,614800.0
2007-05-15,20.53,20.53,20.81,20.51,20.56,691500.0
2007-05-16,20.6,20.6,20.63,20.49,20.55,721100.0
2007-05-17,20.39,20.39,20.56,20.37,20.53,703500.0
2007-05-18,20.55,20.55,20.58,20.37,20.46,736400.0
2007-05-21,20.61,20.61,20.69,20.47,20.53,710100.0
2007-05-22,20.82,20.82,20.87,20.47,20.56,854500.0
2007-05-23,20.79,20.79,20.97,20.77,20.86,596900.0
2007-05-24,20.51,20.51,20.81,20.5,20.75,1519500.0
2007-05-25,20.54,20.54,20.62,20.36,20.5,765200.0
2007-05-29,20.53,20.53,20.73,20.45,20.55,2556300.0
2007-05-30,20.73,20.73,20.75,20.42,20.46,1180300.0
2007-05-31,20.99,20.99,20.99,20.7,20.72,1246100.0
2007-06-01,21.18,21.18,21.27,21.02,21.04,993900.0
2007-06-04,21.04,21.04,21.17,20.91,21.17,813700.0
2007-06-05,20.94,20.94,21.04,20.86,20.97,564500.0
2007-06-06,20.8,20.8,20.89,20.73,20.81,770600.0
2007-06-07,20.72,20.72,20.99,20.72,20.81,1612800.0
2007-06-08,20.76,20.76,20.77,20.49,20.69,1420300.0
2007-06-11,20.6,20.6,20.75,20.4,20.7,1419000.0
2007-06-12,20.57,20.57,20.73,20.39,20.52,1618700.0
2007-06-13,20.64,20.64,20.64,20.45,20.57,1307300.0
2007-06-14,20.82,20.82,20.9,20.59,20.63,751900.0
2007-06-15,21.07,21.07,21.18,20.98,20.99,1314000.0
2007-06-18,21.01,21.01,21.16,21.0,21.08,814400.0
2007-06-19,21.04,21.04,21.06,20.81,20.97,665800.0
2007-06-20,21.15,21.15,21.27,21.02,21.07,1108200.0
2007-06-21,21.04,21.04,21.18,20.86,21.08,827200.0
2007-06-22,20.72,20.72,20.96,20.58,20.96,1950400.0
2007-06-25,20.71,20.71,20.87,20.61,20.77,938400.0
2007-06-26,20.89,20.89,20.91,20.71,20.75,895300.0
2007-06-27,21.13,21.13,21.15,20.67,20.8,748900.0
2007-06-28,21.04,21.04,21.15,20.97,21.14,729500.0
2007-06-29,20.95,20.95,21.14,20.82,21.14,845800.0
2007-07-02,21.34,21.34,21.38,20.91,20.91,997800.0
2007-07-03,21.49,21.49,21.53,21.39,21.44,592100.0
2007-07-05,21.4,21.4,21.55,21.31,21.55,493600.0
2007-07-06,21.54,21.54,21.56,21.3,21.43,492600.0
2007-07-09,21.71,21.71,21.73,21.33,21.56,1132200.0
2007-07-10,21.47,21.47,21.74,21.45,21.74,1159200.0
2007-07-11,21.51,21.51,21.57,21.42,21.51,1205800.0
2007-07-12,21.87,21.87,21.89,21.6,21.69,927600.0
2007-07-13,22.03,22.03,22.05,21.76,21.89,817000.0
2007-07-16,21.8,21.8,21.97,21.77,21.96,525800.0
2007-07-17,21.87,21.87,21.96,21.79,21.79,531900.0
2007-07-18,21.85,21.85,21.96,21.64,21.87,584900.0
2007-07-19,21.8,21.8,21.96,21.68,21.96,986800.0
2007-07-20,21.61,21.61,21.8,21.52,21.8,1538400.0
