,Adj Close,Close,High,Low,Open,Volume
2007-01-03,28.36,46.29,46.64,46.1,46.43,3460000.0
2007-01-04,28.27,46.14,46.45,45.74,46.0,2578100.0
2007-01-05,28.01,45.71,45.99,45.41,45.9,2110000.0
2007-01-08,28.12,45.89,45.92,45.25,45.54,2069100.0
2007-01-09,28.66,46.77,46.84,45.93,46.1,2819700.0
2007-01-10,29.06,47.43,47.52,46.33,46.8,2853900.0
2007-01-11,29.38,47.96,47.96,47.22,47.49,2270600.0
2007-01-12,29.41,48.0,48.09,47.38,47.95,2920900.0
2007-01-16,29.57,48.26,48.47,47.8,47.92,3889900.0
2007-01-17,28.91,47.18,48.79,47.18,48.21,5980400.0
2007-01-18,28.24,46.1,46.49,45.58,45.95,6225800.0
2007-01-19,28.48,46.49,46.52,45.84,45.98,2783300.0
2007-01-22,28.55,46.6,46.7,46.18,46.45,2538300.0
2007-01-23,28.51,46.53,46.6,46.24,46.6,2832400.0
2007-01-24,29.02,47.36,47.37,46.42,46.5,2991300.0
2007-01-25,28.31,46.2,47.27,46.09,47.27,3600800.0
2007-01-26,27.79,45.35,45.81,44.71,45.0,5267600.0
2007-01-29,27.02,44.1,45.35,43.74,45.25,5576800.0
2007-01-30,27.31,44.58,44.89,44.43,44.89,3768100.0
2007-01-31,26.63,43.46,44.34,41.68,44.21,6821600.0
2007-02-01,27.15,44.32,44.53,43.81,44.0,3185000.0
2007-02-02,26.92,43.94,44.59,43.88,44.45,2942600.0
2007-02-05,27.17,44.34,44.66,43.91,43.95,2475200.0
2007-02-06,26.97,44.02,44.35,43.62,44.24,2502700.0
2007-02-07,26.78,43.71,44.8,43.6,44.8,2926500.0
2007-02-08,26.96,44.01,44.08,43.24,43.8,2123300.0
2007-02-09,26.58,43.38,44.21,43.18,44.0,1864700.0
2007-02-12,25.86,42.21,43.25,42.04,42.97,3854900.0
2007-02-13,25.73,41.99,42.48,41.88,42.2,4615100.0
2007-02-14,25.85,42.19,42.37,42.07,42.15,2555300.0
2007-02-15,26.21,42.78,42.96,41.68,42.16,3870200.0
2007-02-16,26.31,42.94,43.06,42.4,42.5,2732900.0
2007-02-20,26.7,43.58,43.72,42.5,42.94,3013300.0
2007-02-21,27.2,44.39,44.53,43.12,43.33,4206300.0
2007-02-22,27.19,44.38,44.6,44.05,44.59,2730100.0
2007-02-23,26.75,43.66,44.24,43.59,44.2,2176600.0
2007-02-26,26.17,42.72,43.9,42.65,43.66,2832900.0
2007-02-27,24.99,40.79,42.0,39.52,41.75,7611700.0
2007-02-28,25.28,41.26,41.8,40.65,41.8,4264000.0
2007-03-01,25.1,40.96,41.38,39.86,40.85,3325500.0
2007-03-02,24.78,40.45,41.06,40.37,40.68,2486700.0
2007-03-05,23.89,38.99,40.67,38.97,40.12,6221700.0
2007-03-06,24.48,39.95,40.43,39.73,40.2,6384400.0
2007-03-07,24.37,39.77,40.3,39.7,39.76,5200400.0
2007-03-08,24.62,40.19,40.42,39.93,40.0,2818600.0
2007-03-09,24.4,39.82,40.41,39.52,40.26,2223300.0
2007-03-12,23.88,38.97,39.69,38.89,39.5,4208600.0
2007-03-13,23.76,38.78,39.03,38.41,38.52,4059300.0
2007-03-14,23.6,38.52,38.89,37.89,38.25,3441100.0
2007-03-15,24.03,39.09,39.25,38.34,38.37,3448100.0
