,Adj Close,Close,High,Low,Open,Volume
2007-01-03,26.99,29.49,31.06,29.1,30.68,4734600.0
2007-01-04,27.36,29.9,30.14,29.18,29.6,3477500.0
2007-01-05,27.3,29.83,30.03,29.49,29.95,2738700.0
2007-01-08,26.38,28.83,29.82,28.66,29.61,6703900.0
2007-01-09,26.47,28.93,29.36,28.64,28.77,4889800.0
2007-01-10,26.9,29.39,29.49,28.54,28.57,3792400.0
2007-01-11,27.15,29.67,29.92,29.46,29.59,3538200.0
2007-01-12,27.72,30.29,30.97,29.91,29.91,5379200.0
2007-01-16,27.66,30.22,30.38,30.0,30.3,4196200.0
2007-01-17,27.98,30.58,30.78,30.1,30.22,5479000.0
2007-01-18,28.53,31.18,31.34,30.72,31.22,6365000.0
2007-01-19,28.7,31.36,31.53,30.89,30.89,5353700.0
2007-01-22,28.4,31.03,31.45,30.57,31.25,3658500.0
2007-01-23,29.08,31.78,32.12,31.34,31.44,4148000.0
2007-01-24,29.26,31.97,32.23,31.83,31.94,2491800.0
2007-01-25,28.72,31.38,32.04,31.22,31.8,3475000.0
2007-01-26,28.48,31.12,31.53,30.88,31.29,3186900.0
2007-01-29,28.57,31.22,31.5,30.86,30.99,2920700.0
2007-01-30,28.3,30.92,31.3,30.61,31.16,3733700.0
2007-01-31,28.78,31.45,31.69,30.47,31.0,2516800.0
2007-02-01,28.67,31.33,31.68,31.05,31.4,2008900.0
2007-02-02,28.53,31.18,31.54,30.96,31.29,2004100.0
2007-02-05,28.89,31.57,31.69,31.22,31.22,2362800.0
2007-02-06,28.65,31.31,31.66,31.18,31.58,2718100.0
2007-02-07,28.98,31.67,31.74,31.21,31.54,2348100.0
2007-02-08,29.15,31.85,32.1,31.7,31.72,4015200.0
2007-02-09,28.77,31.44,31.99,31.26,31.84,2498600.0
2007-02-12,28.37,31.0,31.69,30.94,31.45,2946200.0
2007-02-13,28.43,31.07,31.3,30.89,31.11,2245300.0
2007-02-14,28.82,31.49,31.54,30.99,31.1,1706000.0
2007-02-15,28.59,31.24,31.63,31.17,31.43,2260500.0
2007-02-16,28.33,30.96,31.34,30.93,31.29,3079200.0
2007-02-20,28.41,31.05,31.14,30.76,30.87,3158200.0
2007-02-21,28.6,31.25,31.58,30.93,30.96,2813100.0
2007-02-22,28.24,30.86,31.82,30.79,31.19,4342400.0
2007-02-23,28.63,31.28,31.4,29.4,30.0,5995300.0
2007-02-26,28.26,30.88,31.47,30.78,31.47,4369900.0
2007-02-27,26.98,29.48,30.9,29.19,30.75,5679900.0
2007-02-28,27.01,29.51,29.71,28.93,29.0,4581800.0
2007-03-01,26.59,29.06,29.28,28.05,28.68,5702000.0
2007-03-02,26.65,29.12,29.83,29.05,29.05,5179700.0
