,Adj Close,Close,High,Low,Open,Volume
2007-01-03,13.57,25.43,25.9,25.13,25.49,823600.0
2007-01-04,13.51,25.31,25.6,25.26,25.35,685000.0
2007-01-05,13.43,25.16,25.29,24.99,25.27,492400.0
2007-01-08,13.4,25.1,25.21,24.95,25.16,686200.0
2007-01-09,13.45,25.19,25.28,25.06,25.1,397800.0
2007-01-10,13.47,25.24,25.27,24.99,25.15,253800.0
2007-01-11,13.52,25.32,25.49,25.15,25.15,387600.0
2007-01-12,13.42,25.14,25.55,25.02,25.41,675400.0
2007-01-16,13.31,24.93,25.32,24.78,25.13,1036400.0
2007-01-17,13.15,24.63,24.94,24.53,24.82,545500.0
2007-01-18,13.05,24.45,24.75,24.45,24.62,408900.0
2007-01-19,12.89,24.15,24.4,24.05,24.39,601500.0
2007-01-22,13.09,24.52,24.63,24.15,24.15,1854800.0
2007-01-23,12.96,24.28,24.46,24.23,24.42,542700.0
2007-01-24,13.29,24.9,24.91,24.37,24.47,1709000.0
2007-01-25,13.19,24.7,25.42,24.67,25.42,556700.0
2007-01-26,13.2,24.73,24.79,24.58,24.72,490600.0
2007-01-29,13.74,25.74,25.97,25.28,25.43,1179400.0
2007-01-30,13.7,25.67,25.83,25.23,25.6,497600.0
2007-01-31,13.8,25.86,26.02,25.43,25.68,610600.0
2007-02-01,13.9,26.04,26.22,25.83,25.85,620200.0
2007-02-02,14.06,26.34,26.39,25.91,26.02,767200.0
2007-02-05,13.86,25.97,26.32,25.95,26.32,354300.0
2007-02-06,13.81,25.88,25.94,25.74,25.91,308100.0
2007-02-07,13.93,26.09,26.15,25.74,25.88,189500.0
2007-02-08,13.93,26.1,26.18,25.85,25.97,246100.0
2007-02-09,13.87,25.98,26.23,25.8,26.19,309700.0
2007-02-12,13.79,25.84,26.01,25.67,25.87,344100.0
2007-02-13,13.85,25.95,26.04,25.76,25.91,254200.0
2007-02-14,14.02,26.26,26.3,25.72,26.02,490900.0
2007-02-15,14.06,26.35,26.48,26.03,26.29,414200.0
2007-02-16,14.26,26.72,26.79,26.31,26.36,643100.0
2007-02-20,14.3,26.79,26.8,26.43,26.59,499600.0
2007-02-21,14.33,26.84,26.85,26.6,26.71,377600.0
2007-02-22,14.31,26.81,27.01,26.74,26.84,291000.0
2007-02-23,14.32,26.83,26.85,26.65,26.77,174400.0
2007-02-26,14.24,26.67,26.83,26.41,26.82,434600.0
