,Adj Close,Close,High,Low,Open,Volume
2007-01-03,33.6,45.89,46.98,45.69,46.37,2301200.0
2007-01-04,33.81,46.17,46.28,45.6,45.6,2493700.0
2007-01-05,33.68,46.0,46.28,45.68,45.96,2337500.0
2007-01-08,33.81,46.17,46.33,45.78,46.1,1832600.0
2007-01-09,34.07,46.52,46.55,46.03,46.41,1692000.0
2007-01-10,34.27,46.8,46.87,46.03,46.22,2727400.0
2007-01-11,34.77,47.48,47.55,46.67,46.78,2344000.0
2007-01-12,34.82,47.55,47.56,46.88,47.28,1506200.0
2007-01-16,34.97,47.75,47.76,47.01,47.6,3062800.0
2007-01-17,34.84,47.58,48.3,47.39,47.9,3883000.0
2007-01-18,34.72,47.41,48.37,47.34,48.37,1695700.0
2007-01-19,34.77,47.48,47.71,47.35,47.45,2131900.0
2007-01-22,34.45,47.05,47.55,46.45,47.32,4815600.0
2007-01-23,34.76,47.47,47.56,47.0,47.0,2665000.0
2007-01-24,34.73,47.43,47.66,47.19,47.43,2005800.0
2007-01-25,34.48,47.08,47.87,46.85,47.51,2353600.0
2007-01-26,34.38,46.95,47.2,46.7,47.1,4404000.0
2007-01-29,34.35,46.91,47.07,46.61,46.75,3522700.0
2007-01-30,36.72,50.15,50.95,47.82,48.31,6925600.0
2007-01-31,37.34,50.99,51.2,48.52,49.37,4702900.0
2007-02-01,37.93,51.8,51.9,50.82,50.9,3299300.0
2007-02-02,37.7,51.48,51.67,51.16,51.63,2448600.0
2007-02-05,37.87,51.72,51.81,51.18,51.31,2193100.0
2007-02-06,38.01,51.9,51.93,51.7,51.75,2892800.0
2007-02-07,38.08,52.0,52.09,51.8,52.0,1330400.0
2007-02-08,37.9,51.75,52.14,51.68,52.01,1482400.0
2007-02-09,37.59,51.33,52.1,51.1,52.0,1606700.0
2007-02-12,37.83,51.66,51.75,51.25,51.25,1848600.0
2007-02-13,38.04,51.95,52.56,51.89,52.0,2483700.0
2007-02-14,38.64,52.77,52.93,52.02,52.05,1762800.0
2007-02-15,38.87,53.08,53.2,52.57,52.57,1869900.0
2007-02-16,38.48,52.55,53.14,52.36,52.87,1718400.0
2007-02-20,39.05,53.33,53.5,52.52,52.61,1851800.0
2007-02-21,39.13,53.43,53.47,52.55,53.06,1127100.0
2007-02-22,38.71,52.86,53.65,52.59,53.3,1466700.0
2007-02-23,38.64,52.77,52.94,52.43,52.85,1159000.0
2007-02-26,38.52,52.6,53.04,52.41,52.75,1305700.0
2007-02-27,37.63,51.39,52.07,50.82,51.98,2703200.0
2007-02-28,37.81,51.64,52.35,51.21,51.47,3195500.0
2007-03-01,37.73,51.53,51.77,50.73,50.8,3382900.0
2007-03-02,37.27,50.9,52.38,50.86,52.38,1823900.0
2007-03-05,36.77,50.21,51.34,50.14,50.3,2096000.0
2007-03-06,37.0,50.53,50.87,50.2,50.7,3004300.0
2007-03-07,37.19,50.78,51.23,50.31,50.37,1751400.0
2007-03-08,37.45,51.14,51.53,50.67,51.11,2149100.0
2007-03-09,37.26,50.88,51.68,50.68,51.62,1790900.0
2007-03-12,37.33,50.98,51.27,50.4,50.77,1472000.0
2007-03-13,36.35,49.64,50.75,49.51,50.57,2396200.0
2007-03-14,36.25,49.5,50.65,48.74,50.2,3819000.0
2007-03-15,36.56,49.93,50.22,49.15,49.5,2074800.0
2007-03-16,36.91,50.41,50.66,50.02,50.02,2824500.0
2007-03-19,37.54,51.27,51.41,50.9,50.9,2876300.0
2007-03-20,37.49,51.2,51.35,51.02,51.15,2619400.0
2007-03-21,38.52,52.6,52.84,51.1,51.15,2412500.0
2007-03-22,38.56,52.66,52.86,52.28,52.54,1929100.0
2007-03-23,38.72,52.87,53.02,52.36,52.45,1416900.0
2007-03-26,38.41,52.45,52.95,51.85,52.69,1640000.0
2007-03-27,38.11,52.04,52.25,51.22,52.08,2041400.0
2007-03-28,37.75,51.35,51.78,51.0,51.7,2166500.0
2007-03-29,37.91,51.56,52.04,51.18,51.82,1706300.0
2007-03-30,37.94,51.6,52.08,51.04,51.56,1490200.0
2007-04-02,38.06,51.76,51.87,51.24,51.54,906900.0
2007-04-03,38.38,52.2,52.34,51.92,52.0,1173800.0
2007-04-04,38.55,52.43,52.54,52.16,52.26,952900.0
2007-04-05,38.47,52.32,52.5,51.92,52.2,1632400.0
2007-04-09,38.59,52.49,52.73,52.32,52.5,1246400.0
2007-04-10,38.82,52.8,52.94,52.49,52.67,1503100.0
2007-04-11,38.39,52.21,52.91,52.0,52.9,1617300.0
2007-04-12,38.11,51.83,52.29,51.63,52.28,2414100.0
2007-04-13,38.43,52.27,52.66,51.54,52.66,2666700.0
2007-04-16,38.99,53.03,53.03,52.32,52.5,1713300.0
2007-04-17,39.38,53.56,53.56,52.81,53.28,1803000.0
2007-04-18,38.06,51.76,53.0,50.51,53.0,5590000.0
2007-04-19,37.73,51.31,52.77,50.99,52.77,4761100.0
2007-04-20,38.0,51.68,52.39,51.38,51.91,3934100.0
2007-04-23,37.95,51.62,52.27,51.62,51.9,2363300.0
2007-04-24,37.78,51.38,51.94,51.23,51.81,2330900.0
2007-04-25,37.99,51.67,51.77,51.09,51.58,2539100.0
2007-04-26,37.84,51.46,51.79,50.82,50.82,2312400.0
2007-04-27,38.2,51.96,52.24,51.31,51.43,2076500.0
2007-04-30,37.73,51.31,52.05,51.25,52.05,1565000.0
2007-05-01,37.87,51.51,51.76,51.13,51.64,1655400.0
2007-05-02,38.54,52.42,52.61,51.68,51.72,2413200.0
2007-05-03,38.67,52.6,52.84,52.36,52.61,1459900.0
2007-05-04,38.96,52.99,53.1,52.4,52.85,2111000.0
2007-05-07,38.76,52.72,53.8,52.5,53.8,1041800.0
2007-05-08,38.67,52.6,52.6,52.06,52.26,1317400.0
2007-05-09,38.73,52.67,52.78,52.25,52.61,1571500.0
2007-05-10,38.17,51.91,52.49,51.77,52.25,1945100.0
2007-05-11,38.48,52.33,52.35,51.85,52.24,1404200.0
2007-05-14,38.51,52.38,52.6,52.1,52.25,1611400.0
2007-05-15,38.22,51.98,52.96,51.97,52.3,1541400.0
2007-05-16,38.2,51.95,52.26,51.64,52.05,1680700.0
2007-05-17,37.94,51.6,51.74,51.24,51.7,1562500.0
2007-05-18,37.81,51.43,51.83,51.3,51.7,2120800.0
2007-05-21,38.2,51.96,51.96,51.11,51.11,3522200.0
2007-05-22,39.5,53.72,55.14,51.13,51.79,7987800.0
2007-05-23,39.14,53.24,54.0,52.99,53.96,3113000.0
2007-05-24,38.57,52.46,54.0,52.41,53.61,2142100.0
2007-05-25,38.76,52.72,52.9,52.04,52.04,961100.0
2007-05-29,38.78,52.75,52.78,52.26,52.49,2554000.0
2007-05-30,38.82,52.8,53.16,52.43,52.64,3864600.0
2007-05-31,38.76,52.72,53.01,52.43,52.65,2560500.0
2007-06-01,38.66,52.58,53.08,52.45,52.75,1816300.0
2007-06-04,38.45,52.3,52.47,51.99,52.24,1508000.0
2007-06-05,37.98,51.65,51.89,51.32,51.8,2859200.0
2007-06-06,38.02,51.71,51.82,51.15,51.36,3020300.0
2007-06-07,37.68,51.25,51.79,51.13,51.33,2871700.0
2007-06-08,38.25,52.02,52.02,51.42,51.46,2375100.0
2007-06-11,38.63,52.54,52.89,51.83,51.97,2224800.0
2007-06-12,38.86,52.85,53.45,52.05,52.15,3073100.0
2007-06-13,40.7,55.35,55.45,54.13,54.5,5357900.0
2007-06-14,40.86,55.57,55.77,54.5,54.75,3065300.0
2007-06-15,40.7,55.36,56.09,55.05,56.0,4263700.0
2007-06-18,40.67,55.32,55.86,55.0,55.61,2601000.0
2007-06-19,40.75,55.42,55.5,54.74,55.01,1544600.0
2007-06-20,40.75,55.43,56.7,55.04,55.8,3181800.0
2007-06-21,41.06,55.85,56.14,55.0,55.04,1893100.0
2007-06-22,40.53,55.12,56.11,55.07,55.7,2134000.0
2007-06-25,40.35,54.88,55.93,54.79,55.12,1591500.0
2007-06-26,39.81,54.15,55.16,54.02,54.9,1920700.0
2007-06-27,40.49,54.85,54.85,53.5,53.55,1790400.0
2007-06-28,40.19,54.45,55.59,54.37,55.09,1272300.0
2007-06-29,40.0,54.19,54.42,53.51,54.42,3081700.0
2007-07-02,41.05,55.61,55.66,54.41,54.61,1972500.0
2007-07-03,41.13,55.73,55.87,55.49,55.6,866000.0
2007-07-05,40.99,55.54,55.82,55.01,55.59,1152100.0
2007-07-06,41.19,55.81,56.19,55.1,55.63,2623700.0
2007-07-09,41.85,56.7,56.99,56.36,56.51,2520300.0
2007-07-10,40.82,55.3,56.44,55.25,56.24,2281800.0
2007-07-11,41.53,56.27,56.34,55.3,55.35,1553500.0
2007-07-12,42.41,57.46,57.54,56.27,56.5,1769200.0
2007-07-13,42.74,57.91,58.11,57.06,57.32,1828000.0
2007-07-16,42.82,58.01,58.32,57.53,57.68,1312400.0
2007-07-17,42.93,58.16,58.52,57.73,58.23,1482000.0
2007-07-18,42.74,57.9,58.19,57.26,58.0,2376800.0
2007-07-19,42.66,57.79,58.59,57.06,58.02,3337600.0
2007-07-20,42.14,57.09,57.65,56.14,57.16,2911700.0
2007-07-23,42.12,57.07,57.79,56.85,57.7,1731400.0
2007-07-24,41.87,56.73,57.16,56.16,56.7,2861700.0
2007-07-25,41.46,56.17,57.06,55.5,56.14,2254700.0
2007-07-26,40.98,55.52,56.23,54.87,55.5,3308600.0
2007-07-27,40.33,54.64,55.65,54.59,55.31,2597100.0
2007-07-30,40.81,55.29,55.59,53.89,53.89,2416500.0
2007-07-31,40.63,55.05,56.01,54.51,54.51,3355200.0
2007-08-01,41.35,56.02,56.09,54.97,55.03,3413300.0
2007-08-02,41.39,56.08,56.38,55.46,56.28,1872800.0
2007-08-03,40.42,54.76,56.25,54.69,56.08,2485400.0
2007-08-06,40.76,55.22,55.22,54.1,55.1,3265400.0
2007-08-07,40.51,54.88,55.35,54.21,54.85,2708100.0
2007-08-08,40.95,55.48,55.57,54.46,54.91,2569400.0
2007-08-09,40.05,54.26,55.56,53.41,54.35,3431900.0
