,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.52,51.39,51.39,50.0,50.0,5144800.0
2007-01-04,35.1,52.26,52.64,51.19,51.39,4253200.0
2007-01-05,34.44,51.28,52.26,51.15,52.26,2665400.0
2007-01-08,34.62,51.55,51.99,51.0,51.28,2271500.0
2007-01-09,35.0,52.11,52.2,51.15,51.54,2066900.0
2007-01-10,35.17,52.36,52.53,51.82,52.18,1968100.0
2007-01-11,35.95,53.53,53.75,52.45,52.56,2655600.0
2007-01-12,36.81,54.81,55.0,53.47,53.55,3341500.0
2007-01-16,36.91,54.96,55.0,54.15,54.78,1625800.0
2007-01-17,36.67,54.6,55.25,54.35,54.96,1663700.0
2007-01-18,37.3,55.53,55.8,54.09,54.09,2590500.0
2007-01-19,36.96,55.03,55.54,54.5,55.54,2583600.0
2007-01-22,36.42,54.22,55.03,53.65,55.0,1961300.0
2007-01-23,36.23,53.94,54.67,53.67,54.2,1971900.0
2007-01-24,36.91,54.96,55.0,53.97,54.21,1488500.0
2007-01-25,35.96,53.54,54.99,53.4,54.96,1391300.0
2007-01-26,36.03,53.65,54.16,53.28,53.85,1820300.0
2007-01-29,36.57,54.44,54.51,53.26,53.7,1865300.0
2007-01-30,36.63,54.53,54.95,53.6,54.85,2613100.0
2007-01-31,37.42,55.71,55.99,54.3,54.53,1980800.0
2007-02-01,38.24,56.94,57.1,56.03,56.7,2236800.0
2007-02-02,38.07,56.68,57.05,56.34,56.94,1249100.0
2007-02-05,37.95,56.5,57.25,56.4,56.81,1792900.0
2007-02-06,38.08,56.7,57.1,56.3,56.75,2276900.0
2007-02-07,38.18,56.84,57.03,56.0,56.72,1298700.0
2007-02-08,38.27,56.98,57.1,56.3,56.84,1938400.0
2007-02-09,38.2,56.88,57.5,56.43,57.25,1800400.0
2007-02-12,38.11,56.74,57.7,56.63,57.55,2010200.0
2007-02-13,38.73,57.66,57.7,56.76,56.9,1444400.0
2007-02-14,39.37,58.62,58.88,57.76,57.8,2383400.0
2007-02-15,39.44,58.72,58.96,58.06,58.5,1487900.0
2007-02-16,39.27,58.46,58.6,57.93,58.53,1483100.0
2007-02-20,39.71,59.12,59.57,58.18,58.2,2260800.0
2007-02-21,39.74,59.17,59.65,58.55,59.11,2602600.0
2007-02-22,40.07,59.66,59.7,58.29,59.25,2164200.0
2007-02-23,39.1,58.22,59.5,57.7,59.41,3387500.0
2007-02-26,38.1,56.6,58.6,56.44,58.55,3844400.0
2007-02-27,35.21,52.3,54.06,51.12,54.05,8995800.0
2007-02-28,35.67,52.98,53.43,51.57,52.36,3779600.0
2007-03-01,36.11,53.63,53.89,51.45,52.5,3787100.0
2007-03-02,35.28,52.41,53.81,52.3,53.63,3055900.0
2007-03-05,33.99,50.49,52.0,50.38,52.0,3524900.0
2007-03-06,34.37,51.06,51.5,50.14,51.1,4182500.0
2007-03-07,33.94,50.42,51.25,49.76,51.0,5529100.0
2007-03-08,35.47,52.68,53.8,52.0,52.0,8306700.0
2007-03-09,34.72,51.57,53.25,50.93,53.25,4391800.0
2007-03-12,35.59,52.87,52.96,51.49,51.71,3487400.0
2007-03-13,35.16,52.22,52.8,51.62,52.3,3514600.0
2007-03-14,34.35,51.02,52.06,49.35,51.75,6588700.0
2007-03-15,34.44,51.16,51.62,50.89,51.05,1947900.0
2007-03-16,34.31,50.96,51.32,50.57,51.16,2288500.0
2007-03-19,34.57,51.35,51.8,51.14,51.2,2160400.0
2007-03-20,34.99,51.97,52.09,51.29,51.6,1795800.0
2007-03-21,35.53,52.78,52.91,51.3,51.95,1891600.0
2007-03-22,35.69,53.02,53.55,52.2,53.55,1526500.0
2007-03-23,35.98,53.45,53.63,52.78,52.85,1026400.0
2007-03-26,35.63,52.92,53.45,52.48,53.45,1681700.0
2007-03-27,35.18,52.25,52.88,52.11,52.85,1602800.0
2007-03-28,34.64,51.46,52.01,50.38,51.83,3143800.0
2007-03-29,35.12,52.16,52.35,51.15,52.23,2168500.0
2007-03-30,35.64,52.94,53.63,52.16,52.16,3611500.0
2007-04-02,36.18,53.74,53.95,53.11,53.31,2822900.0
2007-04-03,36.47,54.17,54.59,53.98,54.05,1741600.0
2007-04-04,36.41,54.08,54.42,53.76,54.35,1198500.0
2007-04-05,36.44,54.13,54.4,53.76,54.08,1081300.0
2007-04-09,36.75,54.59,54.75,53.59,54.65,1270200.0
2007-04-10,36.97,54.91,55.6,54.42,54.97,1730400.0
2007-04-11,36.93,54.85,55.27,54.28,55.0,1852400.0
2007-04-12,37.44,55.61,56.03,53.69,54.85,2824000.0
2007-04-13,36.97,54.92,55.75,54.49,55.5,1585100.0
2007-04-16,37.35,55.48,55.64,54.81,55.17,1469700.0
2007-04-17,37.59,55.83,56.11,55.3,55.5,1370900.0
2007-04-18,37.43,55.6,56.08,55.2,55.83,1636300.0
2007-04-19,37.57,55.81,56.0,55.15,56.0,1384000.0
2007-04-20,38.19,56.72,56.72,56.21,56.5,1723700.0
2007-04-23,38.16,56.68,56.96,56.39,56.6,1088500.0
2007-04-24,37.82,56.18,56.68,55.13,56.68,1672200.0
2007-04-25,37.62,55.88,56.64,55.77,56.64,1551000.0
2007-04-26,37.8,56.15,56.6,55.8,56.03,1243800.0
2007-04-27,37.84,56.21,56.41,55.69,56.15,1077400.0
2007-04-30,36.97,54.92,56.29,54.88,56.17,2343800.0
2007-05-01,37.15,55.18,55.25,53.78,54.5,2304300.0
2007-05-02,37.69,55.99,56.47,55.25,55.76,2126700.0
2007-05-03,37.37,55.51,56.37,55.05,56.21,2732500.0
2007-05-04,37.43,55.6,55.99,55.39,55.99,1863800.0
2007-05-07,37.31,55.42,55.86,55.22,55.65,2653000.0
2007-05-08,37.03,55.0,55.49,54.77,55.12,1443900.0
2007-05-09,37.54,55.76,56.0,54.75,54.95,2151900.0
2007-05-10,36.48,54.19,55.76,54.15,55.0,3304300.0
2007-05-11,36.34,53.98,54.48,53.16,54.45,3050500.0
2007-05-14,36.48,54.19,54.75,54.05,54.12,2111500.0
2007-05-15,36.0,53.47,54.67,53.41,54.09,2269000.0
2007-05-16,35.34,52.49,54.16,52.3,53.48,3618800.0
2007-05-17,35.8,53.17,53.86,52.65,52.67,3697500.0
2007-05-18,35.92,53.35,55.0,52.75,54.38,4849500.0
2007-05-21,35.48,52.7,53.45,52.3,53.05,3173500.0
2007-05-22,35.04,52.05,52.79,51.95,52.73,3412300.0
2007-05-23,34.83,51.74,52.84,51.65,52.18,2371800.0
2007-05-24,34.72,51.57,52.8,51.28,52.13,2738100.0
2007-05-25,34.87,51.79,52.22,51.58,51.6,1420800.0
2007-05-29,34.48,51.08,52.02,50.88,51.75,2461300.0
2007-05-30,34.61,51.27,51.37,50.4,50.79,8507300.0
2007-05-31,35.05,51.93,52.03,51.4,51.59,2797300.0
2007-06-01,36.06,53.43,53.64,52.19,52.25,4389000.0
2007-06-04,36.14,53.54,53.55,52.72,52.85,2086400.0
2007-06-05,35.77,52.99,53.44,52.72,53.33,3098200.0
2007-06-06,35.79,53.03,53.15,52.38,52.99,3269700.0
2007-06-07,34.74,51.47,53.79,51.4,53.5,3055900.0
2007-06-08,35.72,52.92,52.93,51.89,52.29,2256900.0
2007-06-11,35.45,52.52,52.77,51.92,52.77,1761600.0
2007-06-12,34.7,51.41,52.52,51.2,52.51,2592600.0
2007-06-13,35.28,52.27,52.29,51.5,51.75,2078100.0
2007-06-14,35.75,52.96,53.12,52.3,52.34,2373700.0
2007-06-15,35.75,52.96,54.0,52.88,53.54,2639800.0
2007-06-18,35.18,52.12,53.46,51.78,53.21,2492100.0
2007-06-19,34.79,51.54,52.14,51.04,52.05,3323300.0
2007-06-20,34.32,50.85,51.95,50.75,51.57,2598900.0
2007-06-21,34.58,51.23,51.47,50.4,50.74,2190000.0
2007-06-22,34.43,51.01,51.5,50.8,51.2,2024400.0
2007-06-25,34.18,50.64,51.29,50.3,51.05,2145100.0
2007-06-26,33.88,50.2,51.0,50.14,51.0,3333000.0
2007-06-27,33.86,50.17,50.23,48.6,49.35,5961800.0
2007-06-28,33.99,50.36,51.19,49.92,50.17,3118900.0
2007-06-29,34.51,51.12,51.7,50.33,50.41,3333000.0
2007-07-02,34.09,50.5,51.25,50.36,51.15,3460500.0
2007-07-03,33.57,49.74,50.5,49.51,50.45,1508200.0
2007-07-05,33.48,49.6,49.96,49.2,49.7,4238300.0
2007-07-06,33.47,49.58,49.68,48.92,49.46,4407100.0
2007-07-09,33.13,49.09,49.56,48.83,49.52,2801200.0
2007-07-10,32.1,47.55,48.53,47.1,48.48,6132900.0
2007-07-11,32.55,48.22,48.43,47.19,47.35,4082200.0
2007-07-12,33.03,48.94,49.9,48.22,49.58,4169100.0
2007-07-13,33.35,49.41,49.52,48.3,48.7,2444200.0
2007-07-16,32.64,48.36,49.39,48.2,49.31,2168800.0
2007-07-17,32.31,47.87,48.25,47.51,48.25,3122200.0
2007-07-18,32.14,47.61,48.55,47.23,47.79,3102400.0
2007-07-19,32.82,48.62,48.84,47.6,47.9,2436600.0
2007-07-20,32.03,47.45,49.51,47.42,49.4,2396700.0
2007-07-23,31.66,46.91,48.23,46.67,48.23,3362200.0
2007-07-24,30.47,45.14,46.81,44.98,46.43,3646300.0
2007-07-25,30.1,44.6,45.5,44.04,45.35,4032800.0
2007-07-26,29.33,43.45,44.52,42.7,44.0,5308100.0
2007-07-27,29.64,43.91,45.59,43.5,44.04,6001200.0
2007-07-30,31.76,47.06,47.37,45.5,46.2,6394700.0
2007-07-31,32.12,47.58,50.0,47.45,48.85,6060300.0
2007-08-01,32.15,47.63,47.77,46.63,47.56,4450600.0
2007-08-02,32.51,48.17,48.52,46.96,48.39,3069000.0
2007-08-03,31.1,46.07,48.21,46.07,47.95,3155700.0
2007-08-06,32.22,47.74,47.74,45.2,46.06,4073200.0
2007-08-07,32.86,48.69,49.0,46.79,48.0,5782900.0
2007-08-08,34.5,51.11,51.64,48.29,49.44,6357400.0
2007-08-09,34.14,50.58,53.47,48.44,50.0,6395600.0
2007-08-10,32.84,48.66,50.03,47.64,49.9,5515400.0
2007-08-13,32.81,48.61,50.48,48.0,49.63,3422700.0
2007-08-14,31.66,46.91,48.66,46.9,48.56,3245500.0
2007-08-15,31.15,46.15,48.0,45.7,46.48,4803200.0
2007-08-16,31.15,46.15,46.49,44.09,45.63,4880900.0
2007-08-17,31.73,47.01,47.4,45.15,46.39,5784600.0
2007-08-20,30.75,45.56,47.5,44.55,47.15,4641700.0
2007-08-21,30.73,45.52,45.85,44.44,44.9,2862000.0
2007-08-22,31.81,47.13,47.64,46.0,46.0,3638000.0
2007-08-23,31.81,47.12,48.1,46.75,47.8,2774900.0
2007-08-24,32.96,48.83,49.13,46.96,47.4,2930400.0
2007-08-27,32.42,48.03,49.4,47.92,48.79,2893300.0
2007-08-28,31.66,46.9,48.0,46.83,47.85,3940900.0
2007-08-29,32.6,48.16,48.21,46.73,47.2,2677100.0
2007-08-30,32.18,47.54,47.77,47.03,47.51,2691300.0
2007-08-31,32.56,48.1,49.2,46.6,47.86,4014400.0
2007-09-04,31.8,46.98,47.95,46.84,47.75,4567300.0
2007-09-05,31.94,47.19,47.72,45.95,46.85,6115900.0
2007-09-06,32.53,48.05,48.89,47.3,47.99,4601500.0
2007-09-07,31.8,46.98,47.53,46.5,47.09,4506500.0
2007-09-10,31.48,46.51,47.39,45.88,47.2,2439900.0
2007-09-11,32.05,47.34,47.7,46.4,46.7,2992000.0
2007-09-12,31.78,46.94,47.22,46.61,46.9,2713200.0
2007-09-13,32.81,48.47,48.94,47.15,47.34,3255500.0
2007-09-14,33.45,49.42,49.69,47.81,48.07,2638100.0
2007-09-17,33.04,48.81,49.16,48.22,49.15,2687800.0
2007-09-18,34.75,51.34,51.72,48.73,49.13,3599000.0
2007-09-19,35.13,51.9,52.52,51.34,51.46,3911500.0
2007-09-20,34.35,50.75,51.8,50.18,51.65,2583900.0
2007-09-21,34.35,50.74,50.93,49.81,50.61,4895600.0
2007-09-24,34.33,50.71,51.02,50.01,50.8,2193200.0
2007-09-25,32.79,48.44,49.49,47.94,49.49,3517800.0
2007-09-26,32.63,48.2,49.18,48.13,48.7,2973300.0
2007-09-27,32.0,47.27,48.32,47.08,48.31,3063700.0
2007-09-28,31.74,46.89,48.07,46.77,47.31,3584100.0
2007-10-01,32.01,47.28,47.66,46.32,46.8,3759600.0
2007-10-02,33.02,48.78,48.9,47.14,47.15,2677900.0
2007-10-03,33.49,49.47,50.25,48.44,48.56,4096100.0
2007-10-04,33.07,48.85,49.75,48.57,49.51,2305500.0
2007-10-05,33.85,50.01,50.51,49.1,49.35,2872900.0
2007-10-08,33.34,49.25,49.94,49.13,49.66,2274400.0
2007-10-09,33.14,48.96,49.26,48.36,49.26,3097200.0
2007-10-10,32.91,48.61,49.12,48.3,48.62,3568300.0
2007-10-11,30.44,44.97,47.6,44.21,45.93,15409700.0
2007-10-12,29.65,43.8,44.97,43.0,44.9,7927700.0
2007-10-15,28.53,42.14,43.98,41.75,43.8,6980500.0
2007-10-16,27.84,41.13,41.75,40.55,41.53,7677600.0
