,Adj Close,Close,High,Low,Open,Volume
2007-01-03,34.03,50.45,51.0,50.23,50.29,1455100.0
2007-01-04,33.76,50.06,50.5,50.01,50.45,952100.0
2007-01-05,33.53,49.72,50.05,49.54,50.05,1377800.0
2007-01-08,33.61,49.84,49.9,49.47,49.6,603200.0
2007-01-09,33.69,49.95,50.13,49.6,49.85,1047000.0
2007-01-10,33.86,50.21,50.35,49.72,49.79,1107700.0
2007-01-11,34.04,50.47,50.59,50.21,50.26,765400.0
2007-01-12,33.88,50.23,50.49,50.14,50.4,944500.0
2007-01-16,34.02,50.44,50.55,50.03,50.35,1287900.0
2007-01-17,33.89,50.25,50.5,50.12,50.46,792200.0
2007-01-18,33.8,50.11,50.28,49.94,50.25,816400.0
2007-01-19,33.72,50.0,50.22,49.78,50.22,1197400.0
2007-01-22,33.97,50.37,50.43,49.99,50.0,1029000.0
2007-01-23,33.91,50.28,50.47,50.1,50.18,910500.0
2007-01-24,34.05,50.48,50.55,50.09,50.19,755700.0
2007-01-25,33.9,50.27,50.83,50.25,50.53,964700.0
2007-01-26,33.94,50.32,50.5,50.25,50.28,790300.0
2007-01-29,34.27,50.81,50.94,50.25,50.39,1614600.0
2007-01-30,33.86,50.21,50.75,50.07,50.75,3013200.0
2007-01-31,33.23,49.27,50.09,48.95,49.87,4164800.0
2007-02-01,33.31,49.39,49.44,48.97,49.27,2722400.0
2007-02-02,33.03,48.98,49.57,48.95,49.48,2204700.0
2007-02-05,33.05,49.0,49.22,48.88,49.08,2268400.0
2007-02-06,33.03,48.98,49.18,48.9,49.12,2206600.0
2007-02-07,33.04,48.99,49.08,48.74,49.06,1560200.0
2007-02-08,33.04,48.99,49.07,48.68,49.0,1668200.0
2007-02-09,32.97,48.89,49.25,48.79,49.09,1750700.0
2007-02-12,33.02,48.96,49.15,48.89,49.08,2406500.0
2007-02-13,33.07,49.04,49.24,48.89,48.91,1897000.0
2007-02-14,33.47,49.63,49.76,49.06,49.06,1989800.0
2007-02-15,33.26,49.32,49.84,49.29,49.51,1599300.0
2007-02-16,33.57,49.78,49.88,49.1,49.19,2423200.0
2007-02-20,33.45,49.6,50.07,49.31,49.64,2132900.0
2007-02-21,33.3,49.37,49.6,49.28,49.6,1477000.0
2007-02-22,33.57,49.77,50.05,49.64,49.74,1573400.0
2007-02-23,33.61,49.84,50.02,49.6,49.71,1850800.0
2007-02-26,33.96,50.35,50.42,49.91,49.95,1730100.0
2007-02-27,33.29,49.08,50.26,48.89,49.81,2788300.0
2007-02-28,33.81,49.84,49.92,49.11,49.11,2839300.0
2007-03-01,33.71,49.69,49.87,49.19,49.58,2102700.0
2007-03-02,33.4,49.24,49.87,49.24,49.52,1729400.0
2007-03-05,33.42,49.26,49.61,48.91,49.0,1900800.0
2007-03-06,33.5,49.38,49.56,49.16,49.37,1622800.0
2007-03-07,33.82,49.86,50.22,49.74,49.95,2046700.0
2007-03-08,34.13,50.32,50.46,49.93,49.98,2038500.0
2007-03-09,34.24,50.47,50.79,50.17,50.52,1962000.0
2007-03-12,34.52,50.89,51.0,50.4,50.4,1434800.0
2007-03-13,34.28,50.54,51.0,50.41,50.89,3203600.0
2007-03-14,34.37,50.67,51.15,50.2,50.85,2292900.0
2007-03-15,34.64,51.06,51.07,50.4,50.58,1349800.0
2007-03-16,34.29,50.55,51.15,50.38,51.1,1817800.0
2007-03-19,34.61,51.02,51.15,50.61,50.65,2195000.0
2007-03-20,34.79,51.29,51.33,50.88,50.88,1064300.0
2007-03-21,35.06,51.69,51.79,51.0,51.22,1130400.0
2007-03-22,35.19,51.88,52.02,51.5,51.5,1267100.0
2007-03-23,35.1,51.74,51.94,51.6,51.89,878300.0
2007-03-26,34.97,51.55,51.65,51.14,51.65,1161100.0
2007-03-27,34.89,51.44,51.56,51.06,51.56,976200.0
2007-03-28,34.67,51.11,51.58,51.03,51.31,1093500.0
2007-03-29,34.72,51.18,51.75,50.88,51.75,1286600.0
2007-03-30,34.89,51.43,51.87,50.97,51.35,1334200.0
2007-04-02,35.21,51.9,52.06,51.31,51.37,2237800.0
2007-04-03,35.32,52.07,52.16,51.85,52.0,1493900.0
2007-04-04,35.25,51.96,52.14,51.89,52.07,1300600.0
2007-04-05,35.12,51.77,51.97,51.72,51.88,1116500.0
2007-04-09,35.13,51.78,51.95,51.68,51.86,956000.0
2007-04-10,35.15,51.81,51.92,51.59,51.6,935100.0
2007-04-11,34.96,51.53,51.73,51.4,51.6,1225300.0
2007-04-12,34.91,51.46,51.66,51.18,51.19,1002300.0
2007-04-13,34.98,51.56,51.69,51.44,51.5,1047500.0
2007-04-16,35.28,52.01,52.02,51.6,51.69,1078600.0
2007-04-17,35.44,52.25,52.49,52.0,52.03,1294300.0
2007-04-18,35.48,52.31,52.39,52.0,52.25,895700.0
2007-04-19,35.23,51.93,53.0,51.86,53.0,1006800.0
2007-04-20,35.64,52.54,52.56,52.11,52.29,1401300.0
2007-04-23,35.64,52.54,52.75,52.4,52.5,703600.0
2007-04-24,35.66,52.57,52.77,52.4,52.64,678500.0
2007-04-25,35.89,52.9,52.92,52.49,52.73,783700.0
2007-04-26,35.79,52.76,52.9,52.1,52.1,1061700.0
2007-04-27,36.01,53.08,53.14,52.52,52.76,1074500.0
2007-04-30,35.89,52.91,54.0,52.91,53.9,2057300.0
2007-05-01,36.2,53.37,53.45,52.83,53.12,1186700.0
2007-05-02,35.94,52.98,53.35,52.7,53.35,1580700.0
2007-05-03,35.86,52.86,53.0,52.39,52.96,2030000.0
2007-05-04,36.1,53.21,53.3,52.63,53.06,1023300.0
2007-05-07,36.18,53.34,53.48,53.17,53.35,647200.0
2007-05-08,36.36,53.6,53.84,53.17,53.17,1365800.0
2007-05-09,36.71,54.11,54.14,53.69,53.69,2591700.0
2007-05-10,36.12,53.24,53.92,52.72,53.91,1534000.0
2007-05-11,36.0,53.07,53.3,52.81,53.3,1348300.0
2007-05-14,36.16,53.3,53.56,52.95,53.0,1157200.0
2007-05-15,35.93,52.97,53.39,52.92,53.3,1401300.0
2007-05-16,36.35,53.58,53.63,52.98,53.0,1087900.0
2007-05-17,36.15,53.29,53.57,53.22,53.45,1524200.0
2007-05-18,36.39,53.65,53.7,53.28,53.33,1321200.0
2007-05-21,36.36,53.6,53.74,53.43,53.54,1344800.0
2007-05-22,36.37,53.62,53.79,53.33,53.59,896500.0
2007-05-23,36.04,53.13,53.75,53.12,53.72,924900.0
2007-05-24,36.19,53.35,53.97,53.24,53.5,1432500.0
2007-05-25,36.29,53.49,53.88,53.39,53.41,937300.0
2007-05-29,36.48,53.78,54.39,53.46,53.48,1418900.0
2007-05-30,36.8,53.95,53.95,53.05,53.49,1878400.0
2007-05-31,36.82,53.98,54.13,53.54,53.99,1395700.0
2007-06-01,37.05,54.32,54.42,54.01,54.05,1832700.0
2007-06-04,36.86,54.04,54.18,53.7,53.88,1302000.0
2007-06-05,36.16,53.01,53.75,52.96,53.63,3119000.0
2007-06-06,36.07,52.89,53.15,52.64,52.9,1924300.0
2007-06-07,35.36,51.85,52.73,51.83,52.63,2078000.0
2007-06-08,35.5,52.05,52.06,51.21,51.56,1969100.0
2007-06-11,35.77,52.45,52.58,51.75,52.04,3088300.0
2007-06-12,35.23,51.65,52.29,51.65,51.98,1641300.0
2007-06-13,35.58,52.16,52.29,51.81,51.99,2399200.0
2007-06-14,35.53,52.1,52.24,51.94,52.06,1665400.0
