,Adj Close,Close,High,Low,Open,Volume
2007-01-03,41.3,65.53,65.89,65.0,65.12,1994600.0
2007-01-04,41.51,65.88,65.96,65.09,65.63,1981800.0
2007-01-05,41.35,65.62,65.87,65.37,65.85,2004500.0
2007-01-08,41.59,65.99,66.07,65.2,65.52,1850400.0
2007-01-09,41.69,66.16,66.53,65.7,66.08,2294900.0
2007-01-10,41.87,66.44,66.49,65.77,65.95,1401300.0
2007-01-11,41.77,66.28,66.62,66.17,66.4,1272600.0
2007-01-12,41.7,66.16,66.49,66.04,66.11,1421000.0
2007-01-16,41.47,65.8,66.7,65.63,66.36,2746400.0
2007-01-17,41.82,66.37,66.51,65.8,65.87,1370500.0
2007-01-18,41.77,66.29,67.02,66.04,67.02,1467900.0
2007-01-19,41.64,66.07,66.52,65.93,66.43,1410800.0
2007-01-22,41.72,66.2,66.54,65.27,66.51,2123100.0
2007-01-23,42.1,66.81,67.09,66.08,66.08,1835200.0
2007-01-24,41.97,66.61,67.07,66.4,66.63,1131100.0
2007-01-25,41.53,65.91,66.57,65.85,66.53,2351400.0
2007-01-26,41.24,65.44,65.82,65.33,65.72,2089400.0
2007-01-29,41.28,65.5,65.78,65.23,65.34,2613200.0
2007-01-30,41.7,66.17,66.25,64.87,65.52,1893500.0
2007-01-31,41.93,66.54,66.85,66.03,66.2,1570100.0
2007-02-01,41.98,66.62,66.71,66.22,66.45,1408300.0
2007-02-02,41.97,66.61,66.84,66.4,66.62,1545100.0
2007-02-05,41.82,66.36,66.49,65.95,66.26,1257200.0
2007-02-06,41.98,66.62,66.74,66.22,66.36,1306400.0
2007-02-07,41.68,66.14,66.63,66.02,66.47,1277500.0
2007-02-08,41.33,65.59,66.27,65.5,66.06,1758100.0
2007-02-09,41.29,65.52,66.11,65.37,65.76,1747700.0
2007-02-12,41.28,65.51,65.87,65.39,65.39,1129100.0
2007-02-13,41.6,66.02,66.07,65.6,65.87,1751700.0
2007-02-14,42.03,66.7,66.94,65.98,66.02,1304100.0
2007-02-15,42.07,66.76,66.89,66.39,66.57,1179000.0
2007-02-16,41.89,66.48,67.01,66.31,66.44,1560600.0
2007-02-20,42.29,67.1,67.11,66.27,66.54,1081400.0
2007-02-21,42.06,66.74,67.03,66.45,66.92,1417700.0
2007-02-22,41.99,66.63,66.92,66.35,66.87,1056300.0
2007-02-23,42.29,67.11,67.25,66.33,66.54,2688100.0
2007-02-26,42.23,67.02,67.21,66.69,67.03,1151900.0
2007-02-27,41.21,65.4,67.38,64.48,67.02,2604500.0
2007-02-28,41.09,65.2,66.09,64.92,65.11,4451500.0
2007-03-01,41.19,65.36,65.64,63.65,65.1,3021200.0
2007-03-02,40.63,64.47,65.35,64.19,65.03,1992400.0
2007-03-05,40.84,64.8,65.47,64.29,64.47,2319300.0
2007-03-06,41.1,65.22,65.27,64.74,65.04,1489100.0
2007-03-07,40.86,64.3,65.18,64.21,64.79,1389400.0
2007-03-08,41.0,64.53,64.98,64.3,64.81,2009600.0
2007-03-09,40.97,64.49,64.88,64.3,64.67,1591500.0
2007-03-12,40.75,64.13,64.49,64.07,64.19,1537500.0
2007-03-13,40.53,63.8,64.22,63.68,63.98,2739900.0
2007-03-14,40.79,64.21,64.59,63.27,63.89,3194000.0
2007-03-15,40.81,64.24,64.52,64.07,64.21,1965700.0
2007-03-16,40.64,63.97,64.33,63.72,64.24,2120500.0
2007-03-19,41.03,64.57,64.67,64.0,64.14,1546700.0
2007-03-20,41.45,65.23,65.25,64.53,64.53,1968200.0
2007-03-21,41.85,65.88,65.92,65.06,65.1,1845100.0
2007-03-22,42.1,66.26,66.53,65.06,65.06,1590500.0
2007-03-23,42.02,66.15,66.42,65.91,66.26,1240800.0
2007-03-26,41.99,66.1,66.14,65.54,65.96,1297000.0
2007-03-27,41.81,65.81,65.92,65.37,65.75,1540700.0
2007-03-28,41.86,65.89,66.06,65.16,65.68,2806700.0
2007-03-29,41.91,65.96,66.49,65.58,66.49,1769400.0
2007-03-30,41.72,65.67,66.08,65.14,65.93,3840400.0
2007-04-02,41.8,65.79,65.98,65.38,65.69,1495300.0
2007-04-03,42.06,66.2,66.37,65.92,66.05,1211600.0
2007-04-04,42.13,66.31,66.59,66.01,66.35,1169500.0
2007-04-05,42.43,66.79,66.86,66.3,66.4,959500.0
2007-04-09,42.71,67.22,67.28,66.61,66.92,1164600.0
2007-04-10,42.85,67.45,67.63,67.14,67.22,1956300.0
2007-04-11,42.41,66.75,67.44,66.6,67.31,1699900.0
2007-04-12,42.6,67.06,67.1,66.37,66.54,1429500.0
2007-04-13,42.73,67.25,67.34,66.89,67.06,1013000.0
2007-04-16,43.06,67.78,67.78,67.29,67.43,1797200.0
2007-04-17,43.43,68.36,68.39,67.78,67.99,1937800.0
2007-04-18,43.43,68.36,68.9,68.14,68.14,2274000.0
2007-04-19,43.49,68.46,69.19,68.16,69.19,1492900.0
2007-04-20,43.82,68.97,68.99,68.13,68.65,2997600.0
2007-04-23,43.31,68.17,68.98,67.11,68.79,2256600.0
2007-04-24,43.16,67.93,68.29,67.34,67.93,2026300.0
2007-04-25,43.79,68.92,68.95,67.64,68.07,1755500.0
2007-04-26,43.68,68.75,68.94,68.36,68.74,2156100.0
2007-04-27,43.63,68.68,68.96,68.36,68.53,948800.0
2007-04-30,43.35,68.24,68.7,68.07,68.23,1444400.0
2007-05-01,43.53,68.51,68.64,67.38,67.38,1834000.0
2007-05-02,43.61,68.65,68.79,68.02,68.32,867400.0
2007-05-03,43.32,68.18,68.84,68.01,68.84,1242100.0
2007-05-04,43.4,68.31,68.69,67.95,68.19,1277800.0
2007-05-07,43.57,68.58,68.69,67.99,68.22,1269200.0
2007-05-08,43.37,68.26,68.58,68.07,68.46,987900.0
2007-05-09,43.51,68.49,68.6,67.91,68.39,2134200.0
2007-05-10,43.17,67.95,68.37,67.81,68.31,1669300.0
2007-05-11,43.41,68.33,68.42,67.79,68.02,1213600.0
2007-05-14,43.06,67.78,68.46,67.74,68.06,1680600.0
2007-05-15,42.82,67.39,68.07,67.31,68.06,2162900.0
2007-05-16,43.61,68.65,68.74,67.39,67.49,1536300.0
2007-05-17,43.71,68.79,69.05,68.25,68.36,1735300.0
2007-05-18,43.8,68.95,68.97,68.61,68.81,1783400.0
2007-05-21,43.53,68.51,68.93,68.29,68.55,1240400.0
2007-05-22,43.21,68.02,68.4,67.92,68.28,1250800.0
2007-05-23,43.16,67.93,68.31,67.79,68.07,1190100.0
2007-05-24,43.02,67.71,68.22,67.63,67.79,1703200.0
2007-05-25,43.26,68.08,68.27,67.69,67.97,909800.0
2007-05-29,43.13,67.88,68.26,67.66,67.71,1910100.0
2007-05-30,43.37,68.26,68.32,67.24,67.24,1597300.0
2007-05-31,43.22,68.03,68.29,67.85,68.03,1542100.0
2007-06-01,43.66,68.72,68.9,68.03,68.03,2275200.0
2007-06-04,43.82,68.97,69.09,68.56,68.72,2064000.0
2007-06-05,43.85,69.01,69.79,68.6,69.19,1626700.0
2007-06-06,43.22,67.51,68.39,67.48,68.34,1264300.0
2007-06-07,42.76,66.79,67.61,66.79,67.51,1689400.0
2007-06-08,43.13,67.36,67.38,66.54,66.63,1402700.0
2007-06-11,42.95,67.08,67.46,67.02,67.36,1060700.0
2007-06-12,42.63,66.58,67.03,66.53,66.72,2350000.0
2007-06-13,43.2,67.47,67.8,66.58,66.87,2370400.0
2007-06-14,43.05,67.24,67.69,66.77,67.55,1338500.0
