,Adj Close,Close,High,Low,Open,Volume
2007-01-03,27.65,27.65,27.65,26.18,26.82,5612000.0
2007-01-04,27.7,27.7,27.84,27.08,27.3,2077000.0
2007-01-05,28.09,28.09,28.4,27.48,27.58,3042000.0
2007-01-08,27.7,27.7,28.18,27.49,27.9,2630800.0
2007-01-09,27.82,27.82,27.92,27.45,27.7,1602200.0
2007-01-10,27.9,27.9,27.98,27.02,27.84,1565000.0
2007-01-11,28.41,28.41,28.57,27.98,27.99,1637800.0
2007-01-12,28.47,28.47,28.58,28.23,28.5,1286000.0
2007-01-16,28.73,28.73,29.14,28.58,28.58,1659600.0
2007-01-17,28.66,28.66,28.83,28.63,28.67,1041000.0
2007-01-18,28.55,28.55,28.77,28.46,28.73,1368600.0
2007-01-19,28.77,28.77,28.8,28.41,28.49,952200.0
2007-01-22,28.44,28.44,28.9,28.1,28.73,1252200.0
2007-01-23,28.99,28.99,29.18,28.32,28.45,1297200.0
2007-01-24,29.25,29.25,29.26,28.95,29.0,1062600.0
2007-01-25,28.56,28.56,29.26,28.46,29.25,1075200.0
2007-01-26,28.55,28.55,28.7,28.11,28.58,1047400.0
2007-01-29,29.17,29.17,29.44,28.5,28.53,1819200.0
2007-01-30,28.83,28.83,29.44,28.67,29.25,2156200.0
2007-01-31,28.72,28.72,28.99,28.45,28.71,1742800.0
2007-02-01,29.0,29.0,29.08,28.73,28.75,1340400.0
2007-02-02,28.77,28.77,29.06,28.55,29.03,1709800.0
2007-02-05,28.58,28.58,29.3,28.5,29.3,2149800.0
2007-02-06,28.75,28.75,28.89,28.38,28.68,1537800.0
2007-02-07,28.09,28.09,28.75,27.91,28.75,2576000.0
2007-02-08,27.98,27.98,28.17,27.8,28.09,2148600.0
2007-02-09,27.42,27.42,28.09,27.41,27.91,1714200.0
2007-02-12,27.3,27.3,27.7,27.25,27.42,2171000.0
2007-02-13,27.56,27.56,27.65,27.3,27.3,1918200.0
2007-02-14,28.31,28.31,28.34,27.66,27.72,2628200.0
2007-02-15,28.22,28.22,28.43,28.08,28.37,1220200.0
2007-02-16,28.12,28.12,28.34,28.0,28.23,642600.0
2007-02-20,27.93,27.93,28.2,27.8,28.1,1330400.0
2007-02-21,27.78,27.78,28.0,27.55,27.76,1507000.0
2007-02-22,28.0,28.0,28.03,27.75,27.86,1417800.0
2007-02-23,28.38,28.38,28.67,28.18,28.25,2025600.0
2007-02-26,27.97,27.97,28.5,27.85,28.48,2669000.0
2007-02-27,26.59,26.59,27.77,26.11,27.6,3899600.0
2007-02-28,26.35,26.35,27.12,26.02,27.07,4066400.0
2007-03-01,25.85,25.85,26.2,25.12,26.09,2944800.0
2007-03-02,25.0,25.0,25.85,24.91,25.85,3888800.0
2007-03-05,24.25,24.25,24.83,24.25,24.7,3398800.0
2007-03-06,25.65,25.65,25.8,24.95,25.17,4347200.0
2007-03-07,26.24,26.24,26.64,25.38,25.57,3326000.0
2007-03-08,26.73,26.73,26.9,26.53,26.53,3174000.0
2007-03-09,26.48,26.48,26.75,26.45,26.75,1929600.0
2007-03-12,26.08,26.08,26.48,25.77,26.48,2596200.0
2007-03-13,25.41,25.41,25.98,25.23,25.98,4039000.0
2007-03-14,24.62,24.62,25.58,24.0,25.45,7410600.0
2007-03-15,25.19,25.19,25.26,24.53,24.53,3514400.0
2007-03-16,25.5,25.5,25.55,25.12,25.23,2973600.0
2007-03-19,27.03,27.03,27.16,25.62,25.7,5122400.0
2007-03-20,26.95,26.95,27.03,26.72,27.03,2501800.0
2007-03-21,27.28,27.28,27.42,26.57,27.03,1933000.0
2007-03-22,26.98,26.98,27.39,26.7,27.3,1670200.0
2007-03-23,26.75,26.75,27.0,26.67,26.94,1977800.0
2007-03-26,26.88,26.88,27.15,26.51,26.78,3458800.0
2007-03-27,27.39,27.39,27.5,26.8,27.21,4609800.0
2007-03-28,27.07,27.07,27.54,26.78,27.43,3127600.0
2007-03-29,24.71,24.71,27.75,24.62,25.55,10043100.0
2007-03-30,24.54,24.54,24.98,23.77,24.8,5748600.0
2007-04-02,24.95,24.95,25.0,24.15,24.15,3758600.0
2007-04-03,25.0,25.0,25.28,24.81,24.96,2657700.0
2007-04-04,25.12,25.12,25.25,24.88,25.0,2865100.0
2007-04-05,24.94,24.94,25.07,24.9,25.07,1694400.0
2007-04-09,24.93,24.93,25.14,24.75,24.89,2243700.0
2007-04-10,24.94,24.94,24.98,24.88,24.91,1909300.0
2007-04-11,24.75,24.75,25.0,24.7,24.94,2153800.0
2007-04-12,24.57,24.57,24.86,24.16,24.66,2208200.0
2007-04-13,24.43,24.43,24.55,24.27,24.45,1411900.0
2007-04-16,24.67,24.67,24.71,24.35,24.6,1478300.0
2007-04-17,24.91,24.91,25.07,24.61,24.67,1766100.0
2007-04-18,25.02,25.02,25.16,24.6,24.86,2595300.0
2007-04-19,24.78,24.78,24.95,24.28,24.87,1901800.0
2007-04-20,25.11,25.11,25.18,24.86,24.97,1803300.0
2007-04-23,25.32,25.32,25.48,25.0,25.11,2008500.0
2007-04-24,25.1,25.1,25.35,24.63,25.33,2487900.0
2007-04-25,25.79,25.79,25.92,25.13,25.16,2948800.0
2007-04-26,25.8,25.8,25.89,25.55,25.85,1814900.0
2007-04-27,25.34,25.34,25.98,25.32,25.67,1672300.0
2007-04-30,24.92,24.92,25.34,24.84,25.34,1928100.0
2007-05-01,24.55,24.55,24.97,24.35,24.84,3466100.0
2007-05-02,25.06,25.06,25.15,24.29,24.52,2266400.0
2007-05-03,24.82,24.82,25.17,24.7,25.01,1411800.0
2007-05-04,24.87,24.87,24.99,24.65,24.82,1003800.0
2007-05-07,25.65,25.65,25.75,24.87,24.87,2301700.0
2007-05-08,25.21,25.21,25.6,24.98,25.52,1217500.0
2007-05-09,25.5,25.5,25.56,25.1,25.18,732200.0
2007-05-10,24.98,24.98,25.5,24.95,25.28,1302500.0
2007-05-11,25.09,25.09,25.25,24.8,24.97,673100.0
2007-05-14,24.77,24.77,25.16,24.72,25.1,1251400.0
2007-05-15,24.6,24.6,25.01,24.4,24.74,1947300.0
2007-05-16,24.52,24.52,24.88,24.19,24.65,1561100.0
2007-05-17,24.65,24.65,24.76,24.28,24.52,1047000.0
2007-05-18,24.61,24.61,24.65,24.22,24.65,1763500.0
2007-05-21,23.59,23.59,24.69,23.1,24.55,5831000.0
2007-05-22,23.47,23.47,23.7,23.35,23.55,2745600.0
2007-05-23,23.56,23.56,24.12,23.47,23.53,2911100.0
2007-05-24,22.8,22.8,23.44,22.63,23.44,6701400.0
2007-05-25,22.89,22.89,23.0,22.72,22.95,2082900.0
2007-05-29,23.01,23.01,23.28,22.83,23.0,1729000.0
2007-05-30,23.65,23.65,23.7,22.83,22.91,2339000.0
2007-05-31,24.0,24.0,24.17,23.68,23.68,2805300.0
2007-06-01,24.24,24.24,24.64,23.92,24.04,2592900.0
2007-06-04,23.95,23.95,24.14,23.68,24.13,2698300.0
2007-06-05,23.88,23.88,24.0,23.59,23.93,1503900.0
2007-06-06,23.44,23.44,23.83,23.3,23.83,1880600.0
2007-06-07,23.11,23.11,23.46,22.61,22.61,2375300.0
2007-06-08,23.76,23.76,23.76,23.15,23.16,1510700.0
2007-06-11,23.68,23.68,24.05,23.57,23.8,1079600.0
2007-06-12,23.05,23.05,23.55,23.04,23.55,1572400.0
2007-06-13,23.36,23.36,23.45,23.05,23.09,1146800.0
2007-06-14,23.18,23.18,23.35,22.99,23.34,1757200.0
2007-06-15,23.27,23.27,23.71,23.21,23.4,1701300.0
2007-06-18,23.13,23.13,23.59,23.11,23.37,2196600.0
2007-06-19,23.19,23.19,23.23,22.76,23.1,3207100.0
2007-06-20,25.61,25.61,26.0,25.01,25.1,7233500.0
2007-06-21,26.46,26.46,26.57,25.53,25.62,3640400.0
2007-06-22,25.97,25.97,26.39,25.6,26.29,2893800.0
2007-06-25,25.55,25.55,26.23,25.43,25.76,2519300.0
2007-06-26,25.25,25.25,25.8,25.18,25.59,1990600.0
2007-06-27,25.63,25.63,25.75,25.07,25.2,1491200.0
2007-06-28,25.74,25.74,26.08,25.6,25.64,1359700.0
2007-06-29,25.5,25.5,26.12,25.37,25.8,1826600.0
2007-07-02,25.65,25.65,25.7,25.33,25.57,1414300.0
2007-07-03,26.3,26.3,26.34,25.93,25.93,1479400.0
2007-07-05,26.79,26.79,27.2,26.33,26.4,3118700.0
2007-07-06,27.4,27.4,27.42,26.58,26.6,2147000.0
2007-07-09,26.81,26.81,27.4,26.6,27.35,1776300.0
2007-07-10,25.98,25.98,26.85,25.93,26.75,1579800.0
2007-07-11,25.84,25.84,26.0,25.43,26.0,1645800.0
2007-07-12,25.91,25.91,26.55,25.74,26.08,1792400.0
2007-07-13,26.05,26.05,26.26,25.68,25.68,1270900.0
2007-07-16,26.23,26.23,26.47,26.02,26.03,1122200.0
2007-07-17,25.46,25.46,26.1,25.39,26.1,1408100.0
2007-07-18,25.28,25.28,25.49,25.02,25.22,1769700.0
2007-07-19,25.43,25.43,25.63,25.4,25.44,832000.0
2007-07-20,25.19,25.19,25.53,25.02,25.38,1274500.0
2007-07-23,25.5,25.5,25.63,25.17,25.4,1318200.0
2007-07-24,25.05,25.05,25.38,24.93,25.18,2947800.0
2007-07-25,24.21,24.21,25.23,23.86,25.16,2252000.0
2007-07-26,23.64,23.64,24.06,22.55,23.9,4648500.0
2007-07-27,23.38,23.38,23.97,23.23,23.64,2550700.0
2007-07-30,23.39,23.39,23.73,22.98,23.38,2937700.0
2007-07-31,23.93,23.93,24.25,23.7,23.7,3880900.0
2007-08-01,24.01,24.01,24.08,23.42,24.04,4952100.0
2007-08-02,23.99,23.99,24.1,23.66,24.03,2690800.0
2007-08-03,23.96,23.96,24.91,23.73,23.89,4611500.0
2007-08-06,23.5,23.5,25.25,23.43,24.15,6676800.0
2007-08-07,24.19,24.19,24.47,23.37,23.37,3181100.0
2007-08-08,25.05,25.05,25.55,24.27,24.48,2984600.0
2007-08-09,24.0,24.0,25.48,23.95,24.8,4786500.0
2007-08-10,23.12,23.12,23.94,22.94,23.59,4586300.0
2007-08-13,22.95,22.95,23.82,22.58,23.5,3700200.0
2007-08-14,21.94,21.94,23.07,21.63,22.94,3845800.0
2007-08-15,21.84,21.84,22.47,21.75,21.9,3308800.0
2007-08-16,21.27,21.27,21.69,20.33,21.61,7879300.0
2007-08-17,22.3,22.3,22.78,21.76,21.86,3727100.0
2007-08-20,22.87,22.87,23.05,22.4,22.47,3096900.0
2007-08-21,23.47,23.47,23.74,22.59,22.72,2531000.0
2007-08-22,23.82,23.82,23.82,23.21,23.52,1939300.0
2007-08-23,23.41,23.41,24.48,23.33,23.9,2468700.0
2007-08-24,23.6,23.6,23.69,22.86,23.33,2410000.0
2007-08-27,23.01,23.01,23.55,22.85,23.33,1678400.0
2007-08-28,22.41,22.41,22.99,22.32,22.9,1675700.0
2007-08-29,22.99,22.99,23.01,22.17,22.48,4460100.0
2007-08-30,22.25,22.25,22.84,22.01,22.75,2999000.0
2007-08-31,22.66,22.66,23.0,22.45,22.54,2140100.0
2007-09-04,23.52,23.52,23.77,22.61,22.75,2417900.0
2007-09-05,22.95,22.95,23.55,22.76,23.29,3894600.0
2007-09-06,23.33,23.33,23.45,22.56,22.95,2187000.0
2007-09-07,22.6,22.6,23.08,22.34,22.9,2901700.0
2007-09-10,22.93,22.93,23.24,21.89,22.77,2887000.0
2007-09-11,23.76,23.76,23.83,23.02,23.08,2605000.0
2007-09-12,23.19,23.19,24.15,23.13,23.55,2711300.0
2007-09-13,23.81,23.81,24.29,22.98,23.37,2255100.0
2007-09-14,23.51,23.51,23.94,23.3,23.56,3334500.0
2007-09-17,23.84,23.84,24.09,23.33,23.35,2538300.0
2007-09-18,25.06,25.06,25.38,23.84,23.84,3570600.0
2007-09-19,21.29,21.29,22.7,21.23,22.5,19982700.0
2007-09-20,22.13,22.13,22.22,20.99,21.35,7151900.0
2007-09-21,21.8,21.8,22.15,21.32,21.81,5050500.0
2007-09-24,20.84,20.84,22.29,20.6,21.8,5320000.0
2007-09-25,20.29,20.29,20.74,20.13,20.71,4198100.0
2007-09-26,20.87,20.87,21.0,20.35,20.35,3052100.0
2007-09-27,20.58,20.58,20.86,20.54,20.85,1993400.0
2007-09-28,20.33,20.33,20.71,20.13,20.63,2917400.0
2007-10-01,20.44,20.44,20.44,19.87,20.34,3069200.0
2007-10-02,21.13,21.13,21.2,20.36,20.51,2595900.0
2007-10-03,21.63,21.63,22.0,20.8,21.15,2927000.0
2007-10-04,21.43,21.43,21.9,21.26,21.74,1487000.0
2007-10-05,22.07,22.07,22.1,21.53,21.58,2464900.0
2007-10-08,21.79,21.79,21.95,21.47,21.74,2847100.0
2007-10-09,21.9,21.9,21.98,21.65,21.9,1603800.0
2007-10-10,21.98,21.98,22.05,21.66,21.8,2361300.0
2007-10-11,21.83,21.83,22.07,21.79,22.0,3116300.0
2007-10-12,21.84,21.84,22.11,21.71,21.9,1303800.0
2007-10-15,21.53,21.53,21.84,21.02,21.84,2564900.0
2007-10-16,20.96,20.96,21.49,20.84,21.2,3152700.0
2007-10-17,21.42,21.42,21.67,20.95,21.15,2268600.0
2007-10-18,21.26,21.26,21.73,20.91,21.31,1771400.0
2007-10-19,20.34,20.34,21.39,20.13,21.26,4472600.0
2007-10-22,20.79,20.79,21.04,20.02,20.21,2296200.0
2007-10-23,21.12,21.12,21.17,20.4,20.94,2871600.0
2007-10-24,20.94,20.94,21.06,20.5,20.7,2800500.0
2007-10-25,20.51,20.51,21.1,20.28,21.1,3457600.0
2007-10-26,20.3,20.3,21.0,20.27,20.85,4404400.0
2007-10-29,20.39,20.39,20.84,20.34,20.4,2869700.0
2007-10-30,20.46,20.46,20.55,19.79,20.0,3767800.0
2007-10-31,20.87,20.87,21.0,20.46,20.68,3868800.0
2007-11-01,19.79,19.79,20.53,19.66,20.53,6363700.0
2007-11-02,19.67,19.67,20.0,19.28,19.96,3692800.0
2007-11-05,19.16,19.16,19.8,19.0,19.75,3992200.0
2007-11-06,19.84,19.84,19.86,19.05,19.18,2750100.0
2007-11-07,18.88,18.88,19.51,18.67,19.51,6468000.0
2007-11-08,19.46,19.46,19.51,18.85,19.05,5878700.0
2007-11-09,19.96,19.96,20.83,18.9,19.25,5743600.0
2007-11-12,20.17,20.17,20.6,19.82,19.91,2565900.0
2007-11-13,21.34,21.34,21.35,20.27,20.27,3801500.0
2007-11-14,21.47,21.47,21.89,21.38,21.51,3184300.0
2007-11-15,23.09,23.09,24.1,22.72,23.47,9053000.0
2007-11-16,22.18,22.18,23.21,21.85,23.21,4190600.0
2007-11-19,21.45,21.45,22.2,21.39,22.2,4117400.0
2007-11-20,20.95,20.95,21.52,20.06,21.4,5249200.0
2007-11-21,20.65,20.65,21.06,20.4,21.0,3540900.0
2007-11-23,20.65,20.65,21.1,20.58,20.82,1055400.0
2007-11-26,21.04,21.04,22.04,20.66,20.66,2427000.0
2007-11-27,21.26,21.26,21.52,20.65,21.18,1965000.0
2007-11-28,22.43,22.43,22.88,21.26,21.47,3238000.0
2007-11-29,22.38,22.38,22.88,22.0,22.38,1802100.0
2007-11-30,22.87,22.87,23.92,22.64,22.65,2153800.0
2007-12-03,22.89,22.89,23.13,22.45,23.13,1498700.0
2007-12-04,23.03,23.03,23.47,22.64,22.65,1369100.0
2007-12-05,22.2,22.2,23.44,21.97,23.37,2383000.0
2007-12-06,22.19,22.19,22.29,21.5,22.0,4281700.0
2007-12-07,22.25,22.25,22.34,21.92,22.2,3274400.0
2007-12-10,23.19,23.19,23.2,21.92,22.36,2391100.0
2007-12-11,22.43,22.43,23.29,22.1,23.29,2879500.0
2007-12-12,22.58,22.58,23.25,22.28,22.99,3094300.0
2007-12-13,22.0,22.0,22.52,21.54,22.52,2924500.0
2007-12-14,21.43,21.43,22.0,21.41,22.0,1944400.0
2007-12-17,21.23,21.23,21.95,20.7,21.29,2997600.0
2007-12-18,21.61,21.61,21.98,20.42,21.28,5160000.0
2007-12-19,20.09,20.09,20.97,19.45,20.47,9793400.0
2007-12-20,19.33,19.33,19.9,18.78,19.9,5031700.0
2007-12-21,19.05,19.05,19.62,18.57,19.61,4548200.0
2007-12-24,19.56,19.56,19.6,19.05,19.07,585900.0
2007-12-26,19.15,19.15,19.58,18.94,19.57,1660500.0
2007-12-27,19.53,19.53,19.53,19.01,19.03,1540000.0
2007-12-28,19.59,19.59,19.91,18.93,19.91,2048200.0
2007-12-31,19.75,19.75,19.79,19.0,19.55,2157400.0
2008-01-02,20.07,20.07,20.24,19.37,19.88,3615600.0
2008-01-03,19.74,19.74,20.22,19.35,20.22,2146200.0
2008-01-04,19.54,19.54,19.54,18.86,19.51,4768500.0
2008-01-07,19.18,19.18,19.75,18.7,19.57,4070500.0
2008-01-08,19.02,19.02,19.39,18.79,19.22,2371100.0
2008-01-09,18.85,18.85,19.38,18.09,19.03,3772100.0
2008-01-10,19.16,19.16,19.45,18.25,19.0,3251800.0
2008-01-11,18.19,18.19,19.28,17.81,19.28,4451200.0
2008-01-14,17.79,17.79,18.34,17.49,18.34,2498600.0
2008-01-15,17.28,17.28,17.78,17.02,17.77,2310600.0
2008-01-16,17.04,17.04,17.35,16.1,17.18,6428600.0
2008-01-17,16.67,16.67,17.38,16.36,17.12,3984700.0
2008-01-18,16.63,16.63,17.3,15.97,16.7,4876500.0
2008-01-22,17.85,17.85,18.19,15.81,16.01,3902800.0
2008-01-23,20.0,20.0,20.0,17.39,17.39,6202900.0
2008-01-24,20.69,20.69,20.69,19.66,20.06,5884900.0
2008-01-25,20.88,20.88,21.99,20.36,21.99,7650700.0
2008-01-28,21.41,21.41,21.5,20.06,21.13,3147800.0
2008-01-29,21.8,21.8,21.95,20.34,21.48,3288800.0
2008-01-30,21.33,21.33,22.0,20.86,21.64,3800400.0
2008-01-31,22.11,22.11,23.0,21.05,21.06,4749200.0
2008-02-01,23.0,23.0,23.0,21.96,22.79,2629900.0
2008-02-04,22.63,22.63,22.99,22.13,22.99,2169200.0
2008-02-05,20.4,20.4,22.18,20.1,22.18,5141900.0
2008-02-06,20.31,20.31,20.89,19.85,20.89,2582300.0
2008-02-07,20.0,20.0,20.65,19.34,20.15,3378700.0
2008-02-08,19.9,19.9,20.11,19.22,20.0,2635200.0
2008-02-11,19.78,19.78,20.02,19.12,20.01,1408700.0
2008-02-12,19.29,19.29,20.46,19.11,20.14,1846400.0
2008-02-13,19.29,19.29,19.68,19.09,19.54,1845200.0
2008-02-14,18.85,18.85,19.4,18.72,19.28,1808100.0
2008-02-15,18.78,18.78,20.39,18.39,20.39,3176500.0
2008-02-19,18.85,18.85,19.37,18.81,19.19,2424600.0
2008-02-20,19.76,19.76,19.89,18.44,19.0,1983100.0
2008-02-21,19.33,19.33,20.15,19.23,19.97,3688400.0
2008-02-22,19.41,19.41,19.49,18.91,19.49,1674200.0
2008-02-25,20.31,20.31,20.31,19.13,19.48,1486300.0
2008-02-26,20.81,20.81,21.07,20.0,20.2,1739800.0
2008-02-27,20.02,20.02,21.01,19.92,21.0,1345300.0
2008-02-28,19.12,19.12,20.16,18.56,20.16,4531400.0
2008-02-29,18.36,18.36,19.29,18.15,19.19,2315700.0
2008-03-03,18.88,18.88,18.94,18.24,18.54,1526800.0
2008-03-04,18.53,18.53,18.99,17.9,18.99,2877100.0
2008-03-05,18.67,18.67,19.42,18.2,18.44,3046500.0
2008-03-06,18.53,18.53,18.83,17.99,18.7,2312900.0
2008-03-07,17.84,17.84,18.53,17.67,18.33,2738500.0
2008-03-10,17.43,17.43,18.55,17.3,18.36,3337100.0
2008-03-11,18.52,18.52,18.64,17.53,17.92,3428500.0
2008-03-12,18.61,18.61,19.64,18.32,18.64,2646300.0
2008-03-13,18.81,18.81,18.88,17.8,18.3,2368100.0
2008-03-14,19.15,19.15,19.35,18.32,18.76,2752200.0
2008-03-17,18.21,18.21,19.15,17.79,18.77,2108500.0
2008-03-18,20.5,20.5,20.57,18.73,18.9,3351600.0
2008-03-19,19.44,19.44,20.6,19.4,20.41,1847800.0
2008-03-20,20.55,20.55,20.74,18.86,19.42,3222100.0
2008-03-24,21.24,21.24,21.31,20.1,20.63,2278500.0
2008-03-25,21.44,21.44,21.44,21.0,21.29,1414300.0
2008-03-26,19.72,19.72,21.44,19.62,21.39,2958200.0
2008-03-27,19.19,19.19,19.82,19.07,19.76,2144700.0
2008-03-28,19.2,19.2,19.49,18.5,19.25,1791300.0
2008-03-31,19.42,19.42,19.62,18.79,19.28,1724700.0
2008-04-01,19.59,19.59,20.0,19.08,19.95,3785500.0
2008-04-02,20.06,20.06,21.29,19.05,19.09,5915000.0
2008-04-03,20.31,20.31,21.22,19.56,19.89,2128500.0
2008-04-04,20.36,20.36,20.55,19.77,20.27,1558000.0
2008-04-07,19.63,19.63,20.51,19.51,20.51,1304300.0
2008-04-08,19.4,19.4,19.75,19.16,19.53,1100400.0
2008-04-09,18.98,18.98,19.69,18.51,19.37,1920900.0
2008-04-10,18.87,18.87,19.51,18.65,19.02,988100.0
2008-04-11,18.61,18.61,19.46,18.26,18.51,1627100.0
2008-04-14,18.67,18.67,18.89,18.25,18.62,969900.0
2008-04-15,18.89,18.89,19.27,18.63,18.75,871100.0
2008-04-16,20.31,20.31,20.35,19.11,19.11,2376600.0
2008-04-17,20.65,20.65,20.86,19.77,20.03,1604600.0
2008-04-18,21.16,21.16,21.82,20.98,20.98,2181600.0
2008-04-21,20.91,20.91,21.01,19.96,21.01,1564400.0
2008-04-22,20.16,20.16,20.87,19.68,20.87,1199400.0
2008-04-23,20.15,20.15,20.64,19.95,20.17,1180400.0
2008-04-24,20.6,20.6,21.28,20.11,20.21,3028000.0
2008-04-25,21.05,21.05,21.29,20.43,21.1,2467500.0
2008-04-28,21.15,21.15,21.9,20.62,21.9,726200.0
2008-04-29,21.73,21.73,21.88,20.54,21.16,1237800.0
2008-04-30,20.75,20.75,21.99,20.53,21.73,1308700.0
2008-05-01,20.77,20.77,21.25,20.36,20.68,1824400.0
2008-05-02,21.31,21.31,21.68,20.7,20.97,2480600.0
2008-05-05,21.48,21.48,21.82,20.93,21.07,3289800.0
2008-05-06,21.07,21.07,21.65,20.77,21.65,1951700.0
2008-05-07,20.51,20.51,21.16,20.37,21.06,1366700.0
2008-05-08,20.75,20.75,21.11,20.37,20.55,2130000.0
2008-05-09,20.55,20.55,20.82,20.34,20.53,2404100.0
2008-05-12,20.66,20.66,20.77,20.31,20.53,1519300.0
2008-05-13,20.9,20.9,21.04,20.63,20.63,1860300.0
2008-05-14,20.94,20.94,21.37,20.83,20.94,1497600.0
2008-05-15,21.27,21.27,21.49,20.5,20.88,1801000.0
2008-05-16,21.19,21.19,21.81,20.0,21.81,2726100.0
2008-05-19,21.29,21.29,21.48,20.8,21.2,1666100.0
2008-05-20,21.46,21.46,21.46,20.83,21.35,1420800.0
2008-05-21,20.61,20.61,21.49,20.47,21.46,1812000.0
2008-05-22,20.03,20.03,20.68,19.93,20.68,1840500.0
2008-05-23,19.54,19.54,20.01,19.4,20.01,1353400.0
2008-05-27,19.72,19.72,20.22,19.36,19.55,1046000.0
2008-05-28,19.81,19.81,20.09,19.39,19.74,803000.0
2008-05-29,19.83,19.83,20.3,19.72,19.78,1131900.0
2008-05-30,19.66,19.66,20.0,19.55,19.83,1160500.0
2008-06-02,19.63,19.63,19.71,19.24,19.65,1265700.0
2008-06-03,19.37,19.37,19.68,19.1,19.64,1853400.0
2008-06-04,19.24,19.24,19.44,18.78,19.34,2533500.0
2008-06-05,19.12,19.12,19.95,19.03,19.35,2526700.0
2008-06-06,18.58,18.58,19.05,18.5,19.0,2234900.0
2008-06-09,18.45,18.45,18.8,18.37,18.76,1365000.0
2008-06-10,18.24,18.24,18.5,18.09,18.31,1590400.0
2008-06-11,17.78,17.78,18.32,17.7,18.27,1859200.0
2008-06-12,17.55,17.55,18.31,17.5,17.94,2081000.0
2008-06-13,17.88,17.88,17.97,17.63,17.84,2059900.0
2008-06-16,18.23,18.23,18.27,17.56,17.85,2491600.0
2008-06-17,18.34,18.34,18.57,18.09,18.43,3251400.0
2008-06-18,16.34,16.34,16.54,15.8,16.4,12901900.0
2008-06-19,15.76,15.76,16.45,15.53,16.39,6265500.0
2008-06-20,15.52,15.52,15.8,15.28,15.79,5125900.0
2008-06-23,15.08,15.08,15.91,15.04,15.56,3759200.0
2008-06-24,15.01,15.01,15.26,14.52,15.03,5212200.0
2008-06-25,15.47,15.47,16.08,14.87,15.09,3896500.0
2008-06-26,14.93,14.93,15.41,14.5,15.36,3055300.0
2008-06-27,14.85,14.85,15.13,14.6,14.93,3270000.0
2008-06-30,14.19,14.19,14.71,14.15,14.65,2731600.0
2008-07-01,14.16,14.16,14.29,13.64,14.2,3589900.0
2008-07-02,13.47,13.47,14.2,13.43,14.16,3882000.0
2008-07-03,13.15,13.15,14.1,12.97,13.48,2470600.0
2008-07-07,13.08,13.08,13.44,12.79,13.2,3254900.0
2008-07-08,13.61,13.61,13.72,12.64,13.22,4270800.0
2008-07-09,13.5,13.5,13.86,13.38,13.7,3864600.0
2008-07-10,13.05,13.05,13.73,12.97,13.38,4330000.0
2008-07-11,11.98,11.98,12.99,11.73,12.99,10022500.0
2008-07-14,11.77,11.77,12.47,11.49,12.05,4775800.0
2008-07-15,11.76,11.76,11.99,10.53,11.64,8902500.0
2008-07-16,12.35,12.35,12.57,11.52,11.77,4216200.0
2008-07-17,13.9,13.9,15.67,12.45,12.45,6184800.0
2008-07-18,13.52,13.52,15.37,13.35,15.37,3612700.0
2008-07-21,12.98,12.98,14.06,12.8,14.06,1787900.0
2008-07-22,13.74,13.74,13.93,12.75,12.93,3092400.0
2008-07-23,14.16,14.16,15.5,13.98,14.59,4128500.0
2008-07-24,13.32,13.32,14.87,13.16,14.01,1766900.0
2008-07-25,13.62,13.62,14.06,13.28,13.44,2864400.0
2008-07-28,12.89,12.89,13.8,12.73,13.5,3251600.0
2008-07-29,13.64,13.64,13.95,12.93,12.99,1897400.0
2008-07-30,13.59,13.59,14.11,13.32,13.75,3356400.0
2008-07-31,13.4,13.4,13.58,13.17,13.37,1992600.0
2008-08-01,14.1,14.1,14.14,13.0,13.14,2154900.0
2008-08-04,14.29,14.29,15.31,13.98,14.25,4671100.0
2008-08-05,15.5,15.5,15.57,14.26,14.41,3408900.0
2008-08-06,14.87,14.87,15.04,13.19,13.35,6086300.0
2008-08-07,14.58,14.58,14.86,14.28,14.72,3001000.0
2008-08-08,14.9,14.9,15.5,14.57,14.62,2925300.0
2008-08-11,15.62,15.62,16.1,14.69,14.85,2819900.0
