,Adj Close,Close,High,Low,Open,Volume
2007-01-03,9.35,11.59,11.75,11.47,11.53,12380200.0
2007-01-04,9.52,11.8,11.81,11.48,11.5,12222800.0
2007-01-05,9.53,11.8,11.85,11.65,11.73,13051800.0
2007-01-08,9.55,11.83,11.88,11.72,11.75,12007600.0
2007-01-09,9.55,11.82,11.94,11.73,11.94,10211200.0
2007-01-10,9.57,11.85,11.88,11.73,11.77,6983400.0
2007-01-11,9.59,11.89,11.93,11.78,11.87,7922200.0
2007-01-12,9.52,11.79,11.94,11.75,11.91,8275400.0
2007-01-16,9.59,11.88,11.92,11.67,11.73,7239400.0
2007-01-17,9.57,11.86,11.9,11.78,11.88,6196400.0
2007-01-18,9.61,11.9,11.96,11.85,11.92,8694000.0
2007-01-19,9.73,12.06,12.07,11.9,11.97,10131600.0
2007-01-22,9.81,12.15,12.23,12.05,12.1,8982600.0
2007-01-23,9.82,12.16,12.21,12.01,12.12,6668200.0
2007-01-24,9.83,12.18,12.29,12.08,12.13,5794400.0
2007-01-25,9.71,12.03,12.21,11.94,12.12,8254800.0
2007-01-26,9.89,12.26,12.34,12.01,12.04,10641400.0
2007-01-29,10.1,12.52,12.57,12.37,12.43,24504600.0
2007-01-30,10.32,12.78,12.84,12.5,12.51,19559800.0
2007-01-31,10.33,12.8,12.86,12.6,12.65,11858200.0
2007-02-01,10.38,12.86,12.97,12.74,12.79,7217000.0
2007-02-02,10.43,12.93,12.98,12.84,12.86,9351600.0
2007-02-05,10.48,12.98,13.04,12.84,12.88,14179000.0
2007-02-06,10.38,12.86,13.03,12.81,12.98,9612400.0
2007-02-07,10.55,13.07,13.11,12.79,12.81,10218400.0
2007-02-08,10.47,12.98,13.1,12.9,13.0,10630200.0
2007-02-09,10.45,12.94,13.12,12.82,12.98,9259400.0
2007-02-12,10.45,12.95,13.03,12.84,12.93,5927800.0
2007-02-13,10.45,12.91,12.94,12.8,12.88,5663200.0
2007-02-14,10.56,13.05,13.09,12.91,12.91,8074400.0
2007-02-15,10.6,13.1,13.12,12.97,13.05,7907800.0
2007-02-16,10.71,13.23,13.28,13.04,13.04,6729600.0
2007-02-20,10.73,13.26,13.3,13.06,13.26,6924000.0
