,Adj Close,Close,High,Low,Open,Volume
2007-01-03,25.68,44.89,44.94,43.93,44.12,714500.0
2007-01-04,25.55,44.67,45.26,44.2,45.06,398100.0
2007-01-05,24.79,43.33,44.64,43.26,43.7,457000.0
2007-01-08,24.94,43.6,43.63,42.79,43.33,504900.0
2007-01-09,24.97,43.65,43.78,42.99,43.33,802100.0
2007-01-10,25.11,43.9,44.37,43.46,43.88,438300.0
2007-01-11,25.34,44.3,45.68,43.8,43.9,859400.0
2007-01-12,25.07,43.83,45.38,43.73,44.25,569200.0
2007-01-16,24.96,43.63,43.9,43.23,43.83,504300.0
2007-01-17,25.41,44.42,44.64,43.46,43.48,591900.0
2007-01-18,24.59,42.99,43.95,42.94,43.95,824500.0
2007-01-19,24.97,43.65,43.65,41.93,42.91,955000.0
2007-01-22,25.52,44.62,44.77,43.65,43.85,954300.0
2007-01-23,25.78,45.06,45.41,43.95,44.49,533100.0
2007-01-24,25.82,45.14,45.46,44.02,44.57,741300.0
2007-01-25,25.9,45.28,45.41,44.79,45.23,788400.0
2007-01-26,26.04,45.53,45.88,44.89,45.06,707300.0
2007-01-29,26.14,45.7,45.85,45.23,45.51,503500.0
2007-01-30,26.37,46.1,46.52,45.31,45.85,483100.0
2007-01-31,26.2,45.8,46.72,45.58,46.54,1063800.0
2007-02-01,25.63,44.81,45.9,44.12,45.68,1678500.0
2007-02-02,26.04,45.53,45.6,44.74,44.84,768200.0
2007-02-05,26.21,45.83,46.02,45.14,45.43,507900.0
2007-02-06,26.13,45.68,45.93,45.58,45.9,357800.0
2007-02-07,25.8,45.11,45.8,44.96,45.68,495400.0
2007-02-08,26.38,46.12,46.17,45.06,45.06,589100.0
2007-02-09,26.1,45.63,46.42,45.26,46.3,311400.0
2007-02-12,25.41,44.42,45.68,44.32,45.63,686500.0
2007-02-13,25.41,44.42,45.19,43.98,44.81,553400.0
2007-02-14,25.63,44.81,45.01,44.35,44.69,416000.0
2007-02-15,25.66,44.86,45.31,44.81,45.19,313000.0
2007-02-16,25.89,45.26,45.26,44.74,44.89,187300.0
2007-02-20,26.14,45.7,45.93,44.57,45.26,267100.0
2007-02-21,25.93,45.33,46.25,45.26,45.6,294700.0
2007-02-22,25.93,45.33,46.07,44.47,44.72,357100.0
2007-02-23,25.79,45.09,45.53,45.06,45.48,155100.0
2007-02-26,26.12,45.65,46.42,45.63,45.75,565100.0
2007-02-27,25.49,44.57,45.58,44.27,45.01,415100.0
2007-02-28,25.47,44.52,44.94,44.2,44.22,555300.0
2007-03-01,25.41,44.42,44.94,43.75,44.2,363600.0
2007-03-02,24.91,43.56,44.64,43.38,44.2,584600.0
2007-03-05,24.96,43.63,44.22,43.26,43.33,436500.0
2007-03-06,25.31,44.25,44.37,43.7,43.88,253400.0
2007-03-07,25.2,44.05,44.42,43.83,44.22,165000.0
2007-03-08,25.07,43.83,44.37,43.23,44.27,517100.0
2007-03-09,25.14,43.95,44.17,43.21,43.7,265600.0
2007-03-12,25.07,43.83,44.25,43.75,43.95,579300.0
2007-03-13,24.76,43.28,43.85,43.21,43.63,258800.0
2007-03-14,24.91,43.56,43.56,42.84,43.21,227700.0
2007-03-15,25.25,44.15,44.2,43.73,43.83,280800.0
2007-03-16,25.62,44.79,44.89,44.12,44.15,511700.0
2007-03-19,25.73,44.99,45.21,44.3,44.47,271700.0
2007-03-20,25.42,44.44,45.06,44.4,44.96,288100.0
2007-03-21,25.35,44.32,44.67,44.2,44.47,492000.0
2007-03-22,25.44,44.47,44.49,44.1,44.37,424000.0
2007-03-23,25.28,44.2,44.47,44.07,44.44,410100.0
2007-03-26,25.0,43.7,44.42,43.51,44.4,311500.0
2007-03-27,24.9,43.53,43.78,43.36,43.73,283200.0
2007-03-28,24.87,43.48,43.8,43.16,43.46,455900.0
2007-03-29,24.67,43.14,43.7,42.89,43.58,412400.0
2007-03-30,24.46,42.77,43.58,42.57,43.09,427600.0
2007-04-02,24.69,43.16,43.51,42.86,42.99,415100.0
2007-04-03,25.08,43.85,44.07,43.26,43.26,541500.0
2007-04-04,24.9,43.53,43.9,43.46,43.9,316200.0
2007-04-05,23.9,41.78,43.33,41.63,43.33,1136500.0
2007-04-09,24.05,42.05,42.1,41.23,41.48,1035800.0
2007-04-10,23.84,41.68,42.05,41.68,41.93,484700.0
2007-04-11,24.15,42.22,42.57,40.99,41.73,1062000.0
2007-04-12,25.42,44.44,44.69,43.33,43.33,2260200.0
2007-04-13,25.95,45.36,45.85,43.95,44.25,1242000.0
2007-04-16,26.37,46.1,47.16,45.36,45.68,2369000.0
2007-04-17,25.86,45.21,47.19,45.19,46.12,1229700.0
2007-04-18,26.36,46.07,46.35,44.84,45.21,655400.0
2007-04-19,25.92,45.31,46.44,45.28,46.07,554400.0
2007-04-20,26.13,45.68,46.05,44.67,46.05,930900.0
2007-04-23,26.3,45.98,46.17,45.58,45.58,361800.0
2007-04-24,26.58,46.47,46.49,45.68,45.98,733900.0
2007-04-25,26.02,45.48,46.37,45.48,46.32,730200.0
2007-04-26,25.93,45.33,45.46,44.37,45.23,1329800.0
2007-04-27,26.17,45.75,45.75,45.06,45.19,298000.0
2007-04-30,25.83,45.16,45.8,45.16,45.75,556100.0
2007-05-01,26.27,45.93,45.93,44.69,45.06,606800.0
2007-05-02,26.69,46.67,46.96,45.43,45.68,780000.0
2007-05-03,26.81,46.86,47.53,46.49,47.23,846200.0
2007-05-04,27.2,47.56,47.56,46.62,46.86,388400.0
2007-05-07,26.76,46.79,47.56,45.93,47.56,620900.0
2007-05-08,26.84,46.91,47.36,46.1,46.54,356900.0
2007-05-09,26.36,46.07,46.79,45.88,46.67,412100.0
2007-05-10,25.49,44.57,45.88,44.35,45.83,821000.0
2007-05-11,25.66,44.86,45.06,44.62,44.69,482500.0
2007-05-14,25.52,44.62,44.86,44.44,44.79,755000.0
2007-05-15,25.82,45.14,45.51,44.54,44.57,626300.0
2007-05-16,26.17,45.75,45.98,44.94,45.09,344700.0
2007-05-17,26.04,45.53,45.98,45.19,45.75,229600.0
2007-05-18,26.54,46.4,46.64,45.43,45.58,326300.0
2007-05-21,26.85,46.94,47.21,45.78,46.02,616300.0
2007-05-22,27.16,47.48,47.63,46.79,46.81,489200.0
2007-05-23,27.19,47.53,48.44,47.33,47.53,543300.0
2007-05-24,26.27,45.93,47.65,45.8,47.53,832200.0
2007-05-25,26.84,46.91,46.91,45.78,46.17,415900.0
2007-05-29,27.54,48.15,48.15,46.4,46.79,626800.0
