,Adj Close,Close,High,Low,Open,Volume
2007-01-03,13.94,23.61,24.0,23.39,23.99,1133200.0
2007-01-04,13.9,23.54,23.71,23.39,23.61,926200.0
2007-01-05,13.85,23.46,23.57,23.3,23.42,832600.0
2007-01-08,13.85,23.46,23.55,23.07,23.49,894100.0
2007-01-09,13.84,23.44,23.55,23.14,23.53,1125700.0
2007-01-10,13.87,23.49,23.49,23.29,23.37,813400.0
2007-01-11,14.08,23.85,23.96,23.56,23.6,855400.0
2007-01-12,14.08,23.84,23.87,23.67,23.85,718600.0
2007-01-16,14.0,23.71,23.87,23.58,23.78,687800.0
2007-01-17,14.03,23.76,23.94,23.71,23.71,684800.0
2007-01-18,14.18,24.01,24.18,23.8,23.86,785900.0
2007-01-19,14.26,24.15,24.23,23.91,24.05,938100.0
2007-01-22,14.14,23.95,24.2,23.86,24.09,794000.0
2007-01-23,14.25,24.14,24.47,23.92,23.95,819300.0
2007-01-24,14.42,24.42,24.47,24.19,24.28,1064100.0
2007-01-25,14.26,24.15,24.67,23.88,24.46,1202900.0
2007-01-26,13.83,23.42,23.99,23.11,23.99,1718100.0
2007-01-29,13.9,23.54,23.84,23.08,23.2,1957100.0
2007-01-30,14.07,23.83,24.01,23.53,23.62,1219700.0
2007-01-31,14.31,24.24,24.36,23.74,23.84,1182600.0
2007-02-01,14.38,24.35,24.5,24.2,24.24,951300.0
2007-02-02,14.45,24.48,24.71,24.2,24.35,1130000.0
2007-02-05,14.24,24.12,24.45,24.0,24.38,1286200.0
2007-02-06,14.42,24.43,24.43,24.0,24.21,1190200.0
2007-02-07,14.37,24.33,24.5,24.2,24.41,766100.0
2007-02-08,14.19,24.04,24.24,23.75,24.19,867000.0
2007-02-09,14.25,24.13,24.18,23.98,24.0,790100.0
2007-02-12,14.29,24.21,24.28,23.99,24.23,607600.0
2007-02-13,14.36,24.32,24.5,24.18,24.29,813300.0
2007-02-14,14.41,24.41,24.58,24.22,24.32,648700.0
2007-02-15,14.45,24.47,24.55,24.3,24.36,496100.0
2007-02-16,14.39,24.38,24.47,24.16,24.32,824900.0
2007-02-20,14.44,24.45,24.47,24.19,24.28,673700.0
2007-02-21,14.35,24.31,24.37,24.15,24.33,658500.0
2007-02-22,14.28,24.18,24.45,24.07,24.39,1148600.0
2007-02-23,14.31,24.24,24.3,23.96,24.21,1052400.0
2007-02-26,14.21,24.07,24.31,23.94,24.24,663700.0
2007-02-27,14.09,23.87,23.98,23.7,23.9,1691200.0
2007-02-28,14.06,23.81,24.03,23.59,24.0,1993200.0
2007-03-01,14.17,24.0,24.08,23.47,23.65,1903000.0
2007-03-02,14.09,23.87,24.05,23.81,23.99,1163100.0
2007-03-05,13.95,23.63,23.97,23.63,23.8,1333500.0
2007-03-06,14.01,23.73,23.87,23.4,23.73,1599500.0
2007-03-07,14.18,24.02,24.22,23.6,23.65,1681500.0
2007-03-08,14.27,24.16,24.27,23.99,24.16,832800.0
2007-03-09,14.06,23.81,24.29,23.73,24.24,979700.0
2007-03-12,13.96,23.65,23.81,23.43,23.78,1089700.0
2007-03-13,13.73,23.08,23.5,23.06,23.32,1252600.0
2007-03-14,13.75,23.12,23.4,22.51,23.17,2189900.0
2007-03-15,13.82,23.24,23.3,23.01,23.06,1182400.0
2007-03-16,13.7,23.04,23.34,22.98,23.23,1214000.0
2007-03-19,13.74,23.11,23.36,23.07,23.13,1372200.0
2007-03-20,13.81,23.22,23.24,22.99,23.04,1179300.0
2007-03-21,14.01,23.55,23.55,23.05,23.22,984800.0
2007-03-22,13.9,23.38,23.74,23.31,23.56,970300.0
2007-03-23,13.9,23.38,23.59,23.14,23.27,1131800.0
2007-03-26,13.67,22.98,23.4,22.85,23.4,1482900.0
2007-03-27,13.45,22.61,22.88,22.27,22.87,1601600.0
2007-03-28,13.25,22.28,22.59,22.12,22.58,1832900.0
2007-03-29,13.39,22.51,22.76,22.3,22.76,1179000.0
2007-03-30,13.48,22.67,22.74,22.36,22.49,1128600.0
2007-04-02,13.35,22.44,22.79,22.34,22.75,974100.0
2007-04-03,13.67,22.99,23.01,22.49,22.51,1088100.0
2007-04-04,13.52,22.74,22.98,22.69,22.91,1448100.0
2007-04-05,13.68,23.0,23.02,22.62,22.68,1974400.0
2007-04-09,13.75,23.12,23.43,23.02,23.11,1130100.0
2007-04-10,13.83,23.25,23.25,23.01,23.01,752900.0
2007-04-11,13.73,23.08,23.27,23.0,23.21,1097400.0
2007-04-12,13.93,23.43,23.43,22.85,23.0,1122900.0
2007-04-13,13.73,23.08,23.49,22.98,23.49,1129100.0
2007-04-16,13.89,23.36,23.36,23.07,23.19,1524500.0
2007-04-17,13.71,23.06,23.51,22.89,23.31,1865900.0
2007-04-18,13.9,23.37,23.44,22.79,23.08,1203700.0
2007-04-19,13.94,23.44,24.01,23.02,24.01,1247800.0
2007-04-20,13.98,23.5,23.63,22.8,22.8,2343200.0
2007-04-23,13.8,23.21,23.58,23.04,23.34,2196800.0
2007-04-24,13.95,23.46,23.59,23.15,23.32,1822100.0
2007-04-25,14.18,23.85,23.92,23.36,23.66,1483800.0
2007-04-26,14.15,23.79,23.93,23.67,23.8,1262000.0
2007-04-27,14.18,23.84,23.93,23.62,23.71,1098900.0
2007-04-30,13.99,23.52,23.83,23.48,23.83,1844200.0
2007-05-01,14.09,23.7,23.8,23.27,23.48,1207900.0
2007-05-02,14.19,23.86,24.0,23.68,23.7,859000.0
2007-05-03,14.04,23.6,23.98,23.54,23.88,2029000.0
2007-05-04,14.15,23.8,23.89,23.53,23.74,1018900.0
2007-05-07,14.23,23.92,23.94,23.7,23.77,1081400.0
2007-05-08,14.09,23.7,23.82,23.5,23.81,1254200.0
2007-05-09,14.12,23.75,23.85,23.52,23.57,1179400.0
2007-05-10,13.89,23.35,23.8,23.33,23.76,1528600.0
2007-05-11,14.06,23.64,23.67,23.36,23.45,1434400.0
2007-05-14,14.11,23.72,23.83,23.55,23.64,1152300.0
2007-05-15,14.09,23.7,23.88,23.52,23.78,966300.0
2007-05-16,14.17,23.83,23.86,23.65,23.8,866300.0
2007-05-17,14.02,23.57,23.74,23.45,23.74,1447900.0
2007-05-18,14.03,23.59,23.7,23.44,23.62,1284900.0
2007-05-21,14.59,24.54,24.55,23.59,23.68,3516300.0
2007-05-22,14.49,24.37,24.5,24.26,24.35,1414600.0
2007-05-23,14.43,24.26,24.48,24.2,24.35,1036500.0
2007-05-24,14.34,24.12,24.37,23.83,24.19,1952500.0
2007-05-25,14.45,24.29,24.34,24.1,24.11,1027100.0
2007-05-29,14.52,24.42,24.63,24.19,24.24,1666000.0
2007-05-30,14.64,24.62,24.66,24.29,24.38,1198200.0
2007-05-31,14.55,24.47,24.73,24.37,24.63,1617200.0
2007-06-01,14.58,24.51,24.62,24.35,24.45,1308700.0
2007-06-04,14.64,24.61,24.66,24.4,24.4,1024200.0
2007-06-05,14.51,24.39,24.61,24.29,24.51,726400.0
2007-06-06,14.27,24.0,24.39,23.99,24.39,812200.0
2007-06-07,13.93,23.42,23.96,23.39,23.96,1275700.0
2007-06-08,14.23,23.92,23.95,23.35,23.42,1325200.0
2007-06-11,14.09,23.7,23.97,23.65,23.89,843300.0
2007-06-12,13.89,23.35,23.74,23.34,23.59,1045500.0
2007-06-13,14.02,23.4,23.58,23.02,23.26,1281800.0
2007-06-14,14.07,23.48,23.6,23.35,23.46,966600.0
2007-06-15,14.13,23.58,23.9,23.56,23.67,1290700.0
2007-06-18,14.13,23.57,23.74,23.54,23.7,736300.0
2007-06-19,13.23,22.08,22.85,21.9,22.49,4219300.0
2007-06-20,13.14,21.92,22.22,21.9,22.1,2325400.0
2007-06-21,13.16,21.95,22.02,21.71,21.82,1996700.0
2007-06-22,12.95,21.6,21.87,21.54,21.81,1966300.0
