,Adj Close,Close,High,Low,Open,Volume
2007-01-03,5.61,5.61,5.75,5.5,5.75,2029600.0
2007-01-04,5.56,5.56,5.66,5.53,5.57,997600.0
2007-01-05,5.38,5.38,5.53,5.36,5.51,1206000.0
2007-01-08,5.29,5.29,5.43,5.25,5.43,1574800.0
2007-01-09,5.25,5.25,5.32,5.15,5.32,2044800.0
2007-01-10,5.15,5.15,5.26,5.07,5.19,2134400.0
2007-01-11,5.03,5.03,5.18,4.96,5.17,4323600.0
2007-01-12,5.01,5.01,5.07,4.99,5.03,3279200.0
2007-01-16,5.11,5.11,5.16,4.99,4.99,3911200.0
2007-01-17,5.11,5.11,5.12,5.04,5.05,1790400.0
2007-01-18,5.18,5.18,5.3,5.08,5.11,5308000.0
2007-01-19,5.22,5.22,5.36,5.16,5.16,3208800.0
2007-01-22,5.2,5.2,5.26,5.13,5.23,1356000.0
2007-01-23,5.3,5.3,5.36,5.18,5.18,2402800.0
2007-01-24,5.39,5.39,5.4,5.28,5.3,1369600.0
2007-01-25,5.33,5.33,5.44,5.3,5.39,2695600.0
2007-01-26,5.3,5.3,5.33,5.2,5.33,1057600.0
2007-01-29,5.27,5.27,5.36,5.24,5.24,768400.0
2007-01-30,5.28,5.28,5.33,5.2,5.25,2323600.0
2007-01-31,5.36,5.36,5.42,5.26,5.26,1998800.0
2007-02-01,5.62,5.62,5.64,5.38,5.4,4077200.0
2007-02-02,5.51,5.51,5.63,5.47,5.61,1896400.0
2007-02-05,5.56,5.56,5.63,5.47,5.51,930000.0
2007-02-06,5.7,5.7,5.7,5.51,5.6,1774800.0
2007-02-07,5.65,5.65,5.72,5.63,5.72,2694400.0
2007-02-08,5.67,5.67,5.7,5.63,5.64,2177200.0
2007-02-09,5.67,5.67,5.72,5.59,5.69,1228400.0
2007-02-12,5.59,5.59,5.72,5.54,5.67,748000.0
2007-02-13,5.54,5.54,5.61,5.48,5.59,812000.0
2007-02-14,5.57,5.57,5.59,5.46,5.53,763200.0
2007-02-15,5.57,5.57,5.58,5.54,5.57,832800.0
2007-02-16,5.64,5.64,5.66,5.56,5.57,948400.0
2007-02-20,5.68,5.68,5.74,5.56,5.62,836800.0
2007-02-21,5.64,5.64,5.66,5.56,5.64,1010000.0
2007-02-22,5.64,5.64,5.66,5.57,5.65,834000.0
2007-02-23,5.64,5.64,5.65,5.56,5.61,910400.0
2007-02-26,5.58,5.58,5.72,5.56,5.68,1024800.0
2007-02-27,5.29,5.29,5.47,5.25,5.37,2728000.0
2007-02-28,5.43,5.43,5.53,5.22,5.28,3166400.0
2007-03-01,5.24,5.24,5.44,5.19,5.29,1887600.0
2007-03-02,5.1,5.1,5.24,5.1,5.19,1632000.0
2007-03-05,5.24,5.24,5.31,5.04,5.1,2232800.0
2007-03-06,5.25,5.25,5.34,5.12,5.18,1956800.0
2007-03-07,5.22,5.22,5.29,5.18,5.23,1488400.0
2007-03-08,5.2,5.2,5.31,5.18,5.22,1416800.0
2007-03-09,5.29,5.29,5.31,5.2,5.24,701600.0
2007-03-12,5.37,5.37,5.38,5.25,5.25,885200.0
2007-03-13,5.19,5.19,5.32,5.16,5.31,1770000.0
2007-03-14,5.19,5.19,5.29,5.08,5.16,1298400.0
2007-03-15,5.19,5.19,5.25,5.12,5.17,1298000.0
2007-03-16,5.2,5.2,5.24,5.11,5.18,2120000.0
2007-03-19,5.25,5.25,5.29,5.16,5.24,1177200.0
2007-03-20,5.4,5.4,5.4,5.23,5.24,1532800.0
2007-03-21,5.41,5.41,5.45,5.29,5.39,1072000.0
2007-03-22,5.49,5.49,5.53,5.44,5.44,1500800.0
2007-03-23,5.55,5.55,5.61,5.49,5.49,1124400.0
2007-03-26,5.56,5.56,5.57,5.49,5.56,1833200.0
2007-03-27,5.45,5.45,5.6,5.39,5.53,1855600.0
2007-03-28,5.38,5.38,5.45,5.31,5.39,1092800.0
2007-03-29,5.42,5.42,5.48,5.38,5.43,1286400.0
2007-03-30,5.47,5.47,5.48,5.38,5.43,1898800.0
2007-04-02,5.54,5.54,5.54,5.4,5.47,1463200.0
2007-04-03,5.62,5.62,5.65,5.53,5.56,887600.0
2007-04-04,5.63,5.63,5.65,5.47,5.64,1942000.0
2007-04-05,5.57,5.57,5.65,5.52,5.65,1398000.0
2007-04-09,5.57,5.57,5.6,5.48,5.59,875200.0
2007-04-10,5.58,5.58,5.65,5.5,5.55,1894400.0
2007-04-11,5.61,5.61,5.62,5.52,5.6,1052800.0
2007-04-12,5.63,5.63,5.65,5.51,5.57,1341200.0
2007-04-13,5.62,5.62,5.63,5.55,5.62,2008000.0
2007-04-16,5.6,5.6,5.65,5.58,5.65,1292400.0
2007-04-17,5.53,5.53,5.64,5.53,5.59,1232000.0
2007-04-18,5.45,5.45,5.55,5.44,5.51,1339600.0
2007-04-19,5.72,5.72,5.73,5.4,5.44,1546000.0
2007-04-20,5.8,5.8,5.8,5.7,5.75,1834000.0
2007-04-23,5.75,5.75,5.81,5.66,5.8,1628000.0
2007-04-24,5.82,5.82,5.83,5.72,5.74,1246400.0
2007-04-25,5.95,5.95,6.0,5.8,5.84,2195200.0
2007-04-26,5.91,5.91,6.11,5.89,6.0,3620800.0
2007-04-27,5.89,5.89,6.0,5.86,5.91,2032400.0
2007-04-30,5.64,5.64,5.91,5.64,5.89,2246800.0
2007-05-01,5.74,5.74,5.74,5.63,5.63,1539600.0
2007-05-02,5.97,5.97,5.98,5.72,5.74,2296000.0
2007-05-03,5.97,5.97,5.99,5.83,5.97,2182400.0
2007-05-04,5.8,5.8,5.99,5.73,5.99,1179600.0
2007-05-07,5.83,5.83,5.89,5.76,5.79,1066400.0
2007-05-08,5.84,5.84,5.84,5.73,5.79,1161600.0
2007-05-09,5.91,5.91,5.94,5.79,5.8,986800.0
2007-05-10,5.76,5.76,5.88,5.75,5.87,1278800.0
2007-05-11,5.82,5.82,5.87,5.76,5.82,671200.0
2007-05-14,5.94,5.94,5.98,5.8,5.84,1384400.0
2007-05-15,6.03,6.03,6.04,5.88,5.95,2030400.0
2007-05-16,6.07,6.07,6.08,5.98,6.03,1308400.0
2007-05-17,6.05,6.05,6.12,5.95,6.04,1612800.0
2007-05-18,6.1,6.1,6.12,6.01,6.07,770400.0
2007-05-21,6.28,6.28,6.35,6.0,6.09,1333200.0
2007-05-22,6.44,6.44,6.48,6.24,6.29,2309600.0
2007-05-23,6.4,6.4,6.51,6.38,6.47,2033200.0
2007-05-24,6.36,6.36,6.5,6.31,6.39,2445200.0
2007-05-25,6.19,6.19,6.39,6.12,6.38,1446400.0
2007-05-29,6.24,6.24,6.25,6.14,6.2,980400.0
2007-05-30,6.24,6.24,6.24,6.14,6.18,1595200.0
2007-05-31,6.24,6.24,6.28,6.21,6.25,1579200.0
2007-06-01,6.0,6.0,6.2,5.91,6.2,4236800.0
2007-06-04,5.94,5.94,5.98,5.88,5.97,2630000.0
2007-06-05,5.92,5.92,6.01,5.9,5.91,1892400.0
2007-06-06,5.86,5.86,5.89,5.74,5.88,1680000.0
2007-06-07,5.78,5.78,5.86,5.75,5.82,1514400.0
2007-06-08,5.77,5.77,5.82,5.75,5.76,1268000.0
2007-06-11,5.79,5.79,5.85,5.73,5.78,1243600.0
