,Adj Close,Close,High,Low,Open,Volume
2007-01-03,21.33,33.21,34.07,32.68,33.04,2278100.0
2007-01-04,21.66,33.72,33.89,32.87,33.28,1718600.0
2007-01-05,21.54,33.53,33.92,33.1,33.88,2010900.0
2007-01-08,21.86,34.03,34.45,33.56,33.65,2249800.0
2007-01-09,22.22,34.6,34.86,33.97,34.0,2263800.0
2007-01-10,22.58,35.15,35.29,34.15,34.34,1597500.0
2007-01-11,23.04,35.87,36.2,35.21,35.3,2715700.0
2007-01-12,23.03,35.86,36.14,35.51,35.76,1699300.0
2007-01-16,23.1,35.97,36.09,35.36,35.89,2437000.0
2007-01-17,22.99,35.79,36.03,35.45,35.5,2175300.0
2007-01-18,22.25,34.65,35.99,34.63,35.75,3585800.0
2007-01-19,22.37,34.83,35.15,34.44,34.55,2616900.0
2007-01-22,22.13,34.46,34.99,34.09,34.75,3198400.0
2007-01-23,22.25,34.64,35.22,34.33,34.5,1742700.0
2007-01-24,22.58,35.16,35.28,34.69,34.72,1911100.0
2007-01-25,22.41,34.89,35.55,34.66,35.09,1869500.0
2007-01-26,22.53,35.08,35.57,34.63,34.78,2117300.0
2007-01-29,22.47,34.99,35.23,34.7,34.94,1456600.0
2007-01-30,22.22,34.6,35.28,34.57,35.25,1782600.0
2007-01-31,22.33,34.76,34.92,34.26,34.5,3014300.0
2007-02-01,22.99,35.8,36.18,35.25,35.39,3748400.0
2007-02-02,22.85,35.58,35.9,35.26,35.57,3862400.0
2007-02-05,22.6,35.18,35.55,34.8,34.98,2877000.0
2007-02-06,22.56,35.13,35.34,34.69,35.21,2150000.0
2007-02-07,22.93,35.7,35.91,35.05,35.37,1762300.0
2007-02-08,22.9,35.65,35.85,35.5,35.83,1954500.0
2007-02-09,22.74,35.41,36.33,35.36,36.02,2590600.0
2007-02-12,22.84,35.3,35.81,34.94,35.75,1593200.0
2007-02-13,22.97,35.5,35.82,35.12,35.5,1569700.0
2007-02-14,23.42,36.19,36.4,35.62,35.73,2218900.0
2007-02-15,23.36,36.1,36.32,35.89,36.14,1261500.0
2007-02-16,23.31,36.02,36.21,35.81,36.21,981100.0
