,Adj Close,Close,High,Low,Open,Volume
2007-01-03,55.53,78.26,78.85,77.38,77.53,3781500.0
2007-01-04,55.31,77.95,78.41,77.45,78.4,2968400.0
2007-01-05,54.94,77.42,77.9,77.01,77.89,2765200.0
2007-01-08,55.06,77.59,78.04,76.97,77.42,2434500.0
2007-01-09,55.12,77.68,78.23,77.44,78.0,1896800.0
2007-01-10,55.24,77.85,77.96,77.04,77.31,1787500.0
2007-01-11,55.81,78.65,79.03,77.88,78.05,2372500.0
2007-01-12,56.31,79.36,79.5,78.22,78.41,2582200.0
2007-01-16,56.46,79.56,79.62,78.92,79.48,2526600.0
2007-01-17,55.99,78.91,79.51,78.75,79.33,2711300.0
2007-01-18,55.92,78.81,79.7,78.6,78.71,1963000.0
2007-01-19,56.24,79.25,79.88,78.82,79.09,2912100.0
2007-01-22,55.7,78.49,79.29,78.13,79.25,2139300.0
2007-01-23,55.95,78.85,79.15,78.33,78.71,1949500.0
2007-01-24,56.41,79.49,79.66,78.85,78.85,1772700.0
2007-01-25,56.07,79.01,79.75,78.83,79.56,2888700.0
2007-01-26,55.84,78.69,79.19,78.23,78.97,1996300.0
2007-01-29,56.03,78.96,79.2,78.25,78.54,3420300.0
2007-01-30,53.01,74.7,76.18,74.24,74.92,15657900.0
2007-01-31,52.72,74.3,74.68,73.09,74.21,9284500.0
2007-02-01,52.5,73.99,74.83,73.71,74.75,6501600.0
2007-02-02,52.42,73.87,74.07,73.72,73.87,5584500.0
2007-02-05,52.46,73.93,74.27,73.7,74.08,6350000.0
2007-02-06,52.7,74.27,74.5,73.82,73.91,4872900.0
2007-02-07,52.97,74.65,74.99,74.28,74.3,4051900.0
2007-02-08,52.96,74.64,74.89,74.11,74.88,3840200.0
2007-02-09,52.89,74.54,75.0,74.25,74.64,4022300.0
2007-02-12,52.93,74.59,74.89,74.4,74.55,2972100.0
2007-02-13,54.23,76.43,76.9,75.75,76.0,7193200.0
2007-02-14,54.53,76.84,76.92,76.28,76.43,3888100.0
2007-02-15,54.57,76.91,77.38,76.6,76.9,3627500.0
2007-02-16,54.53,76.84,77.43,76.41,76.91,3794200.0
2007-02-20,54.34,76.58,76.75,75.94,76.5,3962200.0
2007-02-21,54.43,76.23,76.58,75.9,76.1,2820400.0
2007-02-22,54.52,76.35,76.75,76.13,76.25,2795600.0
2007-02-23,54.42,76.21,76.57,75.95,76.49,1987400.0
2007-02-26,54.36,76.12,76.82,75.64,76.45,2594000.0
2007-02-27,53.2,74.5,76.18,73.52,76.13,5865700.0
2007-02-28,52.9,74.08,75.0,73.53,74.25,5290200.0
2007-03-01,52.6,73.66,74.01,73.02,74.0,4470900.0
2007-03-02,52.13,73.01,73.79,73.0,73.25,5008700.0
2007-03-05,52.25,73.17,73.77,72.9,73.01,4905700.0
2007-03-06,52.46,73.47,73.69,73.0,73.62,4308500.0
2007-03-07,52.7,73.8,74.19,73.17,73.5,3775600.0
2007-03-08,53.21,74.52,75.15,74.0,74.03,3815900.0
2007-03-09,53.36,74.73,75.31,74.54,74.59,3346200.0
2007-03-12,53.68,75.17,75.29,74.6,74.61,3220100.0
2007-03-13,53.39,74.77,75.5,74.65,74.75,4431500.0
2007-03-14,54.13,75.8,75.84,74.42,74.78,4612800.0
