,Adj Close,Close,High,Low,Open,Volume
2007-01-03,27.56,44.02,44.89,43.97,44.03,15019300.0
2007-01-04,28.24,45.11,45.45,43.62,43.62,12515200.0
2007-01-05,27.73,44.3,45.1,44.18,45.1,10656900.0
2007-01-08,27.73,44.29,44.52,43.16,43.16,7046300.0
2007-01-09,27.47,43.88,44.5,43.83,44.3,8623200.0
2007-01-10,27.62,44.12,44.39,43.63,43.85,7585000.0
2007-01-11,27.71,44.26,44.6,43.92,44.25,7683100.0
2007-01-12,28.04,44.79,45.09,44.32,44.48,9420400.0
2007-01-16,28.14,44.95,45.17,44.71,44.8,6279100.0
2007-01-17,28.18,45.01,45.23,44.7,44.95,7676900.0
2007-01-18,28.63,45.74,46.01,45.05,45.05,10613600.0
2007-01-19,28.55,45.6,46.16,45.43,45.86,9455200.0
2007-01-22,28.36,45.3,45.91,45.03,45.42,8103700.0
2007-01-23,28.63,45.73,45.97,45.31,45.53,8343500.0
2007-01-24,28.93,46.22,46.33,45.68,45.78,6179400.0
2007-01-25,28.8,46.0,46.55,45.72,46.01,8094000.0
2007-01-26,28.79,45.99,46.39,45.42,45.99,7054300.0
2007-01-29,28.49,45.51,46.23,45.31,46.19,7427600.0
2007-01-30,28.11,44.91,45.93,44.6,45.76,12493200.0
2007-01-31,28.01,44.75,45.09,44.5,44.9,9760100.0
2007-02-01,28.25,45.13,45.44,44.69,44.9,7955700.0
2007-02-02,28.0,44.73,45.31,43.91,45.12,14693200.0
2007-02-05,27.91,44.58,44.7,44.25,44.61,11200900.0
2007-02-06,27.95,44.64,44.78,44.21,44.74,7904700.0
2007-02-07,27.71,44.26,44.89,43.97,44.88,8652900.0
2007-02-08,27.49,43.92,44.75,43.81,44.02,7229700.0
2007-02-09,27.43,43.82,44.28,43.66,44.06,5494400.0
2007-02-12,27.45,43.85,44.24,43.7,44.0,8852000.0
2007-02-13,27.51,43.95,44.15,43.69,44.1,7138100.0
2007-02-14,27.58,44.06,44.23,43.9,44.14,6559300.0
2007-02-15,27.47,43.88,44.06,43.66,43.91,9547600.0
2007-02-16,27.72,44.28,44.75,43.91,44.07,13737300.0
2007-02-20,27.86,44.5,44.7,44.21,44.39,8403900.0
2007-02-21,27.51,43.95,44.45,43.81,44.45,9417800.0
2007-02-22,27.04,43.2,44.02,43.13,43.85,12399500.0
2007-02-23,26.88,42.94,43.22,42.8,43.2,9358600.0
2007-02-26,27.85,44.48,44.93,43.87,44.34,19375200.0
2007-02-27,27.03,43.18,44.5,42.35,44.28,15443800.0
2007-02-28,27.64,44.15,44.7,43.67,44.26,20877600.0
2007-03-01,27.54,43.99,44.48,43.51,43.95,12601100.0
2007-03-02,27.66,44.19,44.43,43.56,44.25,12624500.0
2007-03-05,27.7,44.25,44.85,43.68,43.94,13906400.0
2007-03-06,27.96,44.67,44.96,44.2,44.25,11934200.0
2007-03-07,27.69,43.86,44.84,43.82,44.26,11602100.0
2007-03-08,28.01,44.36,44.39,43.98,43.98,8372500.0
2007-03-09,28.17,44.61,44.85,44.3,44.53,8270700.0
2007-03-12,27.96,44.29,44.7,44.11,44.43,8251100.0
2007-03-13,27.38,43.37,44.5,43.25,43.95,12319100.0
2007-03-14,27.32,43.27,43.65,42.76,43.65,12335200.0
2007-03-15,27.27,43.19,43.28,42.87,43.16,9183000.0
2007-03-16,27.21,43.09,43.63,42.98,43.29,11515900.0
2007-03-19,27.41,43.42,43.7,43.11,43.34,11028500.0
2007-03-20,27.55,43.63,43.8,43.14,43.29,5927900.0
2007-03-21,27.94,44.25,44.43,43.44,43.5,11261800.0
2007-03-22,27.89,44.17,44.37,43.76,43.8,8924400.0
2007-03-23,28.07,44.45,44.72,44.23,44.32,8383200.0
2007-03-26,27.83,44.07,44.46,43.75,44.26,9625100.0
2007-03-27,27.56,43.65,43.96,43.59,43.84,9328800.0
2007-03-28,27.29,43.23,43.64,43.22,43.41,10596600.0
2007-03-29,27.75,43.95,44.04,43.52,43.68,11658600.0
2007-03-30,27.89,44.17,44.2,43.33,44.08,7851400.0
2007-04-02,28.42,45.01,45.29,44.52,44.59,13418200.0
2007-04-03,28.65,45.38,45.57,45.03,45.29,7868200.0
2007-04-04,28.65,45.37,45.41,45.04,45.23,5892400.0
2007-04-05,28.75,45.54,45.84,45.11,45.25,5622800.0
2007-04-09,28.82,45.65,45.66,45.24,45.46,6071900.0
2007-04-10,28.96,45.86,45.99,45.52,45.7,6583100.0
2007-04-11,28.82,45.65,45.88,45.34,45.8,8108900.0
2007-04-12,29.27,46.36,46.5,45.45,45.52,11761300.0
2007-04-13,31.7,50.21,50.8,49.25,49.39,46730700.0
2007-04-16,31.77,50.32,50.63,50.0,50.01,14358200.0
2007-04-17,31.58,50.01,50.45,49.82,50.3,11688700.0
2007-04-18,31.37,49.69,49.96,49.25,49.59,13349100.0
2007-04-19,31.66,50.15,50.39,49.5,49.76,17125800.0
2007-04-20,32.51,51.49,51.62,50.35,50.79,18680100.0
2007-04-23,32.62,51.67,52.1,51.0,51.31,14738700.0
2007-04-24,32.58,51.6,52.26,51.01,51.65,8922500.0
2007-04-25,33.08,52.39,52.5,51.36,51.69,12074100.0
2007-04-26,33.1,52.43,52.63,52.08,52.38,10245200.0
2007-04-27,32.74,51.86,52.36,51.54,52.26,11201900.0
2007-04-30,32.48,51.44,51.91,51.15,51.81,10265800.0
2007-05-01,32.19,50.98,51.73,50.54,51.65,10716300.0
2007-05-02,32.35,51.23,51.5,51.11,51.3,7883000.0
2007-05-03,32.55,51.55,51.8,51.08,51.4,8215400.0
2007-05-04,32.78,51.92,52.29,51.55,51.64,8681400.0
2007-05-07,32.85,52.03,52.06,51.8,51.85,6664500.0
2007-05-08,32.98,52.24,52.28,51.64,51.87,7888500.0
2007-05-09,32.86,52.05,52.35,51.79,52.19,8922900.0
2007-05-10,32.25,51.08,51.87,51.0,51.67,9342800.0
2007-05-11,32.83,52.0,52.14,51.1,51.1,9679700.0
2007-05-14,32.88,52.08,52.62,51.87,52.0,8261400.0
2007-05-15,33.22,52.62,52.68,51.98,52.06,11726800.0
2007-05-16,33.27,52.69,53.0,52.15,53.0,10858900.0
2007-05-17,33.12,52.46,52.98,52.33,52.69,9237100.0
2007-05-18,33.62,53.25,53.25,52.25,52.56,13741500.0
2007-05-21,33.96,53.79,54.69,53.0,53.03,19675700.0
2007-05-22,34.19,54.15,55.14,54.0,54.1,14547000.0
2007-05-23,34.32,54.35,54.7,54.1,54.38,10026100.0
2007-05-24,33.94,53.75,54.59,53.23,53.9,10111900.0
2007-05-25,33.91,53.7,53.75,53.48,53.69,12639800.0
2007-05-29,33.72,53.4,54.01,53.0,53.82,9946100.0
2007-05-30,33.28,52.71,53.15,51.96,53.15,14986800.0
2007-05-31,33.12,52.45,53.18,52.45,52.62,11213700.0
2007-06-01,32.92,52.14,52.9,51.88,52.52,11117000.0
2007-06-04,32.67,51.75,52.05,51.39,52.05,14617200.0
2007-06-05,32.48,51.44,51.69,50.73,51.67,14600700.0
2007-06-06,32.29,50.76,51.31,50.64,51.0,11693800.0
2007-06-07,32.02,50.34,50.76,50.23,50.44,13526400.0
2007-06-08,31.89,50.14,50.49,49.63,50.3,11341100.0
2007-06-11,32.47,51.05,51.35,50.04,50.3,12446700.0
2007-06-12,31.94,50.22,51.05,50.21,50.67,11288900.0
2007-06-13,32.23,50.67,50.87,49.71,50.36,11509100.0
2007-06-14,31.95,50.23,50.65,50.1,50.65,10470400.0
2007-06-15,32.27,50.73,51.58,50.45,50.89,13653100.0
2007-06-18,32.2,50.63,51.0,50.29,50.9,7462400.0
2007-06-19,32.01,50.32,50.99,50.18,50.65,9361700.0
2007-06-20,31.33,49.26,50.09,49.21,50.0,14037000.0
2007-06-21,31.36,49.3,49.53,48.46,49.05,11822500.0
2007-06-22,30.88,48.55,49.4,48.26,48.92,14505000.0
2007-06-25,30.75,48.34,49.25,48.0,48.7,11229500.0
2007-06-26,31.24,49.12,49.74,48.4,48.43,16110100.0
2007-06-27,32.01,50.33,50.7,48.77,49.08,18912400.0
2007-06-28,32.11,50.48,51.1,50.28,50.59,12755400.0
2007-06-29,31.68,49.8,50.95,49.47,50.95,14435500.0
2007-07-02,31.53,49.57,50.3,49.22,49.91,13141000.0
2007-07-03,31.7,49.83,50.26,49.58,49.95,5204400.0
2007-07-05,31.69,49.82,49.89,49.36,49.7,8102200.0
2007-07-06,31.46,49.46,49.97,48.87,49.9,9235600.0
2007-07-09,31.44,49.42,49.57,49.04,49.5,9180400.0
2007-07-10,30.95,48.66,49.53,48.6,49.02,12297000.0
2007-07-11,31.1,48.9,49.15,48.43,48.5,13832300.0
2007-07-12,32.29,50.77,50.87,48.9,49.2,16683500.0
2007-07-13,32.34,50.85,51.13,50.47,50.55,10138900.0
2007-07-16,32.33,50.83,50.86,50.19,50.51,8421700.0
2007-07-17,31.98,50.27,51.1,50.13,50.65,7724600.0
2007-07-18,31.77,49.94,50.38,49.33,50.0,10643700.0
2007-07-19,31.38,49.34,50.06,49.12,49.98,11300400.0
2007-07-20,31.18,49.02,50.0,48.81,49.55,13696700.0
2007-07-23,33.29,52.33,53.35,51.18,51.54,39947100.0
2007-07-24,32.9,51.72,53.81,51.53,52.95,17102700.0
2007-07-25,33.95,53.38,53.68,52.2,52.35,18993900.0
2007-07-26,33.06,51.97,53.73,51.49,53.0,21829500.0
2007-07-27,31.88,50.12,52.17,50.07,51.97,16674800.0
2007-07-30,31.88,50.12,50.37,49.45,50.37,11567500.0
2007-07-31,31.58,49.65,50.46,49.5,50.3,14382200.0
2007-08-01,32.45,51.02,51.27,49.57,49.62,16472000.0
2007-08-02,32.85,51.64,52.13,50.82,51.43,12617100.0
2007-08-03,31.99,50.29,51.72,50.24,51.66,11209100.0
2007-08-06,32.66,51.35,51.58,50.46,51.2,13097800.0
2007-08-07,32.84,51.63,52.35,50.8,50.88,13516400.0
2007-08-08,33.31,52.36,52.74,50.92,52.17,11431800.0
2007-08-09,32.72,51.44,52.5,50.25,51.58,14787700.0
