,Adj Close,Close,High,Low,Open,Volume
2007-01-03,83.98,122.68,123.21,121.57,121.94,317800.0
2007-01-04,83.89,122.55,122.83,121.35,122.68,392100.0
2007-01-05,82.42,120.41,122.25,120.01,121.55,462400.0
2007-01-08,83.0,121.26,121.43,119.67,120.3,329300.0
2007-01-09,82.8,120.96,121.98,120.04,121.26,301200.0
2007-01-10,83.98,122.68,122.94,120.54,120.97,609700.0
2007-01-11,83.11,121.42,122.7,120.39,122.7,313500.0
2007-01-12,82.35,120.31,121.22,119.56,121.22,404100.0
2007-01-16,82.05,119.86,120.49,118.63,120.49,455800.0
2007-01-17,81.41,118.93,120.0,118.71,119.87,366900.0
2007-01-18,81.51,119.07,119.81,118.93,118.97,351200.0
2007-01-19,81.51,119.07,119.94,118.47,119.85,480200.0
2007-01-22,81.68,119.33,119.74,118.97,119.08,336600.0
2007-01-23,81.85,119.57,119.79,118.58,119.34,218300.0
2007-01-24,82.92,121.14,121.3,119.5,119.52,430500.0
2007-01-25,82.07,119.89,121.23,119.86,121.07,441400.0
2007-01-26,81.78,119.47,120.14,118.56,119.9,291700.0
2007-01-29,82.26,120.17,120.3,119.2,119.72,301100.0
2007-01-30,82.86,121.05,121.05,119.61,120.06,230400.0
2007-01-31,83.04,121.31,121.58,119.94,121.05,261400.0
2007-02-01,83.26,121.64,121.66,120.82,121.41,410800.0
2007-02-02,83.75,122.35,122.77,121.55,122.54,207900.0
2007-02-05,83.37,121.79,122.2,120.99,122.0,177500.0
2007-02-06,83.61,122.14,122.42,121.76,121.99,219200.0
2007-02-07,84.16,122.95,122.99,121.94,122.14,155400.0
2007-02-08,83.81,122.44,122.95,121.87,122.95,157100.0
2007-02-09,83.28,121.67,122.87,121.37,122.64,296000.0
2007-02-12,83.51,122.0,122.38,121.17,121.67,234300.0
2007-02-13,84.28,123.13,123.13,121.96,122.25,213700.0
2007-02-14,84.9,124.03,124.23,122.95,123.14,212300.0
2007-02-15,84.97,124.13,124.49,123.56,124.0,245000.0
2007-02-16,85.17,124.42,124.68,123.77,124.02,226800.0
2007-02-20,85.39,124.74,125.12,123.57,124.42,257400.0
2007-02-21,85.26,124.55,125.01,124.1,124.1,280000.0
2007-02-22,85.04,124.24,125.13,123.79,124.93,227000.0
2007-02-23,85.0,124.18,124.99,123.13,124.94,324800.0
2007-02-26,84.69,123.13,124.04,122.64,123.73,306300.0
2007-02-27,82.46,119.89,123.57,119.44,123.14,486300.0
2007-02-28,82.49,119.92,120.69,118.8,119.94,575600.0
2007-03-01,82.14,119.42,120.03,115.57,119.42,664400.0
2007-03-02,81.36,118.28,119.6,118.28,119.42,332800.0
2007-03-05,80.21,116.61,118.21,116.61,118.03,425000.0
2007-03-06,81.38,118.32,118.48,117.02,117.11,443700.0
2007-03-07,80.53,117.07,118.15,117.07,118.07,269400.0
2007-03-08,80.79,117.45,118.25,117.23,117.5,486500.0
2007-03-09,80.78,117.44,118.21,117.12,117.8,370800.0
2007-03-12,80.48,117.01,117.31,116.24,117.21,478200.0
2007-03-13,78.17,113.64,116.7,113.64,116.7,764600.0
2007-03-14,78.44,114.04,114.39,112.05,113.9,848700.0
2007-03-15,79.27,115.25,116.03,114.05,114.14,497600.0
2007-03-16,79.79,116.0,117.7,115.25,115.25,996700.0
2007-03-19,80.01,116.32,117.31,116.12,117.0,611500.0
2007-03-20,80.54,117.09,117.38,116.18,116.18,261300.0
2007-03-21,82.34,119.71,119.84,116.21,117.08,537300.0
2007-03-22,81.35,118.27,119.8,118.03,119.71,514200.0
2007-03-23,81.55,118.56,119.08,118.18,118.43,206200.0
2007-03-26,81.11,117.92,118.4,116.77,118.4,224500.0
2007-03-27,80.28,116.71,117.92,116.51,117.67,203300.0
2007-03-28,79.49,115.57,116.5,115.03,116.5,517000.0
2007-03-29,80.04,116.37,117.12,115.93,116.4,413800.0
2007-03-30,79.67,115.83,116.61,114.77,116.12,415700.0
2007-04-02,72.88,105.95,108.08,104.52,106.0,2196700.0
2007-04-03,73.1,106.27,106.62,105.23,106.1,1106300.0
2007-04-04,71.95,104.6,106.07,104.3,105.85,878600.0
2007-04-05,72.9,105.99,106.22,104.08,104.08,627700.0
2007-04-09,72.41,105.27,105.82,104.75,105.71,574600.0
2007-04-10,72.97,106.09,106.27,105.25,105.27,571900.0
2007-04-11,72.47,105.36,106.31,105.25,106.31,530500.0
2007-04-12,71.98,104.64,105.12,104.0,105.08,683400.0
2007-04-13,72.83,105.88,105.93,104.19,104.58,589400.0
2007-04-16,73.99,107.57,108.47,106.1,106.21,597800.0
2007-04-17,75.06,109.12,109.99,107.49,109.0,981100.0
2007-04-18,77.11,112.1,113.5,110.0,110.0,1118400.0
2007-04-19,77.42,112.56,113.13,111.35,111.55,856200.0
2007-04-20,78.13,113.59,113.95,112.7,113.8,642300.0
2007-04-23,77.11,112.11,113.6,111.9,113.6,529500.0
2007-04-24,77.11,112.1,113.46,111.49,112.75,569500.0
2007-04-25,77.77,113.07,113.13,112.06,112.1,480900.0
2007-04-26,77.33,112.42,113.1,111.38,112.5,423900.0
2007-04-27,76.78,111.62,112.13,109.96,109.96,792300.0
2007-04-30,76.58,111.34,113.0,111.34,112.91,896700.0
2007-05-01,76.98,111.92,112.38,110.84,111.35,559300.0
2007-05-02,77.42,112.56,112.74,111.77,112.1,293800.0
2007-05-03,77.76,113.05,113.31,112.23,113.05,296700.0
2007-05-04,78.15,113.62,113.7,112.8,113.24,320800.0
2007-05-07,78.06,113.48,114.33,113.28,113.62,299500.0
