,Adj Close,Close,High,Low,Open,Volume
2007-01-03,77.78,77.78,79.19,77.45,78.6,488600.0
2007-01-04,78.49,78.49,78.62,77.65,77.8,164300.0
2007-01-05,78.52,78.52,78.85,78.0,78.35,143600.0
2007-01-08,78.9,78.9,79.0,78.09,78.65,88500.0
2007-01-09,79.82,79.82,79.99,78.73,79.35,140200.0
2007-01-10,79.59,79.59,79.98,78.91,79.7,133400.0
2007-01-11,81.0,81.0,81.0,79.8,79.8,140800.0
2007-01-12,79.91,79.91,80.75,79.35,80.56,184200.0
2007-01-16,80.48,80.48,80.63,79.88,79.91,198000.0
2007-01-17,80.22,80.22,80.67,80.05,80.05,101200.0
2007-01-18,80.18,80.18,80.6,79.7,80.22,228000.0
2007-01-19,79.28,79.28,80.15,79.18,80.05,159900.0
2007-01-22,78.29,78.29,79.23,78.18,79.13,186000.0
2007-01-23,79.54,79.54,79.54,78.04,78.66,180600.0
2007-01-24,80.04,80.04,80.35,79.41,79.96,185800.0
2007-01-25,79.98,79.98,80.4,79.4,80.4,507300.0
2007-01-26,80.94,80.94,81.42,79.64,79.92,295000.0
2007-01-29,81.57,81.57,82.6,80.24,81.15,327000.0
2007-01-30,82.11,82.11,82.58,80.74,81.67,154600.0
2007-01-31,82.8,82.8,82.88,81.94,82.24,137900.0
2007-02-01,85.48,85.48,85.54,83.12,83.19,471700.0
2007-02-02,84.09,84.09,85.37,83.95,85.26,253800.0
2007-02-05,83.64,83.64,84.72,83.44,84.2,202700.0
2007-02-06,84.29,84.29,84.61,83.92,83.95,183800.0
2007-02-07,84.66,84.66,84.92,84.29,84.29,227400.0
2007-02-08,84.6,84.6,85.05,84.12,84.69,232400.0
2007-02-09,89.2,89.2,93.79,88.66,89.0,1150500.0
2007-02-12,87.7,87.7,89.75,87.46,88.7,358700.0
2007-02-13,88.02,88.02,89.58,87.56,87.65,230300.0
2007-02-14,89.48,89.48,89.59,87.96,88.26,357200.0
2007-02-15,90.66,90.66,90.94,89.29,89.74,534800.0
2007-02-16,89.61,89.61,90.45,89.21,90.2,166800.0
2007-02-20,89.81,89.81,90.05,89.13,89.61,275100.0
2007-02-21,90.6,90.6,91.13,89.75,89.99,352400.0
2007-02-22,90.17,90.17,90.76,89.8,90.2,231300.0
2007-02-23,89.91,89.91,90.7,89.55,90.5,339500.0
2007-02-26,89.41,89.41,90.5,89.38,90.27,194100.0
2007-02-27,86.26,86.26,88.91,85.44,88.91,244100.0
2007-02-28,86.36,86.36,87.22,86.36,86.46,225300.0
2007-03-01,85.89,85.89,86.3,84.02,85.0,245700.0
2007-03-02,84.96,84.96,86.44,84.22,85.65,234800.0
2007-03-05,84.99,84.99,86.29,83.59,83.75,358300.0
2007-03-06,87.18,87.18,87.49,86.2,86.45,267200.0
2007-03-07,87.11,87.11,87.5,86.35,87.18,201000.0
2007-03-08,86.45,86.45,87.9,86.0,87.8,184600.0
2007-03-09,86.85,86.85,87.56,86.38,86.7,137800.0
2007-03-12,88.26,88.26,88.61,86.5,86.5,185700.0
2007-03-13,87.3,87.3,88.63,87.02,87.58,215300.0
2007-03-14,87.02,87.02,88.05,86.62,87.55,178900.0
2007-03-15,88.21,88.21,88.36,87.03,87.2,134900.0
2007-03-16,88.19,88.19,88.51,87.72,88.3,121200.0
2007-03-19,89.51,89.51,89.6,88.27,88.44,219100.0
2007-03-20,89.45,89.45,89.88,88.96,89.01,168100.0
2007-03-21,91.08,91.08,91.11,89.15,89.7,197000.0
2007-03-22,91.01,91.01,91.09,89.2,89.2,151600.0
2007-03-23,91.47,91.47,91.81,90.7,90.81,104600.0
2007-03-26,91.61,91.61,91.87,90.5,91.6,131200.0
2007-03-27,90.84,90.84,91.18,90.07,90.75,193200.0
2007-03-28,89.96,89.96,91.0,89.25,90.0,134800.0
2007-03-29,89.0,89.0,90.35,88.86,90.16,337200.0
2007-03-30,89.57,89.57,89.75,88.8,88.8,301300.0
2007-04-02,89.94,89.94,90.48,89.6,89.6,213900.0
2007-04-03,90.09,90.09,90.58,89.89,90.0,331100.0
2007-04-04,91.21,91.21,91.21,89.93,90.0,335800.0
2007-04-05,92.68,92.68,92.8,91.36,91.36,181000.0
2007-04-09,92.31,92.31,93.12,91.7,92.5,184600.0
2007-04-10,93.16,93.16,93.26,92.15,92.43,140700.0
2007-04-11,93.07,93.07,93.35,92.55,93.0,169400.0
2007-04-12,93.14,93.14,93.38,92.61,93.27,124000.0
2007-04-13,93.65,93.65,93.73,92.91,93.25,134300.0
2007-04-16,93.96,93.96,94.99,93.96,94.6,209500.0
2007-04-17,94.24,94.24,94.49,93.58,94.0,164400.0
2007-04-18,94.21,94.21,94.37,94.01,94.16,63200.0
2007-04-19,93.77,93.77,94.21,93.44,94.21,112300.0
2007-04-20,94.85,94.85,94.85,94.02,94.02,111100.0
2007-04-23,95.46,95.46,95.7,94.12,94.5,171400.0
2007-04-24,94.84,94.84,95.4,94.57,95.38,178900.0
2007-04-25,95.34,95.34,95.76,94.79,95.09,241500.0
2007-04-26,95.49,95.49,96.08,95.37,95.59,168400.0
