,Adj Close,Close,High,Low,Open,Volume
2007-01-03,24.09,25.5,27.21,25.43,26.97,2105900.0
2007-01-04,23.67,25.05,25.25,24.38,24.48,3447000.0
2007-01-05,23.89,25.29,25.67,24.93,24.93,2121500.0
2007-01-08,24.18,25.59,25.72,25.12,25.32,1088500.0
2007-01-09,24.57,26.01,26.03,25.11,25.86,1194900.0
2007-01-10,24.33,25.76,26.06,25.06,26.0,1434700.0
2007-01-11,24.88,26.34,26.59,25.72,25.72,1458100.0
2007-01-12,25.2,26.68,26.77,26.3,26.37,1006100.0
2007-01-16,24.89,26.35,26.58,26.24,26.5,852600.0
2007-01-17,24.75,26.2,26.54,25.36,26.35,887500.0
2007-01-18,24.24,25.66,26.17,25.48,26.17,1109400.0
2007-01-19,24.28,25.7,25.86,25.49,25.73,1075600.0
2007-01-22,23.83,25.22,25.88,25.11,25.79,1280100.0
2007-01-23,24.86,26.31,26.65,25.16,25.16,2029900.0
2007-01-24,24.99,26.45,26.84,25.98,26.52,1021300.0
2007-01-25,25.07,26.53,26.84,26.32,26.63,1337700.0
2007-01-26,24.98,26.44,26.73,26.13,26.72,1061300.0
2007-01-29,24.45,25.88,26.5,25.76,26.47,1871600.0
2007-01-30,24.92,26.38,26.47,25.75,26.13,1472000.0
2007-01-31,22.19,23.49,24.72,23.25,24.68,9425800.0
2007-02-01,23.11,24.46,24.47,23.66,23.96,3733300.0
2007-02-02,23.53,24.91,25.05,24.07,24.5,2433700.0
2007-02-05,23.58,24.96,25.08,24.67,24.93,2159300.0
2007-02-06,24.03,25.44,25.52,24.44,24.55,1997000.0
2007-02-07,24.27,25.69,26.07,25.46,25.54,1780900.0
2007-02-08,23.97,25.37,25.87,25.32,25.63,2779700.0
2007-02-09,23.77,25.16,25.36,24.93,25.3,1776000.0
2007-02-12,24.2,25.61,25.88,25.17,25.17,1725900.0
2007-02-13,24.65,26.09,26.71,25.63,25.68,3139400.0
2007-02-14,25.58,27.07,27.17,26.17,26.27,2148500.0
2007-02-15,26.17,27.7,27.93,26.96,27.1,2197300.0
2007-02-16,26.51,28.06,28.13,27.64,27.7,1774900.0
2007-02-20,26.91,28.49,28.75,28.0,28.18,1733400.0
2007-02-21,27.79,29.42,29.57,28.1,28.28,2536900.0
2007-02-22,27.15,28.74,29.89,28.42,29.8,1993300.0
2007-02-23,27.17,28.76,28.82,28.42,28.8,1197700.0
2007-02-26,26.47,28.02,28.97,27.88,28.86,1865400.0
2007-02-27,25.26,26.74,28.02,26.5,27.22,2232200.0
2007-02-28,25.1,26.56,26.93,25.95,26.72,1799400.0
2007-03-01,25.05,26.52,26.76,24.96,26.04,2144500.0
2007-03-02,24.36,25.78,26.54,25.37,26.27,1207900.0
2007-03-05,23.72,25.11,25.81,24.94,25.37,1876200.0
2007-03-06,24.07,25.48,26.24,25.22,25.95,2167700.0
2007-03-07,24.41,25.82,26.35,25.23,25.23,1833400.0
2007-03-08,24.48,25.89,26.26,25.72,26.13,1782800.0
2007-03-09,24.38,25.79,26.21,25.58,25.96,1310100.0
2007-03-12,24.31,25.72,25.84,25.36,25.68,1600500.0
2007-03-13,23.73,25.11,26.04,25.04,25.54,1477000.0
2007-03-14,23.27,24.62,25.45,24.46,25.07,3157900.0
2007-03-15,23.75,25.12,25.14,24.59,24.62,2022600.0
2007-03-16,25.54,27.02,27.63,26.49,26.59,5050600.0
2007-03-19,26.14,27.65,27.85,27.05,27.06,2362600.0
2007-03-20,26.31,27.84,28.03,27.53,27.72,1856600.0
2007-03-21,26.43,27.96,28.14,27.65,27.76,1832500.0
2007-03-22,26.42,27.94,28.33,27.83,27.95,2033700.0
2007-03-23,26.55,28.08,28.43,27.79,27.81,2069200.0
2007-03-26,26.48,28.01,28.34,27.65,28.08,1811100.0
2007-03-27,26.76,28.3,28.45,27.62,27.83,1735800.0
2007-03-28,27.21,28.78,28.84,28.04,28.23,2253600.0
2007-03-29,27.35,28.93,29.18,28.64,28.93,1413700.0
2007-03-30,27.2,28.77,29.26,28.56,28.85,1423800.0
2007-04-02,27.41,28.99,29.1,28.48,28.8,1117600.0
2007-04-03,27.55,29.15,29.46,28.99,29.15,995900.0
2007-04-04,27.82,29.43,29.43,29.05,29.3,1207000.0
2007-04-05,27.59,29.19,29.43,29.04,29.43,900800.0
2007-04-09,27.56,29.16,29.71,29.08,29.28,1365800.0
2007-04-10,27.64,29.24,29.32,29.01,29.1,1383900.0
2007-04-11,27.76,29.37,29.5,28.9,29.3,1404400.0
2007-04-12,28.37,30.01,30.03,29.08,29.17,1274400.0
2007-04-13,28.2,29.83,30.3,29.49,30.0,942500.0
2007-04-16,28.94,30.62,30.64,29.83,29.83,1192700.0
2007-04-17,29.02,30.7,31.1,30.57,30.84,1330200.0
2007-04-18,28.5,30.15,30.68,30.1,30.59,1073200.0
2007-04-19,28.46,30.11,30.34,29.6,29.85,899500.0
2007-04-20,28.76,30.42,31.21,30.1,31.21,1150900.0
2007-04-23,29.47,31.18,31.52,30.69,30.71,1137500.0
2007-04-24,29.42,31.12,31.39,30.83,31.29,897500.0
2007-04-25,29.52,31.23,31.43,30.73,31.23,983400.0
2007-04-26,29.1,30.78,31.48,30.78,31.3,1348800.0
2007-04-27,29.97,31.7,32.29,30.82,30.87,2187300.0
2007-04-30,29.21,30.9,32.21,30.87,31.7,2188900.0
2007-05-01,30.86,32.65,34.35,31.81,32.5,5935300.0
2007-05-02,31.35,33.16,33.81,32.87,32.9,2703100.0
2007-05-03,31.71,33.54,33.7,32.73,33.06,2107400.0
2007-05-04,31.74,33.58,33.97,33.21,33.95,1763200.0
2007-05-07,31.49,33.31,33.67,33.01,33.5,966400.0
2007-05-08,31.53,33.35,33.59,32.63,33.36,1402900.0
2007-05-09,32.55,34.43,34.5,33.4,33.49,1836700.0
2007-05-10,32.08,33.94,34.99,33.76,34.4,3219500.0
2007-05-11,32.75,34.65,34.66,34.15,34.17,1302600.0
2007-05-14,32.97,34.88,35.49,34.42,35.19,2315200.0
2007-05-15,32.51,34.39,35.18,34.15,34.72,1738500.0
2007-05-16,32.24,34.1,35.06,33.84,34.87,1846200.0
2007-05-17,31.94,33.78,33.85,32.99,33.81,2002500.0
2007-05-18,32.05,33.9,34.18,33.43,33.86,1088200.0
2007-05-21,32.48,34.36,34.59,33.83,33.9,1427800.0
2007-05-22,32.35,34.22,34.59,33.9,34.38,1097700.0
2007-05-23,31.91,33.75,34.53,33.72,34.25,888000.0
2007-05-24,31.21,33.02,34.22,32.89,33.58,1176600.0
2007-05-25,32.08,33.93,34.24,33.13,33.13,1565600.0
2007-05-29,32.18,34.05,34.72,33.85,34.04,1870900.0
2007-05-30,32.77,34.65,34.66,33.16,33.59,2361500.0
2007-05-31,32.46,34.32,35.09,34.07,35.09,2020600.0
2007-06-01,33.41,35.33,35.72,34.83,34.87,1655400.0
2007-06-04,33.3,35.21,35.63,34.81,35.37,1009900.0
2007-06-05,32.77,34.65,35.19,34.31,34.87,1774200.0
2007-06-06,32.06,33.9,34.97,33.85,34.67,1672200.0
2007-06-07,31.37,33.17,33.9,32.43,33.9,2455800.0
2007-06-08,31.63,33.45,33.5,32.4,32.61,1122900.0
2007-06-11,32.41,34.27,34.6,33.61,33.65,1529400.0
2007-06-12,32.92,34.81,35.21,34.31,34.83,3198600.0
2007-06-13,33.03,34.93,36.42,34.47,35.17,4290600.0
2007-06-14,33.83,35.77,36.06,35.34,35.35,1867400.0
2007-06-15,34.44,36.41,36.57,35.89,35.89,1876900.0
2007-06-18,35.45,37.48,37.83,36.64,37.14,2522300.0
2007-06-19,35.28,37.3,37.71,36.83,37.66,1554100.0
2007-06-20,34.88,36.88,38.02,36.88,37.56,1694700.0
2007-06-21,35.37,37.4,37.49,36.4,36.91,2251400.0
2007-06-22,35.61,37.65,38.04,37.32,37.58,1918900.0
2007-06-25,35.59,37.63,38.23,37.53,38.16,1932500.0
2007-06-26,34.18,36.14,37.79,36.08,37.78,2089500.0
2007-06-27,33.85,35.79,35.9,34.63,35.33,2282300.0
2007-06-28,33.82,35.76,36.44,35.62,35.93,1718200.0
