,Adj Close,Close,High,Low,Open,Volume
2007-01-03,3.8,3.8,3.82,3.68,3.71,16440900.0
2007-01-04,3.62,3.62,3.83,3.59,3.77,15959300.0
2007-01-05,3.54,3.54,3.62,3.49,3.62,15190700.0
2007-01-08,3.4,3.4,3.56,3.37,3.55,18344900.0
2007-01-09,3.43,3.43,3.44,3.36,3.43,10611300.0
2007-01-10,3.44,3.44,3.46,3.41,3.42,11448500.0
2007-01-11,3.46,3.46,3.51,3.41,3.42,9130100.0
2007-01-12,3.24,3.24,3.41,3.24,3.41,22171100.0
2007-01-16,3.25,3.25,3.49,3.24,3.46,30134300.0
2007-01-17,3.26,3.26,3.29,3.23,3.26,15204000.0
2007-01-18,3.18,3.18,3.28,3.17,3.25,11298700.0
2007-01-19,3.22,3.22,3.26,3.17,3.17,12152000.0
2007-01-22,3.13,3.13,3.28,3.11,3.26,18595500.0
2007-01-23,3.11,3.11,3.19,3.1,3.11,20239100.0
2007-01-24,3.25,3.25,3.29,3.04,3.13,44220400.0
2007-01-25,3.32,3.32,3.46,3.25,3.42,64389500.0
2007-01-26,3.31,3.31,3.37,3.25,3.37,13869800.0
2007-01-29,3.22,3.22,3.25,3.15,3.18,21761600.0
2007-01-30,3.28,3.28,3.28,3.22,3.23,8789200.0
2007-01-31,3.26,3.26,3.3,3.24,3.25,10256400.0
2007-02-01,3.25,3.25,3.3,3.24,3.27,7888300.0
2007-02-02,3.26,3.26,3.3,3.24,3.25,9864400.0
2007-02-05,3.23,3.23,3.29,3.22,3.29,5572700.0
2007-02-06,3.19,3.19,3.24,3.17,3.21,15805300.0
2007-02-07,3.27,3.27,3.29,3.18,3.18,11223800.0
2007-02-08,3.39,3.39,3.4,3.3,3.35,19541900.0
2007-02-09,3.3,3.3,3.4,3.3,3.4,7865200.0
2007-02-12,3.3,3.3,3.35,3.28,3.29,7119700.0
2007-02-13,3.27,3.27,3.32,3.26,3.32,4841900.0
2007-02-14,3.23,3.23,3.31,3.17,3.27,36174600.0
2007-02-15,3.21,3.21,3.24,3.2,3.21,8286600.0
2007-02-16,3.27,3.27,3.27,3.2,3.22,10532900.0
2007-02-20,3.36,3.36,3.37,3.28,3.28,12290600.0
2007-02-21,3.34,3.34,3.37,3.32,3.36,64801800.0
2007-02-22,3.39,3.39,3.41,3.35,3.35,8782900.0
2007-02-23,3.36,3.36,3.41,3.36,3.39,8375500.0
2007-02-26,3.3,3.3,3.4,3.07,3.39,6216700.0
2007-02-27,3.16,3.16,3.26,3.16,3.25,12520200.0
2007-02-28,3.22,3.22,3.27,3.16,3.16,8883000.0
2007-03-01,3.26,3.26,3.29,3.16,3.19,12429200.0
2007-03-02,3.18,3.18,3.29,3.18,3.26,8073100.0
2007-03-05,3.01,3.01,3.17,3.01,3.14,17101000.0
2007-03-06,3.06,3.06,3.13,2.99,3.04,14133000.0
2007-03-07,3.03,3.03,3.09,3.01,3.07,8599500.0
2007-03-08,3.03,3.03,3.09,3.03,3.03,6320300.0
2007-03-09,3.01,3.01,3.07,2.98,3.07,6686400.0
2007-03-12,3.01,3.01,3.03,2.96,3.0,6709500.0
2007-03-13,2.94,2.94,3.02,2.93,3.0,9384200.0
2007-03-14,3.02,3.02,3.02,2.9,2.93,8215900.0
2007-03-15,3.02,3.02,3.05,2.98,3.02,6435800.0
2007-03-16,3.0,3.0,3.03,2.97,3.02,6666100.0
2007-03-19,3.05,3.05,3.07,3.01,3.02,5712000.0
2007-03-20,3.21,3.21,3.26,3.05,3.05,15969100.0
2007-03-21,3.29,3.29,3.33,3.17,3.22,15977500.0
2007-03-22,3.3,3.3,3.32,3.26,3.29,5699400.0
2007-03-23,3.39,3.39,3.4,3.28,3.29,10215800.0
2007-03-26,3.32,3.32,3.4,3.28,3.39,7420700.0
2007-03-27,3.37,3.37,3.39,3.32,3.33,9218300.0
2007-03-28,3.34,3.34,3.37,3.3,3.37,5481700.0
2007-03-29,3.35,3.35,3.37,3.27,3.34,6681500.0
2007-03-30,3.31,3.31,3.41,3.3,3.34,5320700.0
2007-04-02,3.35,3.35,3.39,3.31,3.33,7243600.0
2007-04-03,3.4,3.4,3.45,3.36,3.37,8878100.0
2007-04-04,3.5,3.5,3.52,3.34,3.41,14124600.0
2007-04-05,3.46,3.46,3.5,3.44,3.49,5451600.0
2007-04-09,3.48,3.48,3.51,3.46,3.46,4174800.0
2007-04-10,3.55,3.55,3.57,3.5,3.5,8075200.0
