,Adj Close,Close,High,Low,Open,Volume
2007-01-03,5.53,9.54,9.62,9.47,9.47,3227300.0
2007-01-04,5.51,9.5,9.59,9.47,9.54,2680100.0
2007-01-05,5.37,9.26,9.48,9.23,9.48,4132000.0
2007-01-08,5.36,9.25,9.34,9.18,9.26,3449700.0
2007-01-09,5.38,9.27,9.3,9.21,9.25,4279900.0
2007-01-10,5.41,9.34,9.37,9.22,9.25,3738600.0
2007-01-11,5.39,9.3,9.37,9.29,9.35,4352200.0
2007-01-12,5.37,9.27,9.37,9.25,9.31,4180600.0
2007-01-16,5.38,9.29,9.35,9.23,9.25,4464100.0
2007-01-17,5.37,9.26,9.33,9.24,9.29,4541000.0
2007-01-18,5.33,9.19,9.29,9.17,9.28,3706200.0
2007-01-19,5.3,9.15,9.19,9.08,9.16,3921800.0
2007-01-22,5.29,9.12,9.16,9.05,9.13,3585900.0
2007-01-23,5.33,9.2,9.24,9.07,9.12,2448200.0
2007-01-24,5.4,9.32,9.32,9.19,9.2,2247700.0
2007-01-25,5.46,9.41,9.44,9.31,9.34,5410600.0
2007-01-26,5.51,9.51,9.6,9.38,9.6,4103800.0
2007-01-29,5.48,9.36,9.51,9.35,9.47,5107500.0
2007-01-30,5.48,9.36,9.4,9.3,9.35,4926100.0
2007-01-31,5.47,9.35,9.38,9.25,9.36,6373600.0
2007-02-01,5.5,9.39,9.4,9.35,9.35,4108300.0
2007-02-02,5.51,9.41,9.44,9.38,9.41,2911900.0
2007-02-05,5.51,9.41,9.46,9.34,9.39,2079700.0
2007-02-06,5.53,9.45,9.51,9.4,9.43,3003600.0
2007-02-07,5.54,9.47,9.48,9.41,9.45,2260200.0
2007-02-08,5.59,9.56,9.6,9.46,9.47,1717100.0
2007-02-09,5.6,9.57,9.64,9.52,9.56,1708900.0
2007-02-12,5.56,9.5,9.6,9.38,9.38,3408700.0
2007-02-13,5.61,9.59,9.63,9.52,9.54,5187200.0
2007-02-14,5.65,9.66,9.72,9.6,9.6,3545900.0
2007-02-15,5.63,9.61,9.67,9.6,9.67,2524100.0
2007-02-16,5.59,9.55,9.63,9.53,9.61,4040400.0
2007-02-20,5.65,9.66,9.68,9.5,9.55,4901100.0
2007-02-21,5.59,9.56,9.65,9.49,9.62,3222900.0
2007-02-22,5.59,9.54,9.6,9.49,9.59,1990400.0
2007-02-23,5.59,9.55,9.67,9.49,9.65,2984700.0
2007-02-26,5.63,9.62,9.74,9.57,9.59,3262400.0
2007-02-27,5.5,9.4,9.68,9.34,9.62,3856400.0
2007-02-28,5.47,9.35,9.51,9.3,9.43,4239900.0
2007-03-01,5.48,9.36,9.44,9.25,9.25,3115000.0
2007-03-02,5.41,9.25,9.35,9.19,9.33,8330000.0
2007-03-05,5.36,9.16,9.22,9.11,9.22,5625200.0
2007-03-06,5.44,9.29,9.31,9.12,9.18,3575200.0
2007-03-07,5.39,9.2,9.31,9.19,9.28,3312300.0
2007-03-08,5.39,9.21,9.29,9.19,9.25,2082800.0
2007-03-09,5.42,9.25,9.27,9.19,9.23,2043800.0
2007-03-12,5.47,9.35,9.35,9.21,9.24,1289500.0
2007-03-13,5.39,9.21,9.36,9.19,9.29,2980900.0
2007-03-14,5.41,9.24,9.28,9.12,9.23,3500600.0
2007-03-15,5.49,9.38,9.41,9.2,9.23,2582600.0
2007-03-16,5.46,9.34,9.43,9.33,9.4,3157300.0
2007-03-19,5.5,9.39,9.43,9.34,9.37,2385100.0
2007-03-20,5.56,9.51,9.52,9.38,9.41,2031400.0
2007-03-21,5.57,9.52,9.57,9.43,9.5,3457600.0
2007-03-22,5.58,9.54,9.57,9.5,9.55,3334900.0
2007-03-23,5.6,9.57,9.59,9.49,9.53,2832300.0
2007-03-26,5.61,9.59,9.6,9.49,9.56,3510300.0
2007-03-27,5.64,9.63,9.65,9.49,9.55,5040600.0
2007-03-28,5.62,9.6,9.71,9.6,9.63,2791300.0
2007-03-29,5.66,9.67,9.68,9.58,9.65,2011300.0
2007-03-30,5.62,9.6,9.74,9.52,9.67,6542600.0
2007-04-02,5.73,9.78,9.78,9.58,9.6,3153500.0
2007-04-03,5.71,9.76,9.84,9.76,9.79,4949200.0
2007-04-04,5.69,9.73,9.81,9.71,9.77,3061600.0
2007-04-05,5.71,9.76,9.77,9.7,9.72,2349500.0
2007-04-09,5.76,9.84,9.86,9.76,9.76,2480100.0
2007-04-10,5.76,9.83,9.86,9.82,9.82,2756700.0
2007-04-11,5.73,9.8,9.85,9.76,9.85,2371900.0
2007-04-12,5.71,9.75,9.82,9.7,9.8,3106600.0
2007-04-13,5.75,9.83,9.83,9.71,9.75,1995700.0
2007-04-16,5.7,9.73,9.85,9.71,9.85,2849100.0
2007-04-17,5.72,9.77,9.78,9.71,9.74,1977400.0
2007-04-18,5.7,9.74,9.79,9.73,9.77,5563300.0
2007-04-19,5.69,9.73,9.86,9.55,9.55,2195800.0
2007-04-20,5.7,9.74,9.8,9.71,9.73,4989700.0
2007-04-23,5.7,9.73,9.8,9.72,9.76,4842300.0
2007-04-24,5.66,9.67,9.74,9.66,9.74,6163900.0
2007-04-25,5.78,9.88,9.91,9.72,9.74,9550300.0
2007-04-26,5.78,9.79,9.84,9.76,9.77,4275600.0
2007-04-27,5.78,9.78,9.83,9.76,9.8,3397500.0
2007-04-30,5.71,9.66,9.8,9.65,9.79,3071000.0
2007-05-01,5.76,9.74,9.74,9.62,9.69,8039100.0
2007-05-02,5.8,9.82,9.84,9.69,9.72,2993100.0
2007-05-03,5.82,9.85,9.88,9.78,9.82,3339200.0
2007-05-04,5.81,9.83,9.99,9.8,9.92,4001700.0
2007-05-07,5.87,9.94,9.96,9.83,9.88,3298000.0
2007-05-08,5.83,9.86,9.96,9.83,9.93,2608300.0
2007-05-09,5.82,9.86,9.92,9.82,9.86,2755200.0
2007-05-10,5.74,9.72,9.86,9.72,9.86,2518000.0
2007-05-11,5.77,9.78,9.8,9.71,9.74,4354700.0
2007-05-14,5.82,9.86,9.87,9.8,9.82,5341100.0
2007-05-15,5.8,9.83,9.98,9.82,9.85,3313500.0
2007-05-16,5.81,9.84,9.89,9.8,9.85,2726900.0
2007-05-17,5.78,9.79,9.9,9.79,9.84,3479700.0
2007-05-18,5.89,9.96,9.97,9.83,9.83,3798400.0
2007-05-21,5.84,9.88,9.96,9.84,9.95,3011700.0
2007-05-22,5.85,9.9,9.97,9.85,9.91,3960200.0
2007-05-23,5.72,9.69,9.93,9.66,9.92,4275000.0
2007-05-24,5.56,9.41,9.7,9.39,9.69,5900300.0
2007-05-25,5.55,9.39,9.49,9.26,9.45,3921500.0
2007-05-29,5.56,9.41,9.47,9.37,9.39,3612300.0
2007-05-30,5.12,8.67,9.32,8.4,9.32,20175700.0
2007-05-31,5.15,8.73,8.84,8.67,8.84,14251700.0
2007-06-01,5.11,8.66,8.77,8.64,8.7,12137100.0
2007-06-04,5.1,8.63,8.68,8.58,8.61,7010400.0
2007-06-05,5.05,8.55,8.63,8.52,8.61,6251000.0
2007-06-06,5.02,8.5,8.59,8.45,8.53,5240600.0
2007-06-07,4.86,8.23,8.52,8.2,8.52,8063000.0
2007-06-08,4.89,8.27,8.36,8.13,8.24,6096000.0
2007-06-11,4.96,8.4,8.44,8.25,8.27,7031500.0
2007-06-12,4.89,8.28,8.41,8.21,8.22,6215600.0
2007-06-13,4.93,8.35,8.38,8.24,8.31,6405000.0
2007-06-14,4.92,8.33,8.38,8.29,8.35,3218400.0
2007-06-15,4.99,8.45,8.47,8.35,8.37,6528100.0
2007-06-18,4.98,8.43,8.49,8.39,8.47,3702400.0
2007-06-19,4.95,8.38,8.44,8.1,8.1,3575900.0
2007-06-20,4.84,8.2,8.44,8.2,8.4,3467300.0
2007-06-21,4.87,8.24,8.3,8.15,8.2,3876200.0
2007-06-22,4.78,8.09,8.24,8.02,8.24,5181300.0
2007-06-25,4.79,8.11,8.25,8.05,8.25,6459700.0
2007-06-26,4.73,8.0,8.3,8.0,8.1,9687200.0
2007-06-27,4.76,8.05,8.06,7.82,7.82,9642400.0
2007-06-28,4.79,8.11,8.18,8.01,8.06,6937900.0
2007-06-29,4.81,8.14,8.2,8.08,8.15,4790400.0
2007-07-02,4.9,8.3,8.3,8.2,8.2,3832700.0
2007-07-03,4.89,8.28,8.33,8.16,8.16,2091400.0
2007-07-05,4.83,8.18,8.31,8.09,8.3,4538200.0
2007-07-06,4.84,8.19,8.25,8.09,8.14,3671100.0
2007-07-09,4.84,8.19,8.25,8.17,8.19,4041200.0
2007-07-10,4.8,8.13,8.22,8.09,8.11,6004100.0
2007-07-11,4.85,8.21,8.26,8.13,8.16,6076900.0
2007-07-12,4.89,8.28,8.3,8.21,8.27,5342900.0
2007-07-13,4.93,8.35,8.35,8.23,8.25,3957700.0
2007-07-16,4.86,8.24,8.34,8.22,8.32,3831200.0
2007-07-17,4.87,8.24,8.31,8.18,8.22,3756100.0
2007-07-18,4.88,8.27,8.31,8.19,8.24,5185600.0
2007-07-19,4.98,8.42,8.44,8.13,8.13,4709500.0
2007-07-20,4.89,8.28,8.52,8.28,8.44,9531500.0
2007-07-23,4.92,8.32,8.44,8.28,8.35,4784300.0
2007-07-24,4.71,7.97,8.25,7.94,8.2,10720300.0
2007-07-25,4.73,8.0,8.05,7.85,7.99,8224900.0
2007-07-26,4.64,7.85,8.08,7.67,8.08,10050700.0
2007-07-27,4.51,7.56,7.86,7.55,7.82,8692400.0
2007-07-30,4.57,7.65,7.8,7.53,7.54,8448100.0
2007-07-31,4.48,7.49,7.72,7.49,7.72,7715100.0
2007-08-01,4.6,7.7,7.73,7.49,7.5,8332500.0
2007-08-02,4.77,7.98,8.31,7.6,7.69,13181300.0
2007-08-03,4.45,7.45,8.07,7.45,8.04,10626900.0
2007-08-06,4.51,7.55,7.57,7.19,7.56,9301900.0
2007-08-07,4.51,7.54,7.58,7.35,7.49,7115000.0
2007-08-08,4.44,7.42,7.62,7.34,7.52,9531000.0
2007-08-09,4.26,7.13,7.39,6.91,7.37,13176700.0
2007-08-10,4.55,7.62,7.67,7.05,7.12,12689100.0
2007-08-13,4.36,7.29,7.77,7.27,7.67,6957000.0
2007-08-14,4.35,7.28,7.39,7.17,7.33,6770900.0
2007-08-15,4.32,7.23,7.55,7.21,7.32,6464300.0
2007-08-16,4.34,7.26,7.31,6.96,7.18,8936500.0
2007-08-17,4.44,7.43,7.51,7.17,7.4,7190300.0
2007-08-20,4.4,7.37,7.52,7.26,7.47,5140300.0
2007-08-21,4.49,7.51,7.58,7.36,7.39,5418800.0
2007-08-22,4.51,7.55,7.57,7.48,7.51,5672200.0
2007-08-23,4.58,7.67,7.69,7.56,7.62,5350300.0
2007-08-24,4.66,7.8,7.82,7.63,7.7,4904900.0
2007-08-27,4.51,7.54,7.83,7.54,7.83,5594900.0
2007-08-28,4.38,7.33,7.59,7.32,7.57,5689000.0
2007-08-29,4.44,7.42,7.43,7.26,7.41,6122200.0
2007-08-30,4.41,7.39,7.41,7.3,7.34,4993000.0
2007-08-31,4.42,7.4,7.49,7.32,7.45,4522400.0
2007-09-04,4.48,7.49,7.54,7.39,7.4,4382900.0
2007-09-05,4.43,7.41,7.45,7.34,7.43,4630800.0
2007-09-06,4.44,7.43,7.45,7.32,7.45,2654400.0
2007-09-07,4.4,7.36,7.43,7.32,7.43,6654600.0
2007-09-10,4.39,7.35,7.43,7.32,7.39,4052600.0
