,Adj Close,Close,High,Low,Open,Volume
2007-01-03,93.68,93.68,97.84,92.0,97.7,6885000.0
2007-01-04,95.1,95.1,95.5,91.64,92.95,3419000.0
2007-01-05,102.39,102.39,102.95,96.8,97.06,14006800.0
2007-01-08,105.94,105.94,106.43,100.0,101.2,11323600.0
2007-01-09,104.58,104.58,108.0,103.25,105.94,8017400.0
2007-01-10,108.21,108.21,109.5,103.08,104.6,8883300.0
2007-01-11,106.68,106.68,109.48,106.09,108.99,6998200.0
2007-01-12,105.31,105.31,107.57,105.0,106.4,4669200.0
2007-01-16,105.79,105.79,106.78,104.55,105.32,5440400.0
2007-01-17,105.55,105.55,106.81,104.9,105.7,4933700.0
2007-01-18,100.55,100.55,105.83,100.2,105.74,10506700.0
2007-01-19,99.96,99.96,100.85,98.75,100.0,5408100.0
2007-01-22,99.04,99.04,100.75,98.25,100.24,4800100.0
2007-01-23,97.55,97.55,99.19,96.36,96.9,5276200.0
2007-01-24,101.19,101.19,101.98,98.21,98.44,6893300.0
2007-01-25,99.22,99.22,102.38,99.22,102.38,4781100.0
2007-01-26,101.14,101.14,101.72,99.42,100.0,7307700.0
2007-01-29,100.1,100.1,102.2,99.0,101.69,6117100.0
2007-01-30,100.75,100.75,101.0,99.23,99.72,4575100.0
2007-01-31,99.98,99.98,101.25,99.64,100.25,4916000.0
2007-02-01,101.69,101.69,102.25,100.25,100.99,5084200.0
2007-02-02,99.5,99.5,101.92,97.06,99.4,9715300.0
2007-02-05,98.6,98.6,100.35,98.6,99.7,2922700.0
2007-02-06,98.02,98.02,99.11,97.99,98.92,3157600.0
2007-02-07,97.0,97.0,98.15,96.76,97.91,8054800.0
2007-02-08,97.24,97.24,98.32,96.45,96.91,3951900.0
2007-02-09,92.07,92.07,96.46,91.75,95.6,8235900.0
2007-02-12,88.42,88.42,91.39,88.21,91.39,6048732.0
2007-02-13,90.19,90.19,90.19,88.4,89.6,5385700.0
2007-02-14,89.55,89.55,91.0,89.01,89.65,4780794.0
2007-02-15,86.52,86.52,89.25,86.52,89.25,8140000.0
2007-02-16,88.01,88.01,89.61,85.25,85.86,12604900.0
2007-02-20,91.18,91.18,91.98,88.26,88.7,8059900.0
2007-02-21,93.6,93.6,94.55,90.85,91.19,8766200.0
2007-02-22,93.21,93.21,95.25,92.78,94.2,6425600.0
2007-02-23,91.35,91.35,93.32,91.35,93.27,3412200.0
2007-02-26,90.01,90.01,92.4,89.6,92.16,4816830.0
2007-02-27,84.45,84.45,87.4,84.45,85.89,6747400.0
2007-02-28,84.9,84.9,85.0,82.1,84.7,9378100.0
2007-03-01,81.7,81.7,83.45,80.9,80.94,6076765.0
2007-03-02,82.01,82.01,85.45,82.0,82.2,9279300.0
2007-03-05,80.59,80.59,82.5,80.51,81.3,4839247.0
2007-03-06,86.34,86.34,86.9,80.9,81.36,7947281.0
2007-03-07,83.4,83.4,85.7,83.4,85.0,6423606.0
2007-03-08,84.51,84.51,85.48,84.01,85.19,4554384.0
2007-03-09,84.3,84.3,85.65,84.0,85.15,4389248.0
2007-03-12,84.21,84.21,85.4,84.21,84.29,4175959.0
2007-03-13,83.66,83.66,85.1,82.8,84.24,4734539.0
2007-03-14,82.31,82.31,83.25,80.9,82.1,7185511.0
2007-03-15,82.4,82.4,84.17,82.03,83.4,6417833.0
2007-03-16,81.93,81.93,82.57,80.86,81.5,8492600.0
2007-03-19,83.28,83.28,83.62,82.71,82.98,4212250.0
2007-03-20,84.15,84.15,84.84,82.9,83.25,3806600.0
2007-03-21,88.29,88.29,88.3,84.21,84.58,6075833.0
2007-03-22,87.59,87.59,90.06,87.01,89.02,5664256.0
2007-03-23,87.67,87.67,88.68,87.3,87.7,2954400.0
2007-03-26,91.74,91.74,92.08,87.78,88.38,7209790.0
2007-03-27,93.6,93.6,94.49,92.26,92.63,6348345.0
2007-03-28,96.25,96.25,97.85,95.24,95.24,8949189.0
2007-03-29,94.98,94.98,98.5,93.12,98.0,9112234.0
2007-03-30,93.75,93.75,95.29,93.05,94.44,4511500.0
2007-04-02,95.04,95.04,96.06,93.38,94.07,5552900.0
2007-04-03,101.0,101.0,101.0,95.5,96.0,10924377.0
2007-04-04,97.55,97.55,99.99,97.17,99.3,11791281.0
2007-04-05,96.74,96.74,97.22,95.85,97.09,9486000.0
2007-04-09,96.05,96.05,97.76,95.42,97.76,3814400.0
2007-04-10,96.2,96.2,97.0,95.14,95.43,3301300.0
2007-04-11,93.61,93.61,96.56,93.52,95.83,3896900.0
2007-04-12,93.83,93.83,94.79,91.8,93.0,5130832.0
2007-04-13,93.66,93.66,95.45,93.24,94.97,4740173.0
2007-04-16,93.2,93.2,94.53,92.79,93.23,3050040.0
2007-04-17,96.15,96.15,96.45,92.1,93.2,6899678.0
2007-04-18,93.96,93.96,95.95,93.6,95.0,4136780.0
2007-04-19,92.15,92.15,93.86,92.15,93.02,3164619.0
2007-04-20,92.34,92.34,93.52,91.9,93.42,3446900.0
2007-04-23,86.3,86.3,90.19,86.09,89.5,10657288.0
2007-04-24,84.45,84.45,86.98,84.11,86.0,6009724.0
2007-04-25,86.43,86.43,86.8,84.82,85.1,5345900.0
2007-04-26,84.51,84.51,88.42,84.5,87.9,6909930.0
2007-04-27,85.1,85.1,86.4,84.0,84.89,3263356.0
2007-04-30,84.33,84.33,86.65,84.03,86.0,3974280.0
2007-05-01,83.33,83.33,85.0,82.61,84.6,4416252.0
2007-05-02,82.69,82.69,83.5,81.85,82.91,6145094.0
2007-05-03,84.59,84.59,85.04,83.05,83.5,3790381.0
2007-05-04,84.41,84.41,86.61,84.21,85.4,3858650.0
2007-05-07,82.8,82.8,84.97,82.5,84.72,3258871.0
2007-05-08,82.85,82.85,83.35,81.51,82.16,3895240.0
2007-05-09,84.23,84.23,84.54,81.98,82.63,4935853.0
2007-05-10,81.8,81.8,84.2,81.63,83.64,4473145.0
2007-05-11,82.98,82.98,83.42,81.87,82.5,3025732.0
2007-05-14,81.44,81.44,83.63,81.1,82.9,4777438.0
