,Adj Close,Close,High,Low,Open,Volume
2007-01-03,22.4624,46.37,46.49,45.87,46.4,964700.0
2007-01-04,22.4381,46.32,46.52,45.89,46.35,1068400.0
2007-01-05,22.4769,46.4,46.49,46.19,46.34,728900.0
2007-01-08,22.6997,46.86,47.06,46.25,46.35,1054000.0
2007-01-09,22.9565,47.39,47.55,47.06,47.15,1176800.0
2007-01-10,23.1066,47.7,47.95,46.91,47.24,1798700.0
2007-01-11,23.2907,48.08,48.15,47.7,47.7,1323500.0
2007-01-12,23.1551,47.8,48.0,47.69,47.93,573300.0
2007-01-16,23.407,48.32,48.37,47.67,47.8,1121000.0
2007-01-17,23.3876,48.28,48.46,48.06,48.25,1006000.0
2007-01-18,23.281,48.06,48.27,47.88,48.27,847300.0
2007-01-19,23.2229,47.94,48.06,47.69,48.06,625500.0
2007-01-22,23.2229,47.94,48.18,47.82,47.92,669000.0
2007-01-23,23.4021,48.31,48.5,47.92,48.05,815900.0
2007-01-24,23.3876,48.28,48.5,48.06,48.32,696400.0
2007-01-25,23.3149,48.13,48.43,48.04,48.38,1070300.0
2007-01-26,23.0679,47.62,48.23,47.33,48.11,828500.0
2007-01-29,23.063,47.61,47.75,47.32,47.51,706300.0
2007-01-30,23.2035,47.9,47.93,47.55,47.72,464700.0
2007-01-31,23.189,47.87,47.97,47.59,47.89,685500.0
2007-02-01,23.2956,48.09,48.31,47.87,47.98,1145400.0
2007-02-02,23.3585,48.22,48.3,47.98,48.12,681100.0
2007-02-05,23.1551,47.8,48.5,47.57,48.2,659800.0
2007-02-06,23.5087,48.53,48.95,47.9,48.1,1290600.0
2007-02-07,23.4942,48.5,48.65,47.95,48.51,1819600.0
2007-02-08,23.4796,48.47,48.6,48.19,48.5,947900.0
2007-02-09,23.4167,48.34,48.7,48.13,48.47,769200.0
2007-02-12,23.1696,47.83,48.37,47.69,48.07,830600.0
2007-02-13,23.2665,48.03,48.1,47.8,47.98,675300.0
2007-02-14,23.4518,48.08,48.16,47.7,47.82,623700.0
2007-02-15,23.4079,47.99,48.32,47.73,48.08,505100.0
2007-02-16,23.3689,47.91,48.19,47.74,47.81,588300.0
2007-02-20,23.4713,48.12,48.13,47.81,48.0,565400.0
2007-02-21,23.3104,47.79,48.12,47.62,48.01,602600.0
2007-02-22,23.3445,47.86,48.38,47.66,47.9,550700.0
2007-02-23,23.3982,47.97,48.05,47.48,47.9,840400.0
2007-02-26,23.5689,48.32,48.38,47.95,48.01,902800.0
2007-02-27,23.1689,47.5,48.32,47.49,48.0,1601100.0
2007-02-28,23.2714,47.71,47.98,47.16,47.5,1345300.0
2007-03-01,23.1299,47.42,47.73,46.8,47.35,1171900.0
2007-03-02,22.7495,46.64,47.39,46.62,47.32,1061400.0
2007-03-05,22.6763,46.49,46.99,46.27,46.48,1159700.0
2007-03-06,22.8665,46.88,46.92,46.46,46.86,891700.0
2007-03-07,22.6421,46.42,46.86,46.42,46.8,639700.0
2007-03-08,22.7104,46.56,46.73,46.16,46.55,794000.0
2007-03-09,22.6763,46.49,46.8,46.22,46.76,509300.0
2007-03-12,22.6129,46.36,46.52,46.02,46.42,624800.0
2007-03-13,22.3056,45.73,46.41,45.71,46.35,1281300.0
2007-03-14,22.1641,45.44,45.85,44.73,45.73,1183600.0
2007-03-15,22.1056,45.32,45.59,45.18,45.4,772500.0
2007-03-16,22.0373,45.18,45.85,44.95,45.57,1244700.0
2007-03-19,22.0958,45.3,45.55,45.09,45.4,792900.0
2007-03-20,22.13,45.37,45.47,45.17,45.3,943800.0
2007-03-21,22.4568,46.04,46.1,45.2,45.35,1019700.0
2007-03-22,22.4714,46.07,46.87,45.17,45.17,670500.0
2007-03-23,22.4665,46.06,46.2,45.93,46.02,502100.0
2007-03-26,22.4958,46.12,46.17,45.53,45.98,811900.0
2007-03-27,22.2617,45.64,45.95,45.51,45.9,456700.0
2007-03-28,22.1251,45.36,45.61,45.11,45.61,603700.0
2007-03-29,22.1641,45.44,45.52,44.61,44.61,673300.0
2007-03-30,22.1397,45.39,45.7,45.0,45.46,761100.0
