,Adj Close,Close,High,Low,Open,Volume
2007-01-03,42.05,59.32,59.6,58.88,58.88,715500.0
2007-01-04,41.97,59.21,59.33,58.35,59.17,574100.0
2007-01-05,41.52,58.57,59.21,58.43,59.21,374900.0
2007-01-08,41.6,58.68,58.84,58.19,58.37,646900.0
2007-01-09,41.55,58.62,59.25,58.39,59.03,877600.0
2007-01-10,41.82,59.0,59.07,58.27,58.51,597900.0
2007-01-11,42.6,60.1,60.1,59.23,59.25,781600.0
2007-01-12,42.79,60.37,60.48,59.84,60.25,777900.0
2007-01-16,42.83,60.42,60.68,60.3,60.35,525200.0
2007-01-17,42.88,60.49,60.77,60.16,60.43,653300.0
2007-01-18,42.89,60.51,60.77,60.3,60.66,557200.0
2007-01-19,42.91,60.53,61.24,60.34,60.82,655700.0
2007-01-22,42.69,60.22,60.5,60.04,60.3,517200.0
2007-01-23,42.82,60.41,60.67,59.99,60.35,419600.0
2007-01-24,43.44,61.28,61.29,60.39,60.54,497600.0
2007-01-25,42.69,60.22,61.29,60.2,61.29,559600.0
2007-01-26,42.68,60.21,60.62,60.09,60.23,735000.0
2007-01-29,43.06,60.75,60.83,60.31,60.56,803600.0
2007-01-30,43.4,61.23,61.23,60.75,60.85,471500.0
2007-01-31,43.67,61.61,61.86,60.9,61.17,693600.0
2007-02-01,44.44,62.69,62.69,61.74,61.76,834500.0
2007-02-02,44.5,62.77,62.95,62.52,62.7,631400.0
2007-02-05,44.12,62.24,62.69,62.13,62.5,644600.0
2007-02-06,44.64,62.98,63.35,62.38,62.38,1136100.0
2007-02-07,45.01,63.5,63.75,63.04,63.14,626700.0
2007-02-08,45.1,63.62,64.07,63.33,63.51,754000.0
2007-02-09,44.42,62.66,63.95,62.2,63.62,728500.0
2007-02-12,44.17,62.31,62.92,62.2,62.75,736800.0
2007-02-13,44.99,63.47,63.5,62.31,62.75,668800.0
2007-02-14,45.2,63.76,64.11,63.23,63.45,461400.0
2007-02-15,44.93,63.39,64.02,63.31,64.01,637400.0
2007-02-16,45.0,63.48,63.55,63.14,63.14,510200.0
2007-02-20,44.88,63.32,64.17,63.2,63.73,5010300.0
2007-02-21,44.67,63.02,63.35,62.84,63.25,1191600.0
2007-02-22,44.88,63.32,63.54,63.02,63.37,576700.0
2007-02-23,44.58,62.89,63.12,62.63,63.05,662700.0
2007-02-26,44.4,62.63,62.99,62.54,62.9,658400.0
2007-02-27,42.57,60.06,62.64,59.71,62.64,1669800.0
2007-02-28,43.15,60.87,61.0,60.09,60.09,1420600.0
2007-03-01,43.11,60.82,61.01,59.8,60.64,1129900.0
2007-03-02,42.56,60.04,60.67,60.01,60.67,781600.0
2007-03-05,42.05,59.32,60.16,59.32,59.75,933600.0
2007-03-06,42.28,59.65,59.82,59.2,59.52,1608900.0
2007-03-07,42.13,59.43,59.95,59.3,59.5,665000.0
2007-03-08,42.31,59.69,60.25,59.45,59.63,574200.0
2007-03-09,42.84,60.43,60.51,59.73,60.15,773100.0
2007-03-12,42.86,60.46,60.58,59.99,60.15,528200.0
2007-03-13,41.48,58.52,60.33,58.52,60.21,1513700.0
2007-03-14,41.81,58.98,59.04,57.87,58.86,850500.0
2007-03-15,42.22,59.56,59.76,58.8,58.98,838500.0
