,Adj Close,Close,High,Low,Open,Volume
2007-01-03,37.26,58.42,59.24,57.84,58.8,720800.0
2007-01-04,36.98,57.98,58.42,57.58,58.4,419300.0
2007-01-05,36.19,56.75,57.7,56.41,57.68,401900.0
2007-01-08,36.08,56.58,57.2,56.02,56.51,1571000.0
2007-01-09,36.53,57.28,57.4,56.52,56.59,420500.0
2007-01-10,37.07,58.12,58.27,56.98,57.28,396800.0
2007-01-11,37.61,58.97,59.68,58.44,58.44,388500.0
2007-01-12,37.78,59.24,59.46,58.93,58.97,195200.0
2007-01-16,38.21,59.91,60.12,59.55,59.59,297900.0
2007-01-17,38.11,59.76,60.35,59.18,59.75,272900.0
2007-01-18,37.85,59.35,59.91,59.15,59.75,224000.0
2007-01-19,38.26,60.0,60.05,59.04,59.13,269900.0
2007-01-22,37.54,58.87,60.03,58.74,59.76,405700.0
2007-01-23,37.92,59.46,59.8,58.07,58.67,874900.0
2007-01-24,38.61,60.55,60.65,59.2,59.35,993400.0
2007-01-25,38.66,60.62,60.97,60.25,60.67,1061800.0
2007-01-26,38.49,60.35,60.77,59.78,60.56,836600.0
2007-01-29,38.63,60.58,60.6,60.0,60.44,405000.0
2007-01-30,38.58,60.49,60.78,59.99,60.78,479300.0
2007-01-31,38.81,60.85,60.98,60.25,60.4,689600.0
2007-02-01,39.16,61.4,61.45,60.4,60.9,463400.0
2007-02-02,39.29,61.61,61.61,61.0,61.37,305400.0
2007-02-05,39.26,61.56,61.61,61.26,61.61,509800.0
2007-02-06,39.47,61.89,62.1,61.37,61.57,567200.0
2007-02-07,41.21,64.62,64.69,61.77,61.89,1161900.0
2007-02-08,41.26,64.7,64.75,64.0,64.25,695500.0
2007-02-09,41.28,64.73,65.19,62.94,64.7,1076700.0
2007-02-12,40.53,63.55,64.73,63.41,64.73,579200.0
2007-02-13,41.37,64.87,64.87,63.1,63.79,415200.0
2007-02-14,40.81,63.99,65.38,63.72,64.5,1815900.0
2007-02-15,40.93,64.18,64.71,63.53,64.12,456900.0
2007-02-16,40.9,64.14,64.28,62.97,63.99,326200.0
2007-02-20,40.87,64.09,64.44,63.1,63.98,913100.0
2007-02-21,40.71,63.84,64.36,63.21,64.04,356300.0
2007-02-22,40.54,63.57,63.93,63.16,63.86,370800.0
2007-02-23,39.8,62.41,63.47,62.06,63.47,397000.0
2007-02-26,39.21,61.49,62.29,60.28,62.28,678900.0
2007-02-27,38.06,59.68,60.91,59.2,60.68,620200.0
2007-02-28,37.5,58.8,60.04,58.62,59.92,1043300.0
2007-03-01,37.26,58.43,58.5,56.8,57.77,5688300.0
2007-03-02,37.07,58.13,58.43,57.95,58.43,1294000.0
2007-03-05,36.0,56.45,57.69,56.21,56.8,1323200.0
2007-03-06,36.76,57.64,57.98,56.62,56.91,1205400.0
2007-03-07,36.3,56.92,57.84,56.69,57.64,841800.0
2007-03-08,36.62,57.42,58.17,57.24,57.35,773500.0
2007-03-09,37.05,58.1,58.22,57.54,57.97,409000.0
2007-03-12,37.24,58.39,58.6,57.55,57.77,434500.0
2007-03-13,36.33,56.97,58.17,56.8,58.17,644400.0
2007-03-14,36.55,57.31,57.45,56.59,56.9,933900.0
2007-03-15,37.28,58.46,58.6,57.31,57.31,836400.0
2007-03-16,37.29,58.47,58.59,57.87,58.51,968800.0
2007-03-19,37.38,58.62,58.95,58.21,58.71,822400.0
2007-03-20,37.58,58.93,58.93,58.0,58.5,794200.0
2007-03-21,37.77,59.22,59.58,58.45,58.88,783400.0
2007-03-22,37.66,59.06,60.87,58.71,58.85,690800.0
2007-03-23,37.68,59.09,59.68,59.0,59.46,436100.0
2007-03-26,37.35,58.57,59.34,58.16,59.2,654300.0
2007-03-27,37.01,58.04,58.53,57.53,58.53,770400.0
2007-03-28,37.1,58.17,58.99,57.5,58.04,763900.0
2007-03-29,37.03,58.07,59.11,57.85,58.62,626500.0
2007-03-30,37.49,58.79,58.88,57.85,58.2,829900.0
2007-04-02,37.93,59.47,59.54,58.67,58.79,573500.0
2007-04-03,38.51,59.88,60.17,59.3,59.35,843900.0
2007-04-04,38.31,59.57,59.99,59.19,59.91,793300.0
2007-04-05,38.32,59.59,59.78,59.49,59.6,322600.0
2007-04-09,38.34,59.61,59.74,59.3,59.56,286600.0
2007-04-10,38.5,59.86,60.07,59.5,59.73,252000.0
2007-04-11,38.43,59.75,60.68,59.31,59.9,1684800.0
2007-04-12,38.2,59.4,59.75,59.03,59.75,572700.0
2007-04-13,38.88,60.46,60.67,59.37,59.37,755500.0
2007-04-16,39.01,60.66,60.85,60.28,60.7,421800.0
2007-04-17,39.8,61.88,62.0,60.16,60.65,1179400.0
2007-04-18,39.6,61.58,62.12,61.35,61.75,1402100.0
2007-04-19,39.42,61.3,61.58,60.76,61.5,711900.0
2007-04-20,39.96,62.14,62.14,61.59,61.59,560800.0
2007-04-23,40.31,62.67,62.83,61.79,62.14,1078100.0
2007-04-24,39.95,62.12,62.81,61.69,62.76,513900.0
2007-04-25,39.91,62.05,62.6,61.38,62.49,581600.0
2007-04-26,39.84,61.95,62.31,61.6,62.0,312200.0
2007-04-27,39.92,62.07,62.3,61.52,61.65,551900.0
2007-04-30,39.17,60.91,62.82,60.91,62.82,508800.0
2007-05-01,39.0,60.64,61.06,60.09,61.0,832900.0
2007-05-02,39.3,61.1,61.24,60.11,60.49,702500.0
2007-05-03,39.19,60.94,61.71,60.93,61.14,464000.0
2007-05-04,38.69,60.15,61.15,59.96,61.15,625600.0
2007-05-07,38.91,60.5,60.57,60.15,60.25,419200.0
2007-05-08,38.58,59.99,60.25,59.77,60.25,385800.0
2007-05-09,39.04,60.7,61.07,59.69,59.99,406000.0
2007-05-10,38.32,59.59,60.75,59.55,60.45,281100.0
2007-05-11,38.85,60.4,60.59,59.78,59.78,319800.0
2007-05-14,38.34,59.61,60.7,59.6,60.4,358400.0
2007-05-15,37.69,58.61,59.9,58.54,59.47,628400.0
2007-05-16,37.13,57.73,59.0,57.43,58.86,612200.0
2007-05-17,36.49,56.74,57.71,56.74,57.51,578000.0
2007-05-18,35.87,55.77,56.88,55.56,56.81,757700.0
2007-05-21,36.06,56.07,56.97,55.64,55.86,656800.0
2007-05-22,36.4,56.6,56.92,56.0,56.4,1091100.0
2007-05-23,36.02,56.01,57.33,56.01,56.9,606300.0
2007-05-24,35.48,55.16,56.05,54.65,56.01,984900.0
2007-05-25,35.19,54.72,55.94,54.38,55.17,979500.0
2007-05-29,36.25,56.36,56.77,55.28,55.29,1065100.0
2007-05-30,37.37,58.1,58.1,56.18,56.3,854100.0
2007-05-31,37.21,57.85,58.83,57.59,58.4,1185900.0
2007-06-01,37.75,58.69,58.7,57.85,57.92,1174400.0
2007-06-04,38.2,59.39,59.78,58.68,58.8,742600.0
2007-06-05,37.56,58.4,59.78,58.28,59.39,616200.0
2007-06-06,37.78,58.74,58.88,57.58,58.06,736700.0
2007-06-07,36.82,57.25,58.49,56.93,58.49,918100.0
2007-06-08,37.18,57.81,57.86,56.75,57.49,471600.0
2007-06-11,36.15,56.21,57.46,56.2,57.45,705800.0
2007-06-12,35.35,54.97,56.21,54.92,56.21,543500.0
2007-06-13,36.16,56.23,56.3,55.15,55.26,483600.0
2007-06-14,35.96,55.92,56.59,55.66,56.19,513500.0
2007-06-15,36.23,56.33,56.97,56.11,56.3,458300.0
2007-06-18,35.31,54.91,56.47,54.88,56.34,517700.0
2007-06-19,35.51,55.22,55.23,54.28,54.81,495500.0
2007-06-20,34.7,53.96,55.37,53.94,55.37,898300.0
2007-06-21,34.8,54.11,54.38,52.75,53.73,642500.0
2007-06-22,34.5,53.65,54.14,53.31,54.07,858000.0
2007-06-25,33.8,52.55,54.09,52.37,53.78,990200.0
2007-06-26,33.55,52.16,52.8,51.68,52.75,961800.0
2007-06-27,34.44,53.55,53.63,51.53,51.74,1186200.0
2007-06-28,34.33,53.38,54.25,52.99,53.47,642200.0
2007-06-29,34.23,53.22,54.44,52.97,53.59,1067300.0
2007-07-02,35.89,55.8,55.96,53.91,55.2,924600.0
2007-07-03,35.61,54.87,55.85,54.62,55.54,561300.0
2007-07-05,36.17,55.73,56.49,55.34,55.37,610900.0
2007-07-06,36.42,56.12,56.19,54.73,55.87,485300.0
2007-07-09,36.61,56.41,56.48,55.59,56.12,450600.0
2007-07-10,35.36,54.48,56.16,54.28,56.1,548100.0
2007-07-11,35.13,54.14,54.48,53.43,54.3,510600.0
2007-07-12,36.01,55.49,55.49,54.14,54.54,483000.0
2007-07-13,36.67,56.51,56.86,55.37,55.57,670200.0
2007-07-16,36.63,56.45,57.21,56.45,56.46,615500.0
2007-07-17,35.91,55.33,56.67,55.17,56.6,1222100.0
2007-07-18,36.32,55.96,56.03,54.02,54.92,1331700.0
2007-07-19,36.56,56.34,56.53,55.86,56.17,1057500.0
2007-07-20,36.15,55.71,56.33,54.95,56.08,1034600.0
2007-07-23,36.18,55.75,56.17,55.44,55.84,1255400.0
2007-07-24,35.77,55.12,56.33,54.82,55.4,1674700.0
2007-07-25,35.77,55.12,56.4,54.63,55.5,1937700.0
2007-07-26,35.54,54.77,54.87,52.91,54.24,1506400.0
2007-07-27,34.2,52.7,55.67,52.7,53.9,1373600.0
2007-07-30,34.51,53.18,53.39,52.13,52.77,983800.0
2007-07-31,34.58,53.28,54.93,52.98,53.6,946900.0
2007-08-01,34.44,53.07,53.27,51.3,52.6,1101200.0
2007-08-02,34.17,52.66,53.93,52.04,53.07,1571200.0
2007-08-03,32.95,50.78,52.89,50.78,52.72,1079700.0
2007-08-06,33.77,52.03,52.03,49.71,50.23,1322800.0
2007-08-07,34.15,52.63,53.65,51.46,51.88,1159000.0
2007-08-08,34.96,53.87,55.14,51.77,51.77,1130400.0
2007-08-09,34.41,53.02,53.92,49.99,50.0,1625900.0
2007-08-10,33.45,51.54,52.96,51.16,52.0,1379700.0
2007-08-13,32.73,50.44,51.58,50.44,50.88,1128100.0
