,Adj Close,Close,High,Low,Open,Volume
2007-01-03,29.04,51.51,51.67,50.41,50.69,788400.0
2007-01-04,29.09,51.6,51.65,51.22,51.52,513300.0
2007-01-05,28.45,50.46,51.52,50.29,51.5,400100.0
2007-01-08,28.54,50.63,50.75,50.11,50.28,526900.0
2007-01-09,28.26,50.13,50.71,49.96,50.64,763700.0
2007-01-10,28.35,50.28,50.42,50.01,50.1,263600.0
2007-01-11,28.34,50.27,50.85,50.2,50.28,315300.0
2007-01-12,28.1,49.84,50.54,49.79,50.29,617800.0
2007-01-16,28.14,49.91,50.23,49.8,49.91,466400.0
2007-01-17,28.13,49.89,50.1,49.72,50.05,389600.0
2007-01-18,28.08,49.81,50.03,49.57,50.03,529400.0
2007-01-19,28.44,50.45,50.46,49.85,49.91,314900.0
2007-01-22,28.59,50.72,50.83,50.23,50.45,617600.0
2007-01-23,28.7,50.91,51.08,50.6,50.79,719500.0
2007-01-24,28.91,51.27,51.35,50.83,51.06,391100.0
2007-01-25,28.5,50.55,51.32,50.5,51.32,483000.0
2007-01-26,28.52,50.59,50.72,50.36,50.6,542800.0
2007-01-29,28.61,50.75,51.0,50.52,50.59,492800.0
2007-01-30,27.98,49.12,50.22,48.9,50.22,1384200.0
2007-01-31,27.79,48.79,49.27,48.09,49.12,1486100.0
2007-02-01,27.54,48.35,48.75,48.13,48.71,1173500.0
2007-02-02,27.74,48.7,48.83,48.36,48.36,871100.0
2007-02-05,27.62,48.48,48.89,48.31,48.74,640000.0
2007-02-06,27.71,48.64,48.67,48.48,48.49,574600.0
2007-02-07,27.57,48.4,48.68,48.28,48.64,543200.0
2007-02-08,27.51,48.29,48.54,48.18,48.49,995100.0
2007-02-09,27.46,48.2,48.39,47.92,48.29,583700.0
2007-02-12,27.3,47.92,48.32,47.87,48.32,461700.0
2007-02-13,27.39,48.08,48.14,47.89,48.06,694000.0
2007-02-14,27.4,48.09,48.23,48.01,48.03,489600.0
2007-02-15,27.36,48.03,48.14,47.85,48.1,580400.0
2007-02-16,27.43,48.15,48.17,47.8,47.91,749000.0
2007-02-20,27.58,48.42,48.43,48.06,48.18,1339600.0
2007-02-21,27.39,48.08,48.46,47.95,48.42,557500.0
2007-02-22,27.3,47.93,48.38,47.78,48.23,439100.0
2007-02-23,27.36,48.02,48.02,47.58,47.93,813200.0
2007-02-26,27.71,48.65,49.05,48.22,48.33,787100.0
2007-02-27,27.12,47.6,48.6,47.3,48.59,855600.0
2007-02-28,27.01,47.42,47.65,47.21,47.54,962000.0
2007-03-01,27.18,47.72,48.15,46.88,47.42,875800.0
2007-03-02,26.96,47.33,47.85,47.2,47.73,627300.0
2007-03-05,26.59,46.68,47.26,46.43,47.25,772500.0
2007-03-06,26.84,47.11,47.14,46.51,46.86,880500.0
2007-03-07,26.62,46.72,47.25,46.69,47.11,458800.0
2007-03-08,26.53,46.57,47.14,46.52,46.83,649400.0
2007-03-09,26.67,46.82,47.12,46.5,46.62,646800.0
2007-03-12,27.09,47.56,47.63,46.84,46.84,491800.0
2007-03-13,26.69,46.85,47.74,46.75,47.55,725500.0
2007-03-14,26.91,47.23,47.29,46.57,47.02,764700.0
2007-03-15,27.04,47.46,47.69,47.1,47.19,523700.0
2007-03-16,26.77,47.0,47.64,46.94,47.57,834400.0
2007-03-19,26.91,47.23,47.49,47.0,47.13,639200.0
2007-03-20,27.38,48.07,48.07,47.0,47.09,507400.0
2007-03-21,27.58,48.42,48.61,47.66,48.07,721200.0
2007-03-22,27.3,47.92,48.48,47.82,48.42,1032100.0
2007-03-23,27.53,48.32,48.41,47.81,48.05,860800.0
2007-03-26,27.49,48.25,48.55,48.07,48.24,691600.0
2007-03-27,27.63,48.51,48.6,48.05,48.28,568800.0
2007-03-28,27.6,48.45,48.86,48.32,48.33,556300.0
2007-03-29,27.7,48.62,48.82,48.23,48.67,531800.0
2007-03-30,27.49,48.25,48.89,47.75,48.65,783100.0
2007-04-02,28.07,49.27,49.4,48.14,48.14,661500.0
2007-04-03,28.08,49.3,49.64,49.13,49.28,555400.0
2007-04-04,28.12,49.37,49.57,49.19,49.35,570200.0
2007-04-05,28.2,49.5,49.56,49.16,49.23,475200.0
2007-04-09,28.26,49.61,49.71,49.43,49.43,621900.0
2007-04-10,28.38,49.81,49.84,49.55,49.55,269000.0
2007-04-11,27.96,49.08,49.84,49.02,49.75,778400.0
2007-04-12,27.97,49.09,49.34,48.79,49.19,371000.0
2007-04-13,27.98,49.12,49.31,48.85,49.09,303400.0
2007-04-16,27.98,49.12,49.5,49.0,49.3,609400.0
2007-04-17,28.04,49.22,49.37,49.05,49.1,506900.0
2007-04-18,27.98,49.12,49.24,48.97,49.24,535300.0
2007-04-19,27.76,48.73,49.56,48.65,49.56,699500.0
2007-04-20,28.11,49.35,49.68,49.03,49.56,768700.0
2007-04-23,28.31,49.69,49.99,49.51,49.53,550600.0
2007-04-24,28.55,50.11,50.11,49.54,49.7,775100.0
2007-04-25,28.78,50.52,50.68,50.0,50.12,573400.0
2007-04-26,28.51,50.05,50.57,50.01,50.52,1167700.0
2007-04-27,28.27,49.1,49.53,48.91,49.53,529800.0
2007-04-30,27.8,48.29,49.06,48.27,49.05,907800.0
2007-05-01,28.09,48.79,49.1,48.27,48.47,891400.0
2007-05-02,28.24,49.05,49.15,48.6,48.67,747100.0
2007-05-03,28.16,48.91,49.15,48.6,49.14,440500.0
2007-05-04,28.2,48.99,49.14,48.76,49.14,358200.0
2007-05-07,28.33,49.2,49.35,49.0,49.14,346400.0
2007-05-08,28.33,49.2,49.2,48.76,49.1,338400.0
2007-05-09,28.18,48.95,49.24,48.7,49.2,356800.0
2007-05-10,27.84,48.36,48.96,48.34,48.94,493700.0
2007-05-11,28.07,48.75,48.76,48.22,48.55,343600.0
2007-05-14,28.14,48.88,49.14,48.8,48.8,493200.0
2007-05-15,28.06,48.74,49.45,48.67,48.86,512100.0
2007-05-16,28.03,48.68,49.16,48.63,48.78,562600.0
2007-05-17,27.96,48.57,48.95,48.48,48.73,437100.0
2007-05-18,27.91,48.48,48.84,48.39,48.64,822100.0
2007-05-21,28.03,48.68,48.8,48.44,48.58,568300.0
2007-05-22,27.95,48.55,48.83,48.39,48.65,472200.0
2007-05-23,26.82,46.58,48.34,46.52,48.34,1018900.0
2007-05-24,26.25,45.6,46.77,45.59,46.68,1161000.0
2007-05-25,26.16,45.44,46.52,45.05,46.0,1108000.0
2007-05-29,26.3,45.69,46.19,45.49,45.49,597600.0
2007-05-30,26.51,46.04,46.22,45.26,45.45,549900.0
2007-05-31,26.73,46.43,46.51,45.89,46.14,1040400.0
2007-06-01,26.66,46.3,46.66,46.15,46.59,880900.0
2007-06-04,26.38,45.82,46.15,45.57,46.11,948500.0
2007-06-05,26.14,45.4,45.79,45.15,45.64,823900.0
2007-06-06,25.86,44.92,45.32,44.81,45.21,909600.0
2007-06-07,24.83,43.13,44.89,43.12,44.7,1189700.0
2007-06-08,24.85,43.17,43.64,42.87,43.17,1272200.0
2007-06-11,25.11,43.62,43.99,43.11,43.3,981600.0
2007-06-12,24.72,42.94,43.58,42.88,43.58,825300.0
2007-06-13,25.12,43.63,43.7,43.08,43.3,992300.0
2007-06-14,25.19,43.76,43.98,43.58,43.68,761900.0
2007-06-15,25.34,44.01,44.47,44.0,44.1,796500.0
2007-06-18,25.0,43.43,44.18,43.4,44.03,1004700.0
2007-06-19,25.01,43.45,43.65,43.19,43.45,745400.0
2007-06-20,24.33,42.26,43.45,42.17,43.45,2484800.0
2007-06-21,24.07,41.81,42.21,41.59,42.05,1856900.0
2007-06-22,23.74,41.24,41.85,41.08,41.81,1733000.0
2007-06-25,23.46,40.75,41.33,40.57,41.3,1724600.0
2007-06-26,23.43,40.7,41.8,40.63,41.35,1400000.0
2007-06-27,23.33,40.53,40.82,40.03,40.49,1399000.0
2007-06-28,23.3,40.47,41.08,40.36,40.67,1142700.0
2007-06-29,22.94,39.85,40.38,39.38,40.15,1932900.0
2007-07-02,23.35,40.55,40.55,39.99,39.99,1307700.0
2007-07-03,23.56,40.92,41.3,40.61,40.8,1006800.0
2007-07-05,23.26,40.4,40.97,39.86,40.95,1185000.0
2007-07-06,22.99,39.94,40.49,39.69,40.49,852200.0
2007-07-09,23.0,39.95,40.0,39.65,39.94,726600.0
2007-07-10,22.63,39.3,39.79,39.17,39.61,1543200.0
2007-07-11,22.77,39.55,39.55,39.21,39.32,1038400.0
2007-07-12,23.14,40.2,40.2,39.52,39.66,824800.0
2007-07-13,23.41,40.67,40.78,40.05,40.1,868900.0
2007-07-16,22.98,39.91,40.98,39.84,40.68,911400.0
2007-07-17,23.01,39.96,40.22,39.7,39.86,1092900.0
2007-07-18,23.05,40.03,40.22,39.73,39.97,925200.0
2007-07-19,23.38,40.61,40.8,39.97,40.04,867500.0
2007-07-20,22.9,39.78,40.75,39.73,40.59,1054500.0
2007-07-23,23.11,40.14,40.51,39.92,40.07,1008600.0
2007-07-24,22.41,38.93,40.21,38.87,39.88,1593800.0
2007-07-25,22.65,39.34,39.64,38.65,39.4,1367500.0
2007-07-26,22.4,38.91,39.8,38.39,39.6,2032500.0
2007-07-27,22.03,38.27,39.4,38.2,39.25,2119500.0
2007-07-30,22.05,37.77,38.18,37.23,38.03,1678600.0
2007-07-31,21.88,37.48,38.2,37.44,38.2,1565200.0
2007-08-01,22.51,38.56,38.61,37.17,37.3,2105000.0
2007-08-02,22.46,38.47,39.42,38.11,39.42,1407000.0
2007-08-03,21.66,37.1,38.56,37.1,38.33,1857200.0
2007-08-06,22.5,38.55,38.57,36.79,37.3,1252600.0
2007-08-07,23.14,39.64,39.97,38.2,38.4,1455200.0
2007-08-08,23.78,40.74,41.19,39.75,39.85,1712100.0
2007-08-09,23.72,40.63,41.76,40.08,40.1,1462800.0
2007-08-10,23.72,40.63,41.35,39.78,40.62,1760100.0
2007-08-13,23.03,39.45,40.73,39.12,40.65,1395900.0
2007-08-14,22.67,38.84,39.6,38.79,39.6,888000.0
2007-08-15,22.46,38.47,39.51,38.4,38.67,1034200.0
2007-08-16,23.25,39.83,39.98,38.1,38.1,1446600.0
2007-08-17,23.84,40.84,41.01,39.44,40.74,1070000.0
2007-08-20,23.37,40.03,40.94,39.56,40.86,814000.0
2007-08-21,23.13,39.63,40.19,39.5,39.55,737400.0
2007-08-22,23.25,39.83,40.11,39.37,39.8,551100.0
2007-08-23,23.24,39.81,40.28,39.42,40.23,674200.0
2007-08-24,23.34,39.99,40.1,39.49,40.1,373800.0
2007-08-27,22.65,38.81,40.18,38.81,40.18,763400.0
2007-08-28,22.65,38.8,39.08,38.65,38.81,1212200.0
2007-08-29,23.18,39.71,39.79,38.83,39.14,856500.0
2007-08-30,23.02,39.43,39.87,39.15,39.48,697400.0
2007-08-31,23.26,39.84,40.04,39.21,39.97,638300.0
2007-09-04,23.66,40.54,40.7,39.9,39.94,733200.0
2007-09-05,23.35,40.0,40.22,39.64,40.06,1132100.0
2007-09-06,23.54,40.32,40.36,39.71,39.96,617700.0
2007-09-07,23.19,39.73,40.15,39.5,39.56,917500.0
2007-09-10,23.34,39.98,40.17,39.53,40.06,931700.0
2007-09-11,23.41,40.1,40.41,39.84,40.32,701900.0
2007-09-12,23.38,40.06,40.31,39.94,40.11,538800.0
2007-09-13,23.3,39.91,40.25,39.78,40.21,853500.0
2007-09-14,23.31,39.94,40.11,39.79,39.85,827800.0
2007-09-17,23.19,39.73,39.99,39.55,39.86,459900.0
2007-09-18,23.49,40.25,40.25,39.59,39.76,1161000.0
2007-09-19,23.53,40.31,40.65,40.07,40.5,1374500.0
2007-09-20,23.34,39.98,40.5,39.97,40.31,658900.0
2007-09-21,23.37,40.03,40.35,39.93,40.35,927400.0
2007-09-24,23.24,39.81,40.11,39.75,40.0,804400.0
2007-09-25,23.16,39.68,39.92,39.55,39.87,533400.0
2007-09-26,23.33,39.96,40.13,39.65,39.68,572600.0
2007-09-27,23.24,39.81,40.16,39.72,40.16,632100.0
2007-09-28,23.06,39.51,40.0,39.48,39.85,897000.0
2007-10-01,23.43,40.14,40.35,39.5,39.5,1367900.0
2007-10-02,23.57,40.38,40.45,40.19,40.2,1087900.0
2007-10-03,23.74,40.67,40.69,40.3,40.3,721700.0
2007-10-04,23.82,40.81,40.83,40.6,40.8,807400.0
2007-10-05,24.0,41.11,41.37,40.69,40.79,919000.0
2007-10-08,24.06,41.21,41.36,41.04,41.1,521300.0
2007-10-09,24.34,41.69,41.69,41.09,41.2,582400.0
2007-10-10,24.3,41.63,41.79,41.49,41.7,554900.0
2007-10-11,24.49,41.95,42.26,41.81,41.94,959400.0
2007-10-12,24.6,42.15,42.62,42.02,42.11,742800.0
2007-10-15,24.47,41.92,42.29,41.77,42.11,809900.0
2007-10-16,24.45,41.88,42.06,41.73,41.98,482600.0
2007-10-17,24.3,41.63,42.29,41.36,42.01,788500.0
2007-10-18,24.34,41.69,41.93,41.58,41.72,653000.0
2007-10-19,23.72,40.63,41.9,40.63,41.69,945900.0
2007-10-22,23.72,40.63,40.8,40.18,40.56,759400.0
2007-10-23,23.52,40.29,40.94,40.0,40.7,631900.0
2007-10-24,23.55,40.34,40.6,39.92,40.4,968200.0
2007-10-25,24.13,41.33,41.52,40.5,40.5,1653800.0
2007-10-26,24.04,41.19,41.47,40.77,41.4,705500.0
2007-10-29,24.06,41.22,41.66,41.03,41.41,705000.0
2007-10-30,24.1,40.76,41.15,40.35,40.88,777300.0
2007-10-31,23.89,40.4,40.61,39.64,39.97,1124000.0
2007-11-01,23.35,39.5,40.33,39.39,40.33,1011800.0
2007-11-02,23.37,39.53,39.82,39.04,39.7,949300.0
2007-11-05,25.01,42.3,42.31,39.55,40.07,3414100.0
2007-11-06,24.86,42.04,42.33,41.04,42.33,1346200.0
2007-11-07,24.21,40.94,41.86,40.94,41.66,1105700.0
2007-11-08,24.6,41.6,41.72,40.94,41.07,734400.0
