,Adj Close,Close,High,Low,Open,Volume
2007-01-03,18.4,33.87,34.15,33.5,33.61,2302800.0
2007-01-04,18.31,33.7,34.12,33.66,33.9,1238100.0
2007-01-05,17.99,33.11,33.59,32.93,33.59,1224800.0
2007-01-08,17.95,33.03,33.27,32.9,33.01,1206100.0
2007-01-09,18.03,33.17,33.34,32.83,33.16,1590900.0
2007-01-10,17.96,33.06,33.18,32.81,33.03,1264700.0
2007-01-11,17.94,33.02,33.38,32.89,33.14,1549600.0
2007-01-12,17.71,32.58,33.13,32.5,33.06,1832900.0
2007-01-16,17.77,32.69,32.95,32.52,32.52,1356800.0
2007-01-17,17.69,32.55,32.83,32.49,32.69,1306200.0
2007-01-18,17.57,32.34,32.65,32.25,32.6,1445800.0
2007-01-19,17.58,32.35,32.47,32.07,32.42,958100.0
2007-01-22,17.52,32.25,32.55,32.17,32.28,1275000.0
2007-01-23,17.69,32.54,32.7,32.16,32.18,1092500.0
2007-01-24,17.85,32.85,32.86,32.38,32.46,684400.0
2007-01-25,17.78,32.71,32.92,32.67,32.91,868300.0
2007-01-26,17.81,32.78,32.86,32.37,32.65,859600.0
2007-01-29,17.8,32.75,32.83,32.54,32.65,852300.0
2007-01-30,17.87,32.89,32.96,32.72,32.83,641000.0
2007-01-31,18.02,33.16,33.33,32.79,32.92,1285300.0
2007-02-01,18.13,33.35,33.4,32.88,33.08,1797100.0
2007-02-02,18.07,33.24,33.44,32.73,32.96,2407600.0
2007-02-05,18.22,33.52,33.63,33.16,33.3,1301800.0
2007-02-06,18.36,33.78,33.81,33.52,33.6,1311300.0
2007-02-07,18.35,33.77,34.0,33.5,33.77,1501600.0
2007-02-08,18.54,34.12,34.12,33.72,33.76,2136600.0
2007-02-09,18.68,34.38,34.66,33.96,34.17,2333000.0
2007-02-12,18.53,34.1,34.46,34.02,34.34,1319000.0
2007-02-13,18.69,34.4,34.41,34.05,34.1,1049400.0
2007-02-14,18.82,34.63,34.79,34.28,34.4,1539100.0
2007-02-15,18.68,34.37,34.66,34.36,34.57,814100.0
2007-02-16,18.75,34.51,34.55,34.02,34.24,1215200.0
2007-02-20,18.84,34.67,34.68,34.37,34.51,832900.0
2007-02-21,18.73,34.47,34.63,34.32,34.55,837000.0
2007-02-22,18.7,34.42,34.69,34.17,34.65,783600.0
2007-02-23,19.01,34.98,35.0,34.26,34.32,1416000.0
2007-02-26,19.84,36.51,36.96,35.42,35.42,4267400.0
2007-02-27,19.27,35.46,36.84,35.39,36.46,3685400.0
2007-02-28,19.26,35.44,35.91,35.39,35.46,2052000.0
2007-03-01,19.45,35.79,35.97,34.88,35.03,2045900.0
2007-03-02,19.16,35.25,35.81,35.25,35.7,1898000.0
2007-03-05,18.85,34.68,35.16,34.64,34.99,2026800.0
2007-03-06,19.16,35.26,35.31,34.7,34.79,1686000.0
2007-03-07,19.02,34.69,35.17,34.66,34.88,1740900.0
2007-03-08,19.16,34.95,35.11,34.83,34.93,1262800.0
2007-03-09,19.19,35.01,35.15,34.8,35.09,920100.0
2007-03-12,19.49,35.55,35.58,34.82,34.96,1894600.0
2007-03-13,19.13,34.89,35.78,34.87,35.35,1992900.0
2007-03-14,19.27,35.15,35.26,34.49,35.0,1820200.0
2007-03-15,19.4,35.39,35.52,34.87,35.08,2286900.0
2007-03-16,19.27,35.15,35.58,35.14,35.5,2173700.0
2007-03-19,19.68,35.91,35.93,35.25,35.44,2146000.0
2007-03-20,19.87,36.25,36.3,35.63,35.84,1602500.0
2007-03-21,20.12,36.7,36.74,36.03,36.21,1961700.0
2007-03-22,20.02,36.51,36.84,35.98,35.98,1763400.0
2007-03-23,20.24,36.92,37.0,36.33,36.55,1412600.0
2007-03-26,20.45,37.3,37.3,36.71,36.88,1322300.0
2007-03-27,21.01,38.32,38.68,37.72,37.95,5646600.0
2007-03-28,20.96,38.23,38.64,38.12,38.24,1690400.0
2007-03-29,21.05,38.4,38.51,37.94,38.39,2215900.0
2007-03-30,20.88,38.09,38.59,37.68,38.49,1995000.0
2007-04-02,21.49,39.19,39.32,38.07,38.17,3114100.0
2007-04-03,21.7,39.58,39.61,39.1,39.52,2353100.0
2007-04-04,21.79,39.74,39.86,39.29,39.7,2466600.0
2007-04-05,21.87,39.89,40.0,39.6,39.89,1570300.0
2007-04-09,22.01,40.14,40.35,39.92,40.01,1575900.0
2007-04-10,22.09,40.3,40.46,40.05,40.28,1288800.0
2007-04-11,22.04,40.21,40.51,40.03,40.24,2160100.0
2007-04-12,21.86,39.87,40.24,39.75,40.21,1445600.0
2007-04-13,21.74,39.65,40.08,39.58,40.05,1859500.0
2007-04-16,22.04,40.2,40.21,39.73,39.93,1276500.0
2007-04-17,22.49,41.03,41.09,40.24,40.31,2501900.0
2007-04-18,22.58,41.2,41.23,40.76,40.9,1615500.0
2007-04-19,22.5,41.04,41.8,40.93,41.8,1640200.0
2007-04-20,22.72,41.45,41.68,41.07,41.57,3135800.0
2007-04-23,22.98,41.91,42.06,41.47,41.54,1580000.0
2007-04-24,23.08,42.1,42.19,41.82,42.05,1339900.0
2007-04-25,23.11,42.16,42.45,42.09,42.23,3131000.0
2007-04-26,22.86,41.71,42.28,41.66,42.02,2794600.0
2007-04-27,22.64,41.31,41.66,41.18,41.66,1897500.0
2007-04-30,22.27,40.62,41.44,40.62,41.35,2048000.0
2007-05-01,22.47,40.98,41.21,40.57,40.75,2851500.0
2007-05-02,22.9,41.77,41.8,40.66,40.93,2440600.0
2007-05-03,22.7,41.4,41.97,41.03,41.55,2707300.0
2007-05-04,22.75,41.49,41.79,41.23,41.75,1327200.0
2007-05-07,23.11,42.16,42.19,41.48,41.56,2221100.0
2007-05-08,22.96,41.89,42.24,41.81,42.08,2321100.0
2007-05-09,23.04,42.03,42.09,41.72,41.86,977200.0
2007-05-10,23.1,42.15,42.58,41.99,42.04,2499100.0
2007-05-11,23.31,42.52,42.54,41.41,41.41,1826800.0
2007-05-14,23.41,42.7,43.13,42.52,42.52,2139300.0
2007-05-15,23.29,42.49,43.24,42.35,42.93,1975000.0
2007-05-16,23.37,42.63,42.94,42.32,42.56,3096100.0
2007-05-17,23.48,42.84,43.03,42.51,42.75,1582300.0
2007-05-18,23.5,42.86,43.03,42.61,42.9,1901500.0
2007-05-21,23.38,42.64,42.88,42.2,42.75,1747300.0
2007-05-22,22.98,41.91,42.64,41.9,42.64,2689200.0
2007-05-23,22.62,41.27,42.29,41.23,42.09,3611100.0
