,Adj Close,Close,High,Low,Open,Volume
2007-01-03,16.13,17.61,17.77,17.28,17.4,645400.0
2007-01-04,16.23,17.71,17.85,17.3,17.45,449400.0
2007-01-05,15.97,17.43,17.71,17.19,17.61,505400.0
2007-01-08,15.66,17.09,17.4,16.98,17.37,629700.0
2007-01-09,15.52,16.94,17.0,16.77,16.92,610700.0
2007-01-10,15.32,16.72,16.8,16.61,16.75,563000.0
2007-01-11,15.3,16.7,16.79,16.48,16.55,546800.0
2007-01-12,15.3,16.7,16.78,16.61,16.67,390100.0
2007-01-16,15.3,16.7,16.79,16.5,16.55,496400.0
2007-01-17,15.74,17.18,17.3,16.7,16.75,722300.0
2007-01-18,15.88,17.33,17.44,17.1,17.21,598100.0
2007-01-19,16.13,17.6,17.66,17.21,17.26,477600.0
2007-01-22,15.86,17.31,17.48,17.13,17.48,366500.0
2007-01-23,15.91,17.36,17.49,17.12,17.2,416200.0
2007-01-24,16.0,17.46,17.55,17.25,17.3,327200.0
2007-01-25,15.81,17.26,17.38,17.15,17.38,344600.0
2007-01-26,15.89,17.34,17.37,17.02,17.27,387900.0
2007-01-29,15.91,17.37,17.4,17.08,17.23,478200.0
2007-01-30,15.87,17.32,17.37,17.15,17.22,402800.0
2007-01-31,15.83,17.28,17.54,16.73,17.29,551200.0
2007-02-01,15.91,17.37,17.45,16.68,16.79,1263300.0
2007-02-02,16.17,17.65,18.01,17.4,17.41,708900.0
2007-02-05,15.32,16.72,17.38,16.66,17.36,979400.0
2007-02-06,15.17,16.56,16.93,16.54,16.76,786900.0
2007-02-07,15.3,16.7,16.77,16.51,16.64,651200.0
2007-02-08,15.36,16.77,16.87,16.65,16.65,337600.0
2007-02-09,15.68,17.11,17.11,16.76,16.76,697800.0
2007-02-12,15.53,16.95,17.18,16.82,17.15,684000.0
2007-02-13,15.51,16.93,16.98,16.79,16.98,305900.0
2007-02-14,15.58,17.01,17.04,16.78,16.83,581400.0
2007-02-15,15.58,17.01,17.15,16.78,16.95,555300.0
2007-02-16,15.59,17.02,17.07,16.86,17.01,364100.0
2007-02-20,15.94,17.4,17.45,17.0,17.18,794900.0
2007-02-21,15.83,17.23,17.4,17.11,17.32,463100.0
2007-02-22,15.96,17.38,17.59,17.25,17.45,587800.0
2007-02-23,15.88,17.29,17.33,17.01,17.29,535700.0
2007-02-26,15.96,17.38,17.45,17.16,17.37,679000.0
2007-02-27,15.57,16.95,17.23,16.71,17.11,1250900.0
2007-02-28,15.34,16.7,17.33,16.64,17.13,807700.0
2007-03-01,15.36,16.72,16.76,16.2,16.55,738500.0
2007-03-02,15.09,16.43,16.86,16.4,16.63,572700.0
2007-03-05,14.93,16.25,16.77,16.24,16.44,589400.0
