,Adj Close,Close,High,Low,Open,Volume
2007-01-03,65.82,99.18,99.38,98.04,98.33,948300.0
2007-01-04,65.33,98.44,99.0,97.85,98.65,834400.0
2007-01-05,64.41,97.05,98.1,96.56,98.1,742300.0
2007-01-08,64.64,97.4,97.65,96.02,96.05,583600.0
2007-01-09,65.57,98.8,99.32,97.42,97.95,737800.0
2007-01-10,67.06,101.05,101.32,98.27,98.7,1130300.0
2007-01-11,67.9,102.32,103.21,100.45,100.45,966500.0
2007-01-12,68.34,102.98,103.35,101.83,102.24,644500.0
2007-01-16,69.59,104.86,105.43,103.15,103.15,640600.0
2007-01-17,69.31,104.44,105.23,103.47,104.54,589100.0
2007-01-18,68.91,103.83,104.78,103.6,104.65,421200.0
2007-01-19,69.1,104.12,105.51,103.01,103.23,751900.0
2007-01-22,68.09,102.6,104.08,102.33,103.93,800600.0
2007-01-23,68.38,103.04,103.41,102.07,102.75,763600.0
2007-01-24,69.15,104.2,104.24,102.81,103.16,672900.0
2007-01-25,69.61,104.89,106.14,103.85,104.71,1004200.0
2007-01-26,70.19,105.77,105.97,104.13,104.89,875700.0
2007-01-29,70.35,106.01,106.58,104.87,105.75,638700.0
2007-01-30,71.41,107.6,107.6,105.81,106.74,591200.0
2007-01-31,72.18,108.76,109.41,107.09,107.7,697000.0
2007-02-01,72.62,109.43,109.43,108.0,108.75,620700.0
2007-02-02,72.75,109.62,109.9,108.97,109.8,725000.0
2007-02-05,73.15,110.23,110.34,109.55,109.55,551700.0
2007-02-06,74.13,111.7,111.89,110.09,110.6,956800.0
2007-02-07,76.49,115.26,116.35,111.12,111.8,1643700.0
2007-02-08,76.51,115.29,117.16,114.84,115.0,1355900.0
2007-02-09,74.59,112.4,115.59,109.25,115.05,2222300.0
2007-02-12,72.62,109.42,112.73,108.5,112.73,1504800.0
2007-02-13,73.58,110.87,111.17,108.3,109.7,1226800.0
2007-02-14,73.21,110.31,112.55,109.75,112.55,899700.0
2007-02-15,74.08,111.62,112.39,110.21,110.74,566600.0
2007-02-16,74.29,111.95,112.5,110.33,111.3,856100.0
2007-02-20,74.85,112.78,113.0,110.5,111.95,790700.0
2007-02-21,73.9,111.35,112.69,110.94,112.33,619500.0
2007-02-22,72.96,109.94,111.5,109.69,111.45,1009800.0
2007-02-23,70.59,106.37,109.58,105.56,109.24,1884200.0
2007-02-26,70.58,106.35,108.9,104.51,106.55,1413500.0
2007-02-27,67.69,102.0,106.76,102.0,105.93,1345000.0
2007-02-28,67.21,101.27,105.08,100.93,103.98,2939600.0
2007-03-01,66.71,100.52,102.06,97.23,99.3,1686900.0
2007-03-02,64.82,97.68,100.46,97.67,100.0,1606600.0
2007-03-05,62.78,94.6,97.69,94.45,96.52,1212000.0
2007-03-06,64.93,97.84,98.18,95.5,95.5,1328100.0
2007-03-07,63.9,96.28,97.81,95.39,97.67,1191100.0
2007-03-08,64.82,97.67,99.11,97.09,97.09,981700.0
2007-03-09,65.82,99.18,99.27,97.75,97.94,829100.0
2007-03-12,65.5,98.7,99.6,97.72,98.98,1329700.0
2007-03-13,63.3,94.9,97.69,94.8,97.15,1367300.0
2007-03-14,63.86,95.74,96.16,93.56,95.1,1461100.0
2007-03-15,65.01,97.47,97.61,95.48,95.48,1202900.0
2007-03-16,63.89,95.79,97.71,95.6,97.46,1334000.0
2007-03-19,64.47,96.65,97.1,95.95,96.76,803900.0
2007-03-20,63.88,95.77,95.9,94.44,94.89,1440300.0
2007-03-21,65.23,97.79,98.16,95.05,96.0,1324900.0
2007-03-22,64.89,97.28,98.16,96.89,97.79,683700.0
2007-03-23,65.02,97.48,98.47,97.15,97.4,637700.0
2007-03-26,63.91,95.82,97.58,94.92,97.58,957300.0
2007-03-27,62.87,94.26,95.58,93.75,95.2,859600.0
2007-03-28,62.54,93.76,95.01,92.43,93.7,1176900.0
2007-03-29,62.62,93.88,95.25,93.55,94.63,821300.0
2007-03-30,63.15,94.67,95.12,93.67,93.88,1245800.0
2007-04-02,64.09,96.08,96.28,94.15,94.92,770600.0
2007-04-03,65.07,97.56,97.58,96.31,96.6,1113700.0
2007-04-04,64.93,97.34,97.65,96.35,97.56,1092000.0
2007-04-05,64.45,96.63,97.56,96.45,97.2,557700.0
2007-04-09,64.15,96.17,96.6,95.83,96.5,566600.0
2007-04-10,64.43,96.6,96.99,95.98,96.5,589900.0
2007-04-11,62.95,94.37,96.54,94.14,94.91,730000.0
2007-04-12,62.3,93.4,94.11,92.79,94.0,831400.0
2007-04-13,62.68,93.97,94.13,92.84,93.2,745800.0
2007-04-16,62.37,93.5,94.99,93.27,94.6,933100.0
2007-04-17,64.25,96.33,96.57,93.35,93.5,1825100.0
2007-04-18,64.15,96.18,96.78,94.61,94.62,1078500.0
2007-04-19,63.78,95.62,96.16,95.06,96.0,734700.0
2007-04-20,63.84,95.71,96.71,95.42,96.6,728200.0
2007-04-23,64.77,97.1,97.58,95.66,95.7,527700.0
2007-04-24,64.06,96.04,97.53,95.6,97.48,451600.0
2007-04-25,64.2,96.25,99.36,95.41,96.72,533900.0
2007-04-26,63.92,95.83,96.59,95.41,96.05,384800.0
2007-04-27,63.57,95.31,95.78,95.1,95.55,493100.0
2007-04-30,62.25,93.32,95.5,93.32,93.62,758000.0
2007-05-01,61.09,91.59,93.64,90.79,93.55,1103400.0
2007-05-02,61.13,91.65,92.0,90.72,91.69,1003600.0
2007-05-03,61.15,91.68,92.55,91.09,92.15,676400.0
2007-05-04,59.96,89.89,91.63,89.29,91.6,1185000.0
2007-05-07,60.27,90.36,90.65,89.89,89.89,863300.0
2007-05-08,60.07,90.06,90.66,89.88,89.9,732500.0
2007-05-09,59.91,89.82,90.2,88.76,89.75,1205600.0
2007-05-10,58.63,87.9,89.73,87.86,89.56,966200.0
2007-05-11,58.68,87.98,88.89,87.6,88.89,1291900.0
2007-05-14,59.33,88.95,89.42,88.0,88.0,1130700.0
2007-05-15,58.51,87.72,89.92,87.67,89.15,1238500.0
2007-05-16,57.48,86.18,88.19,85.88,88.15,929500.0
2007-05-17,55.86,83.74,85.75,82.95,85.73,1499100.0
2007-05-18,55.48,83.18,83.85,82.26,83.73,1288700.0
2007-05-21,56.44,84.61,85.77,82.9,82.9,1558600.0
2007-05-22,56.73,85.05,85.37,83.88,84.86,1927900.0
