,Adj Close,Close,High,Low,Open,Volume
2007-01-03,37.64,38.72,39.69,38.32,39.69,1541800.0
2007-01-04,37.09,38.16,38.95,38.05,38.72,2103300.0
2007-01-05,36.95,38.01,38.47,37.47,38.27,1596600.0
2007-01-08,37.37,38.45,38.85,38.26,38.75,1835100.0
2007-01-09,37.61,38.69,38.88,37.8,38.46,1521500.0
2007-01-10,36.82,37.88,38.93,37.63,38.69,1329400.0
2007-01-11,36.55,37.6,38.86,37.52,37.9,1060800.0
2007-01-12,37.43,38.51,38.6,37.59,37.74,746700.0
2007-01-16,37.16,38.23,38.88,38.0,38.49,755700.0
2007-01-17,37.61,38.69,38.83,38.1,38.1,840200.0
2007-01-18,37.36,38.43,39.17,38.25,38.73,975300.0
2007-01-19,38.28,39.38,39.38,38.69,39.0,795300.0
2007-01-22,38.21,39.31,39.87,38.81,39.75,1089600.0
2007-01-23,39.23,40.36,40.45,39.75,39.85,1133800.0
2007-01-24,39.49,40.63,40.63,39.99,40.36,1023800.0
2007-01-25,38.66,39.77,40.02,39.57,39.95,1135000.0
2007-01-26,38.25,39.35,40.27,39.29,39.98,1355100.0
2007-01-29,38.17,39.27,39.68,39.08,39.27,958200.0
2007-01-30,39.27,40.4,40.55,39.51,39.52,997300.0
2007-01-31,39.85,41.0,41.21,40.05,40.2,1319700.0
2007-02-01,40.05,41.2,41.53,40.89,41.28,876800.0
2007-02-02,40.03,41.18,41.38,40.78,41.37,942000.0
2007-02-05,39.93,41.08,41.61,40.63,41.34,894900.0
2007-02-06,39.91,41.06,41.23,40.51,41.22,1074700.0
2007-02-07,38.83,39.95,41.38,39.64,41.06,1548400.0
2007-02-08,39.29,40.42,40.48,39.37,39.85,2072400.0
2007-02-09,39.12,40.25,40.84,40.04,40.3,1257900.0
2007-02-12,38.49,39.6,40.19,39.35,40.18,913800.0
2007-02-13,39.21,40.34,40.47,39.85,39.95,1033400.0
2007-02-14,38.87,39.99,40.73,39.9,40.28,856700.0
2007-02-15,38.66,39.77,39.87,39.38,39.84,779200.0
2007-02-16,39.22,40.35,40.42,39.7,39.78,694900.0
2007-02-20,38.45,39.56,39.96,39.49,39.95,704400.0
2007-02-21,38.85,39.97,40.0,39.47,39.56,695700.0
2007-02-22,39.26,40.39,40.49,39.87,40.0,709300.0
2007-02-23,38.8,39.92,40.8,39.85,40.49,800600.0
2007-02-26,38.79,39.91,40.42,39.75,40.13,953800.0
2007-02-27,37.62,38.7,39.5,38.7,39.26,1055000.0
2007-02-28,37.41,38.49,39.55,38.25,38.61,1386200.0
