,Adj Close,Close,High,Low,Open,Volume
2007-01-03,16.89,16.89,16.89,16.76,16.76,700.0
2007-01-04,16.83,16.83,16.83,16.83,16.83,0.0
2007-01-05,16.6,16.6,16.6,16.6,16.6,0.0
2007-01-08,16.84,16.84,16.84,16.84,16.84,0.0
2007-01-09,17.05,17.05,17.05,17.05,17.05,0.0
2007-01-10,16.66,16.66,16.66,16.66,16.66,0.0
2007-01-11,16.25,16.25,16.25,16.25,16.25,0.0
2007-01-12,16.07,16.07,16.07,16.07,16.07,0.0
2007-01-16,15.95,15.95,16.26,15.95,16.26,70.0
2007-01-17,15.87,15.87,15.87,15.87,15.87,0.0
2007-01-18,15.76,15.76,15.76,15.76,15.76,0.0
2007-01-19,15.43,15.43,15.66,15.43,15.66,200.0
2007-01-22,15.36,15.36,15.36,15.36,15.36,0.0
2007-01-23,15.27,15.27,15.27,15.27,15.27,0.0
2007-01-24,14.56,14.56,15.19,14.56,15.19,0.0
2007-01-25,14.98,14.98,14.98,14.52,14.52,200.0
2007-01-26,14.65,14.65,14.65,14.65,14.65,0.0
2007-01-29,14.51,14.51,14.51,14.51,14.51,0.0
2007-01-30,14.09,14.09,14.25,14.09,14.25,200.0
2007-01-31,14.06,14.06,14.06,14.06,14.06,0.0
2007-02-01,14.01,14.01,14.01,14.01,14.01,0.0
2007-02-02,14.3,14.3,14.3,14.3,14.3,0.0
2007-02-05,14.35,14.35,14.35,14.35,14.35,0.0
2007-02-06,14.18,14.18,14.18,14.18,14.18,0.0
2007-02-07,13.97,13.97,13.97,13.97,13.97,0.0
2007-02-08,14.05,14.05,14.05,14.05,14.05,0.0
2007-02-09,14.14,14.14,14.14,14.14,14.14,0.0
2007-02-12,14.07,14.07,14.2,14.07,14.2,40.0
2007-02-13,14.28,14.28,14.28,14.28,14.28,0.0
2007-02-14,13.99,13.99,13.99,13.99,13.99,0.0
2007-02-15,13.99,13.99,13.99,13.99,13.99,0.0
2007-02-16,13.98,13.98,13.98,13.98,13.98,0.0
2007-02-20,13.71,13.71,13.71,13.7,13.7,40.0
2007-02-21,13.92,13.92,13.92,13.92,13.92,0.0
2007-02-22,13.97,13.97,13.97,13.97,13.97,0.0
2007-02-23,13.81,13.81,13.81,13.81,13.81,0.0
2007-02-26,13.8,13.8,13.8,13.8,13.8,0.0
2007-02-27,13.97,13.97,13.97,13.97,13.97,0.0
2007-02-28,13.57,13.57,13.57,13.42,13.42,0.0
2007-03-01,13.33,13.33,13.33,13.33,13.33,0.0
2007-03-02,13.34,13.34,13.34,13.34,13.34,0.0
2007-03-05,13.04,13.04,13.04,13.04,13.04,0.0
2007-03-06,12.97,12.97,12.97,12.97,12.97,0.0
2007-03-07,12.97,12.97,12.97,12.97,12.97,0.0
2007-03-08,13.1,13.1,13.1,13.1,13.1,0.0
2007-03-09,13.02,13.02,13.02,13.02,13.02,0.0
2007-03-12,12.91,12.91,12.91,12.91,12.91,0.0
2007-03-13,12.74,12.74,12.74,12.74,12.74,0.0
2007-03-14,12.64,12.64,12.64,12.64,12.64,0.0
2007-03-15,12.71,12.71,12.71,12.71,12.71,0.0
2007-03-16,12.71,12.71,13.04,12.71,13.04,0.0
2007-03-19,12.71,12.71,12.71,12.71,12.71,0.0
