,Adj Close,Close,High,Low,Open,Volume
2007-01-03,46.55,78.64,79.41,77.47,78.64,446600.0
2007-01-04,46.48,78.51,78.98,78.1,78.65,327100.0
2007-01-05,45.75,77.28,78.49,77.04,78.26,301700.0
2007-01-08,45.14,76.25,77.33,75.9,77.11,456200.0
2007-01-09,46.03,77.75,78.08,76.17,76.18,304100.0
2007-01-10,46.72,78.92,79.35,77.42,77.5,249600.0
2007-01-11,47.1,79.56,80.34,78.91,78.99,194300.0
2007-01-12,47.33,79.95,80.02,79.53,79.53,210600.0
2007-01-16,48.26,81.52,81.77,80.2,80.2,274200.0
2007-01-17,48.5,81.93,82.08,80.49,81.2,226600.0
2007-01-18,48.06,81.18,82.27,81.13,82.27,436200.0
2007-01-19,48.44,81.82,81.82,80.6,81.11,293100.0
2007-01-22,48.14,81.32,81.99,80.95,81.99,301800.0
2007-01-23,48.44,81.83,82.53,81.32,81.32,164100.0
2007-01-24,49.17,83.06,83.06,81.73,81.78,172800.0
2007-01-25,50.1,84.63,85.32,82.88,83.17,649900.0
2007-01-26,50.34,85.04,85.12,83.94,84.68,275800.0
2007-01-29,50.59,85.46,85.62,84.78,84.99,245700.0
2007-01-30,51.09,86.3,86.87,85.07,85.68,383800.0
2007-01-31,51.56,87.1,87.15,85.48,86.2,398800.0
2007-02-01,52.36,88.45,88.45,86.83,87.03,344600.0
2007-02-02,52.43,88.57,88.65,88.13,88.45,438800.0
2007-02-05,52.4,88.51,89.22,88.24,88.7,265400.0
2007-02-06,53.17,89.82,89.88,88.61,88.68,441000.0
2007-02-07,54.93,92.79,92.95,89.16,89.75,662500.0
2007-02-08,54.24,91.63,93.49,91.2,92.55,680300.0
2007-02-09,53.71,90.73,91.78,88.0,91.62,853800.0
2007-02-12,52.68,88.34,90.41,87.85,90.32,505200.0
2007-02-13,53.39,89.54,89.69,87.46,88.12,634400.0
2007-02-14,52.48,88.01,90.06,87.83,89.12,519800.0
2007-02-15,52.79,88.52,89.0,87.66,87.86,476200.0
2007-02-16,52.62,88.25,88.89,87.23,88.54,323600.0
2007-02-20,53.08,89.01,89.24,86.95,88.25,553700.0
2007-02-21,52.92,88.75,88.97,88.09,88.76,256700.0
2007-02-22,52.85,88.63,89.0,87.85,89.0,343900.0
2007-02-23,51.99,87.18,88.6,86.83,88.49,311300.0
2007-02-26,51.89,87.02,87.75,85.34,86.41,458000.0
2007-02-27,50.12,84.05,85.99,81.98,85.99,655700.0
2007-02-28,51.13,85.74,86.02,84.34,84.39,651100.0
2007-03-01,51.0,85.52,86.8,82.56,84.92,735500.0
2007-03-02,50.02,83.89,85.0,83.43,85.0,776700.0
2007-03-05,47.66,79.93,83.3,79.93,83.15,589300.0
2007-03-06,49.36,82.77,83.35,80.48,80.56,695500.0
2007-03-07,48.47,81.29,82.72,80.89,82.52,439200.0
2007-03-08,49.29,82.66,84.0,81.85,81.9,624200.0
2007-03-09,49.85,83.59,83.9,82.71,83.9,435400.0
2007-03-12,50.16,84.11,84.34,82.99,83.09,413900.0
2007-03-13,48.77,81.79,83.75,81.55,83.64,361100.0
2007-03-14,49.05,82.25,82.52,80.43,81.87,390600.0
2007-03-15,49.47,82.96,83.27,82.16,82.32,472300.0
2007-03-16,48.76,81.77,83.24,81.73,83.14,308000.0
2007-03-19,49.34,82.75,83.01,82.27,82.37,287200.0
2007-03-20,49.65,83.26,83.26,82.05,82.45,266000.0
2007-03-21,50.47,84.63,84.71,82.63,83.45,281900.0
2007-03-22,50.6,84.85,85.75,84.31,84.9,267200.0
2007-03-23,50.62,84.89,85.47,84.81,85.11,342900.0
2007-03-26,49.64,83.24,85.16,82.67,85.16,712400.0
2007-03-27,49.0,82.18,83.25,81.83,82.91,400200.0
2007-03-28,48.86,81.94,82.77,80.88,81.81,277300.0
2007-03-29,48.7,81.67,83.02,81.31,82.4,444300.0
2007-03-30,49.82,83.55,83.55,81.65,81.83,573400.0
2007-04-02,50.37,84.47,84.5,82.9,83.2,450100.0
2007-04-03,50.32,84.39,85.32,84.32,84.98,421700.0
2007-04-04,50.08,83.99,84.77,83.21,84.6,245700.0
2007-04-05,49.85,83.59,84.27,83.49,83.79,205500.0
2007-04-09,50.19,84.16,84.23,83.36,83.66,199500.0
2007-04-10,50.63,84.9,85.17,84.07,84.22,329400.0
2007-04-11,49.73,83.39,85.1,83.05,85.1,255900.0
2007-04-12,49.24,82.58,83.14,82.27,83.14,172800.0
2007-04-13,49.8,83.52,83.73,82.38,82.55,228200.0
2007-04-16,49.82,83.54,84.04,83.07,83.9,271600.0
2007-04-17,50.32,84.39,84.7,83.21,83.71,317300.0
2007-04-18,49.76,83.44,84.39,83.44,83.68,270100.0
2007-04-19,49.36,82.77,83.15,82.35,82.71,263100.0
2007-04-20,49.85,83.6,83.82,82.21,82.21,279200.0
2007-04-23,50.66,84.96,85.08,83.37,83.6,281300.0
2007-04-24,50.24,84.25,85.3,83.6,85.25,156300.0
2007-04-25,50.17,84.13,85.11,83.3,84.78,189100.0
2007-04-26,49.95,83.77,84.59,83.76,84.09,261300.0
2007-04-27,50.2,84.19,84.5,83.48,83.64,220100.0
2007-04-30,49.14,82.4,84.46,82.4,84.35,194600.0
2007-05-01,48.59,81.48,82.34,80.54,81.53,377800.0
2007-05-02,48.86,81.94,82.22,80.9,81.31,331700.0
2007-05-03,49.19,82.49,83.45,82.2,82.24,339400.0
2007-05-04,48.98,82.13,84.44,82.09,83.23,439900.0
2007-05-07,48.99,82.15,82.6,81.93,82.03,348700.0
2007-05-08,48.67,81.62,82.09,81.51,81.69,338700.0
2007-05-09,48.87,81.95,82.2,81.35,81.48,471300.0
2007-05-10,48.05,80.58,81.95,80.58,81.46,266500.0
2007-05-11,48.45,81.25,81.89,80.8,80.83,425900.0
2007-05-14,48.22,80.2,81.71,79.97,81.43,269900.0
2007-05-15,47.24,78.58,81.05,78.58,81.04,502600.0
2007-05-16,46.56,77.44,79.09,76.69,77.74,420300.0
2007-05-17,45.57,75.8,77.24,75.77,77.15,289500.0
2007-05-18,44.81,74.53,76.23,74.42,76.16,421000.0
2007-05-21,44.95,74.76,75.7,73.84,74.65,757900.0
2007-05-22,45.47,75.63,76.4,74.53,74.76,476000.0
2007-05-23,45.01,74.86,76.74,74.77,76.34,378500.0
2007-05-24,44.12,73.38,74.7,72.53,74.69,606100.0
2007-05-25,44.42,73.88,74.87,73.47,73.64,418800.0
2007-05-29,45.84,76.25,76.61,74.74,74.74,640300.0
2007-05-30,47.47,78.96,78.97,76.09,76.19,575300.0
2007-05-31,47.24,78.57,79.76,77.7,78.95,946200.0
2007-06-01,47.3,78.67,79.2,77.89,78.95,399900.0
2007-06-04,47.89,79.65,80.29,78.49,78.63,507400.0
2007-06-05,47.17,78.46,79.5,78.44,79.25,690300.0
2007-06-06,46.56,77.45,78.1,77.25,77.93,577000.0
2007-06-07,45.47,75.64,77.45,75.37,77.45,704300.0
2007-06-08,45.92,76.38,76.39,75.0,75.82,391400.0
2007-06-11,44.9,74.68,76.08,74.65,76.08,451600.0
2007-06-12,44.2,73.52,74.5,73.1,74.5,636600.0
2007-06-13,44.87,74.63,74.96,73.54,73.82,404500.0
2007-06-14,44.34,73.75,74.8,73.43,74.57,342300.0
2007-06-15,44.72,74.38,75.02,74.0,74.18,368200.0
2007-06-18,43.55,72.44,74.6,72.44,74.6,537000.0
2007-06-19,43.78,72.83,72.83,71.64,72.04,565800.0
2007-06-20,42.86,71.29,73.08,71.22,73.08,520300.0
2007-06-21,42.69,71.01,71.44,69.69,70.99,370900.0
2007-06-22,42.14,70.1,70.97,69.74,70.16,440000.0
2007-06-25,41.32,68.73,70.44,68.43,70.24,625200.0
2007-06-26,41.18,68.5,69.24,67.64,69.09,686400.0
