,Adj Close,Close,High,Low,Open,Volume
2007-01-03,30.15,38.73,38.83,37.13,37.21,1419600.0
2007-01-04,30.26,38.87,38.96,38.26,38.63,1100700.0
2007-01-05,29.89,38.4,38.87,38.24,38.87,937700.0
2007-01-08,29.96,38.48,38.56,37.91,38.33,763900.0
2007-01-09,29.47,37.86,38.49,37.56,38.49,920900.0
2007-01-10,29.69,38.14,38.26,37.51,37.86,565900.0
2007-01-11,30.31,38.93,38.97,38.23,38.25,627700.0
2007-01-12,30.1,38.67,38.9,38.47,38.9,445800.0
2007-01-16,29.67,38.11,38.8,38.07,38.53,842800.0
2007-01-17,29.69,38.14,38.62,37.81,38.11,1008800.0
2007-01-18,28.98,37.23,38.14,37.18,38.14,805700.0
2007-01-19,28.96,37.2,37.36,37.02,37.3,1177500.0
2007-01-22,29.71,38.16,38.25,37.12,37.2,1778500.0
2007-01-23,31.54,40.51,40.98,39.29,39.7,2416400.0
2007-01-24,32.07,41.2,41.4,40.35,41.19,1693800.0
2007-01-25,31.49,40.45,40.96,40.06,40.25,1025800.0
2007-01-26,30.95,39.76,41.17,38.98,40.46,1546600.0
2007-01-29,31.24,40.13,40.55,39.59,39.68,1126700.0
2007-01-30,31.1,39.95,40.08,39.15,39.55,1310100.0
2007-01-31,31.68,40.7,40.75,39.74,39.95,665700.0
2007-02-01,32.1,41.24,41.5,40.63,40.7,889800.0
2007-02-02,32.31,41.51,41.7,41.19,41.2,699300.0
2007-02-05,32.0,41.11,41.39,41.02,41.17,641400.0
2007-02-06,32.18,41.34,41.39,40.84,41.12,590100.0
2007-02-07,32.05,41.17,41.47,41.05,41.31,605500.0
2007-02-08,32.21,41.37,41.53,41.1,41.19,712200.0
2007-02-09,31.65,40.66,41.5,40.54,41.32,452600.0
2007-02-12,31.33,40.25,40.94,40.23,40.89,636800.0
2007-02-13,31.79,40.84,41.09,40.34,40.41,485100.0
2007-02-14,32.17,41.33,41.5,40.84,40.85,391600.0
2007-02-15,32.1,41.24,42.21,41.1,42.21,387000.0
2007-02-16,32.25,41.43,41.43,40.89,41.04,369300.0
2007-02-20,32.06,41.18,41.42,40.71,41.18,662100.0
2007-02-21,32.18,41.34,41.5,40.91,41.09,551000.0
2007-02-22,32.48,41.62,41.87,41.26,41.35,747700.0
2007-02-23,32.42,41.55,41.73,41.09,41.63,559600.0
2007-02-26,32.17,41.22,41.74,41.02,41.61,859000.0
2007-02-27,30.86,39.55,42.06,39.3,42.06,1220400.0
2007-02-28,30.49,39.07,39.52,38.44,39.35,1317300.0
2007-03-01,30.15,38.63,38.85,37.7,38.8,1845200.0
2007-03-02,29.51,37.81,38.57,37.74,38.57,894100.0
2007-03-05,29.21,37.43,38.03,37.43,37.8,1462700.0
2007-03-06,30.0,38.44,38.44,37.51,37.75,1214800.0
2007-03-07,29.93,38.35,38.62,37.96,38.44,1048400.0
2007-03-08,30.13,38.61,38.94,38.49,38.85,506300.0
2007-03-09,29.76,38.14,38.87,37.92,38.65,927600.0
2007-03-12,29.26,37.49,38.07,37.17,37.95,1389200.0
2007-03-13,28.18,36.11,37.35,36.04,37.35,1885800.0
2007-03-14,28.5,36.52,36.68,35.91,36.11,1719500.0
2007-03-15,28.68,36.75,37.33,36.55,36.55,1276700.0
2007-03-16,29.05,37.22,37.77,37.0,37.36,1448400.0
2007-03-19,29.53,37.84,38.03,37.47,37.47,880100.0
2007-03-20,29.55,37.87,38.14,37.76,37.84,533100.0
2007-03-21,30.3,38.83,38.83,37.66,37.82,552100.0
2007-03-22,30.33,38.87,39.07,38.57,38.84,501800.0
2007-03-23,30.26,38.78,39.05,38.62,38.76,605300.0
2007-03-26,30.15,38.63,38.74,37.94,38.64,777800.0
2007-03-27,30.12,38.6,38.79,38.16,38.4,800100.0
2007-03-28,30.04,38.5,38.54,37.81,38.45,798600.0
2007-03-29,28.97,37.12,38.92,36.82,38.62,2660700.0
2007-03-30,28.88,37.01,37.7,36.73,37.23,1362800.0
2007-04-02,28.85,36.97,37.43,36.96,36.98,889100.0
2007-04-03,29.28,37.52,37.66,37.02,37.02,816200.0
2007-04-04,27.66,35.44,37.26,35.0,37.25,3575300.0
2007-04-05,27.66,35.45,36.24,35.3,35.7,2251000.0
2007-04-09,27.69,35.48,35.95,35.37,35.59,1681400.0
2007-04-10,28.05,35.94,35.98,35.31,35.4,1190100.0
2007-04-11,27.82,35.65,36.09,35.32,35.95,961800.0
2007-04-12,28.44,36.45,36.47,35.57,35.7,1079800.0
2007-04-13,28.29,36.25,36.62,35.85,36.49,1263900.0
2007-04-16,28.75,36.84,36.84,36.13,36.31,870700.0
2007-04-17,28.83,36.95,37.17,36.73,37.0,482500.0
2007-04-18,29.0,37.16,37.3,36.5,36.75,1000700.0
