,Adj Close,Close,High,Low,Open,Volume
2007-01-03,24.6088,25.83,26.71,25.55,26.7,2743000.0
2007-01-04,24.4754,25.69,26.03,25.29,25.8,2282300.0
2007-01-05,25.028,26.27,26.96,25.69,25.69,2074700.0
2007-01-08,25.0756,26.32,26.95,26.13,26.6,1178200.0
2007-01-09,25.3805,26.64,26.64,25.66,26.33,1558300.0
2007-01-10,25.0661,26.31,26.5,25.83,26.4,1454000.0
2007-01-11,25.1995,26.45,27.43,26.07,26.26,2059000.0
2007-01-12,25.9807,27.27,27.48,26.5,26.5,1037500.0
2007-01-16,25.9426,27.23,27.74,27.13,27.27,1525400.0
2007-01-17,26.4475,27.76,28.13,27.16,27.23,1194100.0
2007-01-18,26.3904,27.7,28.1,27.17,27.77,1482400.0
2007-01-19,27.3907,28.75,28.96,27.97,28.0,1714000.0
2007-01-22,27.3431,28.7,29.48,28.28,29.32,1495500.0
2007-01-23,28.7817,30.21,30.32,29.0,29.0,2508500.0
2007-01-24,29.3724,30.83,30.88,29.84,30.25,2189800.0
2007-01-25,28.7817,30.21,30.83,29.91,30.82,2601900.0
2007-01-26,29.3724,30.83,30.98,30.22,30.41,1367400.0
2007-01-29,29.0675,30.51,31.04,30.36,30.95,1776100.0
2007-01-30,29.2867,30.74,30.97,30.58,30.58,1642400.0
2007-01-31,29.239,30.69,30.91,30.42,30.7,1878700.0
2007-02-01,29.5344,31.0,31.22,30.37,30.84,1507100.0
2007-02-02,29.4963,30.96,31.13,30.49,31.08,930100.0
2007-02-05,29.0104,30.45,31.25,30.39,30.96,1979000.0
2007-02-06,29.0008,30.44,30.8,29.91,30.69,1431500.0
2007-02-07,28.5054,29.92,30.67,29.67,30.51,1411600.0
2007-02-08,28.7817,30.21,30.38,29.48,29.92,1234000.0
2007-02-09,29.1533,30.6,30.95,30.31,30.45,1236300.0
2007-02-12,28.4483,29.86,30.38,29.58,30.13,1136100.0
2007-02-13,28.896,30.33,30.34,29.82,30.0,1046700.0
2007-02-14,29.1056,30.55,30.98,30.15,30.45,751300.0
2007-02-15,28.9342,30.37,30.5,30.07,30.37,1000200.0
2007-02-16,29.3248,30.78,30.87,30.29,30.37,1585900.0
2007-02-20,29.3724,30.83,30.93,30.27,30.6,930500.0
2007-02-21,29.9345,31.42,31.68,30.63,30.63,1421700.0
2007-02-22,30.5823,32.1,32.12,31.26,31.6,1213000.0
2007-02-23,30.7062,32.23,32.34,31.93,32.2,1312600.0
2007-02-26,31.2016,32.75,33.17,32.25,32.5,1378800.0
2007-02-27,30.4204,31.93,32.76,31.19,32.3,2481900.0
2007-02-28,30.4204,31.93,32.17,31.32,31.94,1950600.0
2007-03-01,30.5443,32.06,32.5,31.2,31.65,2156900.0
2007-03-02,29.8297,31.31,32.11,31.3,32.0,1496700.0
2007-03-05,28.353,29.76,30.95,29.76,30.57,2642800.0
2007-03-06,28.8198,30.25,30.6,29.88,30.25,2148500.0
2007-03-07,29.0866,30.53,30.92,30.25,30.25,1854500.0
2007-03-08,29.0008,30.44,30.89,30.17,30.81,1405000.0
2007-03-09,28.9246,30.36,30.77,30.2,30.74,1737100.0
2007-03-12,28.6007,30.02,30.18,29.74,29.9,1808200.0
2007-03-13,28.1906,29.56,30.59,29.5,29.82,1771600.0
2007-03-14,28.7819,30.18,30.2,29.43,29.8,1129200.0
2007-03-15,28.6293,30.02,30.33,29.98,30.28,947700.0
2007-03-16,28.8773,30.28,30.63,30.12,30.3,1615700.0
2007-03-19,29.7356,31.18,31.3,30.55,30.75,1582100.0
2007-03-20,30.2887,31.76,31.76,31.11,31.29,1312200.0
2007-03-21,30.8037,32.3,32.42,31.81,31.81,1266700.0
2007-03-22,31.3473,32.87,33.03,32.47,32.5,1063500.0
2007-03-23,31.0707,32.58,33.27,32.44,32.97,1154000.0
2007-03-26,31.3664,32.89,33.03,32.42,32.98,1063700.0
2007-03-27,31.3282,32.85,32.88,32.36,32.79,1430100.0
2007-03-28,31.4903,33.02,33.3,32.69,33.0,996100.0
2007-03-29,31.6906,33.23,33.26,32.7,33.24,903600.0
2007-03-30,31.8527,33.4,33.8,33.24,33.47,1357700.0
2007-04-02,32.4345,34.01,34.16,33.4,33.45,1259500.0
2007-04-03,32.5585,34.14,34.2,33.48,34.01,861100.0
2007-04-04,32.7587,34.35,34.39,33.8,34.0,1224100.0
2007-04-05,32.9113,34.51,34.57,34.19,34.45,804600.0
2007-04-09,33.3023,34.92,35.09,34.51,34.51,1453900.0
2007-04-10,34.0176,35.67,35.82,34.88,35.0,1015200.0
2007-04-11,34.0367,35.69,36.07,35.49,35.67,1098500.0
2007-04-12,34.9522,36.65,36.67,35.83,36.15,1374700.0
2007-04-13,34.647,36.33,36.65,36.1,36.65,1104800.0
2007-04-16,34.4086,36.08,36.33,35.3,36.33,1566400.0
2007-04-17,34.5993,36.28,36.4,36.0,36.19,1788500.0
2007-04-18,34.7328,36.42,36.8,36.29,36.8,4389100.0
2007-04-19,34.6088,36.29,36.47,36.12,36.42,2187900.0
2007-04-20,34.7996,36.49,37.12,36.1,36.39,1558700.0
2007-04-23,35.6674,37.4,37.47,36.35,36.59,1372800.0
2007-04-24,35.4481,37.17,37.6,36.95,37.58,797600.0
