,Adj Close,Close,High,Low,Open,Volume
2007-01-03,19.54,27.33,27.51,27.15,27.15,887200.0
2007-01-04,19.72,27.59,27.65,27.15,27.27,1243200.0
2007-01-05,19.67,27.52,27.67,27.46,27.53,1060900.0
2007-01-08,19.64,27.48,27.53,27.29,27.43,1162200.0
2007-01-09,19.76,27.65,28.08,27.51,27.59,991000.0
2007-01-10,19.84,27.75,27.85,27.53,27.57,665200.0
2007-01-11,20.0,27.99,28.1,27.79,27.92,507000.0
2007-01-12,19.95,27.91,27.97,27.7,27.92,1005300.0
2007-01-16,20.22,28.29,28.37,27.97,27.97,701100.0
2007-01-17,20.38,28.51,28.6,28.21,28.24,835600.0
2007-01-18,20.13,28.17,28.52,28.13,28.51,597700.0
2007-01-19,20.17,28.21,28.25,28.0,28.17,425800.0
2007-01-22,20.25,28.33,28.39,28.07,28.25,504100.0
2007-01-23,20.39,28.53,28.6,28.3,28.33,529600.0
2007-01-24,20.36,28.48,28.6,28.32,28.53,411000.0
2007-01-25,20.22,28.29,28.51,28.12,28.48,916300.0
2007-01-26,20.26,28.34,28.45,28.21,28.31,716100.0
2007-01-29,20.37,28.5,28.71,28.27,28.28,689200.0
2007-01-30,20.63,28.86,28.93,28.47,28.57,651400.0
2007-01-31,20.61,28.83,28.97,28.63,28.87,652200.0
2007-02-01,20.61,28.83,29.0,28.67,28.9,758800.0
2007-02-02,20.95,29.31,29.5,29.08,29.4,1011400.0
2007-02-05,20.87,29.2,29.29,28.81,29.26,1452300.0
2007-02-06,20.93,29.28,29.4,29.15,29.19,1177000.0
2007-02-07,21.12,29.55,29.67,29.27,29.37,1373100.0
2007-02-08,20.71,28.98,29.53,28.72,29.53,1945000.0
2007-02-09,20.51,28.7,29.05,28.43,28.91,1191100.0
2007-02-12,20.43,28.59,28.83,28.48,28.77,677500.0
2007-02-13,20.67,28.91,29.03,28.67,28.67,576300.0
2007-02-14,20.77,29.06,29.48,28.79,28.92,1480600.0
2007-02-15,20.7,28.96,29.17,28.89,29.06,1142200.0
2007-02-16,20.83,29.15,29.27,28.97,28.97,1493700.0
2007-02-20,20.71,28.97,29.2,28.97,29.16,1139200.0
2007-02-21,20.73,29.0,29.14,28.91,28.97,1126600.0
2007-02-22,20.43,28.58,29.07,28.49,28.97,952500.0
2007-02-23,20.53,28.72,28.77,28.55,28.61,1061400.0
2007-02-26,20.54,28.74,28.99,28.67,28.83,711100.0
2007-02-27,19.93,27.88,28.47,27.66,28.41,1189300.0
2007-02-28,20.06,28.06,28.22,27.6,27.87,864000.0
2007-03-01,19.92,27.87,28.1,27.45,27.8,632700.0
2007-03-02,19.81,27.71,28.0,27.67,27.84,692100.0
2007-03-05,19.61,27.43,27.77,27.37,27.55,1030000.0
2007-03-06,19.72,27.59,27.73,27.28,27.52,1081600.0
2007-03-07,19.73,27.61,27.81,27.5,27.55,1003200.0
2007-03-08,19.53,27.33,27.9,27.13,27.77,1440900.0
2007-03-09,19.56,27.37,27.71,27.25,27.47,952900.0
2007-03-12,19.54,27.33,27.56,27.26,27.41,854500.0
2007-03-13,19.08,26.7,27.35,26.69,27.23,1437700.0
2007-03-14,19.02,26.61,27.06,26.22,26.78,2041500.0
2007-03-15,19.25,26.93,27.09,26.63,26.63,2879200.0
2007-03-16,19.29,26.99,27.0,26.65,26.91,1084900.0
2007-03-19,19.58,27.4,27.41,26.88,27.04,1028800.0
2007-03-20,19.41,27.15,27.48,27.08,27.32,1313800.0
2007-03-21,19.78,27.68,27.71,27.12,27.21,1423800.0
2007-03-22,19.91,27.85,28.53,27.58,28.52,1154500.0
2007-03-23,20.21,28.28,28.34,27.76,27.9,1159900.0
2007-03-26,20.11,28.14,28.37,27.95,28.37,952400.0
2007-03-27,19.73,27.61,28.11,27.6,28.01,895500.0
2007-03-28,19.91,27.86,27.99,27.55,27.57,1296300.0
2007-03-29,19.86,27.68,28.1,27.46,27.97,947300.0
2007-03-30,19.96,27.82,27.9,27.55,27.66,824200.0
2007-04-02,20.0,27.87,28.11,27.79,27.9,1218300.0
2007-04-03,20.18,28.12,28.3,27.94,28.04,911700.0
2007-04-04,20.01,27.89,28.12,27.77,28.02,965900.0
2007-04-05,19.99,27.86,27.97,27.81,27.92,530100.0
2007-04-09,19.72,27.49,28.0,27.46,27.91,927700.0
2007-04-10,19.51,27.19,27.4,27.17,27.4,879300.0
2007-04-11,19.55,27.25,27.34,27.1,27.19,1337100.0
2007-04-12,19.7,27.46,27.46,27.05,27.15,812700.0
2007-04-13,19.73,27.5,27.94,27.31,27.5,1231200.0
2007-04-16,20.25,28.22,28.22,27.61,27.61,1427200.0
2007-04-17,20.41,28.45,28.53,28.02,28.19,1110400.0
2007-04-18,20.15,28.09,28.46,28.09,28.35,1099100.0
2007-04-19,19.82,27.62,28.97,27.51,28.97,854000.0
2007-04-20,19.82,27.63,28.0,27.38,27.75,807800.0
2007-04-23,19.8,27.59,27.68,27.2,27.63,890800.0
2007-04-24,19.87,27.69,28.0,27.51,27.65,883100.0
2007-04-25,20.0,27.88,27.99,27.51,27.75,730400.0
2007-04-26,19.98,27.84,27.95,27.49,27.82,498100.0
2007-04-27,20.49,28.56,28.85,27.84,28.25,1761100.0
2007-04-30,20.04,27.93,28.65,27.93,28.65,1416700.0
2007-05-01,19.99,27.86,28.11,27.81,27.98,1501400.0
2007-05-02,20.4,28.43,28.76,27.85,27.96,1863600.0
2007-05-03,20.48,28.54,28.71,28.39,28.43,963900.0
2007-05-04,20.51,28.58,28.67,28.42,28.55,850500.0
2007-05-07,20.71,28.87,29.09,28.71,28.71,697300.0
2007-05-08,20.65,28.78,28.85,28.42,28.85,459800.0
2007-05-09,20.61,28.72,28.81,28.5,28.67,535400.0
2007-05-10,20.53,28.61,28.8,28.48,28.53,1303700.0
2007-05-11,20.56,28.65,28.85,28.4,28.64,1145000.0
