,Adj Close,Close,High,Low,Open,Volume
2007-01-03,37.75,52.11,52.97,51.97,52.3,2075600.0
2007-01-04,37.18,51.33,52.1,51.31,52.05,2336700.0
2007-01-05,37.4,51.63,51.92,51.31,51.34,2136900.0
2007-01-08,37.02,51.1,51.48,50.96,51.48,2115500.0
2007-01-09,37.37,51.59,51.68,51.1,51.1,2274300.0
2007-01-10,37.68,52.01,52.02,51.12,51.45,1856700.0
2007-01-11,37.81,52.2,52.34,51.89,52.03,1892000.0
2007-01-12,37.51,51.78,52.23,51.45,52.1,2079800.0
2007-01-16,37.51,51.78,52.12,51.63,51.72,1504900.0
2007-01-17,37.44,51.68,51.92,51.58,51.87,1123100.0
2007-01-18,37.35,51.56,51.96,51.4,51.8,1420300.0
2007-01-19,37.89,52.3,52.58,51.7,51.8,2470600.0
2007-01-22,37.63,51.95,52.29,51.79,52.2,1769100.0
2007-01-23,38.52,53.18,53.22,51.89,51.96,1941800.0
2007-01-24,38.23,52.77,53.05,52.41,52.95,1207900.0
2007-01-25,37.56,51.85,52.9,51.82,52.68,1555100.0
2007-01-26,37.27,51.45,52.12,51.4,52.02,1640500.0
2007-01-29,37.21,51.37,51.54,51.12,51.39,1211700.0
2007-01-30,37.37,51.59,51.79,51.38,51.5,1384900.0
2007-01-31,37.6,51.9,52.05,51.47,51.51,1215200.0
2007-02-01,38.08,52.56,52.82,51.9,51.92,2723400.0
2007-02-02,39.73,54.85,55.0,53.28,53.55,3595100.0
2007-02-05,39.82,54.97,55.44,53.85,54.64,3055900.0
2007-02-06,40.01,55.23,55.32,54.76,54.96,1822700.0
2007-02-07,39.88,55.05,55.63,54.98,55.13,1849100.0
2007-02-08,39.6,54.67,55.19,54.49,55.05,2241400.0
2007-02-09,39.57,54.63,55.06,54.5,54.75,2409300.0
2007-02-12,39.51,54.54,55.09,54.42,54.74,1617900.0
2007-02-13,40.03,55.26,55.26,54.14,54.54,1654700.0
2007-02-14,39.81,54.96,55.48,54.95,55.48,1903800.0
2007-02-15,40.05,55.29,55.44,54.76,54.76,2188600.0
2007-02-16,39.88,55.05,55.39,54.8,55.04,1812900.0
2007-02-20,40.11,55.37,55.63,54.96,55.07,1995200.0
2007-02-21,39.99,55.21,55.49,55.1,55.25,1690500.0
2007-02-22,39.94,55.13,55.4,54.86,54.86,1656600.0
2007-02-23,39.71,54.82,55.28,54.46,55.18,1353300.0
2007-02-26,39.42,54.42,54.87,54.06,54.83,1738200.0
2007-02-27,38.41,53.02,54.25,52.64,54.05,2587900.0
2007-02-28,38.79,53.55,54.02,52.64,53.19,2649400.0
2007-03-01,38.65,53.35,53.92,52.36,52.85,2428100.0
2007-03-02,38.11,52.61,53.55,52.59,53.25,1785800.0
2007-03-05,38.17,52.69,53.24,51.75,52.1,2330700.0
2007-03-06,38.64,53.34,53.41,52.75,53.24,1507900.0
2007-03-07,37.92,52.35,53.27,52.26,53.27,2666100.0
2007-03-08,38.08,52.56,52.98,52.31,52.6,1882600.0
2007-03-09,38.36,52.95,53.05,52.73,52.98,1466700.0
2007-03-12,38.44,53.06,53.23,52.49,52.8,1691800.0
2007-03-13,37.48,51.74,52.92,51.7,52.88,3150000.0
2007-03-14,37.87,52.28,52.5,51.33,51.93,2014800.0
2007-03-15,38.13,52.64,52.66,51.97,52.08,1960700.0
2007-03-16,38.42,53.04,53.25,52.67,53.04,3119700.0
2007-03-19,38.61,53.3,53.57,52.9,53.15,1826500.0
2007-03-20,38.55,53.22,53.27,52.9,53.18,1167900.0
2007-03-21,39.15,54.05,54.05,53.07,53.17,1991700.0
2007-03-22,38.13,52.64,53.49,52.42,53.44,2680800.0
2007-03-23,38.1,52.59,53.12,52.47,52.95,1928900.0
2007-03-26,38.23,52.78,52.89,52.05,52.52,2234900.0
2007-03-27,38.23,52.78,52.88,52.28,52.49,1838100.0
2007-03-28,37.92,52.35,52.65,51.99,52.49,1639300.0
2007-03-29,38.13,52.63,52.86,52.39,52.7,2040500.0
2007-03-30,38.19,52.46,52.88,52.05,52.33,1889000.0
2007-04-02,38.37,52.71,52.74,52.25,52.42,1360800.0
2007-04-03,38.79,53.29,53.38,52.72,52.92,2002600.0
2007-04-04,39.13,53.75,53.86,53.29,53.32,2165200.0
2007-04-05,39.34,54.04,54.09,53.7,53.75,1794400.0
2007-04-09,39.61,54.42,54.63,53.99,54.1,1773200.0
2007-04-10,39.53,54.3,54.61,54.23,54.55,1482200.0
2007-04-11,39.36,54.07,54.4,53.83,54.36,2327500.0
2007-04-12,39.5,54.26,54.33,53.62,53.85,2385800.0
2007-04-13,39.58,54.37,55.1,53.8,55.1,1587300.0
2007-04-16,39.96,54.9,55.16,54.31,54.48,2643400.0
2007-04-17,40.02,54.98,55.17,54.52,54.9,1722100.0
2007-04-18,40.09,55.08,55.3,54.49,54.83,2319400.0
2007-04-19,40.09,55.08,55.21,54.75,54.83,1548400.0
2007-04-20,40.35,55.43,55.8,55.17,55.8,2341900.0
2007-04-23,40.4,55.5,55.74,55.1,55.2,1204400.0
2007-04-24,39.78,54.65,55.49,54.2,54.68,3262400.0
